animal,learner,pair,dim,window_bins,window_ms,ifi,degenerate,cc_peak,sig
28,1,CA1-CA3,4,2,20,0.0,1,0.0227,0
28,1,CA1-CA3,4,3,30,-0.06666666666666657,0,0.0227,0
28,1,CA1-CA3,4,4,40,0.12432432432432433,0,0.0227,0
28,1,CA1-CA3,4,5,50,0.13829787234042556,0,0.0227,0
28,1,CA1-CA3,4,6,60,0.13829787234042554,0,0.0227,0
28,1,CA1-CA3,4,7,70,0.13829787234042554,0,0.0227,0
28,1,CA1-CA3,4,8,80,0.19069767441860463,0,0.0227,0
28,1,CA1-CA3,4,9,90,0.19069767441860463,0,0.0227,0
28,1,CA1-CA3,4,10,100,0.3586497890295358,0,0.0227,0
28,1,CA1-CA3,4,11,110,0.35864978902953576,0,0.0227,0
28,1,CA1-CA3,4,12,120,0.3586497890295359,0,0.0227,0
28,1,CA1-CA3,4,13,130,0.44482366325369743,0,0.0227,0
28,1,CA1-CA3,4,14,140,0.4153846153846154,0,0.0227,0
28,1,CA1-CA3,4,15,150,0.4153846153846155,0,0.0227,0
28,1,CA1-CA3,4,16,160,0.41658137154554764,0,0.0227,0
28,1,CA1-CA3,4,17,170,0.40830800405268486,0,0.0227,0
28,1,CA1-CA3,4,18,180,0.4083080040526848,0,0.0227,0
28,1,CA1-CA3,4,19,190,0.4083080040526849,0,0.0227,0
28,1,CA1-CA3,4,20,200,0.34562211981566815,0,0.0227,0
28,1,CA1-CA3,4,21,210,0.20181405895691615,0,0.0227,0
28,1,CA1-CA3,4,22,220,0.20181405895691612,0,0.0227,0
28,1,CA1-CA3,4,23,230,0.23754512635379063,0,0.0227,0
28,1,CA1-CA3,4,24,240,0.17353308364544312,0,0.0227,0
28,1,CA1-CA3,4,25,250,0.16842759477936614,0,0.0227,0
28,1,CA1-CA3,5,1,10,-1.0,0,0.042,0
28,1,CA1-CA3,5,2,20,0.05555555555555558,0,0.042,0
28,1,CA1-CA3,5,3,30,-0.6984126984126984,0,0.042,0
28,1,CA1-CA3,5,4,40,-0.6984126984126983,0,0.042,0
28,1,CA1-CA3,5,5,50,-0.4657534246575342,0,0.042,0
28,1,CA1-CA3,5,6,60,-0.6941176470588236,0,0.042,0
28,1,CA1-CA3,5,7,70,-0.5281690140845071,0,0.042,0
28,1,CA1-CA3,5,8,80,-0.38321995464852604,0,0.042,0
28,1,CA1-CA3,5,9,90,6.398570198275109e-17,0,0.042,0
28,1,CA1-CA3,5,10,100,0.10818713450292405,0,0.042,0
28,1,CA1-CA3,5,11,110,0.17119565217391303,0,0.042,0
28,1,CA1-CA3,5,12,120,0.17119565217391308,0,0.042,0
28,1,CA1-CA3,5,13,130,0.4054500412881916,0,0.042,0
28,1,CA1-CA3,5,14,140,0.2771084337349398,0,0.042,0
28,1,CA1-CA3,5,15,150,0.27710843373493976,0,0.042,0
28,1,CA1-CA3,5,16,160,0.28191489361702127,0,0.042,0
28,1,CA1-CA3,5,17,170,0.2667542706964521,0,0.042,0
28,1,CA1-CA3,5,18,180,0.08193041526374854,0,0.042,0
28,1,CA1-CA3,5,19,190,0.0906058921623125,0,0.042,0
28,1,CA1-CA3,5,20,200,0.07037643207855981,0,0.042,0
28,1,CA1-CA3,5,21,210,0.1471471471471472,0,0.042,0
28,1,CA1-CA3,5,22,220,0.17521781219748322,0,0.042,0
28,1,CA1-CA3,5,23,230,0.2022471910112359,0,0.042,0
28,1,CA1-CA3,5,24,240,0.16416630947278182,0,0.042,0
28,1,CA1-CA3,5,25,250,0.1583368332633348,0,0.042,0
28,1,CA1-CA3,6,1,10,0.0,1,0.0308,0
28,1,CA1-CA3,6,2,20,0.0,1,0.0308,0
28,1,CA1-CA3,6,3,30,1.0,0,0.0308,0
28,1,CA1-CA3,6,4,40,0.7428571428571428,0,0.0308,0
28,1,CA1-CA3,6,5,50,0.8274760383386582,0,0.0308,0
28,1,CA1-CA3,6,6,60,0.34693877551020413,0,0.0308,0
28,1,CA1-CA3,6,7,70,0.3469387755102041,0,0.0308,0
28,1,CA1-CA3,6,8,80,0.3469387755102041,0,0.0308,0
28,1,CA1-CA3,6,9,90,0.34693877551020413,0,0.0308,0
28,1,CA1-CA3,6,10,100,0.3503937007874016,0,0.0308,0
28,1,CA1-CA3,6,11,110,0.23999999999999988,0,0.0308,0
28,1,CA1-CA3,6,12,120,0.1449704142011834,0,0.0308,0
28,1,CA1-CA3,6,13,130,0.1449704142011834,0,0.0308,0
28,1,CA1-CA3,6,14,140,0.14497041420118345,0,0.0308,0
28,1,CA1-CA3,6,15,150,0.14497041420118337,0,0.0308,0
28,1,CA1-CA3,6,16,160,0.14497041420118345,0,0.0308,0
28,1,CA1-CA3,6,17,170,0.10967741935483864,0,0.0308,0
28,1,CA1-CA3,6,18,180,0.07874564459930322,0,0.0308,0
28,1,CA1-CA3,6,19,190,0.09637730690362273,0,0.0308,0
28,1,CA1-CA3,6,20,200,0.09637730690362269,0,0.0308,0
28,1,CA1-CA3,6,21,210,0.19242516799022605,0,0.0308,0
28,1,CA1-CA3,6,22,220,0.19537431527693244,0,0.0308,0
28,1,CA1-CA3,6,23,230,0.19537431527693247,0,0.0308,0
28,1,CA1-CA3,6,24,240,0.16323119777158768,0,0.0308,0
28,1,CA1-CA3,6,25,250,0.1404072883172561,0,0.0308,0
28,1,CA1-CA3,7,1,10,-0.054054054054054015,0,0.0254,0
28,1,CA1-CA3,7,2,20,0.3976833976833978,0,0.0254,0
28,1,CA1-CA3,7,3,30,0.5384615384615385,0,0.0254,0
28,1,CA1-CA3,7,4,40,0.1538461538461539,0,0.0254,0
28,1,CA1-CA3,7,5,50,0.09890109890109901,0,0.0254,0
28,1,CA1-CA3,7,6,60,0.11985688729874787,0,0.0254,0
28,1,CA1-CA3,7,7,70,0.021207177814029348,0,0.0254,0
28,1,CA1-CA3,7,8,80,-0.2107101280558789,0,0.0254,0
28,1,CA1-CA3,7,9,90,-0.11839323467230448,0,0.0254,0
28,1,CA1-CA3,7,10,100,-0.11839323467230448,0,0.0254,0
28,1,CA1-CA3,7,11,110,-0.03868194842406887,0,0.0254,0
28,1,CA1-CA3,7,12,120,-0.0653983353151011,0,0.0254,0
28,1,CA1-CA3,7,13,130,-0.06539833531510122,0,0.0254,0
28,1,CA1-CA3,7,14,140,-0.02166476624857485,0,0.0254,0
28,1,CA1-CA3,7,15,150,0.019157088122605248,0,0.0254,0
28,1,CA1-CA3,7,16,160,0.05335446381405169,0,0.0254,0
28,1,CA1-CA3,7,17,170,-0.05542396968261491,0,0.0254,0
28,1,CA1-CA3,7,18,180,-0.055423969682614906,0,0.0254,0
28,1,CA1-CA3,7,19,190,-0.05542396968261492,0,0.0254,0
