pair,dv,n_animals,label_effect_circular,F_epoch,p_epoch,F_label,p_label,F_epoch:label,p_epoch:label
CA1-RSC,peak_r,7,False,6.3660022717774005,0.013047628136569867,0.18092810115265534,0.6854103419240909,0.7657086304898161,0.4864382956669333
CA1-RSC,abs_ifi,7,False,3.1796035870670534,0.07797653636254194,0.9709332728181367,0.3624994239555721,2.0786063763439473,0.16783742750454894
CA1-RSC,peak_lag_ms,7,False,2.084403350057845,0.16711662724410195,4.6358395653491415,0.07478559816017652,0.898236154706035,0.4329912843685469
CA1-RSC,ifi,7,True,6.081805483301979,0.015000870655079004,15.263939896193046,0.007920576315878131,0.8950373508469139,0.4341979449244663
CA1-CA3,peak_r,7,False,9.82451200632493,0.002971156616946426,0.034304159306110325,0.8591636309496085,0.5700052796273619,0.5801137922292763
CA1-CA3,abs_ifi,7,False,8.341200468769367,0.005362835337813018,2.0892118233386503,0.198473344783369,0.24698420726617515,0.785027831745124
CA1-CA3,peak_lag_ms,7,False,0.12221706422670162,0.8860437392089274,3.7233981895254944,0.10189916672442992,0.6817420573966712,0.5242872131407224
CA1-CA3,ifi,7,True,0.22238208250311547,0.8038359973306408,16.861916895274824,0.006312342163009201,0.8577728667416546,0.44854799595171774
CA1-DG,peak_r,8,False,2.171955350649306,0.15081785395976935,0.010644495875975582,0.9207198975723956,0.03231956117740146,0.9682691536733241
CA1-DG,abs_ifi,8,False,1.6780558545391429,0.2221923962930761,0.04920242700943474,0.8307892784631574,0.6623065007670151,0.5310918517243027
CA1-DG,peak_lag_ms,8,False,0.25292444277001574,0.779999290224024,0.0016473845893611584,0.9687577479842575,0.701327518587312,0.5125392478713391
CA1-DG,ifi,8,True,1.0601435342796188,0.3726377508078486,2.121837184963323,0.1885568245964677,0.14924509619184906,0.8627102877839745
CA1-V1,peak_r,10,False,33.047380097747194,9.430443504415582e-07,0.2166394614007981,0.6526697332285674,0.5804385728790279,0.5697890109888791
CA1-V1,abs_ifi,10,False,5.217661325408361,0.01632033622189016,0.006357844717925501,0.9381919884791547,1.6192730197502985,0.22559501860511044
CA1-V1,peak_lag_ms,10,False,1.0710179788228196,0.3635149224134982,0.5045374312174942,0.4955054150108141,1.1911494189952343,0.32671875312706977
CA1-V1,ifi,10,True,1.4996078195238003,0.24981866670693986,6.0714523286617,0.03592027209494418,0.32043944686495374,0.7298860807328604
CA3-DG,peak_r,4,False,9.966735027841422,0.012384311165554069,0.8628092402570323,0.4214696464580648,1.1114096317725592,0.3885004420206987
CA3-DG,abs_ifi,4,False,3.8690761703009624,0.08330455857731585,13.630676774839095,0.034469268763790854,2.9438355045943534,0.12857703854811992
CA3-DG,peak_lag_ms,4,False,2.521532603481725,0.1603927898005276,0.02212674122827461,0.8911867833583805,2.646024786154092,0.1500152544723308
CA3-DG,ifi,4,True,1.1930957131865165,0.36623465451043985,54.27170324557426,0.005170439219314946,0.14296333472102105,0.8696526411091094
CA1-SUB,peak_r,3,False,2.28050007459751,0.21830866478072675,5.24660901421641,0.14911290769569047,1.5068405438108572,0.325257974711005
CA1-SUB,abs_ifi,3,False,0.4162272093869425,0.6851480878637688,2.103956423303646,0.28399344225567835,1.5775820839169903,0.31252213127514183
CA1-SUB,peak_lag_ms,3,False,0.06032286129433756,0.9423005147601287,3.223613985404641,0.21442803242793915,3.654627444391442,0.1250984699515259
CA1-SUB,ifi,3,True,13.385414234971812,0.016898245062456532,8.260985556625146,0.10273362421850782,5.570843440164305,0.0697865068904739
RSC-SUB,peak_r,3,False,1.3774213802121467,0.35066263729438385,0.17922422610553407,0.7132209658376347,1.218651789630143,0.3861108460187688
RSC-SUB,abs_ifi,3,False,2.2751743972667455,0.21885290721992545,0.5261050248173287,0.5436368979505557,0.8506100246993995,0.49224847024764323
RSC-SUB,peak_lag_ms,3,False,0.2511542443117185,0.7893134174939653,0.035556928479685196,0.8678337728534623,0.9057649545545988,0.47373887911992024
RSC-SUB,ifi,3,True,1.9016476205041086,0.26276281434353327,5.393308917113643,0.14590098344581082,0.39189394462108995,0.699159322157874
V1-RSC,peak_r,6,False,8.472307300132766,0.00704109363185091,3.5160656247119033,0.11962450864012954,0.9302009457494125,0.42609160036382937
V1-RSC,abs_ifi,6,False,0.0042496780223755335,0.9957611363825839,0.4433436905197957,0.534995149485475,0.4338543731051325,0.6596446519992187
V1-RSC,peak_lag_ms,6,False,5.096254376016354,0.029788497680718333,0.1277881011999454,0.7353303680044163,0.7318156385030312,0.5051134773640945
V1-RSC,ifi,6,True,0.2938647797782617,0.7515983217129182,15.698487473598737,0.010720003235606824,0.5012628091070204,0.6202089909725826
