animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
66,1,V1-RSC,naive,900,0.1849,0.0289,1,0.0174,0.2403,0,0.2829,0.274
66,1,V1-RSC,intermediate,900,0.0979,-0.0137,3,0.0211,-0.5034,0,0.2807,0.2615
66,1,V1-RSC,expert,900,0.1306,0.0614,3,0.028,-0.3327,8,0.2957,0.2094
68,1,CA1-RSC,session,900,0.0691,-0.0474,0,0.0,-0.3806,-3,0.2381,0.2063
68,1,CA1-RSC,naive,900,-0.0062,-0.102,1,0.0039,-0.0687,-3,0.2637,0.2908
68,1,CA1-RSC,intermediate,900,-0.0764,0.0254,0,0.0,0.1605,7,0.3426,0.257
68,1,CA1-RSC,expert,900,0.0818,0.1388,0,0.0,-0.5604,0,0.2765,0.2846
68,1,CA1-CA3,session,900,0.4376,0.45,3,0.1239,0.6551,0,0.439,0.4248
68,1,CA1-CA3,naive,900,0.4491,0.4798,2,0.1377,-0.4102,0,0.3936,0.492
68,1,CA1-CA3,intermediate,900,0.4887,0.4727,2,0.1817,-0.5836,0,0.3814,0.3952
68,1,CA1-CA3,expert,900,0.442,0.4661,2,0.1269,0.029,0,0.3748,0.411
68,1,CA1-DG,session,900,0.2867,0.2782,2,0.0546,-0.6381,0,0.3078,0.3912
68,1,CA1-DG,naive,900,0.2439,0.2499,2,0.0362,0.8619,0,0.3022,0.2497
68,1,CA1-DG,intermediate,900,0.1486,0.1431,2,0.0214,-0.0332,0,0.2607,0.3253
68,1,CA1-DG,expert,900,0.2743,0.2748,2,0.0527,0.3414,0,0.3821,0.4645
68,1,CA3-DG,session,900,0.3947,0.4054,3,0.124,0.1735,0,0.3146,0.2795
68,1,CA3-DG,naive,900,0.273,0.4146,2,0.0881,-0.1843,0,0.4253,0.2651
68,1,CA3-DG,intermediate,900,0.4163,0.4205,3,0.1643,0.0479,0,0.3597,0.4075
68,1,CA3-DG,expert,900,0.4271,0.4147,2,0.1299,-0.4015,0,0.396,0.4028
70,0,CA1-RSC,session,900,0.1286,-0.0071,1,0.0083,-0.274,-7,0.3031,0.324
70,0,CA1-DG,session,900,0.1175,0.1533,0,0.0,-0.1846,0,0.3169,0.533
70,0,CA1-V1,session,900,0.0662,0.0093,0,0.0,0.3137,0,0.3408,0.3173
70,0,CA1-SUB,session,900,-0.0293,0.0824,0,0.0,0.0384,0,0.3051,0.5428
70,0,RSC-SUB,session,900,0.1329,0.1755,3,0.0221,0.3321,0,0.2892,0.5348
70,0,V1-RSC,session,900,0.1913,0.1405,3,0.0516,0.3947,0,0.344,0.2842
71,0,CA1-RSC,session,900,-0.0197,0.0205,0,0.0,-0.1185,-1,0.269,0.2753
71,0,CA1-CA3,session,900,0.2011,0.1664,1,0.0206,-0.0944,0,0.3153,0.3118
71,0,CA1-DG,session,900,0.0408,0.0265,0,0.0,0.5185,4,0.3067,0.3193
71,0,CA1-V1,session,900,-0.0071,-0.1114,0,0.0,-0.0735,-2,0.3366,0.2726
71,0,CA3-DG,session,900,0.4073,0.4516,3,0.1892,0.1323,0,0.3774,0.392
71,0,CA1-SUB,session,900,-0.034,-0.0402,0,0.0,-0.8946,-2,0.2517,0.2296
71,0,RSC-SUB,session,900,-0.0121,-0.0381,1,0.0028,0.7862,7,0.2786,0.2436
71,0,V1-RSC,session,900,0.2215,0.1488,3,0.0381,0.2099,0,0.2727,0.3083
