animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
34,1,CA1-CA3,15.5,0.1933,0.2201,-32.5,6000,0.4577,2,0.1761,0.005,0,0.9617,0.3603,0.5268,0.4434,nan,nan,,,49.26,77.77
34,1,CA1-CA3,30.5,0.3933,0.4185,-17.5,6000,0.5022,4,0.3401,0.0121,0,0.8939,0.9318,0.5403,0.4744,86.27,84.56,0.5556,0.6,70.59,10.47
34,1,CA1-CA3,45.5,0.5933,0.5921,-2.5,8000,0.4799,4,0.2503,0.0243,0,0.8887,0.1051,0.4478,0.3817,37.97,89.04,0.75,0.3333,53.6,31.01
34,1,CA1-CA3,60.5,0.7933,0.784,12.5,6000,0.5894,2,0.3253,0.0175,0,0.2773,0.1291,0.5159,0.3792,89.83,87.35,0.2727,0.6,81.26,79.09
34,1,CA1-V1,15.5,0.1933,0.2201,-32.5,6000,0.3435,1,0.0628,0.0103,0,0.8631,0.3742,0.2332,0.2132,nan,nan,,,87.21,76.4
34,1,CA1-V1,30.5,0.3933,0.4185,-17.5,6000,0.1493,0,0.0,0.0012,9,0.4659,0.2818,0.2166,0.1784,89.97,76.62,0.4,0.3043,82.64,71.7
34,1,CA1-V1,45.5,0.5933,0.5921,-2.5,8000,0.139,0,0.0,-0.0222,-4,0.8862,0.2792,0.1544,0.1802,88.59,76.53,0.5556,0.25,84.18,75.68
34,1,CA1-V1,60.5,0.7933,0.784,12.5,6000,0.4282,1,0.1013,-0.0078,0,0.9132,0.3422,0.4302,0.4025,85.31,67.15,0.5556,0.2,78.03,83.1
36,1,CA1-CA3,15.5,0.1883,0.2481,-12.5,8000,0.4248,3,0.1393,-0.0296,1,0.3767,0.1199,0.4015,0.231,nan,nan,,,48.36,36.16
36,1,CA1-CA3,30.5,0.3831,0.4885,2.5,8000,0.4304,3,0.1566,-0.0239,1,0.3314,0.0477,0.405,0.2597,37.18,43.67,0.4286,0.5,45.24,45.28
36,1,CA1-CA3,45.5,0.5779,0.7102,17.5,6000,0.4098,3,0.171,-0.0138,1,0.3285,0.0432,0.3701,0.2681,41.15,54.91,0.3333,0.2,58.74,67.37
36,1,CA1-CA3,60.5,0.7727,0.8614,32.5,6000,0.3676,2,0.1591,-0.0033,1,0.3483,0.056,0.4031,0.2778,55.5,74.24,0.4286,0.0,84.14,61.72
36,1,CA1-V1,15.5,0.1883,0.2481,-12.5,8000,0.0339,0,0.0,-0.0095,-3,0.3348,0.0706,0.1753,0.1118,nan,nan,,,84.52,80.27
36,1,CA1-V1,30.5,0.3831,0.4885,2.5,8000,0.0996,0,0.0,-0.0031,-9,0.2936,0.0806,0.1499,0.1131,78.72,87.26,0.25,0.2308,89.34,77.35
36,1,CA1-V1,45.5,0.5779,0.7102,17.5,6000,0.1059,0,0.0,-0.0182,-9,0.272,0.0987,0.1831,0.1321,88.85,79.3,0.25,0.4545,75.78,83.16
36,1,CA1-V1,60.5,0.7727,0.8614,32.5,6000,0.0965,0,0.0,-0.0046,-7,0.2753,0.0675,0.1382,0.0872,82.59,87.02,0.25,0.2308,83.86,87.26
41,1,CA1-CA3,30.5,0.2783,0.5581,1.5,8000,0.6055,3,0.3455,-0.0085,0,0.7824,0.9044,0.5267,0.4819,nan,nan,,,26.37,61.23
41,1,CA1-CA3,45.5,0.4198,0.7719,16.5,6000,0.3573,3,0.2615,0.006,1,0.239,0.9006,0.4989,0.4554,74.47,53.3,0.5,0.7143,75.93,36.23
41,1,CA1-CA3,60.5,0.5613,0.7507,31.5,8000,0.3366,3,0.1708,0.006,1,0.8154,0.1558,0.5129,0.4132,88.6,82.85,0.5,0.3333,65.53,29.72
41,1,CA1-CA3,75.5,0.7028,0.7212,46.5,8000,0.337,3,0.1015,0.0027,1,0.1664,0.1115,0.5495,0.4414,81.6,25.38,0.3333,0.3333,61.45,42.21
41,1,CA1-CA3,90.5,0.8443,0.7906,61.5,6000,0.4653,4,0.307,0.0046,0,0.1008,0.8782,0.5056,0.4098,17.35,89.37,0.2,0.5,18.71,48.35
41,1,CA1-V1,15.5,0.1368,0.264,-13.5,8000,0.1127,0,0.0,-0.0458,-6,0.2196,0.3683,0.2072,0.1956,nan,nan,,,40.95,81.65
41,1,CA1-V1,30.5,0.2783,0.5581,1.5,8000,-0.0636,0,0.0,-0.0039,4,0.2995,0.2822,0.211,0.1747,74.56,63.91,0.3333,0.4667,80.99,75.38
41,1,CA1-V1,45.5,0.4198,0.7719,16.5,6000,0.173,0,0.0,-0.0052,-1,0.2347,0.2662,0.1032,0.1871,87.94,89.16,0.3333,0.3333,71.66,85.68
41,1,CA1-V1,60.5,0.5613,0.7507,31.5,8000,0.3526,1,0.0664,-0.017,0,0.8599,0.2358,0.181,0.1883,67.14,80.81,0.5,0.3538,76.17,86.91
41,1,CA1-V1,75.5,0.7028,0.7212,46.5,8000,0.3335,1,0.059,-0.0018,0,0.1713,0.2586,0.2286,0.2238,89.56,61.61,0.3333,0.2571,83.36,82.33
41,1,CA1-V1,90.5,0.8443,0.7906,61.5,6000,0.2797,0,0.0,-0.0112,-6,0.1103,0.3001,0.2083,0.2101,49.07,57.52,0.3333,0.375,43.09,60.05
52,1,CA1-RSC,15.5,0.1629,0.1583,-20.5,8000,-0.1619,1,0.012,0.0559,1,0.3984,0.1234,0.1774,0.0545,nan,nan,,,88.47,74.88
52,1,CA1-RSC,30.5,0.3315,0.3941,-5.5,8000,0.0252,3,0.0549,-0.0088,0,0.3544,0.0744,0.2047,0.0937,87.8,83.92,0.1111,0.2,78.25,87.25
52,1,CA1-RSC,45.5,0.5,0.7402,9.5,8000,-0.0669,2,0.0353,0.0037,0,0.2913,0.0462,0.1693,0.1064,86.36,79.1,0.2,0.2,86.45,75.98
52,1,CA1-RSC,60.5,0.6685,0.7918,24.5,6000,0.1521,5,0.0871,0.029,0,0.3061,0.043,0.152,0.0647,75.46,81.23,0.3043,0.5,88.04,73.78
52,1,CA1-RSC,75.5,0.8371,0.609,39.5,6000,0.121,4,0.198,-0.0066,3,0.2641,0.0496,0.147,0.0955,89.12,68.11,0.1538,0.2,84.41,68.87
52,1,CA1-CA3,15.5,0.1629,0.1583,-20.5,8000,0.2813,2,0.0584,-0.062,-5,0.3609,0.3391,0.2738,0.2847,nan,nan,,,89.04,78.14
