animal,pair,group,epoch,lag_ms,r_mean,n_ccs
28,CA1-CA3,all,naive,-130,0.025128,10
28,CA1-CA3,all,naive,-120,0.01659,10
28,CA1-CA3,all,naive,-110,0.005235999999999999,10
28,CA1-CA3,all,naive,-100,-0.004446,10
28,CA1-CA3,all,naive,-90,-0.013399,10
28,CA1-CA3,all,naive,-80,-0.016147,10
28,CA1-CA3,all,naive,-70,-0.017863,10
28,CA1-CA3,all,naive,-60,-0.018390999999999998,10
28,CA1-CA3,all,naive,-50,-0.014286000000000002,10
28,CA1-CA3,all,naive,-40,-0.00836,10
28,CA1-CA3,all,naive,-30,0.003999000000000001,10
28,CA1-CA3,all,naive,-20,0.015820999999999998,10
28,CA1-CA3,all,naive,-10,0.034527,10
28,CA1-CA3,all,naive,0,0.049484,10
28,CA1-CA3,all,naive,10,0.031811,10
28,CA1-CA3,all,naive,20,0.019946,10
28,CA1-CA3,all,naive,30,0.004761,10
28,CA1-CA3,all,naive,40,-0.007526,10
28,CA1-CA3,all,naive,50,-0.015153999999999997,10
28,CA1-CA3,all,naive,60,-0.017115,10
28,CA1-CA3,all,naive,70,-0.018321999999999998,10
28,CA1-CA3,all,naive,80,-0.01768,10
28,CA1-CA3,all,naive,90,-0.012764000000000001,10
28,CA1-CA3,all,naive,100,-0.0033640000000000002,10
28,CA1-CA3,all,naive,110,0.005045000000000001,10
28,CA1-CA3,all,naive,120,0.016262000000000002,10
28,CA1-CA3,all,naive,130,0.025936999999999998,10
28,CA1-CA3,all,naive,140,0.029871,10
28,CA1-CA3,all,naive,150,0.020644,10
28,CA1-CA3,all,naive,160,0.008043999999999999,10
28,CA1-CA3,all,naive,170,-0.0010269999999999997,10
28,CA1-CA3,all,naive,180,-0.009987,10
28,CA1-CA3,all,naive,190,-0.014248,10
28,CA1-CA3,all,naive,200,-0.019221,10
28,CA1-CA3,all,naive,210,-0.015788,10
28,CA1-CA3,all,naive,220,-0.012034,10
28,CA1-CA3,all,naive,230,-0.007357,10
28,CA1-CA3,all,naive,240,0.00020199999999999992,10
28,CA1-CA3,all,naive,250,0.009602000000000001,10
28,CA1-DG,all,expert,-250,0.013655,10
28,CA1-DG,all,expert,-240,0.009093,10
28,CA1-DG,all,expert,-230,0.003732,10
28,CA1-DG,all,expert,-220,0.001155,10
28,CA1-DG,all,expert,-210,-0.000308,10
28,CA1-DG,all,expert,-200,-0.0017479999999999996,10
28,CA1-DG,all,expert,-190,0.0012959999999999996,10
28,CA1-DG,all,expert,-180,0.006351,10
28,CA1-DG,all,expert,-170,0.014803,10
28,CA1-DG,all,expert,-160,0.021618,10
28,CA1-DG,all,expert,-150,0.024917,10
28,CA1-DG,all,expert,-140,0.026813999999999998,10
28,CA1-DG,all,expert,-130,0.024243999999999998,10
28,CA1-DG,all,expert,-120,0.019262,10
28,CA1-DG,all,expert,-110,0.012775,10
28,CA1-DG,all,expert,-100,0.00607,10
28,CA1-DG,all,expert,-90,0.00035400000000000004,10
28,CA1-DG,all,expert,-80,-0.004227,10
28,CA1-DG,all,expert,-70,-0.004721,10
28,CA1-DG,all,expert,-60,-0.0009710000000000003,10
28,CA1-DG,all,expert,-50,0.004679,10
28,CA1-DG,all,expert,-40,0.014549999999999999,10
28,CA1-DG,all,expert,-30,0.025888,10
28,CA1-DG,all,expert,-20,0.035898,10
28,CA1-DG,all,expert,-10,0.051517,10
28,CA1-DG,all,expert,0,0.067313,10
28,CA1-DG,all,expert,10,0.046426,10
28,CA1-DG,all,expert,20,0.036823,10
28,CA1-DG,all,expert,30,0.022983999999999997,10
28,CA1-DG,all,expert,40,0.010708,10
28,CA1-DG,all,expert,50,0.0009390000000000009,10
28,CA1-DG,all,expert,60,-0.00879,10
28,CA1-DG,all,expert,70,-0.011252999999999999,10
28,CA1-DG,all,expert,80,-0.007192,10
28,CA1-DG,all,expert,90,-0.00337,10
28,CA1-DG,all,expert,100,0.004736,10
28,CA1-DG,all,expert,110,0.012585000000000002,10
28,CA1-DG,all,expert,120,0.023227,10
28,CA1-DG,all,expert,130,0.03192,10
28,CA1-DG,all,expert,140,0.034296,10
28,CA1-DG,all,expert,150,0.030244,10
28,CA1-DG,all,expert,160,0.026649,10
28,CA1-DG,all,expert,170,0.015390000000000001,10
28,CA1-DG,all,expert,180,0.012661999999999998,10
28,CA1-DG,all,expert,190,0.002389,10
28,CA1-DG,all,expert,200,-0.002818,10
28,CA1-DG,all,expert,210,-0.0030209999999999994,10
28,CA1-DG,all,expert,220,-0.002094,10
28,CA1-DG,all,expert,230,0.0026200000000000004,10
28,CA1-DG,all,expert,240,0.007437000000000001,10
28,CA1-DG,all,expert,250,0.011963,10
28,CA1-DG,all,intermediate,-250,0.011432999999999999,10
28,CA1-DG,all,intermediate,-240,0.006344,10
28,CA1-DG,all,intermediate,-230,0.0012150000000000004,10
28,CA1-DG,all,intermediate,-220,-0.002881,10
28,CA1-DG,all,intermediate,-210,-0.005207000000000001,10
28,CA1-DG,all,intermediate,-200,-0.005877,10
28,CA1-DG,all,intermediate,-190,0.0011989999999999998,10
28,CA1-DG,all,intermediate,-180,0.008284000000000001,10
28,CA1-DG,all,intermediate,-170,0.012617,10
28,CA1-DG,all,intermediate,-160,0.024402,10
28,CA1-DG,all,intermediate,-150,0.031867,10
28,CA1-DG,all,intermediate,-140,0.033901,10
28,CA1-DG,all,intermediate,-130,0.032494999999999996,10
28,CA1-DG,all,intermediate,-120,0.02555,10
28,CA1-DG,all,intermediate,-110,0.014835000000000001,10
28,CA1-DG,all,intermediate,-100,0.008447,10
28,CA1-DG,all,intermediate,-90,0.00035299999999999985,10
28,CA1-DG,all,intermediate,-80,-0.004269999999999999,10
28,CA1-DG,all,intermediate,-70,-0.006383999999999999,10
28,CA1-DG,all,intermediate,-60,-0.005764,10
28,CA1-DG,all,intermediate,-50,0.0034639999999999996,10
28,CA1-DG,all,intermediate,-40,0.014776999999999998,10
28,CA1-DG,all,intermediate,-30,0.027750999999999998,10
28,CA1-DG,all,intermediate,-20,0.042155,10
28,CA1-DG,all,intermediate,-10,0.053741,10
28,CA1-DG,all,intermediate,0,0.071968,10
28,CA1-DG,all,intermediate,10,0.048209999999999996,10
28,CA1-DG,all,intermediate,20,0.031108000000000004,10
28,CA1-DG,all,intermediate,30,0.016377,10
28,CA1-DG,all,intermediate,40,0.008641,10
28,CA1-DG,all,intermediate,50,-0.002877000000000001,10
28,CA1-DG,all,intermediate,60,-0.012122999999999998,10
28,CA1-DG,all,intermediate,70,-0.014049,10
28,CA1-DG,all,intermediate,80,-0.0077009999999999995,10
28,CA1-DG,all,intermediate,90,6.0999999999999945e-05,10
28,CA1-DG,all,intermediate,100,0.0035649999999999996,10
28,CA1-DG,all,intermediate,110,0.012618,10
28,CA1-DG,all,intermediate,120,0.02359,10
28,CA1-DG,all,intermediate,130,0.033396999999999996,10
28,CA1-DG,all,intermediate,140,0.032545000000000004,10
28,CA1-DG,all,intermediate,150,0.031677,10
28,CA1-DG,all,intermediate,160,0.022674,10
28,CA1-DG,all,intermediate,170,0.012048,10
28,CA1-DG,all,intermediate,180,0.0038849999999999996,10
28,CA1-DG,all,intermediate,190,-0.0027930000000000003,10
28,CA1-DG,all,intermediate,200,-0.003636999999999999,10
28,CA1-DG,all,intermediate,210,-0.002312,10
28,CA1-DG,all,intermediate,220,-0.004372,10
28,CA1-DG,all,intermediate,230,0.0005420000000000003,10
28,CA1-DG,all,intermediate,240,0.009007999999999999,10
28,CA1-DG,all,intermediate,250,0.014624999999999999,10
28,CA1-DG,all,naive,-250,0.023302,10
28,CA1-DG,all,naive,-240,0.012704000000000002,10
28,CA1-DG,all,naive,-230,-0.002258,10
28,CA1-DG,all,naive,-220,-0.01353,10
28,CA1-DG,all,naive,-210,-0.018547,10
28,CA1-DG,all,naive,-200,-0.020021000000000004,10
28,CA1-DG,all,naive,-190,-0.014332000000000001,10
28,CA1-DG,all,naive,-180,-0.0018430000000000002,10
28,CA1-DG,all,naive,-170,0.010433000000000001,10
28,CA1-DG,all,naive,-160,0.023715,10
28,CA1-DG,all,naive,-150,0.039074,10
28,CA1-DG,all,naive,-140,0.043636,10
28,CA1-DG,all,naive,-130,0.046422000000000005,10
28,CA1-DG,all,naive,-120,0.036284,10
28,CA1-DG,all,naive,-110,0.021117,10
28,CA1-DG,all,naive,-100,0.006489,10
28,CA1-DG,all,naive,-90,-0.006603,10
28,CA1-DG,all,naive,-80,-0.017972,10
28,CA1-DG,all,naive,-70,-0.020645,10
28,CA1-DG,all,naive,-60,-0.016751,10
28,CA1-DG,all,naive,-50,-0.007708000000000001,10
28,CA1-DG,all,naive,-40,0.011204,10
28,CA1-DG,all,naive,-30,0.025569,10
28,CA1-DG,all,naive,-20,0.045046,10
28,CA1-DG,all,naive,-10,0.064596,10
28,CA1-DG,all,naive,0,0.077238,10
28,CA1-DG,all,naive,10,0.046978,10
28,CA1-DG,all,naive,20,0.029425,10
28,CA1-DG,all,naive,30,0.011704,10
28,CA1-DG,all,naive,40,-0.004372999999999999,10
28,CA1-DG,all,naive,50,-0.014307,10
28,CA1-DG,all,naive,60,-0.02135,10
28,CA1-DG,all,naive,70,-0.02006,10
