animal,learner,pair,dim,ifi,peak_lag_ms,cc_max,cc_at_zero,sig,n_sig
71,0,RSC-SUB,27,0.30169491525423725,160.0,0.0173,0.0021,1,13
71,0,RSC-SUB,28,0.23059360730593603,60.0,0.023,0.0026,0,13
71,0,RSC-SUB,29,-0.10511832691249323,-240.0,0.0293,0.0035,1,13
71,0,RSC-SUB,30,0.04486251808972502,140.0,0.0217,0.003,0,13
71,0,V1-RSC,1,0.026856134235985388,0.0,0.2626,0.2626,1,14
71,0,V1-RSC,2,-0.03417848607831208,20.0,0.2309,0.2262,1,14
71,0,V1-RSC,3,0.0016754289675891874,240.0,0.0822,0.0615,0,14
71,0,V1-RSC,4,-0.03717301514456182,0.0,0.0805,0.0805,1,14
71,0,V1-RSC,5,-0.038501958536352396,-90.0,0.0606,0.0335,1,14
71,0,V1-RSC,6,0.0423022828086119,10.0,0.0425,0.0203,1,14
71,0,V1-RSC,7,0.043454116340413705,-10.0,0.0372,0.0291,0,14
71,0,V1-RSC,8,0.13481694185211782,0.0,0.0507,0.0507,1,14
71,0,V1-RSC,9,0.30187755102040814,30.0,0.051,0.0001,1,14
71,0,V1-RSC,10,-0.11691948658109678,50.0,0.0307,0.0023,1,14
71,0,V1-RSC,11,0.182990186646142,-120.0,0.0293,0.0026,0,14
71,0,V1-RSC,12,-0.15397158164453761,-140.0,0.0373,-0.0093,0,14
71,0,V1-RSC,13,0.3911179173047474,240.0,0.0439,0.0254,1,14
71,0,V1-RSC,14,0.2553710937499999,250.0,0.0362,0.0036,0,14
71,0,V1-RSC,15,0.11272287700211542,-200.0,0.0224,0.0211,0,14
71,0,V1-RSC,16,0.046815934864786246,40.0,0.0269,0.0111,0,14
71,0,V1-RSC,17,0.1807069705979518,230.0,0.0254,0.0128,0,14
71,0,V1-RSC,18,0.22021075385031078,60.0,0.032,0.0126,0,14
71,0,V1-RSC,19,-0.0037944118661607257,130.0,0.034,0.0103,1,14
