animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_x_cc1,floor_y_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-DG,naive,10,-4,-40,5960,0.1334,0.0838,1,79.68,49.54,77.9,25.37,73.58,35.01,54.62,21.96,0.3804,0.4711,88.19,70.57,70.96
28,1,CA1-DG,naive,10,5,50,5950,0.1345,0.0408,1,72.55,47.93,72.04,30.89,73.58,35.01,54.62,21.96,0.3972,0.5589,88.19,70.57,70.96
28,1,CA1-DG,naive,10,-5,-50,5950,0.0913,0.0685,1,82.14,62.28,37.79,62.44,73.58,35.01,54.62,21.96,0.4029,0.4007,88.19,70.57,70.96
28,1,CA1-DG,naive,10,7,70,5930,0.1217,0.064,1,80.67,51.47,63.64,54.42,73.58,35.01,54.62,21.96,0.4597,0.45,88.19,70.57,70.96
28,1,CA1-DG,naive,10,-7,-70,5930,0.1155,0.0526,1,87.15,58.84,60.3,50.04,73.58,35.01,54.62,21.96,0.4057,0.39,88.19,70.57,70.96
28,1,CA1-DG,naive,10,10,100,5900,0.0976,0.064,1,73.53,51.56,79.4,26.18,73.58,35.01,54.62,21.96,0.3713,0.3007,88.19,70.57,70.96
28,1,CA1-DG,naive,10,-10,-100,5900,0.0711,0.0571,1,73.65,40.66,83.59,34.75,73.58,35.01,54.62,21.96,0.3608,0.3535,88.19,70.57,70.96
28,1,CA1-DG,naive,10,15,150,5850,0.0763,0.0686,1,88.07,41.75,87.95,84.3,73.58,35.01,54.62,21.96,0.7366,0.3988,88.19,70.57,70.96
28,1,CA1-DG,naive,10,-15,-150,5850,0.1765,0.078,1,89.99,72.01,46.15,18.22,73.58,35.01,54.62,21.96,0.4066,0.4879,88.19,70.57,70.96
28,1,CA1-DG,naive,10,20,200,5800,0.0801,0.0324,1,78.9,66.95,79.22,47.93,73.58,35.01,54.62,21.96,0.7631,0.4719,88.19,70.57,70.96
28,1,CA1-DG,naive,10,-20,-200,5800,0.0776,0.0355,1,81.27,84.61,51.52,52.36,73.58,35.01,54.62,21.96,0.4215,0.3601,88.19,70.57,70.96
28,1,CA1-DG,naive,10,25,250,5750,0.1246,0.0591,1,85.47,88.07,76.65,38.18,73.58,35.01,54.62,21.96,0.8052,0.4143,88.19,70.57,70.96
28,1,CA1-DG,naive,10,-25,-250,5750,0.0515,0.0392,1,80.62,68.51,84.96,43.34,73.58,35.01,54.62,21.96,0.3689,0.2805,88.19,70.57,70.96
28,1,CA1-V1,naive,10,0,0,6000,0.0961,0.0499,0,0.0,0.0,0.0,0.0,87.71,86.89,83.45,73.17,0.302,0.4447,73.56,71.43,28.67
28,1,CA1-V1,naive,10,1,10,5990,0.0992,0.0631,0,48.39,47.16,23.69,29.5,87.71,86.89,83.45,73.17,0.3343,0.4575,73.56,71.43,28.67
