metric,stat,pair,n,mean,sem,t,p,w_stat,w_p,bh_pass
ifi_cc1,z,CA1-RSC,12,0.29200876260983977,0.5966139694721452,0.4894433881060392,0.6341416728656177,38.0,0.9697265625,False
ifi_cc1,z,CA1-CA3,7,-0.9542496180133774,0.5304238184291284,-1.7990323678137718,0.1221159523382777,5.0,0.15625,False
ifi_cc1,z,CA1-DG,10,0.47686839637094,0.40619366081466446,1.1739927093262112,0.2705271136513041,17.0,0.322265625,False
ifi_cc1,z,CA1-V1,11,-0.050819495566902066,0.42283270832345904,-0.12018818451486989,0.9067145443345912,33.0,1.0,False
ifi_cc1,z,CA3-DG,5,0.12278212843449617,0.1618340495005625,0.7586915659183909,0.49028480316237816,6.0,0.8125,False
ifi_cc1,z,CA1-SUB,6,0.43447597376729147,0.3044852725041502,1.42691950318014,0.21294870195102636,6.0,0.4375,False
ifi_cc1,z,RSC-SUB,7,-0.41925443952207697,0.6040536906283708,-0.6940681698111054,0.5136008462566337,10.0,0.578125,False
ifi_cc1,z,V1-RSC,8,-0.36770874231702133,0.5309540220042809,-0.6925434728396438,0.5109098318317578,18.0,1.0,False
ifi_cc1,abs_excess,CA1-RSC,12,0.02135168227297936,0.13360794557973582,0.1598084768112605,0.8759286409709443,34.0,0.7333984375,False
ifi_cc1,abs_excess,CA1-CA3,7,0.17009760655397851,0.10330170688460912,1.646609835246791,0.15073788965401225,7.0,0.296875,False
ifi_cc1,abs_excess,CA1-DG,10,0.08940944000189162,0.0552620227903044,1.6179183368144516,0.14013421012022845,13.0,0.16015625,False
ifi_cc1,abs_excess,CA1-V1,11,0.03731927166407955,0.08174001496227476,0.45656061699160944,0.657742868237889,26.0,0.5771484375,False
ifi_cc1,abs_excess,CA3-DG,5,-0.1886744891238689,0.07268563036792752,-2.595760512343597,0.06031673237489014,0.0,0.0625,False
ifi_cc1,abs_excess,CA1-SUB,6,-0.06212097659289717,0.129003229601598,-0.4815459022595483,0.6504650735817488,8.0,0.6875,False
ifi_cc1,abs_excess,RSC-SUB,7,0.08397453757926647,0.062324658089006515,1.3473726154958048,0.2265126054098171,8.0,0.375,False
ifi_cc1,abs_excess,V1-RSC,8,0.00031988249911010184,0.014568137534922697,0.021957679788736237,0.9830945145190494,16.0,0.84375,False
r0_cc1,z,CA1-RSC,12,0.12186538815427773,0.2605989787931914,0.46763570877608407,0.6491729428231312,37.0,0.90966796875,False
r0_cc1,z,CA1-CA3,7,-0.1308499537156024,0.380446015730902,-0.3439382942786698,0.742625646248256,13.0,0.9375,False
r0_cc1,z,CA1-DG,10,-0.018976254004637847,0.3641031965233546,-0.05211779019199206,0.9595732903602876,25.0,0.845703125,False
r0_cc1,z,CA1-V1,12,-0.06421383196522537,0.3454533136488008,-0.18588280797476228,0.8559200771103219,34.0,0.7333984375,False
r0_cc1,z,CA3-DG,5,0.771637349899158,0.3625290778833312,2.1284840223147166,0.1003789377381122,2.0,0.1875,False
r0_cc1,z,CA1-SUB,6,-0.16941767875600808,0.2866619695685257,-0.5910015863318393,0.580222566655173,8.0,0.6875,False
r0_cc1,z,RSC-SUB,7,0.5408285131058997,0.8142735375400544,0.6641852991314926,0.5312519491371928,10.0,0.578125,False
r0_cc1,z,V1-RSC,9,-0.5902945372327189,0.4268166429892773,-1.3830166815860283,0.2040318888794315,8.0,0.09765625,False
r0_cc1,abs_excess,CA1-RSC,12,-0.00373166666666667,0.004399844461724009,-0.8481360418828251,0.41443683213114835,30.0,0.5185546875,False
r0_cc1,abs_excess,CA1-CA3,7,-0.0002928571428571577,0.005305059771922785,-0.055203363477093016,0.9577687492016647,14.0,1.0,False
r0_cc1,abs_excess,CA1-DG,10,0.00967857142857143,0.007512568326287811,1.2883172582543294,0.22976872558831882,15.0,0.232421875,False
r0_cc1,abs_excess,CA1-V1,12,-0.0014435714285714319,0.008637773633801367,-0.16712309094584782,0.8703058572512775,32.0,0.6220703125,False
r0_cc1,abs_excess,CA3-DG,5,0.004945714285714284,0.009487384061295855,0.521293778533802,0.6296922758757448,6.0,0.8125,False
r0_cc1,abs_excess,CA1-SUB,6,-0.008234761904761906,0.00460371222093127,-1.7887221245762674,0.13368480565043106,3.0,0.15625,False
r0_cc1,abs_excess,RSC-SUB,7,0.021868163265306124,0.021877583063295146,0.9995694315061326,0.3561098811996905,7.0,0.296875,False
r0_cc1,abs_excess,V1-RSC,9,0.01967666666666667,0.011873441566195133,1.6571999413117164,0.1360681116826243,12.0,0.25,False
