animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
28,1,CA1-DG,43.0,0.3088,0.3746,-26.0,6000,0.3132,1,0.0516,0.0237,1,0.184,0.4533,0.3691,0.2849,89.41,78.76,0.3333,0.6,88.19,76.89
28,1,CA1-DG,48.0,0.3456,0.3465,-21.0,6000,0.2854,2,0.0613,0.0127,1,0.1412,0.5429,0.3594,0.3251,41.47,85.06,0.3333,0.6,65.86,79.33
28,1,CA1-DG,53.0,0.3824,0.3593,-16.0,6000,0.2951,2,0.0556,0.0263,0,0.2056,0.2128,0.3852,0.3134,73.97,38.14,0.3333,0.3333,81.56,67.77
28,1,CA1-DG,58.0,0.4191,0.3158,-11.0,6000,0.294,2,0.0583,0.0193,1,0.1789,0.5784,0.3668,0.3028,68.05,38.84,0.3333,0.3333,60.2,66.84
28,1,CA1-DG,63.0,0.4559,0.3796,-6.0,6000,0.2786,1,0.0404,0.0065,1,0.1959,0.5022,0.3164,0.2914,42.59,57.62,0.3333,0.6,82.65,70.1
28,1,CA1-DG,68.0,0.4926,0.476,-1.0,6000,0.2673,2,0.0527,0.0247,1,0.1349,0.1175,0.3413,0.3008,55.69,59.02,0.3333,0.6,74.15,70.44
28,1,CA1-DG,73.0,0.5294,0.5182,4.0,6000,0.2559,1,0.0339,0.049,1,0.2076,0.1024,0.3493,0.3222,79.29,70.71,0.7143,0.3333,85.78,83.73
28,1,CA1-DG,78.0,0.5662,0.6613,9.0,6000,0.1302,2,0.0533,0.0648,1,0.1988,0.1871,0.3176,0.2907,87.29,61.68,0.5,0.6,84.87,56.87
28,1,CA1-DG,83.0,0.6029,0.7651,14.0,6000,0.4957,7,0.5131,0.0548,0,0.7788,0.2615,0.3708,0.2766,88.28,80.72,0.7143,1.0,43.49,26.12
28,1,CA1-DG,88.0,0.6397,0.9155,19.0,6000,0.2187,1,0.0245,0.03,1,0.1522,0.3603,0.3201,0.2528,86.75,83.23,0.5,0.3333,76.52,85.78
28,1,CA1-DG,93.0,0.6765,0.9833,24.0,6000,0.1517,3,0.0487,0.0671,1,0.2865,0.3349,0.3084,0.2678,84.73,82.86,0.7143,0.6,73.8,85.95
28,1,CA1-DG,98.0,0.7132,1.0,29.0,6000,0.1904,2,0.0503,0.0534,1,0.2477,0.1754,0.2743,0.3113,77.88,89.51,0.5,0.6,75.79,73.94
28,1,CA1-DG,103.0,0.75,0.9333,34.0,6000,0.5677,8,0.4249,0.0433,0,0.378,0.4131,0.3271,0.269,75.36,89.93,0.5,0.6,54.73,45.65
