animal,pair,group,epoch,lag_ms,r_mean,n_ccs
28,CA1-CA3,all,naive,-240,0.002076,10
28,CA1-CA3,all,naive,-230,0.0012369999999999998,10
28,CA1-CA3,all,naive,-220,-0.0025770000000000003,10
28,CA1-CA3,all,naive,-210,-0.0030859999999999998,10
28,CA1-CA3,all,naive,-200,-0.0003890000000000002,10
28,CA1-CA3,all,naive,-190,8.999999999999972e-05,10
28,CA1-CA3,all,naive,-180,0.0009529999999999999,10
28,CA1-CA3,all,naive,-170,0.0018499999999999999,10
28,CA1-CA3,all,naive,-160,0.0012640000000000001,10
28,CA1-CA3,all,naive,-150,0.005274,10
28,CA1-CA3,all,naive,-140,0.005849,10
28,CA1-CA3,all,naive,-130,0.004688,10
28,CA1-CA3,all,naive,-120,0.0007830000000000001,10
28,CA1-CA3,all,naive,-110,0.001992,10
28,CA1-CA3,all,naive,-100,0.003683,10
28,CA1-CA3,all,naive,-90,0.0006709999999999994,10
28,CA1-CA3,all,naive,-80,-0.000339,10
28,CA1-CA3,all,naive,-70,0.0007199999999999998,10
28,CA1-CA3,all,naive,-60,0.00023399999999999983,10
28,CA1-CA3,all,naive,-50,0.000767,10
28,CA1-CA3,all,naive,-40,0.002046,10
28,CA1-CA3,all,naive,-30,0.003966,10
28,CA1-CA3,all,naive,-20,0.006265,10
28,CA1-CA3,all,naive,-10,0.00932,10
28,CA1-CA3,all,naive,0,0.014155999999999998,10
28,CA1-CA3,all,naive,10,0.006991,10
28,CA1-CA3,all,naive,20,0.0049250000000000006,10
28,CA1-CA3,all,naive,30,0.0009609999999999998,10
28,CA1-CA3,all,naive,40,-0.0017029999999999997,10
28,CA1-CA3,all,naive,50,-0.0017569999999999994,10
28,CA1-CA3,all,naive,60,-0.0007570000000000003,10
28,CA1-CA3,all,naive,70,-0.0050669999999999995,10
28,CA1-CA3,all,naive,80,-0.005136,10
28,CA1-CA3,all,naive,90,-0.000585,10
28,CA1-CA3,all,naive,100,0.0027660000000000002,10
28,CA1-CA3,all,naive,110,0.0037819999999999998,10
28,CA1-CA3,all,naive,120,0.0028710000000000003,10
28,CA1-CA3,all,naive,130,0.008641,10
28,CA1-CA3,all,naive,140,0.009214,10
28,CA1-CA3,all,naive,150,0.004405,10
28,CA1-CA3,all,naive,160,0.001624,10
28,CA1-CA3,all,naive,170,-0.003188,10
28,CA1-CA3,all,naive,180,-0.0004889999999999997,10
28,CA1-CA3,all,naive,190,-0.0004110000000000002,10
28,CA1-CA3,all,naive,200,-0.002041,10
28,CA1-CA3,all,naive,210,-0.002862,10
28,CA1-CA3,all,naive,220,-0.003359,10
28,CA1-CA3,all,naive,230,0.0006949999999999999,10
28,CA1-CA3,all,naive,240,0.001474,10
28,CA1-CA3,all,naive,250,0.0011449999999999998,10
28,CA1-DG,all,expert,-250,0.013817000000000001,10
28,CA1-DG,all,expert,-240,0.0040939999999999995,10
28,CA1-DG,all,expert,-230,-0.00396,10
28,CA1-DG,all,expert,-220,-0.009136,10
28,CA1-DG,all,expert,-210,-0.009856,10
28,CA1-DG,all,expert,-200,-0.009595000000000001,10
28,CA1-DG,all,expert,-190,-0.006924,10
28,CA1-DG,all,expert,-180,0.0014690000000000003,10
28,CA1-DG,all,expert,-170,0.014304,10
28,CA1-DG,all,expert,-160,0.025481999999999998,10
28,CA1-DG,all,expert,-150,0.031577,10
28,CA1-DG,all,expert,-140,0.034332,10
28,CA1-DG,all,expert,-130,0.029319999999999995,10
28,CA1-DG,all,expert,-120,0.025957,10
28,CA1-DG,all,expert,-110,0.014885,10
28,CA1-DG,all,expert,-100,0.004377000000000001,10
28,CA1-DG,all,expert,-90,-0.0054,10
28,CA1-DG,all,expert,-80,-0.014192000000000001,10
28,CA1-DG,all,expert,-70,-0.018191,10
28,CA1-DG,all,expert,-60,-0.016856,10
28,CA1-DG,all,expert,-50,-0.010849000000000001,10
28,CA1-DG,all,expert,-40,-6.39999999999999e-05,10
28,CA1-DG,all,expert,-30,0.014922,10
28,CA1-DG,all,expert,-20,0.028832000000000003,10
28,CA1-DG,all,expert,-10,0.041864,10
28,CA1-DG,all,expert,0,0.050229,10
28,CA1-DG,all,expert,10,0.042992,10
28,CA1-DG,all,expert,20,0.033715,10
28,CA1-DG,all,expert,30,0.020974,10
28,CA1-DG,all,expert,40,0.0033979999999999995,10
28,CA1-DG,all,expert,50,-0.008754999999999999,10
28,CA1-DG,all,expert,60,-0.017241,10
28,CA1-DG,all,expert,70,-0.020950000000000003,10
28,CA1-DG,all,expert,80,-0.021617,10
28,CA1-DG,all,expert,90,-0.015043,10
28,CA1-DG,all,expert,100,-0.003381,10
28,CA1-DG,all,expert,110,0.008342,10
28,CA1-DG,all,expert,120,0.024769,10
28,CA1-DG,all,expert,130,0.033614,10
28,CA1-DG,all,expert,140,0.038729,10
28,CA1-DG,all,expert,150,0.035582,10
28,CA1-DG,all,expert,160,0.030680000000000002,10
28,CA1-DG,all,expert,170,0.018387,10
28,CA1-DG,all,expert,180,0.010248,10
28,CA1-DG,all,expert,190,-0.0038330000000000005,10
28,CA1-DG,all,expert,200,-0.012372999999999999,10
28,CA1-DG,all,expert,210,-0.016008,10
28,CA1-DG,all,expert,220,-0.012100000000000001,10
28,CA1-DG,all,expert,230,-0.006971,10
28,CA1-DG,all,expert,240,-0.000981,10
28,CA1-DG,all,expert,250,0.007596,10
28,CA1-DG,all,intermediate,-250,0.015696,10
28,CA1-DG,all,intermediate,-240,0.0067729999999999995,10
28,CA1-DG,all,intermediate,-230,-0.0006059999999999994,10
28,CA1-DG,all,intermediate,-220,-0.010872999999999999,10
28,CA1-DG,all,intermediate,-210,-0.015056,10
28,CA1-DG,all,intermediate,-200,-0.016395,10
28,CA1-DG,all,intermediate,-190,-0.010339999999999998,10
28,CA1-DG,all,intermediate,-180,-0.0012550000000000003,10
28,CA1-DG,all,intermediate,-170,0.011482000000000001,10
28,CA1-DG,all,intermediate,-160,0.023714000000000002,10
28,CA1-DG,all,intermediate,-150,0.033887,10
28,CA1-DG,all,intermediate,-140,0.039159,10
28,CA1-DG,all,intermediate,-130,0.042432,10
28,CA1-DG,all,intermediate,-120,0.033149,10
28,CA1-DG,all,intermediate,-110,0.020198,10
28,CA1-DG,all,intermediate,-100,0.008699,10
28,CA1-DG,all,intermediate,-90,-0.004001000000000001,10
28,CA1-DG,all,intermediate,-80,-0.013985000000000001,10
28,CA1-DG,all,intermediate,-70,-0.016696,10
28,CA1-DG,all,intermediate,-60,-0.018784000000000002,10
28,CA1-DG,all,intermediate,-50,-0.013486999999999999,10
28,CA1-DG,all,intermediate,-40,0.0010499999999999995,10
28,CA1-DG,all,intermediate,-30,0.017235,10
28,CA1-DG,all,intermediate,-20,0.032343,10
28,CA1-DG,all,intermediate,-10,0.046324,10
28,CA1-DG,all,intermediate,0,0.05839,10
28,CA1-DG,all,intermediate,10,0.051025,10
28,CA1-DG,all,intermediate,20,0.037237,10
