metric,stat,pair,n,mean,sem,t,p,w_stat,w_p,bh_pass
ifi_cc1,z,CA1-RSC,12,0.029744370653166596,0.22738132247678253,0.130812726081333,0.8982851659571962,36.0,0.85009765625,False
ifi_cc1,z,CA1-CA3,9,-0.14197446202379002,0.4649825331547241,-0.3053328929595462,0.7679060357002052,21.0,0.91015625,False
ifi_cc1,z,CA1-DG,10,0.701742439803865,0.26640899653832417,2.6340793626423795,0.027176284218029617,6.0,0.02734375,False
ifi_cc1,z,CA1-V1,10,0.1573787231170535,0.17774139786190865,0.885436510628349,0.3989600950105696,19.0,0.431640625,False
ifi_cc1,z,CA3-DG,5,0.6420610464523053,0.42303267050738463,1.5177575899332276,0.20368211373531683,0.0,0.0625,False
ifi_cc1,z,CA1-SUB,6,0.11707602015024436,0.2748914612914176,0.42589907885909145,0.6878926421072833,8.0,0.6875,False
ifi_cc1,z,RSC-SUB,7,-0.206969262386383,0.4363662110690339,-0.4743017610812219,0.6520534462935215,13.0,0.9375,False
ifi_cc1,z,V1-RSC,9,-1.0725583154078833,0.5917097631217191,-1.81264258637431,0.10745532058681855,8.0,0.09765625,False
ifi_cc1,abs_excess,CA1-RSC,12,-0.15888505177803638,0.0809921131385461,-1.9617348606060652,0.07559044281321357,15.0,0.06396484375,False
ifi_cc1,abs_excess,CA1-CA3,9,0.0493043805766927,0.02965337441691804,1.6626903867157605,0.13494714267475802,12.0,0.25,False
ifi_cc1,abs_excess,CA1-DG,10,0.0014529469912257093,0.057126421166684656,0.025433887885016816,0.9802638914912122,26.0,0.921875,False
ifi_cc1,abs_excess,CA1-V1,10,-0.26603117124333564,0.10721310316957021,-2.4813307644176277,0.03491512365785661,8.0,0.048828125,False
ifi_cc1,abs_excess,CA3-DG,5,-0.06307607299089332,0.05003351398357122,-1.2606764540184945,0.27594938405381186,4.0,0.4375,False
ifi_cc1,abs_excess,CA1-SUB,6,-0.21946611873676103,0.11242436580039085,-1.9521223639937852,0.10837526406785034,3.0,0.15625,False
ifi_cc1,abs_excess,RSC-SUB,7,0.021923761410838245,0.07748477435087822,0.28294283095617945,0.7867287803959643,10.0,0.578125,False
ifi_cc1,abs_excess,V1-RSC,9,0.03223278897214077,0.015006468350172318,2.147926362152401,0.06398162187466828,9.0,0.12890625,False
r0_cc1,z,CA1-RSC,12,0.25919413412444425,0.27026689976399876,0.9590302562051682,0.3581488301958963,28.0,0.423828125,False
r0_cc1,z,CA1-CA3,9,0.2474269436568161,0.19976769596417274,1.2385733462190545,0.2506121922546473,13.0,0.30078125,False
r0_cc1,z,CA1-DG,10,-0.2493222468930952,0.2774530651022872,-0.8986105336453172,0.3922665995198824,18.0,0.375,False
r0_cc1,z,CA1-V1,12,-0.3803813986618778,0.6936679026565984,-0.5483624039761666,0.5943971000557704,37.0,0.90966796875,False
r0_cc1,z,CA3-DG,5,0.8868266612585846,0.2100059861182408,4.222863727128567,0.01344668861016279,0.0,0.0625,False
r0_cc1,z,CA1-SUB,6,0.02588306978865501,0.35556433240790414,0.07279433685986787,0.9447920626366937,7.0,0.5625,False
r0_cc1,z,RSC-SUB,7,0.25962419314765456,0.6438238146824246,0.40325347902161396,0.7007386351397761,11.0,0.6875,False
r0_cc1,z,V1-RSC,9,-1.0283249273456316,0.5667825489195796,-1.8143200232714647,0.10717986340644264,7.0,0.07421875,False
r0_cc1,abs_excess,CA1-RSC,12,-0.0008110714285714287,0.004930326364653513,-0.1645066408556968,0.8723162944733143,33.0,0.67724609375,False
r0_cc1,abs_excess,CA1-CA3,9,-0.009612857142857149,0.003815081139937704,-2.5196992646437173,0.035825554115182595,6.0,0.0546875,False
r0_cc1,abs_excess,CA1-DG,10,0.004063714285714283,0.0051539354586585704,0.788468213913559,0.45069116419311617,21.0,0.556640625,False
r0_cc1,abs_excess,CA1-V1,12,0.024355476190476195,0.014240432601620742,1.7103045161496175,0.11522868003127174,21.0,0.17626953125,False
r0_cc1,abs_excess,CA3-DG,5,0.006360857142857121,0.008706951182702196,0.7305493058803431,0.5055420352824461,6.0,0.8125,False
r0_cc1,abs_excess,CA1-SUB,6,-0.0075095238095238106,0.008139408464915013,-0.9226129689760227,0.3985439055614561,6.0,0.4375,False
r0_cc1,abs_excess,RSC-SUB,7,0.010329795918367345,0.017566692322334824,0.5880330644394408,0.5779559916533483,8.0,0.375,False
r0_cc1,abs_excess,V1-RSC,9,0.026568888888888878,0.01307588520994596,2.031899826459143,0.07663103454851496,6.0,0.0546875,False
