animal,learner,pair,bin,trial_lo,trial_hi,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
52,1,CA1-RSC,2,6,10,8000,0.4251,2,0.152,0.0118,0,0.3983,0.0929
52,1,CA1-RSC,3,11,15,8000,0.2189,2,0.0494,0.0032,4,0.4143,0.1899
52,1,CA1-RSC,4,16,20,8000,-0.0465,2,0.0142,0.0087,0,0.4032,0.0834
52,1,CA1-RSC,5,21,25,8000,0.1191,3,0.0251,-0.0203,-4,0.394,0.0786
52,1,CA1-RSC,6,26,30,8000,-0.0903,2,0.0228,0.0073,0,0.3333,0.0615
52,1,CA1-CA3,1,1,5,8000,0.1529,0,0.0,-0.1331,-5,0.3382,0.3288
52,1,CA1-CA3,2,6,10,8000,0.142,2,0.038,-0.0253,0,0.3578,0.348
52,1,CA1-CA3,3,11,15,8000,0.1392,0,0.0,-0.0221,0,0.3367,0.3161
52,1,CA1-CA3,4,16,20,8000,0.2997,8,0.177,0.0284,0,0.3447,0.3435
52,1,CA1-CA3,5,21,25,8000,0.0896,0,0.0,0.0105,0,0.323,0.3007
52,1,CA1-CA3,6,26,30,8000,-0.0954,13,0.2385,0.0215,0,0.2878,0.3462
52,1,CA1-DG,1,1,5,8000,0.2421,1,0.0302,-0.0216,0,0.3355,0.1835
52,1,CA1-DG,2,6,10,8000,-0.0164,6,0.3052,0.0085,0,0.3594,0.1504
52,1,CA1-DG,3,11,15,8000,-0.0271,15,0.3046,-0.0101,0,0.3377,0.1691
52,1,CA1-DG,4,16,20,8000,0.1742,1,0.0154,-0.009,0,0.3463,0.1507
52,1,CA1-DG,5,21,25,8000,0.0032,9,0.1531,0.0209,0,0.3221,0.1049
52,1,CA1-DG,6,26,30,8000,-0.0143,7,0.1323,-0.0156,0,0.2863,0.1213
52,1,CA1-V1,1,1,5,8000,0.0728,0,0.0,-0.0076,-4,0.3373,0.3221
52,1,CA1-V1,2,6,10,8000,-0.2627,6,0.5078,-0.0104,0,0.3569,0.2763
52,1,CA1-V1,3,11,15,8000,-0.0833,11,0.2387,-0.0119,0,0.336,0.2983
52,1,CA1-V1,4,16,20,8000,0.029,0,0.0,-0.0244,-3,0.3452,0.3372
52,1,CA1-V1,5,21,25,8000,-0.0256,1,0.0431,-0.0076,-1,0.3237,0.3033
52,1,CA1-V1,6,26,30,8000,-0.2513,6,0.322,-0.011,0,0.284,0.2822
52,1,CA3-DG,1,1,5,8000,0.5369,8,0.5112,0.0145,0,0.3318,0.1825
52,1,CA3-DG,2,6,10,8000,0.5205,4,0.283,0.0291,0,0.3485,0.1491
52,1,CA3-DG,3,11,15,8000,0.5673,19,0.5911,0.0056,0,0.3072,0.1655
52,1,CA3-DG,4,16,20,8000,0.5509,5,0.3969,0.0463,0,0.35,0.1524
52,1,CA3-DG,5,21,25,8000,0.4882,5,0.3097,0.0026,0,0.3069,0.1044
52,1,CA3-DG,6,26,30,8000,0.4939,7,0.4947,-0.0146,0,0.3459,0.1199
