animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
52,1,CA3-DG,naive,900,0.5421,0.769,3,0.2871,0.3056,0,0.4959,0.4451
52,1,CA3-DG,intermediate,900,0.5,0.5999,3,0.283,-0.3471,0,0.4437,0.3965
52,1,CA3-DG,expert,900,0.4951,0.5154,3,0.2768,-1.0,0,0.4805,0.3393
52,1,V1-RSC,session,900,0.1278,0.0085,1,0.0082,0.7258,3,0.2766,0.2428
52,1,V1-RSC,naive,900,0.1569,0.0669,3,0.0326,-0.4269,-3,0.3163,0.2588
52,1,V1-RSC,intermediate,900,0.1639,-0.0004,1,0.0136,0.337,4,0.2987,0.258
52,1,V1-RSC,expert,900,0.2107,0.2388,2,0.0251,-0.0631,0,0.3058,0.28
61,1,CA1-RSC,session,900,0.043,0.0916,0,0.0,-0.4602,-1,0.3139,0.2617
61,1,CA1-RSC,naive,900,0.0177,-0.0598,0,0.0,1.0,2,0.4799,0.3139
61,1,CA1-RSC,intermediate,900,0.118,-0.0052,2,0.013,0.3765,3,0.3762,0.274
61,1,CA1-RSC,expert,900,0.0462,0.1019,3,0.0144,-0.6595,-3,0.396,0.2857
61,1,CA1-CA3,session,900,0.052,-0.026,0,0.0,-0.32,0,0.3254,0.4789
61,1,CA1-CA3,naive,900,-0.0378,0.2716,0,0.0,-0.2115,-2,0.434,0.4474
61,1,CA1-CA3,intermediate,900,0.0843,0.1403,0,0.0,-0.2571,-4,0.3643,0.4779
61,1,CA1-CA3,expert,900,0.1905,0.1936,3,0.0263,0.3912,0,0.435,0.5254
61,1,CA1-DG,session,900,0.1467,0.1155,1,0.0109,0.1502,0,0.3519,0.5563
61,1,CA1-DG,naive,900,0.1246,0.1002,1,0.0078,-0.5316,0,0.395,0.5725
61,1,CA1-DG,intermediate,900,0.2465,0.3148,3,0.0374,0.6437,0,0.3752,0.5655
61,1,CA1-DG,expert,900,0.0972,0.1542,1,0.0047,-0.1661,1,0.4264,0.5127
61,1,CA1-V1,session,900,0.0094,-0.0504,1,0.0021,0.2447,3,0.3576,0.3386
61,1,CA1-V1,naive,900,0.0251,0.1536,0,0.0,0.1002,2,0.422,0.3775
61,1,CA1-V1,intermediate,900,0.1015,-0.0626,2,0.0057,-0.9101,0,0.4226,0.3212
61,1,CA1-V1,expert,900,0.0665,0.3713,3,0.0067,0.1851,4,0.4086,0.3796
61,1,CA3-DG,session,900,0.3632,0.284,3,0.1258,-1.0,0,0.4584,0.5873
61,1,CA3-DG,naive,900,0.3937,0.5029,3,0.168,-0.2974,0,0.5081,0.5359
61,1,CA3-DG,intermediate,900,0.3548,0.2049,3,0.1483,1.0,0,0.4925,0.6398
61,1,CA3-DG,expert,900,0.4152,0.4421,3,0.1723,0.0875,0,0.4831,0.6409
61,1,V1-RSC,session,900,0.2382,0.1514,3,0.0723,-0.1784,0,0.37,0.2932
61,1,V1-RSC,naive,900,0.2512,0.2017,1,0.0326,0.2107,0,0.366,0.3074
61,1,V1-RSC,intermediate,900,0.3426,0.2833,3,0.0918,0.0459,0,0.3261,0.3087
61,1,V1-RSC,expert,900,0.2135,0.3228,3,0.0715,-0.0497,1,0.3776,0.2981
63,1,CA1-RSC,session,900,0.0979,0.0871,1,0.0048,-0.4924,0,0.2154,0.2379
63,1,CA1-RSC,naive,900,0.1708,0.1436,2,0.0181,0.6958,0,0.3192,0.3123
63,1,CA1-RSC,intermediate,900,0.0296,-0.0012,0,0.0,0.1402,3,0.4244,0.3107
63,1,CA1-RSC,expert,900,0.1018,0.0591,0,0.0,0.3529,2,0.3668,0.2929
66,1,CA1-RSC,session,900,0.048,0.022,0,0.0,-0.0259,-1,0.3517,0.2954
66,1,CA1-RSC,naive,900,-0.0123,0.1138,0,0.0,-0.4705,-4,0.4249,0.3043
66,1,CA1-RSC,intermediate,900,0.2737,0.087,3,0.0446,0.4422,4,0.3538,0.3172
66,1,CA1-RSC,expert,900,0.0404,0.1076,0,0.0,-0.2469,-1,0.4033,0.3844
66,1,CA1-DG,session,900,0.1949,0.0894,2,0.0428,-0.5517,0,0.3794,0.3843
66,1,CA1-DG,naive,900,0.338,0.2453,2,0.0728,-0.011,0,0.3473,0.3522
66,1,CA1-DG,intermediate,900,0.3028,0.2739,2,0.0623,0.2568,0,0.3706,0.3726
66,1,CA1-DG,expert,900,0.2969,0.2963,3,0.0696,0.2284,0,0.3921,0.3887
66,1,CA1-V1,session,900,0.0979,-0.0368,1,0.0048,-0.718,0,0.3073,0.1804
66,1,CA1-V1,naive,900,0.0102,0.1148,0,0.0,-0.102,3,0.4282,0.2119
66,1,CA1-V1,intermediate,900,0.0093,0.0256,1,0.0046,-0.0221,-2,0.3135,0.1813
66,1,CA1-V1,expert,900,0.0677,0.0943,0,0.0,-0.1911,-3,0.3854,0.2998
66,1,CA1-SUB,session,900,0.0412,0.0586,0,0.0,0.3929,1,0.3321,0.2458
66,1,CA1-SUB,naive,900,0.0981,0.0348,2,0.0128,-0.4135,0,0.4422,0.2623
66,1,CA1-SUB,intermediate,900,0.086,-0.0714,1,0.0103,0.2421,-4,0.3557,0.2795
66,1,CA1-SUB,expert,900,0.0352,-0.0059,0,0.0,0.1855,0,0.3004,0.3405
66,1,RSC-SUB,session,900,-0.0428,-0.1103,0,0.0,-0.018,-3,0.2543,0.2368
66,1,RSC-SUB,naive,900,0.0918,0.0779,0,0.0,-0.3196,-1,0.2091,0.2093
66,1,RSC-SUB,intermediate,900,0.1388,0.1317,1,0.0097,0.0539,0,0.2754,0.1746
66,1,RSC-SUB,expert,900,0.0619,0.2484,2,0.0042,-0.4482,-3,0.3574,0.2383
66,1,V1-RSC,session,900,0.0817,0.0432,2,0.0057,-0.0072,0,0.2012,0.2298
66,1,V1-RSC,naive,900,0.2047,0.0699,1,0.0214,0.1332,0,0.2996,0.3228
66,1,V1-RSC,intermediate,900,0.0405,0.1341,0,0.0,-0.3362,0,0.1519,0.2229
66,1,V1-RSC,expert,900,0.1008,-0.0538,0,0.0,0.2253,3,0.2454,0.2756
68,1,CA1-RSC,session,900,-0.0345,-0.0565,0,0.0,0.1575,2,0.2384,0.298
68,1,CA1-RSC,naive,900,0.0244,-0.0151,0,0.0,0.0385,-3,0.239,0.2824
68,1,CA1-RSC,intermediate,900,0.0283,0.0194,0,0.0,-0.4796,0,0.3057,0.278
68,1,CA1-RSC,expert,900,0.0224,0.173,0,0.0,0.5478,0,0.3309,0.1907
68,1,CA1-CA3,session,900,0.4055,0.4303,2,0.1116,0.8846,0,0.4319,0.4787
68,1,CA1-CA3,naive,900,0.4238,0.4741,2,0.1046,-0.4058,0,0.3577,0.4697
68,1,CA1-CA3,intermediate,900,0.4631,0.4101,3,0.1461,-0.5735,0,0.4035,0.394
68,1,CA1-CA3,expert,900,0.4114,0.4457,2,0.095,-0.3088,0,0.3276,0.4033
68,1,CA1-DG,session,900,0.3595,0.3883,2,0.0791,0.0796,0,0.3272,0.4533
68,1,CA1-DG,naive,900,0.2463,0.2319,2,0.047,0.2001,0,0.3334,0.2376
68,1,CA1-DG,intermediate,900,0.1855,0.1532,2,0.028,-0.0258,0,0.2943,0.3157
68,1,CA1-DG,expert,900,0.3197,0.3143,2,0.0571,-0.2008,0,0.3813,0.4429
68,1,CA3-DG,session,900,0.3192,0.3157,3,0.0836,0.3072,0,0.3369,0.2918
68,1,CA3-DG,naive,900,0.283,0.2923,3,0.0477,0.309,0,0.53,0.2627
68,1,CA3-DG,intermediate,900,0.3886,0.3604,3,0.1217,-0.4254,0,0.3468,0.3783
68,1,CA3-DG,expert,900,0.4285,0.4003,2,0.119,-0.2024,0,0.4591,0.3771
70,0,CA1-RSC,session,900,0.1495,0.015,1,0.0113,0.2983,4,0.3136,0.2998
70,0,CA1-DG,session,900,0.0934,0.0778,2,0.0051,-0.9641,-1,0.3206,0.5412
70,0,CA1-V1,session,900,0.059,-0.0021,3,0.0051,0.2494,0,0.3716,0.311
70,0,CA1-SUB,session,900,-0.0075,-0.0039,1,0.0026,0.3303,3,0.3126,0.5617
70,0,RSC-SUB,session,900,0.1322,0.1311,3,0.0163,0.6975,4,0.2732,0.5527
70,0,V1-RSC,session,900,0.1806,0.0406,1,0.0166,-0.1731,0,0.3144,0.2838
71,0,CA1-RSC,session,900,-0.0225,0.0078,0,0.0,-0.3176,-1,0.2297,0.2692
71,0,CA1-CA3,session,900,0.1997,0.201,1,0.0203,-1.0,0,0.28,0.3246
71,0,CA1-DG,session,900,0.0365,0.0315,0,0.0,0.5272,4,0.2975,0.313
71,0,CA1-V1,session,900,-0.0261,-0.0373,0,0.0,0.1648,1,0.2576,0.3123
71,0,CA3-DG,session,900,0.4096,0.4074,3,0.1537,-0.108,0,0.3849,0.4085
71,0,CA1-SUB,session,900,-0.0109,-0.0183,0,0.0,0.7345,0,0.2443,0.2189
71,0,RSC-SUB,session,900,-0.0087,-0.0072,0,0.0,0.0999,1,0.283,0.231
71,0,V1-RSC,session,900,0.1032,0.0411,3,0.0172,-0.1323,0,0.3106,0.2848
73,1,CA1-RSC,session,900,-0.0262,-0.1185,1,0.0052,1.0,3,0.3087,0.3131
73,1,CA1-RSC,naive,900,-0.0088,-0.032,0,0.0,0.166,-4,0.5188,0.4252
73,1,CA1-RSC,intermediate,900,-0.0282,0.1699,0,0.0,0.206,-3,0.3687,0.3319
73,1,CA1-RSC,expert,900,0.0846,-0.1329,1,0.0036,-0.1201,-4,0.3695,0.418
73,1,CA1-DG,session,900,0.0094,0.0697,0,0.0,-0.7112,-2,0.2445,0.2447
