animal,area,epoch,n_units,n_partners,rho_pooled,rho_pooled_ratepart,rho_pooled_tune,rho_pooled_tune_ratepart,rho_pooled_tomrel,rho_pooled_tomrel_ratepart
28,CA1,expert,30,3,0.3659621802002225,-0.043788127447370886,0.5279199110122358,-0.09555432366965787,0.4767519466073415,0.1364841741867852
28,CA1,intermediate,30,3,0.3446051167964405,0.24361866360472553,0.29113300492610833,-0.06454902853574312,0.2943270300333704,0.21633775147753093
28,CA1,naive,30,3,-0.05418719211822659,0.03312941326305899,0.30837438423645314,-0.084054871949152,0.05566502463054186,0.06731663126492224
28,CA3,expert,15,2,0.1357142857142857,-0.2717701235358647,0.6263736263736264,0.40919820582165267,0.36785714285714277,0.016436389063232713
28,CA3,intermediate,15,2,-0.4685314685314686,-0.4893140947653354,-0.13636363636363638,-0.06389508702531567,-0.5454545454545455,-0.6056378788732988
28,CA3,naive,15,2,0.07878787878787878,-0.22548719635784856,0.6428571428571429,0.5162273961242818,-0.3272727272727273,-0.557325133877293
28,DG,expert,13,2,0.19230769230769232,0.14828448271446515,0.3021978021978022,0.07507871542191888,0.2912087912087912,0.07491682997119811
28,DG,intermediate,13,2,0.32967032967032966,0.19135349909568306,0.576923076923077,0.26659036467061453,0.47802197802197804,0.23874557834641266
28,DG,naive,13,2,0.5874125874125874,0.5464907761027887,0.8601398601398602,0.8353020554382491,0.8041958041958043,0.685642470565759
28,V1,expert,69,1,0.25458531238582394,0.09450444469767404,0.15097148528457455,-0.09541127355900862,0.174241870661308,0.022482075288115053
28,V1,intermediate,69,1,0.3250059861122197,0.21170289877872822,0.16860452979855967,-0.025815101162588172,0.3268176835951772,0.19812951623640218
28,V1,naive,69,1,0.6723202170963366,0.468405695277341,0.5888529381066695,0.2765083281963855,0.6217505821277245,0.397289869015214
34,CA1,expert,27,2,0.5846153846153846,0.28118314636934666,0.6138461538461538,0.022920556488106973,0.4553846153846154,0.07463733688221806
34,CA1,intermediate,27,2,0.5676923076923077,0.29643013640750265,0.7146153846153845,0.11697725013705744,0.5692307692307692,0.15997118082386313
