animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig
52,1,V1-RSC,intermediate,31824,0.0981,1,0.0048,0.0054,0,0.287,0.0474,0.285,0.148,0.4692,0.2544
52,1,V1-RSC,expert,24140,-0.2854,4,0.2002,0.0498,0,0.3487,0.0496,0.3653,0.291,0.3562,0.183
61,1,CA1-RSC,naive,28149,0.0632,1,0.0052,0.0639,6,0.5702,0.4305,0.6068,0.4741,0.6509,0.5731
61,1,CA1-RSC,intermediate,31984,0.0921,1,0.0111,0.0564,5,0.5148,0.2925,0.528,0.3072,0.6342,0.506
61,1,CA1-RSC,expert,34516,0.0325,1,0.0047,0.0266,0,0.5324,0.3133,0.5522,0.3052,0.662,0.4879
61,1,CA1-CA3,naive,28149,-0.0583,5,0.3143,-0.1389,-2,0.5695,0.3324,0.6355,0.4396,0.6354,0.4382
61,1,CA1-CA3,intermediate,31984,0.3142,13,0.2861,-0.0065,0,0.516,0.3491,0.5387,0.3897,0.5365,0.3795
61,1,CA1-CA3,expert,34516,0.4897,11,0.6219,-0.0249,-2,0.5335,0.3626,0.5529,0.4591,0.547,0.42
61,1,CA1-DG,naive,28149,-0.0273,0,0.0,-0.0355,0,0.5678,0.2539,0.6157,0.3054,nan,nan
61,1,CA1-DG,intermediate,31984,0.1551,1,0.0122,-0.0311,0,0.517,0.2285,0.583,0.5182,0.6115,0.6983
61,1,CA1-DG,expert,34516,0.163,1,0.0135,-0.021,0,0.5351,0.2551,0.5803,0.449,0.6358,0.6942
61,1,CA1-V1,naive,28149,0.1089,3,0.02,0.0042,0,0.5736,0.5197,0.5985,0.4736,0.654,0.4911
61,1,CA1-V1,intermediate,31984,0.1389,2,0.0441,-0.0143,0,0.5161,0.4229,0.5741,0.4282,0.5768,0.4609
61,1,CA1-V1,expert,34516,0.2131,2,0.0602,-0.0242,0,0.5339,0.4337,0.5651,0.4294,0.5783,0.4496
61,1,CA3-DG,naive,28149,0.3898,4,0.2103,-0.0663,0,0.3359,0.2513,0.5326,0.621,0.5276,0.6252
61,1,CA3-DG,intermediate,31984,0.3886,5,0.145,-0.0149,0,0.3338,0.2309,0.5719,0.6178,0.5362,0.5921
61,1,CA3-DG,expert,34516,0.3956,6,0.208,-0.0504,0,0.3576,0.2532,0.5699,0.6161,0.541,0.565
61,1,V1-RSC,naive,28149,0.0295,1,0.0404,0.0302,8,0.5137,0.4273,0.4743,0.4451,0.5593,0.5515
61,1,V1-RSC,intermediate,31984,0.2547,3,0.0874,0.0065,0,0.4184,0.2842,0.3443,0.3145,0.3898,0.3488
61,1,V1-RSC,expert,34516,0.2697,3,0.1251,-0.0023,0,0.4315,0.3121,0.3955,0.3169,0.4333,0.3488
63,1,CA1-RSC,naive,30004,0.0788,1,0.0031,0.0381,0,0.1082,0.4502,0.2715,0.4847,0.6198,0.5822
63,1,CA1-RSC,intermediate,20470,0.0603,0,0.0,0.0327,3,0.1311,0.3662,0.3433,0.4402,nan,nan
63,1,CA1-RSC,expert,18357,0.0578,0,0.0,0.0134,-7,0.0994,0.3757,0.2442,0.4437,nan,nan
66,1,CA1-RSC,naive,27751,0.1184,1,0.0071,0.0134,0,0.3255,0.2459,0.4697,0.3496,0.5811,0.5031
66,1,CA1-RSC,intermediate,21262,0.0435,0,0.0,0.0294,2,0.3007,0.1173,0.3075,0.204,nan,nan
66,1,CA1-RSC,expert,21455,0.0836,0,0.0,0.0029,0,0.3031,0.1077,0.3765,0.2888,nan,nan
66,1,CA1-DG,naive,27751,0.272,2,0.0512,-0.0299,0,0.3176,0.2914,0.5185,0.3184,0.5869,0.3817
66,1,CA1-DG,intermediate,21262,0.2898,2,0.0604,-0.0354,0,0.2934,0.2516,0.4854,0.276,0.5636,0.3693
66,1,CA1-DG,expert,21455,0.2622,2,0.0472,-0.0036,0,0.2936,0.2936,0.4864,0.352,0.5742,0.4115
66,1,CA1-V1,naive,27751,0.0785,0,0.0,-0.0001,8,0.3194,0.0762,0.4284,0.1776,nan,nan
