animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig
52,1,CA1-V1,intermediate,31824,0.1839,2,0.0302,-0.0155,0,0.4094,0.3007,0.4405,0.301,0.4782,0.3749
52,1,CA1-V1,expert,24140,0.0113,3,0.0935,-0.0071,0,0.4134,0.3597,0.4447,0.3701,0.4677,0.3796
52,1,CA3-DG,naive,36887,0.5857,15,0.7645,0.0231,0,0.4284,0.2634,0.3722,0.2568,0.4279,0.2592
52,1,CA3-DG,intermediate,31824,0.5018,7,0.3483,-0.0254,0,0.4017,0.2247,0.4194,0.379,0.4134,0.3522
52,1,CA3-DG,expert,24140,0.6966,8,0.8917,-0.0054,0,0.433,0.235,0.3886,0.3011,0.4059,0.2648
52,1,V1-RSC,naive,36887,-0.0678,4,0.0958,-0.0067,0,0.3116,0.0784,0.3359,0.218,0.3324,0.219
52,1,V1-RSC,intermediate,31824,0.1969,2,0.0228,-0.0055,0,0.2811,0.0396,0.295,0.2368,0.3768,0.2236
52,1,V1-RSC,expert,24140,0.4808,5,0.4788,0.0389,0,0.3349,0.0398,0.3385,0.1906,0.3393,0.1343
61,1,CA1-RSC,naive,28149,0.1863,1,0.0177,0.097,0,0.5631,0.4282,0.5607,0.4974,0.5799,0.5369
61,1,CA1-RSC,intermediate,31984,0.1911,5,0.0512,0.0694,0,0.5079,0.2768,0.5028,0.2726,0.5152,0.2879
61,1,CA1-RSC,expert,34516,0.2472,2,0.0468,0.0597,0,0.526,0.3101,0.4997,0.2939,0.5286,0.3482
61,1,CA1-CA3,naive,28149,-0.1577,4,0.1901,-0.0763,-2,0.5637,0.3629,0.6476,0.5095,0.6347,0.5022
61,1,CA1-CA3,intermediate,31984,0.408,13,0.3483,0.0672,0,0.5108,0.339,0.5013,0.3777,0.5233,0.3652
61,1,CA1-CA3,expert,34516,0.5417,10,0.6171,0.0784,0,0.5289,0.3618,0.5385,0.4287,0.533,0.4037
61,1,CA1-DG,naive,28149,0.1404,4,0.0222,-0.0318,0,0.5666,0.2544,0.5091,0.3433,0.5375,0.3836
61,1,CA1-DG,intermediate,31984,0.2144,1,0.0235,-0.0302,0,0.5126,0.2282,0.5889,0.5352,0.6592,0.736
61,1,CA1-DG,expert,34516,0.2384,1,0.0293,-0.0013,0,0.5321,0.255,0.6086,0.5033,0.6854,0.7059
61,1,CA1-V1,naive,28149,0.1022,3,0.036,0.0524,0,0.5693,0.5156,0.6072,0.5253,0.6366,0.528
61,1,CA1-V1,intermediate,31984,0.0899,1,0.0243,-0.0053,0,0.5103,0.4304,0.5396,0.4406,0.595,0.532
61,1,CA1-V1,expert,34516,0.1611,3,0.0333,-0.0304,0,0.5297,0.4438,0.557,0.4105,0.5741,0.4296
61,1,CA3-DG,naive,28149,0.3696,4,0.2124,-0.0646,0,0.3602,0.2516,0.5476,0.6111,0.5375,0.6211
61,1,CA3-DG,intermediate,31984,0.3598,5,0.1367,-0.0189,0,0.3357,0.2309,0.5365,0.6008,0.5189,0.5884
61,1,CA3-DG,expert,34516,0.321,6,0.1952,-0.061,0,0.3561,0.2532,0.5402,0.6135,0.5349,0.5843
61,1,V1-RSC,naive,28149,0.3052,2,0.0723,0.0097,0,0.5066,0.4301,0.4463,0.4103,0.4827,0.4669
61,1,V1-RSC,intermediate,31984,0.3061,3,0.1316,0.0036,0,0.4246,0.2721,0.3415,0.2738,0.3973,0.3441
61,1,V1-RSC,expert,34516,0.2524,3,0.135,0.0036,0,0.4418,0.3075,0.3911,0.2894,0.4327,0.3454
63,1,CA1-RSC,naive,30004,0.1244,1,0.0078,0.0692,1,0.0936,0.4571,0.2912,0.4825,0.515,0.5748
63,1,CA1-RSC,intermediate,20470,0.1067,1,0.0057,-0.0318,5,0.1085,0.3639,0.3299,0.4201,0.5821,0.554
63,1,CA1-RSC,expert,18357,0.1056,1,0.0056,-0.0111,5,0.0861,0.3824,0.3405,0.466,0.5325,0.5578
66,1,CA1-RSC,naive,27751,0.1141,2,0.0108,0.0203,0,0.3336,0.2272,0.4182,0.3388,0.4771,0.4048
66,1,CA1-RSC,intermediate,21262,0.0941,0,0.0,0.1219,3,0.2927,0.1088,0.3082,0.2553,nan,nan
66,1,CA1-RSC,expert,21455,0.092,0,0.0,0.0821,0,0.293,0.0999,0.3488,0.2775,nan,nan
66,1,CA1-DG,naive,27751,0.304,2,0.0609,-0.0334,0,0.334,0.2916,0.5168,0.3405,0.5678,0.3962
66,1,CA1-DG,intermediate,21262,0.3131,2,0.0673,-0.0437,0,0.2901,0.252,0.4799,0.2838,0.5581,0.3688
66,1,CA1-DG,expert,21455,0.2826,2,0.0524,-0.0045,0,0.2924,0.2937,0.4853,0.3718,0.5613,0.4187
66,1,CA1-V1,naive,27751,0.1203,0,0.0,0.019,0,0.3348,0.1218,0.434,0.327,nan,nan
66,1,CA1-V1,intermediate,21262,0.1175,0,0.0,-0.01,0,0.2894,0.1135,0.3904,0.3024,nan,nan
66,1,CA1-V1,expert,21455,0.0873,0,0.0,-0.0118,0,0.2938,0.0856,0.377,0.3159,nan,nan
66,1,CA1-SUB,naive,27751,0.1259,2,0.0103,-0.0338,0,0.3534,0.0669,0.4491,0.246,0.5114,0.3831
66,1,CA1-SUB,intermediate,21262,0.1705,1,0.0148,-0.0444,0,0.2905,0.0328,0.4011,0.3523,0.5547,0.6909
66,1,CA1-SUB,expert,21455,0.1404,2,0.0139,-0.0097,0,0.313,0.0481,0.383,0.3038,0.4369,0.367
66,1,RSC-SUB,naive,27751,0.0635,1,0.002,0.0076,2,0.243,0.0674,0.2786,0.2709,0.4258,0.5345
66,1,RSC-SUB,intermediate,21262,0.0575,0,0.0,0.0543,3,0.1146,0.0328,0.2067,0.1665,nan,nan
66,1,RSC-SUB,expert,21455,0.0546,0,0.0,0.0628,3,0.155,0.0484,0.2218,0.2028,nan,nan
