scope,pair,landmark,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_landmark,CA1-V1,1,mi_sig,expert-naive,10,0.041122685152243786,16.0,0.44126813332892967,False
per_landmark,CA1-V1,2,mi_sig,expert-naive,10,0.0755319720972963,2.0,0.04252247799805163,False
per_landmark,CA1-V1,3,mi_sig,expert-naive,10,-0.003060697636272716,22.0,0.9527650219907529,False
per_landmark,CA1-V1,4,mi_sig,expert-naive,10,0.0029874853864725118,22.0,0.9527650219907529,False
per_landmark,CA1-V1,5,mi_sig,expert-naive,10,0.022533411521530336,7.0,0.23672357063785732,False
per_landmark,CA1-V1,6,mi_sig,expert-naive,10,0.04020263084690792,7.0,0.0663160312989308,False
per_landmark,CA1-DG,1,mi_sig,expert-naive,8,0.0,5.0,0.5001842570707944,False
per_landmark,CA1-DG,2,mi_sig,expert-naive,8,0.06717281633872633,0.0,0.017960477526078766,False
per_landmark,CA1-DG,3,mi_sig,expert-naive,8,0.10053224767119397,5.0,0.12819017434510785,False
per_landmark,CA1-DG,4,mi_sig,expert-naive,8,0.03813006391596015,13.0,0.8657723749926214,False
per_landmark,CA1-DG,5,mi_sig,expert-naive,8,-0.09357976660244097,3.0,0.06297905121445523,False
per_landmark,CA1-DG,6,mi_sig,expert-naive,8,0.0057844297070124215,6.0,0.3454475304692257,False
per_landmark,CA1-CA3,1,mi_sig,expert-naive,6,0.012211606952640536,7.0,0.892738400944348,False
per_landmark,CA1-CA3,2,mi_sig,expert-naive,6,-0.019443237666565,6.0,0.6858304344516057,False
per_landmark,CA1-CA3,3,mi_sig,expert-naive,6,-0.07776327536875413,7.0,0.5625,False
per_landmark,CA1-CA3,4,mi_sig,expert-naive,6,-0.026391571660523958,9.0,0.84375,False
per_landmark,CA1-CA3,5,mi_sig,expert-naive,6,0.04022424621475886,7.0,0.5625,False
per_landmark,CA1-CA3,6,mi_sig,expert-naive,6,0.0704990187627983,0.0,0.043114446783075355,False
per_landmark,CA1-RSC,1,mi_sig,expert-naive,8,-0.03846129569176368,8.0,0.6001794871405538,False
per_landmark,CA1-RSC,2,mi_sig,expert-naive,8,-0.01799159034581052,18.0,1.0,False
per_landmark,CA1-RSC,3,mi_sig,expert-naive,8,-0.04332674213546011,2.0,0.07473549830588248,False
per_landmark,CA1-RSC,4,mi_sig,expert-naive,8,0.0,5.0,1.0,False
per_landmark,CA1-RSC,5,mi_sig,expert-naive,8,0.0,6.0,0.6858304344516057,False
per_landmark,CA1-RSC,6,mi_sig,expert-naive,8,-0.03682790945588542,5.0,0.24886387493792206,False
per_landmark,CA1-SUB,1,mi_sig,expert-naive,4,0.05265494956967455,3.0,1.0,False
per_landmark,CA1-SUB,2,mi_sig,expert-naive,4,0.0,1.0,0.6547208460185769,False
per_landmark,CA1-SUB,3,mi_sig,expert-naive,4,-0.03051018703615299,3.0,0.625,False
per_landmark,CA1-SUB,4,mi_sig,expert-naive,4,-0.07790284862106349,4.0,0.875,False
per_landmark,CA1-SUB,5,mi_sig,expert-naive,4,-0.033620022502269906,1.0,0.28504940740261275,False
per_landmark,CA1-SUB,6,mi_sig,expert-naive,4,0.14354338221575497,0.0,0.125,False
per_landmark,V1-RSC,1,mi_sig,expert-naive,6,-0.1869802103133977,3.0,0.22491588401596185,False
per_landmark,V1-RSC,2,mi_sig,expert-naive,6,0.026387734800411657,6.0,0.6858304344516057,False
per_landmark,V1-RSC,3,mi_sig,expert-naive,6,0.08082819364647163,1.0,0.07961580146011343,False
per_landmark,V1-RSC,4,mi_sig,expert-naive,6,0.004158641677434453,9.0,0.84375,False
per_landmark,V1-RSC,5,mi_sig,expert-naive,6,-0.01214844160790425,6.0,0.6858304344516057,False
per_landmark,V1-RSC,6,mi_sig,expert-naive,6,0.12290603426628363,0.0,0.043114446783075355,False
per_landmark,RSC-SUB,1,mi_sig,expert-naive,4,-0.04069604188753466,3.0,0.625,False
per_landmark,RSC-SUB,2,mi_sig,expert-naive,4,0.04435754446891168,0.0,0.17971249487899976,False
