animal,learner,pair,center_trial,trial_frac,performance,lp_rel,dim,cc,ifi,lag,sig
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,0,0.2841,-0.0905,-9,1
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,1,0.1877,-0.0124,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,2,0.0623,-0.021,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,3,-0.0267,-0.0278,-9,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,4,0.0433,-0.0135,-3,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,5,0.0039,-0.0113,-9,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,6,0.0188,-0.0329,-9,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,7,0.0375,-0.0189,-9,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,8,0.0034,0.0002,-1,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,9,0.0366,0.0014,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,10,0.0209,-0.0034,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,11,0.0336,-0.0122,0,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,0,0.2725,0.0597,8,1
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,1,0.2606,-0.0375,0,1
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,2,0.136,-0.016,0,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,3,0.0771,-0.0265,0,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,4,0.0102,-0.0195,0,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,5,-0.0047,-0.0391,-3,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,6,0.027,-0.0382,0,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,7,0.027,-0.027,0,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,8,0.0309,-0.0258,0,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,9,-0.0158,-0.049,-1,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,10,-0.0098,-0.0163,-1,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,0,0.2531,0.0388,0,1
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,1,0.1718,0.0333,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,2,0.0592,0.0241,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,3,0.0739,0.0224,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,4,0.0428,0.0098,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,5,0.0119,0.0044,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,6,0.0321,0.0037,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,7,0.001,-0.0003,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,8,0.031,0.0151,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,9,0.0571,0.0169,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,10,-0.0173,0.01,-1,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,11,0.0157,-0.0116,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,12,-0.0248,0.0915,4,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,0,0.3584,0.0087,0,1
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,1,0.2079,0.0254,0,1
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,2,0.0892,0.0175,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,3,0.0675,0.0202,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,4,0.1988,0.0251,0,1
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,5,0.0833,0.013,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,6,0.0679,0.0027,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,7,-0.0686,0.0079,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,8,0.0238,-0.0058,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,9,0.1057,-0.0013,1,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,10,-0.1668,-0.0094,1,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,11,-0.1473,0.0097,1,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,12,0.1181,0.0157,1,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,0,0.3958,-0.0139,0,1
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,1,0.0136,-0.0007,0,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,2,0.2689,0.0172,0,1
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,3,0.139,0.0098,0,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,4,-0.02,0.0054,0,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,5,0.0694,-0.0055,0,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,6,-0.1738,-0.0079,0,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,7,-0.1715,-0.0265,0,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,8,-0.1611,-0.0216,0,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,9,-0.1854,-0.0204,0,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,10,-0.0379,-0.0396,0,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,11,0.1761,-0.0528,-3,1
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,12,0.039,-0.0398,-3,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,0,0.2374,0.0306,0,1
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,1,0.2376,0.0125,0,1
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,2,0.1938,0.0031,0,1
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,3,0.0526,0.0083,0,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,4,0.0348,-0.0003,0,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,5,0.0563,-0.0025,0,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,6,0.0042,0.0016,0,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,7,-0.0007,-0.0062,0,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,8,0.0234,-0.0182,0,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,9,0.0318,-0.0174,0,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,10,0.0042,-0.0127,-9,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,11,0.041,-0.0113,4,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,12,-0.0071,-0.036,-2,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,13,0.0426,0.0006,-9,0
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,0,0.3571,0.049,0,1
