animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
28,1,CA1-DG,38.0,0.2721,0.3182,-31.0,6000,0.2819,2,0.0597,0.0219,0,0.2094,0.3787,0.3443,0.2756,65.13,59.71,0.6,0.6,82.01,54.98
28,1,CA1-DG,43.0,0.3088,0.3746,-26.0,6000,0.3002,2,0.069,0.0184,0,0.2077,0.4538,0.3345,0.2782,45.42,82.02,0.4545,0.6,76.75,41.55
28,1,CA1-DG,48.0,0.3456,0.3465,-21.0,6000,0.2619,4,0.0884,0.0111,0,0.1708,0.541,0.3386,0.3093,59.25,78.58,0.6,0.3333,80.41,67.34
28,1,CA1-DG,53.0,0.3824,0.3593,-16.0,6000,0.2196,3,0.0686,0.0523,0,0.2044,0.2214,0.3399,0.2926,82.81,46.13,0.6,0.3333,87.37,85.38
28,1,CA1-DG,58.0,0.4191,0.3158,-11.0,6000,0.2242,2,0.05,0.0349,0,0.169,0.577,0.3298,0.2701,77.07,51.95,0.4545,0.3333,71.65,75.22
28,1,CA1-DG,63.0,0.4559,0.3796,-6.0,6000,0.2737,2,0.0565,0.0446,0,0.208,0.5018,0.3342,0.2504,33.04,51.09,0.4545,0.6,81.39,66.67
28,1,CA1-DG,68.0,0.4926,0.476,-1.0,6000,0.2566,3,0.0682,0.0325,0,0.1659,0.1242,0.3397,0.2715,75.28,75.08,0.3333,0.3333,47.11,47.64
28,1,CA1-DG,73.0,0.5294,0.5182,4.0,6000,0.2813,2,0.0607,0.0504,0,0.1729,0.1042,0.3114,0.2557,45.45,21.78,0.2308,0.3333,68.5,41.39
28,1,CA1-DG,78.0,0.5662,0.6613,9.0,6000,0.2107,4,0.1149,0.0675,0,0.1951,0.1878,0.3057,0.2663,46.99,30.45,0.4545,0.6,70.09,39.47
28,1,CA1-DG,83.0,0.6029,0.7651,14.0,6000,0.3213,6,0.3771,0.057,0,0.7546,0.2607,0.3426,0.2578,80.27,74.54,0.6,0.6,43.86,33.94
28,1,CA1-DG,88.0,0.6397,0.9155,19.0,6000,0.2571,3,0.0708,0.0484,0,0.1803,0.3598,0.3326,0.2628,89.16,82.31,0.6,0.6,87.6,81.24
28,1,CA1-DG,93.0,0.6765,0.9833,24.0,6000,0.2886,4,0.1677,0.0335,0,0.2954,0.3331,0.3033,0.2467,86.54,83.44,0.4545,0.6,58.3,61.26
28,1,CA1-DG,98.0,0.7132,1.0,29.0,6000,0.2749,3,0.0664,0.0323,0,0.2226,0.1802,0.3154,0.3101,72.73,89.13,0.3333,0.6,60.05,33.44
28,1,CA1-DG,103.0,0.75,0.9333,34.0,6000,0.3536,7,0.2818,0.0343,0,0.3676,0.4093,0.3667,0.3072,73.95,89.8,0.4545,0.3333,52.68,51.74
28,1,CA1-DG,108.0,0.7868,0.8565,39.0,6000,0.4459,4,0.1788,-0.0022,0,0.3674,0.3646,0.3289,0.2576,65.67,26.25,0.6,0.6,74.68,62.84
28,1,CA1-DG,113.0,0.8235,0.7989,44.0,8000,0.2693,3,0.1097,0.0554,0,0.3049,0.3583,0.3359,0.2645,51.94,39.67,0.4545,0.6,56.99,41.62
28,1,CA1-DG,118.0,0.8603,0.7434,49.0,8000,0.2325,3,0.1087,0.0405,0,0.2904,0.3456,0.3358,0.2516,31.06,19.31,0.4545,0.6,53.54,24.2
28,1,CA1-DG,123.0,0.8971,0.7314,54.0,6000,-0.0926,3,0.2367,0.0407,0,0.3282,0.4386,0.3777,0.3563,79.44,81.95,0.6,0.6,77.09,66.67
28,1,CA1-DG,128.0,0.9338,0.6867,59.0,6000,0.092,5,0.1443,0.0161,0,0.3352,0.3727,0.3359,0.2711,88.32,76.18,0.6,0.6,61.83,30.37
28,1,CA1-V1,8.0,0.0515,0.0162,-61.0,6000,0.1735,0,0.0,-0.0283,-6,0.3631,0.3996,0.2057,0.2269,nan,nan,,,89.56,76.45
28,1,CA1-V1,13.0,0.0882,0.0162,-56.0,6000,0.2881,1,0.0433,-0.0114,-2,0.2974,0.4205,0.2083,0.254,74.41,87.64,0.3333,0.3846,82.16,79.05
28,1,CA1-V1,18.0,0.125,0.0833,-51.0,6000,0.2696,1,0.0377,-0.0245,-2,0.3109,0.3746,0.1893,0.2079,86.42,73.22,0.7778,0.3333,86.75,86.41
28,1,CA1-V1,23.0,0.1618,0.1389,-46.0,6000,0.1973,0,0.0,-0.0027,0,0.3087,0.3619,0.2102,0.2077,86.34,86.03,0.7778,0.3333,85.47,88.86
28,1,CA1-V1,28.0,0.1985,0.2667,-41.0,6000,0.2664,1,0.0368,-0.0071,-4,0.2632,0.3495,0.2045,0.2024,79.52,61.74,0.6,0.5652,72.64,84.55
28,1,CA1-V1,33.0,0.2353,0.27,-36.0,6000,0.2893,1,0.0437,-0.0231,-6,0.246,0.362,0.1775,0.1992,63.99,85.25,0.4545,0.5,85.89,84.79
28,1,CA1-V1,38.0,0.2721,0.3182,-31.0,6000,0.2766,1,0.0398,-0.0098,-2,0.2365,0.3244,0.1849,0.1977,52.64,73.2,0.6,0.5,86.09,87.96
28,1,CA1-V1,43.0,0.3088,0.3746,-26.0,6000,0.2327,0,0.0,-0.0093,-5,0.2202,0.3357,0.1744,0.1932,49.3,50.87,0.4545,0.5652,86.21,72.83
28,1,CA1-V1,48.0,0.3456,0.3465,-21.0,6000,0.2549,0,0.0,-0.0095,5,0.1722,0.3038,0.1678,0.1872,44.59,55.52,0.4545,0.44,85.07,73.15
28,1,CA1-V1,53.0,0.3824,0.3593,-16.0,6000,0.2301,1,0.0272,-0.0191,-1,0.2176,0.3168,0.153,0.1831,66.92,73.01,0.4545,0.5652,80.8,79.53
28,1,CA1-V1,58.0,0.4191,0.3158,-11.0,6000,0.1728,0,0.0,-0.0151,-5,0.1795,0.3169,0.1311,0.1694,60.22,61.66,0.4545,0.44,76.06,67.62
28,1,CA1-V1,63.0,0.4559,0.3796,-6.0,6000,0.2022,0,0.0,-0.0199,-6,0.2004,0.3113,0.1524,0.1651,79.68,85.09,0.4545,0.3846,88.46,85.76
28,1,CA1-V1,68.0,0.4926,0.476,-1.0,6000,0.1418,0,0.0,-0.0031,1,0.1501,0.2805,0.1199,0.1512,73.61,74.2,0.4545,0.2857,68.41,77.79
28,1,CA1-V1,73.0,0.5294,0.5182,4.0,6000,0.2526,1,0.033,0.0125,0,0.1908,0.2898,0.1172,0.1407,58.76,66.51,0.4545,0.44,88.34,77.5
28,1,CA1-V1,78.0,0.5662,0.6613,9.0,6000,0.2258,1,0.0332,-0.0277,-8,0.192,0.262,0.1614,0.1653,83.01,86.48,0.7778,0.5,83.81,77.35
28,1,CA1-V1,83.0,0.6029,0.7651,14.0,6000,0.3437,1,0.0628,0.0228,0,0.6566,0.2949,0.1581,0.1576,86.68,75.09,0.7778,0.3333,66.8,79.79
28,1,CA1-V1,88.0,0.6397,0.9155,19.0,6000,0.342,2,0.0968,0.0315,8,0.1546,0.2568,0.1631,0.2042,88.27,59.68,0.3333,0.5,78.09,73.77
28,1,CA1-V1,93.0,0.6765,0.9833,24.0,6000,0.2422,1,0.0302,0.0101,0,0.1894,0.2636,0.1606,0.1779,76.6,80.42,0.6,0.3333,89.43,81.15
28,1,CA1-V1,98.0,0.7132,1.0,29.0,6000,0.2646,0,0.0,0.0136,0,0.2224,0.2799,0.1505,0.1602,76.04,80.01,0.6,0.2857,61.89,80.08
28,1,CA1-V1,103.0,0.75,0.9333,34.0,6000,0.2409,0,0.0,-0.0075,-6,0.285,0.2923,0.1461,0.1541,81.96,71.12,0.7778,0.3333,89.0,81.78
28,1,CA1-V1,108.0,0.7868,0.8565,39.0,6000,0.2643,0,0.0,-0.0012,0,0.2793,0.2468,0.1655,0.1739,70.69,85.87,0.7778,0.3846,83.84,81.46
28,1,CA1-V1,113.0,0.8235,0.7989,44.0,8000,0.1319,0,0.0,0.0307,0,0.2525,0.3217,0.1469,0.1542,79.04,88.89,0.3333,0.3333,79.2,83.2
28,1,CA1-V1,118.0,0.8603,0.7434,49.0,8000,0.1632,0,0.0,0.0067,1,0.2376,0.2936,0.1343,0.1428,77.02,65.84,0.6,0.2857,77.11,78.75
28,1,CA1-V1,123.0,0.8971,0.7314,54.0,6000,0.2486,1,0.0512,0.0046,0,0.3212,0.2853,0.1843,0.1683,76.67,81.71,0.7778,0.3846,88.11,79.46
28,1,CA1-V1,128.0,0.9338,0.6867,59.0,6000,0.1835,4,0.1073,0.0021,0,0.3021,0.2851,0.1426,0.1434,73.95,68.24,0.7778,0.2857,85.61,72.17
28,1,CA3-DG,8.0,0.0515,0.0162,-61.0,6000,0.5504,2,0.1888,-0.0088,0,0.672,0.2229,0.7089,0.4857,nan,nan,,,65.77,66.4
28,1,CA3-DG,13.0,0.0882,0.0162,-56.0,6000,0.5465,2,0.2056,-0.0157,0,0.6956,0.2835,0.7621,0.5468,78.14,42.44,0.1429,0.3333,88.12,48.34
28,1,CA3-DG,18.0,0.125,0.0833,-51.0,6000,0.5942,2,0.2344,-0.0357,0,0.627,0.2395,0.6863,0.544,68.26,44.11,0.3333,0.6,86.55,76.95
28,1,CA3-DG,23.0,0.1618,0.1389,-46.0,6000,0.4299,3,0.2765,0.0273,0,0.6041,0.4601,0.6574,0.4518,85.44,89.72,0.6,0.3333,54.25,29.56
28,1,CA3-DG,28.0,0.1985,0.2667,-41.0,6000,0.5784,2,0.2253,0.0171,0,0.5527,0.5413,0.6612,0.4491,87.57,16.68,0.6,0.6,86.35,20.34
28,1,CA3-DG,33.0,0.2353,0.27,-36.0,6000,0.4984,3,0.2173,0.0162,0,0.882,0.2713,0.4634,0.3614,90.0,17.19,0.1429,0.6,12.08,29.4
28,1,CA3-DG,38.0,0.2721,0.3182,-31.0,6000,0.5907,3,0.2468,-0.0255,-1,0.5282,0.3861,0.6363,0.4249,87.75,14.82,0.3333,0.6,84.26,40.81
28,1,CA3-DG,43.0,0.3088,0.3746,-26.0,6000,0.601,2,0.2445,-0.0105,0,0.6097,0.4748,0.7276,0.4963,83.69,16.06,0.3333,0.3333,85.03,36.36
28,1,CA3-DG,48.0,0.3456,0.3465,-21.0,6000,0.6047,4,0.2871,-0.006,0,0.6123,0.5581,0.6662,0.4514,85.21,22.47,0.3333,0.6,88.88,19.88
28,1,CA3-DG,53.0,0.3824,0.3593,-16.0,6000,0.7015,5,0.4481,0.0136,0,0.6882,0.2146,0.6841,0.502,86.8,89.44,0.6,0.3333,69.91,85.59
28,1,CA3-DG,58.0,0.4191,0.3158,-11.0,6000,0.5457,4,0.3723,0.0141,0,0.9595,0.5244,0.5485,0.4158,89.87,89.94,0.3333,0.3333,62.16,14.69
28,1,CA3-DG,63.0,0.4559,0.3796,-6.0,6000,0.2405,5,0.3663,0.0038,0,0.9098,0.4593,0.4429,0.4115,87.33,13.72,0.6,0.6,25.64,21.39
28,1,CA3-DG,68.0,0.4926,0.476,-1.0,6000,0.6178,2,0.2718,0.0257,0,0.6613,0.1196,0.6464,0.4273,90.0,79.02,0.3333,0.6,64.27,75.77
28,1,CA3-DG,73.0,0.5294,0.5182,4.0,6000,0.552,3,0.2179,0.0277,0,0.9674,0.1008,0.4074,0.3738,88.7,82.11,0.6,0.3333,87.24,51.05
28,1,CA3-DG,78.0,0.5662,0.6613,9.0,6000,0.5173,5,0.2726,0.041,0,0.9389,0.1822,0.4983,0.3751,79.7,52.65,0.6,0.6,79.02,49.39
28,1,CA3-DG,83.0,0.6029,0.7651,14.0,6000,0.5166,3,0.1957,0.0264,0,0.1433,0.2731,0.4876,0.4433,85.84,84.12,0.1429,1.0,81.9,77.71
28,1,CA3-DG,88.0,0.6397,0.9155,19.0,6000,0.604,2,0.2527,0.0159,0,0.275,0.3592,0.5604,0.4613,82.2,62.28,0.3333,0.3333,53.43,74.74
28,1,CA3-DG,93.0,0.6765,0.9833,24.0,6000,0.6686,5,0.393,0.0304,0,0.2291,0.3242,0.536,0.4301,89.97,81.99,0.3333,0.3333,76.09,57.37
28,1,CA3-DG,98.0,0.7132,1.0,29.0,6000,0.601,2,0.2478,0.0404,0,0.2262,0.1752,0.5506,0.4517,57.0,82.28,0.6,0.3333,89.52,44.9
28,1,CA3-DG,103.0,0.75,0.9333,34.0,6000,0.5104,3,0.1817,0.032,0,0.2143,0.4216,0.5619,0.4301,67.83,85.76,0.3333,0.3333,54.07,49.5
28,1,CA3-DG,108.0,0.7868,0.8565,39.0,6000,0.5697,2,0.2168,0.0174,0,0.2087,0.3696,0.5439,0.4378,35.61,20.44,0.6,0.6,83.22,64.12
28,1,CA3-DG,113.0,0.8235,0.7989,44.0,8000,0.5944,2,0.2447,0.021,0,0.2056,0.3629,0.5775,0.4234,70.46,22.53,0.6,0.6,66.86,40.92
28,1,CA3-DG,118.0,0.8603,0.7434,49.0,8000,0.6136,3,0.2617,0.0385,0,0.2922,0.3465,0.527,0.4178,32.99,29.59,0.3333,0.6,72.31,26.52
28,1,CA3-DG,123.0,0.8971,0.7314,54.0,6000,0.5579,11,0.4952,0.0377,0,0.3526,0.4604,0.5217,0.414,74.31,21.6,1.0,0.6,46.77,47.74
28,1,CA3-DG,128.0,0.9338,0.6867,59.0,6000,0.4912,2,0.1516,0.0329,0,0.2333,0.3773,0.5934,0.4252,39.45,21.07,0.6,0.6,86.75,53.96
34,1,CA1-CA3,8.0,0.0933,0.1333,-40.0,6000,0.4621,2,0.1787,0.005,0,0.9617,0.3603,0.5268,0.4434,nan,nan,,,49.26,77.77
34,1,CA1-CA3,13.0,0.16,0.2667,-35.0,6000,0.5253,2,0.2234,0.018,2,0.2437,0.3562,0.4669,0.4295,89.91,34.31,0.1667,0.6,88.57,89.58
34,1,CA1-CA3,18.0,0.2267,0.3171,-30.0,6000,0.6066,2,0.2978,0.0038,0,0.2766,0.2192,0.517,0.416,58.9,49.93,0.4,1.0,58.96,60.68
34,1,CA1-CA3,23.0,0.2933,0.3068,-25.0,6000,0.5022,4,0.3401,0.0121,0,0.8939,0.9318,0.5403,0.4744,89.23,90.0,0.4,0.3333,70.59,10.47
34,1,CA1-CA3,28.0,0.36,0.2905,-20.0,8000,0.3765,3,0.1721,0.0176,0,0.9273,0.3374,0.4772,0.3736,43.35,84.43,0.4,1.0,28.44,87.95
34,1,CA1-CA3,33.0,0.4267,0.386,-15.0,8000,0.5397,2,0.2729,0.0125,0,0.9343,0.1127,0.4631,0.3923,38.12,63.06,0.5556,0.6,61.01,32.8
34,1,CA1-CA3,38.0,0.4933,0.5303,-10.0,8000,0.4799,4,0.2503,0.0243,0,0.8887,0.1051,0.4478,0.3817,43.3,22.01,0.4,0.3333,53.6,31.01
34,1,CA1-CA3,43.0,0.56,0.5344,-5.0,8000,0.4422,3,0.1784,0.0297,0,0.9263,0.0454,0.4786,0.3769,46.68,41.22,0.4,0.3333,77.43,88.46
34,1,CA1-CA3,48.0,0.6267,0.5781,0.0,8000,0.6255,7,0.4484,0.0297,0,0.8747,0.0758,0.4556,0.3855,46.8,45.55,0.5556,0.1429,50.46,65.19
34,1,CA1-CA3,53.0,0.6933,0.6539,5.0,6000,0.5894,2,0.3253,0.0175,0,0.2773,0.1291,0.5159,0.3792,89.24,79.59,0.2727,1.0,81.26,79.09
34,1,CA1-CA3,58.0,0.76,0.8361,10.0,6000,0.4921,6,0.4309,0.0102,0,0.8932,0.087,0.4637,0.3708,89.84,70.81,0.4,1.0,25.73,61.15
34,1,CA1-CA3,63.0,0.8267,0.908,15.0,6000,0.5327,6,0.4044,0.0118,0,0.8931,0.1186,0.4255,0.3479,32.57,88.41,0.75,0.1429,80.83,71.55
34,1,CA1-CA3,68.0,0.8933,0.9141,20.0,6000,0.6342,4,0.4243,0.0226,0,0.2012,0.1202,0.542,0.389,89.61,64.41,0.4,0.3333,50.55,30.49
34,1,CA1-V1,8.0,0.0933,0.1333,-40.0,6000,0.3435,1,0.0628,0.0103,0,0.8631,0.3742,0.2332,0.2132,nan,nan,,,87.21,76.4
34,1,CA1-V1,13.0,0.16,0.2667,-35.0,6000,0.2522,0,0.0,0.0269,4,0.2693,0.3778,0.181,0.182,89.32,73.23,0.5556,0.5,67.71,71.3
34,1,CA1-V1,18.0,0.2267,0.3171,-30.0,6000,0.1983,0,0.0,-0.0046,2,0.3628,0.3003,0.1906,0.1744,69.64,65.53,0.5556,0.3953,74.42,83.81
