animal,pair,n_windows,slope,r,cc1_first,cc1_last
28,CA1-CA3,8,0.03350017881539551,0.26586896063345516,0.14135736469804833,0.11331090823494527
28,CA1-DG,8,-0.13854258740384062,-0.9184752391843114,0.2713264508064507,0.19214612725025532
28,CA1-V1,8,-0.1174540116831947,-0.8186002663921413,0.27257595471984153,0.14895266346899347
28,CA3-DG,8,-0.02221854017624906,-0.20597979636240185,0.22626141449064302,0.1955230167570402
34,CA1-CA3,4,-0.1677736471408568,-0.9836146845418969,0.41189463451922953,0.3105284147480573
34,CA1-V1,4,0.29408646880016126,0.9296187782803836,0.12483849389898846,0.29429411946247064
36,CA1-V1,4,-0.036699573528482216,-0.9114049669909859,0.13253296942586817,0.10927721980974563
41,CA1-CA3,6,-0.6350819409933317,-0.6507616250899837,0.999999999999919,0.3315963293641956
41,CA1-V1,6,0.011716346857219569,0.1559868627819117,0.12600644799040167,0.10452711351972668
52,CA1-RSC,5,0.049255989907246576,0.7965925805247965,0.017168158515534188,0.05921743740978469
52,CA1-CA3,5,0.14225413635013692,0.8972036363345646,0.19063546373825851,0.26712348069430203
52,CA1-DG,5,-0.03098429453431461,-0.7866889258081803,0.2473272456531978,0.23024306301436875
52,CA1-V1,5,-0.03491464355397406,-0.24036536054549212,0.2123173987973917,0.20555835807176237
52,CA3-DG,5,0.05869609399029769,0.9100850949988003,0.5558651939722619,0.6030004453512815
52,V1-RSC,5,-0.05324871016219697,-0.9191594858707098,0.13878191355280872,0.09783193339534839
61,CA1-RSC,6,0.04368993721820038,0.30636976719118414,0.14800604293676645,0.21020311421612367
61,CA1-CA3,6,0.15808753493307362,0.8780575414175927,0.19326330311928155,0.28179031848221375
61,CA1-DG,6,-0.0188550809124655,-0.5529936883957188,0.24641221849302924,0.22735477627555634
61,CA1-V1,6,0.006061383539321498,0.07183071763956433,0.14399773826453102,0.16079285259745102
61,CA3-DG,6,0.16425793191879917,0.9428009271233473,0.38841880239324006,0.49223527467009676
61,V1-RSC,6,0.005125100029822895,0.057793670863240255,0.335211936351892,0.35119186324106927
63,CA1-RSC,20,0.01536806174270104,0.26879642449756497,0.08511023621936288,0.10059386974956078
66,CA1-RSC,11,-0.04065927868266133,-0.6788041042272225,0.09314391588319036,0.08287738787520349
66,CA1-DG,11,-0.026022764955082992,-0.3109000986166067,0.3465850589524429,0.31999586366822436
66,CA1-V1,11,-0.06045310588943551,-0.6734574383856342,0.12335109167123656,0.07389194360534121
66,CA1-SUB,11,-0.03041607392135329,-0.34850450050377174,0.16211249143159046,0.13291087981410787
66,RSC-SUB,11,-0.03619179535304569,-0.6609147295240598,0.0828323975416572,0.07504812850539239
66,V1-RSC,11,0.015102981131091608,0.312488090131055,0.1537727144171105,0.1335436999793329
68,CA1-RSC,16,-0.023033730373997356,-0.43176993252047124,0.04773201976441382,0.05636344837061329
68,CA1-CA3,16,0.058984044896262446,0.6959866030293235,0.41759963557608665,0.4327628284187063
68,CA1-DG,16,0.10287356543694617,0.8961756150368184,0.3423328308538201,0.41974447860219766
68,CA3-DG,16,0.04069540110744726,0.389374946699133,0.24842038997491409,0.3382965793827666
73,CA1-RSC,13,-0.036098023130617704,-0.6136463033248131,0.09249760923393904,0.051864871254546106
73,CA1-DG,13,-0.028391209392730727,-0.3354186310730001,0.15391426370960432,0.0641903187103728
73,CA1-V1,13,-0.12376480456895961,-0.9275285201041873,0.12640129923681478,0.05755198172215361
73,CA1-SUB,13,-0.07138929315654753,-0.870922318397938,0.11874940796435327,0.06968816065933536
73,RSC-SUB,13,-0.11358315215183902,-0.8969239490655855,0.1788044129692025,0.0868525671421993
73,V1-RSC,13,-0.05661248602605653,-0.3135601869572614,0.12429565290183267,0.15400313238475877
75,CA1-RSC,6,-0.02214700644501731,-0.18651564943933807,0.13699548395464864,0.1292500301742344
75,CA1-DG,6,-0.11885627105112208,-0.9324570640887346,0.27661112426949824,0.18381590341865053
75,CA1-V1,6,0.005438814580597325,0.06821152131747664,0.08182617870642843,0.06459487573866508
75,CA1-SUB,6,0.014769997653466167,0.3237921737591104,0.11928541436417128,0.1348150551276703
75,RSC-SUB,6,-0.020513501195283022,-0.2647814544151052,0.27778770816670084,0.2777871442255938
75,V1-RSC,6,0.00011959292362407339,0.0007685602800425449,0.4599348561435114,0.4574316902296197
77,CA1-RSC,11,-0.007924752717982125,-0.1955226773453626,0.14464777368075077,0.12022744551593914
77,CA1-DG,11,-0.006859985896429207,-0.20356658436171357,0.044100733004688086,0.04652034060405811
77,CA1-V1,11,0.010784769620357912,0.33125333649380795,0.060808173093284255,0.08336941445201547
77,CA1-SUB,11,-0.001311736063061585,-0.04519997417219984,0.01639259861568448,0.013910682112000883
77,RSC-SUB,11,-0.08121191605008887,-0.6715812513064238,0.09624932757408797,0.08091285521412964
77,V1-RSC,11,-0.13946624181999373,-0.9093832431683057,0.3614222042577765,0.25947207396365246
