pair,dv,n_animals,label_effect_circular,F_epoch,p_epoch,F_label,p_label,F_epoch:label,p_epoch:label
CA1-RSC,peak_r,7,False,12.204852447178942,0.0012816945059491984,3.113808612073209,0.12807770037424296,0.8219622530144086,0.46286210910419795
CA1-RSC,abs_ifi,7,False,1.803046443651675,0.20669137351641104,0.5304876012682721,0.4938355719964866,0.5282962921118208,0.6027099487075482
CA1-RSC,peak_lag_ms,7,False,0.6284690951290224,0.5500828280888551,0.887278688192414,0.38257797944616073,0.4536525060574443,0.6457643094174575
CA1-RSC,ifi,7,True,0.017498808097242476,0.9826784332815386,4.132597966272486,0.08831094102307788,3.520880740915362,0.0626389906717373
CA1-CA3,peak_r,6,False,9.706864343721264,0.004542025720150563,4.3577233173162715e-06,0.9984151312553419,0.12366511125955261,0.8850062579781579
CA1-CA3,abs_ifi,6,False,6.5467071206568335,0.015225069043267586,2.515226681656744,0.17360957480112746,0.03815547098393007,0.9627027136439574
CA1-CA3,peak_lag_ms,6,False,1.260465731813282,0.32495019978680667,2.813860754668242,0.1542965378772727,0.48627266910512135,0.6287284026529109
CA1-CA3,ifi,6,True,0.769045236750184,0.4890241418931358,10.276945173565842,0.023841102941676063,1.2930718232374088,0.3166187133009382
CA1-DG,peak_r,8,False,5.549709879811481,0.016797725414027055,0.7885920389381328,0.40400571851470796,0.028707869296222988,0.971757333599054
CA1-DG,abs_ifi,8,False,1.688571618798162,0.22031678374239724,1.1904072670357628,0.3113723777211053,1.3197822012920446,0.2984713012639503
CA1-DG,peak_lag_ms,8,False,0.1774980357400303,0.8392178330884645,0.28495153928487216,0.6099983161655413,0.9367810700199241,0.4151217366510518
CA1-DG,ifi,8,True,0.6135027715083377,0.5553857198653417,15.525752271583885,0.0056013822284162506,3.288126070405509,0.06750443987053734
CA1-V1,peak_r,10,False,14.358830448816246,0.0001871210888516586,0.6634423723184586,0.43636864028900274,1.7392590372374668,0.2038983556830525
CA1-V1,abs_ifi,10,False,4.272291352090306,0.030315827312788278,1.0521850522219165,0.33178302875227217,1.1702843624673676,0.3328010752231997
CA1-V1,peak_lag_ms,10,False,1.7304172070319253,0.20541545361877253,0.37888775968047567,0.5534440151333637,0.8516273532254924,0.44321127692712164
CA1-V1,ifi,10,True,0.2119007601952406,0.8110345004649131,3.9890809529096876,0.07689067906769737,1.5661965319586382,0.23600131668251012
CA3-DG,peak_r,4,False,3.817999718093878,0.08519082565070796,0.09975641961052549,0.7728202370998095,0.09750879672811784,0.908502483629196
CA3-DG,abs_ifi,4,False,1.8855179003667457,0.2315431501432431,0.346702749544723,0.5973821591960364,3.771464341191211,0.0869592883148825
CA3-DG,peak_lag_ms,4,False,0.8572042688646062,0.4704850716584679,0.8972916720420385,0.41339221323462133,0.15822915255674735,0.8571026739900899
CA3-DG,ifi,4,True,0.5994397152147204,0.5789739868971809,6.560656142532639,0.08311433115169103,1.8949511185026784,0.23020708541586907
CA1-SUB,peak_r,2,False,,,,,,
CA1-SUB,abs_ifi,2,False,,,,,,
CA1-SUB,peak_lag_ms,2,False,,,,,,
CA1-SUB,ifi,2,True,,,,,,
RSC-SUB,peak_r,4,False,6.322746295582976,0.033322084933896115,0.8685583348869914,0.4201018220018939,2.3730535627194294,0.17406051102955544
RSC-SUB,abs_ifi,4,False,0.29322889878827946,0.7559585978283783,1.5153360234216,0.3060346132000118,2.279464124945284,0.18348232507654302
RSC-SUB,peak_lag_ms,4,False,0.6305655066724096,0.5642101991934665,0.0375918383733831,0.8586506478919327,1.9571251992837515,0.22165324862248303
RSC-SUB,ifi,4,True,1.0270014882719005,0.41344561848290523,63.08254159022981,0.004162571743459594,2.5905739233592002,0.1545235157623905
V1-RSC,peak_r,6,False,7.172003195124576,0.011696063924454603,1.6153351875658384,0.2596624956334276,0.2040452630378349,0.8187375243445103
V1-RSC,abs_ifi,6,False,0.7129877238146187,0.5134918647679351,3.149309610811339,0.1361333661660954,0.08002173024990963,0.9236813429324542
V1-RSC,peak_lag_ms,6,False,3.7292537591555175,0.06165445010738308,1.2509746889049507,0.3142032707144474,4.704980835592712,0.03629749140304171
V1-RSC,ifi,6,True,1.4911152474357467,0.2711773559691951,5.731140075323886,0.06208124574282908,1.1255446656244767,0.3623484992261497
