animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
52,1,CA1-V1,4,4,4127,0.0124,0.7405,2,0.4343,0.5445
52,1,CA1-V1,7,7,3491,0.0472,0.2067,9,0.49,0.5136
52,1,CA1-V1,10,10,3416,0.0642,0.1991,10,0.4974,0.4898
52,1,CA3-DG,1,1,3813,0.5053,-0.1061,0,0.5583,0.497
52,1,CA3-DG,2,2,3705,0.4874,-0.0942,0,0.5631,0.4974
52,1,CA3-DG,4,4,4127,0.4988,0.0325,0,0.5252,0.4692
52,1,CA3-DG,7,7,3491,0.4608,-0.0398,0,0.5467,0.4976
52,1,CA3-DG,10,10,3416,0.5166,-0.1092,0,0.5533,0.512
52,1,V1-RSC,1,1,3813,0.2339,-0.0422,0,0.4612,0.5029
52,1,V1-RSC,2,2,3705,0.2644,0.0226,0,0.477,0.5319
52,1,V1-RSC,4,4,4127,0.1506,-0.0604,-3,0.4792,0.5289
52,1,V1-RSC,7,7,3491,0.1449,-0.0134,0,0.4836,0.5037
52,1,V1-RSC,10,10,3416,0.21,0.0138,0,0.4887,0.4799
61,1,CA1-RSC,1,1,3292,0.1368,-0.1248,0,0.498,0.4686
61,1,CA1-RSC,2,2,2822,0.1023,-0.144,0,0.5213,0.4824
61,1,CA1-RSC,4,4,2841,0.1106,0.5891,0,0.4856,0.4791
61,1,CA1-RSC,7,7,2832,0.1236,0.035,0,0.4895,0.5077
61,1,CA1-RSC,10,10,2675,0.1324,0.1477,0,0.5159,0.4834
61,1,CA1-CA3,1,1,3292,0.0642,0.5914,3,0.5538,0.6029
61,1,CA1-CA3,2,2,2822,0.0888,0.8247,0,0.5543,0.6507
61,1,CA1-CA3,4,4,2841,0.1304,0.6335,3,0.543,0.6144
61,1,CA1-CA3,7,7,2832,0.1308,0.5856,3,0.5358,0.6585
61,1,CA1-CA3,10,10,2675,0.181,0.5012,0,0.5586,0.665
61,1,CA1-DG,1,1,3292,0.2257,0.3806,0,0.5531,0.6341
61,1,CA1-DG,2,2,2822,0.2341,0.2927,0,0.5739,0.6567
61,1,CA1-DG,4,4,2841,0.2608,0.4451,0,0.5707,0.6279
61,1,CA1-DG,7,7,2832,0.2407,0.2885,0,0.5615,0.6526
61,1,CA1-DG,10,10,2675,0.2686,0.0978,0,0.5711,0.6252
61,1,CA1-V1,1,1,3292,0.0831,-0.0245,0,0.5407,0.4677
61,1,CA1-V1,2,2,2822,0.0014,0.0,0,0.5661,0.5054
61,1,CA1-V1,4,4,2841,0.0666,-0.181,0,0.5412,0.47
61,1,CA1-V1,7,7,2832,0.0249,0.2554,0,0.5128,0.4792
61,1,CA1-V1,10,10,2675,0.1027,0.0975,0,0.5788,0.5034
61,1,CA3-DG,1,1,3292,0.3118,-0.2303,0,0.5976,0.5842
61,1,CA3-DG,2,2,2822,0.3026,-0.2348,0,0.5748,0.6595
61,1,CA3-DG,4,4,2841,0.3208,-0.0827,0,0.5948,0.5767
61,1,CA3-DG,7,7,2832,0.2811,-0.0937,0,0.564,0.5572
61,1,CA3-DG,10,10,2675,0.3703,-0.0264,0,0.5652,0.5787
61,1,V1-RSC,1,1,3292,0.0566,-0.321,0,0.5081,0.5066
61,1,V1-RSC,2,2,2822,0.1659,-0.033,1,0.5335,0.5005
61,1,V1-RSC,4,4,2841,0.1573,0.0074,0,0.5069,0.5055
61,1,V1-RSC,7,7,2832,0.2252,0.006,0,0.5082,0.4902
61,1,V1-RSC,10,10,2675,0.3331,0.0281,0,0.5225,0.4711
63,1,CA1-RSC,1,1,3566,0.0738,-0.7505,-1,0.6009,0.5488
63,1,CA1-RSC,2,2,2965,0.0975,-0.5969,-2,0.6105,0.499
63,1,CA1-RSC,4,4,3147,0.0877,-0.8009,-2,0.5938,0.4999
63,1,CA1-RSC,7,7,3022,0.0843,-0.5673,-1,0.5915,0.4914
63,1,CA1-RSC,10,10,3051,0.0625,-0.5577,-2,0.5806,0.5492
66,1,CA1-RSC,1,1,4025,-0.0033,0.272,8,0.5607,0.4485
66,1,CA1-RSC,2,2,2880,0.0177,0.2108,-9,0.5153,0.4205
66,1,CA1-RSC,4,4,2439,0.0506,0.2434,7,0.533,0.4523
66,1,CA1-RSC,7,7,3016,0.034,0.4944,7,0.4684,0.4631
66,1,CA1-RSC,10,10,2424,0.0436,0.1223,7,0.5444,0.4599
66,1,CA1-DG,1,1,4025,0.2715,0.4568,0,0.6205,0.5032
66,1,CA1-DG,2,2,2880,0.2974,0.0086,0,0.6111,0.5099
66,1,CA1-DG,4,4,2439,0.2785,0.0911,0,0.6055,0.5105
66,1,CA1-DG,7,7,3016,0.2802,0.0963,0,0.5532,0.5063
66,1,CA1-DG,10,10,2424,0.3417,-0.2478,0,0.5793,0.5051
66,1,CA1-V1,1,1,4025,0.01,0.0954,10,0.5886,0.5774
66,1,CA1-V1,2,2,2880,0.1302,0.0329,8,0.5962,0.512
66,1,CA1-V1,4,4,2439,0.0385,0.222,1,0.6003,0.5683
66,1,CA1-V1,7,7,3016,0.0389,0.2361,1,0.5712,0.5725
66,1,CA1-V1,10,10,2424,0.0664,-0.136,3,0.6077,0.5395
66,1,CA1-SUB,1,1,4025,0.0786,0.1786,0,0.5323,0.5485
66,1,CA1-SUB,2,2,2880,0.0753,-0.0238,-4,0.5038,0.5194
66,1,CA1-SUB,4,4,2439,0.0574,-0.252,-4,0.5298,0.5504
66,1,CA1-SUB,7,7,3016,0.1147,0.1432,0,0.5237,0.4751
66,1,CA1-SUB,10,10,2424,0.1096,-0.1973,0,0.5262,0.4816
66,1,RSC-SUB,1,1,4025,0.0539,-0.2943,-2,0.4315,0.403
66,1,RSC-SUB,2,2,2880,0.0536,-0.113,-2,0.3637,0.4341
66,1,RSC-SUB,4,4,2439,0.0528,0.0519,-1,0.4145,0.383
66,1,RSC-SUB,7,7,3016,0.0556,0.0122,4,0.4153,0.3744
66,1,RSC-SUB,10,10,2424,0.0556,0.1371,3,0.4576,0.3763
66,1,V1-RSC,1,1,4025,0.1568,0.0397,4,0.391,0.498
66,1,V1-RSC,2,2,2880,0.1214,0.081,3,0.4429,0.4864
