animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,6000,0.3329,2,0.0783,-0.0039,-1,0.2989,0.5851,0.3556,0.3058,69.9,78.81,28.83,38.56,0.7143,0.6,72.97,89.06,36.21,73.93
28,1,CA1-DG,23.0,0.1618,0.1389,-46.0,6000,0.339,2,0.0902,-0.0249,-1,0.2666,0.5381,0.3685,0.3019,78.41,50.17,14.34,36.81,0.7143,0.6,80.16,82.54,56.87,64.87
28,1,CA1-DG,28.0,0.1985,0.2667,-41.0,6000,0.4039,3,0.1411,0.0023,-1,0.2616,0.3577,0.3616,0.2902,52.98,40.39,11.34,24.32,0.5,1.0,60.68,77.91,41.95,69.31
28,1,CA1-DG,33.0,0.2353,0.27,-36.0,6000,0.4355,4,0.157,0.0104,-1,0.2471,0.3393,0.3291,0.2914,21.79,26.42,16.03,19.11,0.5,1.0,61.38,79.88,30.53,34.64
28,1,CA1-DG,38.0,0.2721,0.3182,-31.0,6000,0.4038,2,0.1015,0.0035,0,0.2241,0.4735,0.3644,0.307,53.47,76.05,11.61,38.47,0.5,0.6,59.41,72.12,23.25,19.48
28,1,CA1-DG,43.0,0.3088,0.3746,-26.0,6000,0.368,3,0.1004,-0.0052,0,0.1485,0.5124,0.39,0.3085,83.01,80.59,23.04,14.33,0.7143,1.0,48.33,56.2,29.79,24.94
28,1,CA1-DG,48.0,0.3456,0.3465,-21.0,6000,0.3702,3,0.1125,0.0089,0,0.1935,0.6601,0.398,0.3289,28.01,72.76,17.25,9.88,0.7143,1.0,58.92,85.87,40.5,22.51
28,1,CA1-DG,53.0,0.3824,0.3593,-16.0,6000,0.3611,3,0.1167,0.0026,0,0.1745,0.6794,0.3934,0.3146,21.42,53.71,16.48,38.08,0.3333,1.0,59.41,65.81,26.12,61.75
28,1,CA1-DG,58.0,0.4191,0.3158,-11.0,6000,0.3571,3,0.1181,-0.0177,0,0.1803,0.5514,0.342,0.3105,22.36,65.79,13.17,9.01,0.7143,1.0,35.8,83.37,29.81,84.16
28,1,CA1-DG,63.0,0.4559,0.3796,-6.0,6000,0.3503,3,0.106,-0.0013,0,0.2208,0.1331,0.3332,0.2932,31.53,30.88,10.88,18.7,0.5,0.6,69.06,45.9,30.36,21.94
