metric,pair,matched,window_bins,mean,sem,count
ifi_cc1,CA1-CA3,0,1,-0.01841146222487898,0.05543181297430239,6
ifi_cc1,CA1-CA3,0,2,-0.08516469997021703,0.07313234005213523,6
ifi_cc1,CA1-CA3,0,3,-0.07404799683402352,0.06298059353604693,7
ifi_cc1,CA1-CA3,0,4,-0.22476525453952637,0.1382045120177989,7
ifi_cc1,CA1-CA3,0,5,-0.23918320351830982,0.1443847858932066,7
ifi_cc1,CA1-CA3,0,6,-0.24427495798649732,0.1490302695108793,7
ifi_cc1,CA1-CA3,0,7,-0.2605402084565722,0.1640474954937022,7
ifi_cc1,CA1-CA3,0,8,-0.24825717397954497,0.15268329585133394,7
ifi_cc1,CA1-CA3,0,9,-0.24766672736751824,0.16304868312930398,7
ifi_cc1,CA1-CA3,0,10,-0.1514081698603449,0.12429092110174893,7
ifi_cc1,CA1-CA3,0,11,-0.10452033971988202,0.08568122640188726,7
ifi_cc1,CA1-CA3,0,12,-0.09877434155948674,0.07466653586034441,7
ifi_cc1,CA1-CA3,0,13,-0.10765507879762344,0.07412400306082882,7
ifi_cc1,CA1-CA3,0,14,-0.10239514218410443,0.07687338648588493,7
ifi_cc1,CA1-CA3,0,15,-0.10428207207054012,0.0760250169117865,7
ifi_cc1,CA1-CA3,0,16,-0.12094279907833647,0.0763307713093791,7
ifi_cc1,CA1-CA3,0,17,-0.12372356484657687,0.07331776746786849,7
ifi_cc1,CA1-CA3,0,18,-0.11582582310533411,0.06397315471632001,7
ifi_cc1,CA1-CA3,0,19,-0.11938247357392455,0.06316371138112854,7
ifi_cc1,CA1-CA3,0,20,-0.12467395915059575,0.06559417653766249,7
ifi_cc1,CA1-CA3,0,21,-0.12738108814192833,0.0670694273624536,7
ifi_cc1,CA1-CA3,0,22,-0.1316562394445755,0.07078817047076587,7
ifi_cc1,CA1-CA3,0,23,-0.13180427987443036,0.07079179606469997,7
ifi_cc1,CA1-CA3,0,24,-0.12456698962506223,0.07286751255249237,7
ifi_cc1,CA1-CA3,0,25,-0.1068041552348827,0.0755819405956132,7
ifi_cc1,CA1-CA3,1,1,-0.033339887190878124,0.05700132373479941,6
ifi_cc1,CA1-CA3,1,2,-0.11834387241239931,0.07661511901224055,6
ifi_cc1,CA1-CA3,1,3,-0.11130720013343907,0.07112620804201573,7
ifi_cc1,CA1-CA3,1,4,-0.26713956327483,0.13759478239760903,7
ifi_cc1,CA1-CA3,1,5,-0.2832664641650225,0.14301142392208552,7
ifi_cc1,CA1-CA3,1,6,-0.28824143120876905,0.14745556149217318,7
ifi_cc1,CA1-CA3,1,7,-0.30450668167884404,0.16220059117951324,7
ifi_cc1,CA1-CA3,1,8,-0.2922236472018168,0.15103673089886643,7
ifi_cc1,CA1-CA3,1,9,-0.2916332005897901,0.16146461403514412,7
ifi_cc1,CA1-CA3,1,10,-0.20281458107133735,0.13312892909039242,7
ifi_cc1,CA1-CA3,1,11,-0.15193815969833357,0.10329995617000612,7
ifi_cc1,CA1-CA3,1,12,-0.13760076539608004,0.08757837723051934,7
ifi_cc1,CA1-CA3,1,13,-0.14114702641180635,0.08572583143519784,7
ifi_cc1,CA1-CA3,1,14,-0.13031468971846571,0.08534450593293548,7
ifi_cc1,CA1-CA3,1,15,-0.1305793916494355,0.08427564675529545,7
ifi_cc1,CA1-CA3,1,16,-0.14853484754726662,0.08437369867909901,7
ifi_cc1,CA1-CA3,1,17,-0.15609625888717663,0.08133947919083354,7
ifi_cc1,CA1-CA3,1,18,-0.14936935238474036,0.07162274603432267,7
ifi_cc1,CA1-CA3,1,19,-0.1534752763432334,0.07052449509519354,7
ifi_cc1,CA1-CA3,1,20,-0.15777882166453688,0.07205724083183224,7
ifi_cc1,CA1-CA3,1,21,-0.16069619205115745,0.0735281685351755,7
ifi_cc1,CA1-CA3,1,22,-0.1649713433538047,0.07714862691110837,7
ifi_cc1,CA1-CA3,1,23,-0.16497134335380467,0.07714862691110838,7
ifi_cc1,CA1-CA3,1,24,-0.15577346708610335,0.0794229050386841,7
ifi_cc1,CA1-CA3,1,25,-0.13729101864588708,0.08230134286783702,7
ifi_cc1,CA1-CA3,2,1,0.008937388849946113,0.05565947628501518,6
ifi_cc1,CA1-CA3,2,2,-0.11142860758899388,0.09129266889191968,6
ifi_cc1,CA1-CA3,2,3,-0.1090138295064741,0.08081960000251001,7
ifi_cc1,CA1-CA3,2,4,-0.2748005003942611,0.14867606118877663,7
ifi_cc1,CA1-CA3,2,5,-0.2879900654654808,0.1521351463097324,7
ifi_cc1,CA1-CA3,2,6,-0.28897112610159603,0.15295875101355177,7
ifi_cc1,CA1-CA3,2,7,-0.3026159126513626,0.16459268932416346,7
ifi_cc1,CA1-CA3,2,8,-0.2907651979400895,0.1544696401485933,7
ifi_cc1,CA1-CA3,2,9,-0.285767945670762,0.16153999899929994,7
ifi_cc1,CA1-CA3,2,10,-0.18182847373501027,0.13378317535842998,7
ifi_cc1,CA1-CA3,2,11,-0.1272139780817257,0.10383559004983209,7
ifi_cc1,CA1-CA3,2,12,-0.11613392895728544,0.08504506492527288,7
ifi_cc1,CA1-CA3,2,13,-0.12249674196080873,0.08293721466666619,7
ifi_cc1,CA1-CA3,2,14,-0.11249488618515202,0.08399060569043357,7
ifi_cc1,CA1-CA3,2,15,-0.11260604728607806,0.08525149607181724,7
ifi_cc1,CA1-CA3,2,16,-0.1281873770599137,0.0848379751684559,7
ifi_cc1,CA1-CA3,2,17,-0.1400769838948963,0.08127558889996775,7
ifi_cc1,CA1-CA3,2,18,-0.13811529164928252,0.07189298852090878,7
