animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
28,1,CA1-CA3,session,900,0.2517,0.1366,2,0.0422,-0.2636,0,0.3573,0.3528
28,1,CA1-CA3,naive,900,0.2283,0.2507,3,0.0768,-0.0944,0,0.409,0.7533
28,1,CA1-CA3,intermediate,900,0.1525,0.0735,3,0.0492,0.8661,8,0.3333,0.6314
28,1,CA1-CA3,expert,900,0.2586,-0.3207,3,0.0642,0.5504,0,0.3567,0.477
28,1,CA1-DG,session,900,0.252,0.2894,3,0.0755,0.3091,0,0.31,0.3674
28,1,CA1-DG,naive,900,0.416,0.4619,3,0.1605,-0.3421,0,0.4504,0.3326
28,1,CA1-DG,intermediate,900,0.2717,0.3103,3,0.0945,-0.1102,0,0.3791,0.3162
28,1,CA1-DG,expert,900,0.2825,-0.219,3,0.0727,0.1368,0,0.4493,0.4456
28,1,CA1-V1,session,900,0.2392,0.1954,1,0.0295,-0.2264,0,0.3538,0.2713
28,1,CA1-V1,naive,900,0.3582,0.315,1,0.0686,-0.0214,0,0.452,0.4079
28,1,CA1-V1,intermediate,900,0.0931,0.0693,2,0.0339,-0.2739,-3,0.2943,0.3269
28,1,CA1-V1,expert,900,0.147,0.0798,3,0.0512,0.1224,8,0.3636,0.2865
28,1,CA3-DG,session,900,0.5809,0.5561,3,0.2281,0.4022,0,0.4929,0.3412
28,1,CA3-DG,naive,900,0.5533,0.5639,3,0.2138,0.2359,0,0.6589,0.3268
28,1,CA3-DG,intermediate,900,0.6383,0.6701,3,0.3183,0.2452,0,0.5871,0.3476
28,1,CA3-DG,expert,900,0.5949,0.6549,3,0.2845,0.0008,0,0.4726,0.352
34,1,CA1-CA3,session,900,0.6167,0.6028,2,0.3856,0.0713,0,0.3936,0.385
34,1,CA1-CA3,naive,900,0.636,0.585,3,0.3577,0.1337,0,0.4887,0.3897
34,1,CA1-CA3,intermediate,900,0.6604,0.6061,2,0.4437,0.0838,0,0.4992,0.418
34,1,CA1-CA3,expert,900,0.59,0.6571,3,0.3545,0.6023,0,0.4049,0.438
34,1,CA1-V1,session,900,0.295,0.249,3,0.0778,0.0727,0,0.3261,0.3253
34,1,CA1-V1,naive,900,0.2834,0.2837,3,0.0606,0.1281,4,0.4119,0.3817
34,1,CA1-V1,intermediate,900,0.3658,0.2953,3,0.1241,-0.0587,1,0.3749,0.3738
34,1,CA1-V1,expert,900,0.5167,0.537,2,0.1826,-0.0109,2,0.3637,0.3739
36,1,CA1-CA3,session,900,0.3984,0.4143,3,0.1724,-0.1126,0,0.477,0.2738
36,1,CA1-CA3,naive,900,0.5104,0.5058,3,0.2192,-0.1211,0,0.4312,0.1644
36,1,CA1-CA3,intermediate,900,0.4829,0.4561,3,0.207,0.9058,0,0.4772,0.2364
36,1,CA1-CA3,expert,900,0.4988,0.4585,3,0.2185,-0.0575,0,0.4769,0.2467
36,1,CA1-V1,session,900,0.0982,0.0496,0,0.0,0.2141,0,0.3519,0.2909
36,1,CA1-V1,naive,900,0.1029,0.0943,3,0.025,-0.0349,-5,0.3727,0.2643
36,1,CA1-V1,intermediate,900,0.1403,0.1587,1,0.0099,0.3371,0,0.4398,0.2789
36,1,CA1-V1,expert,900,0.1092,0.1365,2,0.0136,0.1848,1,0.4214,0.2441
41,1,CA1-CA3,session,900,0.6343,0.602,3,0.3702,0.033,0,0.5069,0.3824
41,1,CA1-CA3,naive,900,0.6729,0.5399,2,0.4203,-0.026,0,0.529,0.463
41,1,CA1-CA3,intermediate,900,0.6714,0.6861,3,0.5177,-0.043,0,0.5443,0.4338
