animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-DG,naive,10,5,50,5950,0.1352,0.0714,1,86.8,75.95,71.16,68.3,72.24,49.51,51.86,0.3153,0.425,73.2,85.71,83.45
28,1,CA1-DG,naive,10,-5,-50,5950,0.2316,0.1046,1,82.95,89.6,44.73,54.03,72.24,49.51,51.86,0.4652,0.5456,73.2,85.71,83.45
28,1,CA1-DG,naive,10,7,70,5930,0.1406,0.0701,1,84.84,76.91,45.35,27.26,72.24,49.51,51.86,0.362,0.437,73.2,85.71,83.45
28,1,CA1-DG,naive,10,-7,-70,5930,0.1732,0.083,1,72.18,74.02,34.72,28.79,72.24,49.51,51.86,0.4054,0.385,73.2,85.71,83.45
28,1,CA1-DG,naive,10,10,100,5900,0.1619,0.0841,1,82.76,61.22,72.46,69.7,72.24,49.51,51.86,0.3683,0.43,73.2,85.71,83.45
28,1,CA1-DG,naive,10,-10,-100,5900,0.173,0.0861,1,80.68,86.05,77.73,63.88,72.24,49.51,51.86,0.3906,0.4451,73.2,85.71,83.45
28,1,CA1-DG,naive,10,15,150,5850,0.2016,0.0788,1,87.59,60.92,88.83,25.87,72.24,49.51,51.86,0.7752,0.4499,73.2,85.71,83.45
28,1,CA1-DG,naive,10,-15,-150,5850,0.1492,0.0902,1,74.36,53.61,42.03,21.35,72.24,49.51,51.86,0.3278,0.4181,73.2,85.71,83.45
28,1,CA1-DG,naive,10,20,200,5800,0.1031,0.0499,1,58.89,44.41,67.34,43.37,72.24,49.51,51.86,0.7138,0.34,73.2,85.71,83.45
28,1,CA1-DG,naive,10,-20,-200,5800,0.1756,0.082,1,82.55,89.24,27.3,32.61,72.24,49.51,51.86,0.3875,0.3803,73.2,85.71,83.45
28,1,CA1-DG,naive,10,25,250,5750,0.1331,0.0787,1,83.17,62.39,72.52,84.46,72.24,49.51,51.86,0.7279,0.4355,73.2,85.71,83.45
28,1,CA1-DG,naive,10,-25,-250,5750,0.1744,0.0669,1,63.93,55.64,73.57,33.56,72.24,49.51,51.86,0.4234,0.4,73.2,85.71,83.45
28,1,CA1-V1,naive,10,0,0,6000,0.08,0.0429,0,0.0,0.0,0.0,0.0,88.27,88.99,84.52,0.3613,0.4718,75.68,67.17,36.5
28,1,CA1-V1,naive,10,1,10,5990,0.078,0.0444,0,74.24,72.59,23.44,33.92,88.27,88.99,84.52,0.3324,0.4726,75.68,67.17,36.5
