animal,learner,pair,center_trial,trial_frac,performance,lp_rel,dim,cc,ifi,lag,sig
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,0,0.236,0.0417,6,1
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,1,0.078,0.0167,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,2,0.0529,0.0115,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,3,-0.0047,-0.0118,7,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,4,-0.0255,-0.0272,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,5,0.032,-0.0373,-1,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,6,0.0906,-0.0058,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,7,0.0413,-0.0256,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,8,0.053,-0.0031,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,9,0.056,-0.0275,6,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,0,0.1812,0.0045,0,1
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,1,0.2881,-0.0288,0,1
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,2,-0.0395,-0.0041,-2,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,3,0.0263,-0.0142,-2,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,4,-0.0246,-0.0108,-2,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,5,-0.0195,0.0038,-1,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,6,-0.013,-0.0009,4,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,7,-0.0445,0.0015,4,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,8,0.0137,-0.0194,3,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,0,0.2099,-0.0036,0,1
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,1,0.2164,0.0,0,1
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,2,0.0082,-0.0104,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,3,0.0607,-0.0012,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,4,0.0259,-0.0108,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,5,0.0089,-0.009,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,6,-0.0227,-0.0219,-2,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,7,0.0212,-0.0243,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,8,0.0328,-0.0389,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,9,-0.0115,-0.0317,10,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,10,0.0066,0.0071,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,0,0.2282,0.0624,0,1
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,1,0.0746,0.0007,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,2,0.0129,-0.0063,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,3,0.144,-0.0154,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,4,0.0729,-0.018,-1,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,5,0.0552,0.0012,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,6,0.0845,0.0033,0,0
