animal,pair,dim,epoch,window_bins,window_ms,ifi,degenerate,label,sig
28,CA1-CA3,1,expert,1,10,-0.1430172896994783,0,FB,1
28,CA1-CA3,1,expert,2,20,-0.17414772063462391,0,FB,1
28,CA1-CA3,1,expert,3,30,-0.20739047751975853,0,FB,1
28,CA1-CA3,1,expert,4,40,-0.24191948044138434,0,FB,1
28,CA1-CA3,1,expert,5,50,-0.2483044870055885,0,FB,1
28,CA1-CA3,1,expert,6,60,-0.25479721301767705,0,FB,1
28,CA1-CA3,1,expert,7,70,-0.24562369003430815,0,FB,1
28,CA1-CA3,1,expert,8,80,-0.22598819928130962,0,FB,1
28,CA1-CA3,1,expert,9,90,-0.2130733154370829,0,FB,1
28,CA1-CA3,1,expert,10,100,-0.1873109171060593,0,FB,1
28,CA1-CA3,1,expert,11,110,-0.1550375630338583,0,FB,1
28,CA1-CA3,1,expert,12,120,-0.12662396794560468,0,FB,1
28,CA1-CA3,1,expert,13,130,-0.11050670841994446,0,FB,1
28,CA1-CA3,1,expert,14,140,-0.09496589052163507,0,FB,1
28,CA1-CA3,1,expert,15,150,-0.09375986880377639,0,FB,1
28,CA1-CA3,1,expert,16,160,-0.09710223829236463,0,FB,1
28,CA1-CA3,1,expert,17,170,-0.09585738327040569,0,FB,1
28,CA1-CA3,1,expert,18,180,-0.09104740477090614,0,FB,1
28,CA1-CA3,1,expert,19,190,-0.08745359395267706,0,FB,1
28,CA1-CA3,1,expert,20,200,-0.08290540068469225,0,FB,1
28,CA1-CA3,1,expert,21,210,-0.07982566224604021,0,FB,1
28,CA1-CA3,1,expert,22,220,-0.0817954537978224,0,FB,1
28,CA1-CA3,1,expert,23,230,-0.08371828385674675,0,FB,1
28,CA1-CA3,1,expert,24,240,-0.07896693676358985,0,FB,1
28,CA1-CA3,1,expert,25,250,-0.06937596896376896,0,FB,1
28,CA1-CA3,1,intermediate,1,10,-0.16511821134526775,0,FB,1
28,CA1-CA3,1,intermediate,2,20,-0.15267963799072712,0,FB,1
28,CA1-CA3,1,intermediate,3,30,-0.1699397670598333,0,FB,1
28,CA1-CA3,1,intermediate,4,40,-0.17629600069835014,0,FB,1
28,CA1-CA3,1,intermediate,5,50,-0.17780220029231483,0,FB,1
28,CA1-CA3,1,intermediate,6,60,-0.1710008893460627,0,FB,1
28,CA1-CA3,1,intermediate,7,70,-0.1676152123441063,0,FB,1
28,CA1-CA3,1,intermediate,8,80,-0.1710492420489448,0,FB,1
28,CA1-CA3,1,intermediate,9,90,-0.15898202194723324,0,FB,1
28,CA1-CA3,1,intermediate,10,100,-0.1280336294632221,0,FB,1
28,CA1-CA3,1,intermediate,11,110,-0.09845583504396582,0,FB,1
28,CA1-CA3,1,intermediate,12,120,-0.0749909464233248,0,FB,1
28,CA1-CA3,1,intermediate,13,130,-0.051544403870952264,0,FB,1
28,CA1-CA3,1,intermediate,14,140,-0.04218902604992241,0,FB,1
28,CA1-CA3,1,intermediate,15,150,-0.04865833728715276,0,FB,1
28,CA1-CA3,1,intermediate,16,160,-0.060185613011392906,0,FB,1
28,CA1-CA3,1,intermediate,17,170,-0.065134352765309,0,FB,1
28,CA1-CA3,1,intermediate,18,180,-0.06492531415474591,0,FB,1
28,CA1-CA3,1,intermediate,19,190,-0.06170137041870291,0,FB,1
28,CA1-CA3,1,intermediate,20,200,-0.056611277233554885,0,FB,1
28,CA1-CA3,1,intermediate,21,210,-0.05390787912727606,0,FB,1
28,CA1-CA3,1,intermediate,22,220,-0.050314283858583206,0,FB,1
28,CA1-CA3,1,intermediate,23,230,-0.04239483791241597,0,FB,1
