animal,pair,epoch,area,n_units,rho_contrib_conn,rho_contrib_conn_ratepart,rho_contrib,rho_contrib_ratepart,rho_rate_rel,rho_contrib_conn_tune,rho_contrib_conn_tune_ratepart,rho_contrib_tune,rho_contrib_tune_ratepart,rho_rate_tune,rho_contrib_conn_tomrel,rho_contrib_conn_tomrel_ratepart,rho_rate_tomrel,rho_rel_tomrel
34,CA1-V1,intermediate,V1,100,0.537,0.305,0.219,0.0451,0.7034,0.4072,-0.0144,0.1474,-0.1293,0.8601,0.4543,0.1965,0.6571,0.942
34,CA1-V1,naive,CA1,20,0.3519,0.3409,-0.4135,-0.1453,0.6511,0.0677,-0.0731,-0.5639,-0.3384,0.7714,0.3727,0.2734,0.7299,0.8977
34,CA1-V1,naive,V1,100,0.657,0.4217,0.548,0.328,0.729,0.3027,-0.3085,0.2092,-0.3202,0.7907,0.5743,0.3238,0.6286,0.8857
36,CA1-V1,expert,CA1,31,0.598,0.3742,0.2508,-0.0045,0.7032,0.4448,0.0258,0.4302,0.2518,0.8161,0.643,0.3849,0.7749,0.8472
36,CA1-V1,expert,V1,26,0.427,0.3722,0.2267,-0.034,0.3409,0.2957,0.1714,0.4332,-0.0733,0.6465,0.306,0.2254,0.4106,0.8742
36,CA1-V1,intermediate,CA1,31,0.5069,0.0299,0.1024,-0.4812,0.6964,0.5442,-0.1147,0.3563,-0.2641,0.8061,0.3717,-0.1921,0.6441,0.8419
36,CA1-V1,intermediate,V1,26,0.3791,0.314,0.2916,0.0779,0.4147,0.3203,0.2171,0.3347,-0.0515,0.6533,0.2574,0.1682,0.4557,0.9316
36,CA1-V1,naive,CA1,29,0.4842,0.0889,0.1961,-0.1055,0.6783,0.403,-0.2627,0.1818,-0.2581,0.8153,0.3798,-0.0203,0.6128,0.7562
36,CA1-V1,naive,V1,26,0.2431,0.1976,0.3456,0.3002,0.185,0.1556,-0.0697,0.5125,0.3449,0.6458,0.0632,-0.0474,0.3313,0.8646
41,CA1-CA3,expert,CA1,13,-0.456,-0.5598,-0.2418,-0.112,0.2308,-0.0604,-0.4727,-0.5055,0.1292,0.7802,-0.2637,-0.4399,0.4176,0.8407
41,CA1-CA3,expert,CA3,13,0.4451,0.3275,-0.4121,-0.3002,0.3297,0.1399,0.1037,-0.6014,-0.6162,0.0979,0.044,-0.0068,0.0824,0.6648
41,CA1-V1,expert,CA1,13,0.1923,0.3086,-0.3242,-0.2341,0.2308,-0.1648,0.2183,-0.4945,0.1114,0.7802,0.2198,0.4459,0.4176,0.8407
41,CA1-V1,expert,V1,155,0.4907,0.3152,0.4064,0.3189,0.6449,0.3518,0.0493,0.1073,-0.1548,0.7651,0.4459,0.2961,0.5088,0.9196
41,CA1-V1,intermediate,CA1,13,-0.0989,0.0042,-0.3681,-0.2551,0.2747,-0.1978,0.3068,-0.7308,-0.1832,0.8846,-0.3626,-0.2118,0.522,0.8407
41,CA1-V1,intermediate,V1,155,0.4746,0.3789,0.3716,0.2712,0.6106,0.1482,-0.111,0.0715,-0.1823,0.7341,0.3867,0.2856,0.4778,0.9087
41,CA1-V1,naive,CA1,13,0.1648,0.3868,-0.5,-0.3403,0.4505,0.021,0.2827,-0.4755,-0.2546,0.8112,0.1593,0.442,0.5385,0.8242
41,CA1-V1,naive,V1,155,0.5753,0.4318,0.4855,0.3573,0.6126,0.3021,-0.0684,0.2164,-0.1122,0.7773,0.5213,0.4039,0.4491,0.8681
52,CA1-CA3,expert,CA1,53,0.3179,0.2549,0.2214,0.1811,0.4984,0.1559,0.0169,0.098,0.0064,0.7084,0.2837,0.1983,0.4759,0.8791
52,CA1-CA3,expert,CA3,51,0.0729,-0.106,-0.0493,-0.1347,0.4698,0.2667,0.0674,0.1577,0.084,0.6922,0.2587,0.0313,0.5819,0.707
52,CA1-CA3,intermediate,CA1,53,0.3927,0.2306,0.1934,0.2258,0.4543,0.4087,0.1356,-0.0263,-0.0202,0.695,0.3876,0.2298,0.4428,0.7976
52,CA1-CA3,intermediate,CA3,54,0.4231,0.1569,0.0398,-0.0738,0.4407,0.4495,-0.2036,-0.137,-0.4302,0.7612,0.4229,0.0781,0.5057,0.5979
52,CA1-CA3,naive,CA1,53,0.4394,0.0268,0.3085,0.035,0.6438,0.4336,0.0107,0.2717,-0.0032,0.6697,0.4405,0.049,0.6253,0.7605
52,CA1-CA3,naive,CA3,53,0.32,-0.0491,0.1624,0.0035,0.4431,0.451,-0.0832,0.235,0.0406,0.6376,0.425,0.0733,0.4855,0.6069
52,CA1-DG,expert,CA1,53,0.357,0.2323,0.2221,0.1783,0.4984,0.2325,-0.008,0.0985,0.0005,0.7084,0.336,0.1958,0.4759,0.8791
52,CA1-DG,expert,DG,33,0.4001,0.1954,0.0856,-0.0308,0.5414,0.3611,0.0951,0.0682,-0.0356,0.7093,0.4308,0.1849,0.6517,0.7797
52,CA1-DG,intermediate,CA1,53,0.3469,0.1564,0.2045,0.2321,0.4543,0.3825,0.0589,-0.0169,-0.0186,0.695,0.3176,0.1389,0.4428,0.7976
52,CA1-DG,intermediate,DG,32,0.4765,0.2123,-0.0521,0.0662,0.607,0.3229,-0.064,-0.0418,0.0949,0.6562,0.3844,-0.008,0.6564,0.651
52,CA1-DG,naive,CA1,53,0.307,0.0083,0.309,0.0334,0.6438,0.2927,0.0001,0.2713,-0.0065,0.6697,0.3251,0.0469,0.6253,0.7605
52,CA1-DG,naive,DG,33,0.4662,0.3695,0.2807,0.2713,0.5999,0.3937,0.2663,0.1364,0.087,0.6574,0.362,0.2252,0.6394,0.8332
52,CA1-RSC,expert,CA1,53,0.4086,0.3429,0.3573,0.2957,0.4984,0.2382,0.0985,0.2067,0.0795,0.7084,0.348,0.2534,0.4759,0.8791
52,CA1-RSC,expert,RSC,7,0.1786,-0.4415,-0.6071,-0.2513,0.9286,0.3929,0.1759,-0.7857,-0.7455,0.8929,-0.0357,-0.5475,0.7857,0.9286
52,CA1-RSC,intermediate,CA1,53,0.376,0.3737,0.3433,0.3652,0.4543,0.1234,0.0769,0.0674,0.055,0.695,0.3847,0.3706,0.4428,0.7976
52,CA1-RSC,intermediate,RSC,7,0.5357,0.5815,-0.25,-0.2338,0.1071,0.6071,0.6047,-0.2857,-0.2513,0.2143,0.5714,0.5394,0.25,0.9643
52,CA1-RSC,naive,CA1,53,0.3968,0.1415,0.3353,0.0286,0.6438,0.3347,0.0625,0.3064,-0.0038,0.6697,0.3736,0.1178,0.6253,0.7605
52,CA1-RSC,naive,RSC,7,0.0357,-0.0305,-0.1786,-0.2637,0.3571,0.1071,0.0534,-0.1429,-0.2149,0.3214,0.1786,0.1815,0.0,0.75
52,CA1-V1,expert,CA1,53,0.3167,0.2823,0.2258,0.1862,0.4984,0.1518,0.0654,0.0978,0.0062,0.7084,0.3064,0.2486,0.4759,0.8791
52,CA1-V1,expert,V1,102,0.4025,0.1783,0.3347,0.152,0.5542,0.2755,-0.1442,0.1576,-0.2086,0.7318,0.3386,0.1715,0.4105,0.9167
52,CA1-V1,intermediate,CA1,53,0.4385,0.3984,0.2026,0.2335,0.4543,0.262,0.175,-0.0152,-0.0098,0.695,0.4373,0.3899,0.4428,0.7976
52,CA1-V1,intermediate,V1,103,0.5911,0.5055,0.0538,0.0008,0.5275,0.3735,0.1729,0.0714,-0.0371,0.7251,0.5612,0.5046,0.3189,0.8942
52,CA1-V1,naive,CA1,53,0.3776,0.0955,0.3061,0.0307,0.6438,0.3144,0.0124,0.2729,-0.0023,0.6697,0.3669,0.0912,0.6253,0.7605
52,CA1-V1,naive,V1,103,0.1582,0.0425,0.1948,0.12,0.5189,0.0637,-0.2055,0.0696,-0.1312,0.7292,0.0301,-0.0219,0.2146,0.8791
52,CA3-DG,expert,CA3,51,0.2702,-0.0025,-0.0176,-0.1028,0.4698,0.3906,0.0332,0.1638,0.1028,0.6922,0.3544,-0.0184,0.5819,0.707
52,CA3-DG,expert,DG,33,0.381,0.0536,0.0943,-0.0077,0.5414,0.4457,0.0284,0.0667,-0.0143,0.7093,0.3877,-0.0501,0.6517,0.7797
52,CA3-DG,intermediate,CA3,54,0.3584,0.0031,0.0376,-0.0615,0.4407,0.5626,-0.1112,-0.1479,-0.4127,0.7612,0.4457,0.0716,0.5057,0.5979
52,CA3-DG,intermediate,DG,32,0.3402,-0.2229,-0.0704,0.0567,0.607,0.4963,0.0051,-0.0572,0.09,0.6562,0.4723,-0.0756,0.6564,0.651
52,CA3-DG,naive,CA3,53,0.2542,-0.0215,0.1822,0.0202,0.4431,0.3231,-0.0801,0.2697,0.0761,0.6376,0.2807,-0.036,0.4855,0.6069
52,CA3-DG,naive,DG,33,0.3135,0.0218,0.1671,0.1497,0.5999,0.497,0.2601,0.1531,0.1342,0.6574,0.4004,0.1236,0.6394,0.8332
