animal,pair,epoch,area,unit,contrib,contrib_conn
28,CA1-CA3,expert,CA1,16,0.576078,0.015335
28,CA1-CA3,expert,CA1,17,0.015533,0.000713
28,CA1-CA3,expert,CA1,18,0.455782,0.015281
28,CA1-CA3,expert,CA1,19,0.804202,0.035091
28,CA1-CA3,expert,CA1,20,0.780522,0.045623
28,CA1-CA3,expert,CA1,21,0.8788,0.056795
28,CA1-CA3,expert,CA1,22,0.025144,0.002262
28,CA1-CA3,expert,CA1,23,0.652971,0.030464
28,CA1-CA3,expert,CA1,24,0.019912,0.002436
28,CA1-CA3,expert,CA1,25,0.045654,0.00368
28,CA1-CA3,expert,CA1,26,0.092935,0.008167
28,CA1-CA3,expert,CA1,27,1.028774,0.105504
28,CA1-CA3,expert,CA1,28,1.009889,0.04251
28,CA1-CA3,expert,CA1,29,0.713144,0.054281
28,CA1-CA3,expert,CA3,0,0.933587,0.055549
28,CA1-CA3,expert,CA3,1,1.012427,0.088504
28,CA1-CA3,expert,CA3,2,0.920305,0.036591
28,CA1-CA3,expert,CA3,3,0.97967,0.028991
28,CA1-CA3,expert,CA3,4,0.987714,0.02403
28,CA1-CA3,expert,CA3,5,0.778034,0.013816
28,CA1-CA3,expert,CA3,6,1.346662,0.029023
28,CA1-CA3,expert,CA3,7,1.646339,0.024126
28,CA1-CA3,expert,CA3,8,0.928115,0.020957
28,CA1-CA3,expert,CA3,9,1.370351,0.025389
28,CA1-CA3,expert,CA3,10,1.141112,0.133518
28,CA1-CA3,expert,CA3,11,0.966664,0.106533
28,CA1-CA3,expert,CA3,12,1.16623,0.146725
28,CA1-CA3,expert,CA3,13,0.813732,0.01718
28,CA1-CA3,expert,CA3,14,1.434986,0.026457
28,CA1-DG,naive,CA1,0,0.995944,0.128532
28,CA1-DG,naive,CA1,1,0.569143,0.076642
28,CA1-DG,naive,CA1,2,0.859817,0.112081
28,CA1-DG,naive,CA1,3,0.495932,0.019932
28,CA1-DG,naive,CA1,4,0.809887,0.028579
28,CA1-DG,naive,CA1,5,0.432691,0.027897
28,CA1-DG,naive,CA1,6,0.596926,0.018024
28,CA1-DG,naive,CA1,7,0.399779,0.025266
28,CA1-DG,naive,CA1,8,0.61992,0.030756
28,CA1-DG,naive,CA1,9,0.347045,0.061057
28,CA1-DG,naive,CA1,10,0.072278,0.003775
28,CA1-DG,naive,CA1,11,0.719885,0.023661
28,CA1-DG,naive,CA1,12,0.25203,0.007111
28,CA1-DG,naive,CA1,13,0.01986,0.000832
