pair,n_animals,peak_r_naive,peak_r_expert,d_peak_r,t_peak_r,p_peak_r,ifi_naive,ifi_expert,d_ifi,t_ifi,p_ifi,peak_lag_ms_naive,peak_lag_ms_expert,d_peak_lag_ms,t_peak_lag_ms,p_peak_lag_ms,width_ms_naive,width_ms_expert,d_width_ms,t_width_ms,p_width_ms
CA1-RSC,8,0.10936875,0.08302625000000001,-0.026342499999999998,-1.9380764080446284,0.09380031967599632,0.0773825486017574,0.017640893988047426,-0.05974165461370998,-0.8343963407907983,0.43160783539317515,35.0,23.75,-11.25,-0.273301511600136,0.7925092811687218,123.75,45.0,-78.75,-1.241033029459549,0.2545680929668858
CA1-CA3,6,0.20360666666666663,0.23812666666666668,0.03452,0.9371060015815302,0.39172507253731237,-0.16974645971434763,-0.12280968890903349,0.04693677080531409,0.5299523000652974,0.6188251807108275,-33.333333333333336,-8.333333333333334,25.0,1.0,0.36321746764912255,30.0,30.0,0.0,0.0,1.0
CA1-DG,8,0.17351375000000002,0.180375,0.00686124999999999,0.613451361432578,0.5589760339772092,-0.09787020089399659,0.018897529995408432,0.11676773088940502,1.7087249147986527,0.13125300978485965,20.0,-10.0,-30.0,-0.9060060184885415,0.3950473890683037,21.25,18.75,-2.5,-1.0,0.3506166628202075
CA1-V1,10,0.11577,0.10414599999999999,-0.011623999999999999,-0.6620348598359953,0.5245363011277984,-0.06985503842546104,0.05531036694648335,0.12516540537194437,2.2111794734377312,0.054340574830142145,14.0,-32.0,-46.0,-1.0079707940406428,0.3397982379777371,181.0,203.0,22.0,0.32944042650879657,0.7493604069395831
CA3-DG,4,0.20934999999999998,0.2184275,0.009077499999999995,0.5181336475351699,0.6401535193999717,-0.08060488003373797,-0.018519182495277033,0.062085697538460945,0.9406037626192145,0.41629863894731983,-10.0,45.0,55.0,0.797324773913568,0.483536348156421,25.0,22.5,-2.5,-0.5222329678670935,0.6376180914006018
CA1-SUB,4,0.0923525,0.109465,0.017112500000000003,1.2396079815622223,0.3032511595203848,-0.07869389898219226,-0.06582768431901254,0.01286621466317971,0.21234346376299626,0.845448419385271,-35.0,2.5,37.5,0.9168411849420692,0.42683635377695484,15.0,37.5,22.5,2.182820625326997,0.11703903553951157
RSC-SUB,4,0.218895,0.2024725,-0.016422499999999993,-0.46633028609907523,0.6727531410852932,0.09024902801596695,0.09172106953996133,0.0014720415239943812,0.037918039963889275,0.9721351538750103,2.5,57.5,55.0,0.9420884047408652,0.4156482418459108,192.5,287.5,95.0,0.6995576680039194,0.534567305377789
V1-RSC,6,0.2444833333333333,0.22621666666666665,-0.018266666666666653,-0.5416560676376554,0.6113098376693372,0.05524438427026563,-0.01054527808449302,-0.06578966235475865,-1.3045320048478575,0.2488679900213285,33.333333333333336,-1.6666666666666667,-35.0,-1.9028109877684682,0.11544613189976723,251.66666666666666,251.66666666666666,0.0,0.0,1.0
