animal,learner,pair,n_matched_bins,angle_x,angle_y,jac_x,jac_y,unc_cc1,cue_cc1,d_cc1,unc_n_sig,cue_n_sig,d_n_sig,unc_mi_sig,cue_mi_sig,d_mi_sig,unc_ifi,cue_ifi,d_ifi,unc_optimal_lag,cue_optimal_lag,d_optimal_lag,unc_gini_x,cue_gini_x,d_gini_x,unc_gini_y,cue_gini_y,d_gini_y
73,1,CA1-SUB,6000,85.55,87.22,0.5,0.2727,0.0332,0.0947,0.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0513,0.0448,0.0,4.0,4.0,0.4652,0.3787,-0.0865,0.3136,0.2474,-0.0662
73,1,RSC-SUB,6000,87.43,83.99,0.2727,0.2727,0.0547,0.087,0.0322,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,-0.0054,-0.0231,3.0,-4.0,-7.0,0.5981,0.6046,0.0065,0.3118,0.2467,-0.0651
73,1,V1-RSC,6000,87.22,70.94,0.25,0.2727,0.1504,0.1031,-0.0474,3.0,0.0,-3.0,0.0403,0.0,-0.0403,0.0168,0.0635,0.0467,0.0,3.0,3.0,0.3142,0.316,0.0018,0.5995,0.6019,0.0024
75,1,CA1-RSC,5133,85.49,89.96,0.0909,0.125,0.01,0.2939,0.2839,0.0,5.0,5.0,0.0,0.1703,0.1703,0.0245,0.0737,0.0492,2.0,8.0,6.0,0.3278,0.3361,0.0083,0.7569,0.6586,-0.0984
75,1,CA1-DG,5133,88.59,87.14,0.0909,0.3333,0.2179,0.7508,0.533,1.0,6.0,5.0,0.0243,0.9862,0.9619,-0.0484,-0.0107,0.0377,0.0,0.0,0.0,0.3279,0.3337,0.0059,0.6531,0.5656,-0.0875
75,1,CA1-V1,5133,83.38,87.42,0.0909,0.0714,0.0132,0.0814,0.0682,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0018,-0.0111,4.0,0.0,-4.0,0.3277,0.3336,0.0059,0.6027,0.3944,-0.2084
75,1,CA1-SUB,5133,85.68,89.33,0.0909,0.3333,0.0914,0.5576,0.4662,0.0,8.0,8.0,0.0,0.4902,0.4902,0.0015,-0.0143,-0.0158,0.0,0.0,0.0,0.3272,0.3355,0.0082,0.3127,0.24,-0.0727
75,1,RSC-SUB,5133,89.83,87.98,0.1111,0.25,0.1397,0.5368,0.3972,1.0,4.0,3.0,0.0098,0.2961,0.2862,-0.0212,-0.0343,-0.013,0.0,0.0,0.0,0.7562,0.6517,-0.1045,0.3125,0.2342,-0.0783
75,1,V1-RSC,5133,82.16,89.47,0.1111,0.125,0.0683,0.4423,0.374,0.0,5.0,5.0,0.0,0.3199,0.3199,-0.0181,-0.03,-0.0119,1.0,0.0,-1.0,0.5971,0.3788,-0.2184,0.7544,0.6504,-0.1041
77,1,CA1-RSC,4907,65.8,82.57,1.0,0.3784,0.4893,0.0892,-0.4001,6.0,0.0,-6.0,0.2932,0.0,-0.2932,0.0186,-0.043,-0.0615,0.0,0.0,0.0,0.2442,0.1712,-0.0731,0.5752,0.5395,-0.0356
77,1,CA1-DG,4907,78.16,63.22,1.0,0.3333,0.104,-0.1152,-0.2191,3.0,1.0,-2.0,0.0148,0.0211,0.0062,-0.0752,-0.0563,0.0189,-4.0,-1.0,3.0,0.2516,0.2317,-0.02,0.3728,0.6098,0.237
