pair,n_FF_peak_r,d_FF_peak_r,p_FF_peak_r,n_FB_peak_r,d_FB_peak_r,p_FB_peak_r,n_int_peak_r,d_int_peak_r,p_int_peak_r,n_FF_ifi,d_FF_ifi,p_FF_ifi,n_FB_ifi,d_FB_ifi,p_FB_ifi,n_int_ifi,d_int_ifi,p_int_ifi,n_FF_peak_lag_ms,d_FF_peak_lag_ms,p_FF_peak_lag_ms,n_FB_peak_lag_ms,d_FB_peak_lag_ms,p_FB_peak_lag_ms,n_int_peak_lag_ms,d_int_peak_lag_ms,p_int_peak_lag_ms
CA1-RSC,8,0.016641386904761905,0.027238082091459653,7,0.019798108843537415,0.08628202840586391,7,-0.006898666666666666,0.48509196136951405,8,0.09275720765330599,0.2500090389597438,7,0.36585331548817007,0.05377914398257681,7,-0.23096658854231683,0.29605485321248143,8,-0.29910714285714235,0.9888671682502875,7,-0.816326530612246,0.9862130651120062,7,4.6173469387755075,0.9411852103645918
CA1-CA3,7,0.015725972789115646,0.11795604337401533,7,0.006407785714285715,0.39997231015741214,7,0.009318187074829934,0.5458307945102121,7,0.12883459360528568,0.3360886811797811,7,-0.06454333755467263,0.5590472712266747,7,0.1933779311599583,0.3415358559989137,7,-4.159863945578231,0.8308048101479166,7,13.619047619047617,0.5895932811185056,7,-17.77891156462585,0.6098833467718436
CA1-DG,8,0.0025919583333333346,0.45197114933319793,8,0.0024196884920634925,0.47769852438352,8,0.00017226984126984205,0.9617541784073279,8,0.04719836565530851,0.5624574546396757,8,0.07054411981081879,0.44966759549181445,8,-0.023345754155510268,0.8035408218014117,8,1.458333333333333,0.9078941462775052,8,-19.355158730158728,0.36917165044325895,8,20.813492063492063,0.28406519012453674
CA1-V1,10,0.018549559523809524,0.00038528056141589446,10,0.025369287698412697,0.002493783052946093,10,-0.006819728174603176,0.3746305647075866,10,-0.03226213256762351,0.5996313017714241,10,-0.06111301240146592,0.18980179014977563,10,0.028850879833842397,0.7616523405298596,10,50.78571428571429,0.16111328940695235,10,-0.02182539682539577,0.9982141837774439,10,50.807539682539684,0.15460173335907973
CA3-DG,4,0.01193749999999999,0.025828471695568612,4,0.01727741071428572,0.004214864390130542,4,-0.005339910714285732,0.06373731782204661,4,0.052994259407265515,0.45666562172833947,4,0.02338521483047757,0.740231193548166,4,0.029609044576787938,0.7973732207449529,4,-54.166666666666664,0.18536043139859343,4,-1.785714285714287,0.6109737375289845,4,-52.38095238095238,0.1743966302505383
CA1-SUB,3,0.013949999999999999,0.33449390224822717,4,0.009693388888888887,0.27000454959786685,3,0.004021481481481484,0.593915217374832,3,0.8199264126900264,0.009803592836477871,4,0.19020294497144732,0.3286265171129922,3,0.5141119407827935,0.07173194479290929,3,59.333333333333336,0.46018951715209533,4,-58.611111111111114,0.3602567329469332,3,137.4814814814815,0.2078235247257569
RSC-SUB,3,-8.055555555555652e-05,0.9920097841002382,4,0.01675999999999999,0.06270578496294753,3,-0.011475888888888884,0.25828420844326355,3,-0.061278697251371285,0.2755944558122855,4,-0.01382873397938825,0.5950536530383576,3,-0.047689071161255904,0.1253091365562751,3,86.66666666666667,0.541097068748165,4,-20.3125,0.43417784980561913,3,116.75,0.4382837271456721
V1-RSC,6,0.027960880952380956,0.03775099689788747,6,0.03090322222222222,0.03436685327645027,6,-0.002942341269841269,0.5586601108843858,6,-0.008165290930206731,0.72952764619742,6,-0.02436481353600199,0.32791150183790585,6,0.016199522605795255,0.4725450649570856,6,-40.91468253968254,0.010341978154939035,6,-45.5,0.08587705840152046,6,4.585317460317459,0.7938453830687747
