animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
52,1,CA1-RSC,t1-5,5,19651,-0.0139,2,0.0242,0.1134,3,0.4076,0.12,85.55,81.51,89.89,80.18,,,
52,1,CA1-RSC,t1-7,7,26694,0.0342,1,0.0059,0.1198,3,0.4057,0.0914,83.86,58.91,88.29,74.65,,,
52,1,CA1-RSC,t1-10,10,36887,-0.033,2,0.0116,0.1334,5,0.3879,0.0777,80.33,89.65,89.71,88.07,,,
52,1,CA1-RSC,late,10,35803,0.1116,4,0.0672,0.1079,5,0.4747,0.089,87.65,81.64,,,,,
52,1,CA1-CA3,t1-5,5,19651,0.2203,3,0.0458,-0.0253,0,0.3798,0.3642,74.48,72.87,88.12,85.53,,,
52,1,CA1-CA3,t1-7,7,26694,0.2095,3,0.0428,0.001,0,0.3808,0.3573,45.95,42.98,89.12,80.06,,,
52,1,CA1-CA3,t1-10,10,36887,0.1953,4,0.0454,0.0016,0,0.3674,0.3445,46.98,49.2,86.61,78.38,,,
52,1,CA1-CA3,late,10,35803,0.2461,4,0.0513,0.0704,0,0.4233,0.4577,89.22,82.1,,,,,
52,1,CA1-DG,t1-5,5,19651,0.3342,8,0.1193,-0.025,0,0.3811,0.1667,62.86,64.29,87.38,66.09,,,
52,1,CA1-DG,t1-7,7,26694,0.3397,8,0.1176,-0.0417,0,0.3819,0.1798,59.95,65.95,84.89,63.57,,,
52,1,CA1-DG,t1-10,10,36887,0.3556,12,0.2368,-0.0189,0,0.3673,0.1671,81.86,81.61,84.62,77.01,,,
52,1,CA1-DG,late,10,35803,0.5018,14,0.608,0.0132,0,0.4291,0.1738,66.69,72.69,,,,,
52,1,CA1-V1,t1-5,5,19651,0.2362,5,0.0845,-0.0239,0,0.3805,0.3404,73.02,84.17,88.06,84.44,,,
52,1,CA1-V1,t1-7,7,26694,0.2695,4,0.1157,-0.0267,0,0.3813,0.3308,69.88,83.55,89.15,89.01,,,
52,1,CA1-V1,t1-10,10,36887,0.3195,13,0.2948,-0.0266,0,0.3673,0.3032,68.87,72.32,89.95,88.53,,,
52,1,CA1-V1,late,10,35803,0.2971,8,0.2299,-0.0126,0,0.4317,0.4181,76.37,54.3,,,,,
52,1,CA3-DG,t1-5,5,19651,0.2014,20,0.8177,0.03,0,0.3631,0.1615,33.56,31.42,54.68,41.66,,,
52,1,CA3-DG,t1-7,7,26694,0.5367,19,0.9319,0.0357,0,0.3563,0.1768,32.26,24.04,53.2,39.99,,,
52,1,CA3-DG,t1-10,10,36887,0.5991,20,0.9679,0.0466,0,0.346,0.1642,26.99,17.83,52.91,39.67,,,
52,1,CA3-DG,late,10,35803,0.5517,7,0.3836,0.0226,0,0.4578,0.1707,22.64,20.64,,,,,
52,1,V1-RSC,t1-5,5,19651,-0.1415,5,0.1286,-0.0197,0,0.3084,0.1212,81.52,81.87,86.9,69.66,,,
52,1,V1-RSC,t1-7,7,26694,-0.2346,3,0.1215,-0.0134,0,0.3035,0.0926,68.11,66.07,88.02,77.91,,,
52,1,V1-RSC,t1-10,10,36887,-0.0644,3,0.0661,-0.0096,0,0.2644,0.0784,64.73,67.8,87.02,83.4,,,
52,1,V1-RSC,late,10,35803,-0.2271,6,0.2211,0.0346,1,0.3906,0.0899,65.85,47.44,,,,,
61,1,CA1-RSC,t1-5,5,14530,0.1243,0,0.0,0.1104,4,0.4626,0.3822,75.73,85.06,88.79,87.93,,,
61,1,CA1-RSC,t1-7,7,20000,0.1427,1,0.0103,0.1055,0,0.4606,0.3895,86.35,87.56,89.63,83.09,,,
61,1,CA1-RSC,t1-10,10,28149,0.0835,0,0.0,0.1013,0,0.4693,0.3929,88.81,69.63,88.45,76.36,,,
61,1,CA1-RSC,late,10,32475,0.1396,4,0.0319,0.0576,5,0.4482,0.3101,72.53,78.07,,,,,
61,1,CA1-CA3,t1-5,5,14530,0.1221,2,0.0148,-0.0737,-2,0.4616,0.2558,89.19,89.01,81.87,59.27,,,
61,1,CA1-CA3,t1-7,7,20000,0.1259,1,0.008,-0.0737,-2,0.4609,0.2535,89.94,70.61,88.96,79.95,,,
61,1,CA1-CA3,t1-10,10,28149,-0.2676,9,0.415,-0.0727,-2,0.4691,0.2354,80.9,81.66,89.56,81.08,,,
61,1,CA1-CA3,late,10,32475,0.4385,16,0.4221,0.0377,0,0.4476,0.2182,73.92,65.35,,,,,
61,1,CA1-DG,t1-5,5,14530,0.2016,1,0.0208,-0.0124,0,0.4665,0.2151,66.68,89.89,89.77,83.23,,,
61,1,CA1-DG,t1-7,7,20000,0.2194,1,0.0247,-0.0233,0,0.4654,0.1729,74.73,76.26,88.38,75.58,,,
61,1,CA1-DG,t1-10,10,28149,0.1712,1,0.0149,-0.0354,0,0.4739,0.1813,84.71,74.99,87.5,75.78,,,
61,1,CA1-DG,late,10,32475,0.2264,1,0.0263,-0.0138,0,0.4559,0.1987,66.82,65.81,,,,,
61,1,CA1-V1,t1-5,5,14530,0.0239,0,0.0,0.0351,4,0.4612,0.4445,87.82,85.0,88.6,87.09,,,
61,1,CA1-V1,t1-7,7,20000,0.1226,2,0.0197,0.0076,0,0.4602,0.4665,81.95,78.26,88.65,86.98,,,
61,1,CA1-V1,t1-10,10,28149,0.1235,3,0.0346,0.0052,0,0.47,0.4498,82.43,89.17,86.84,84.21,,,
61,1,CA1-V1,late,10,32475,0.1183,1,0.007,-0.0052,5,0.4495,0.3815,89.09,83.7,,,,,
61,1,CA3-DG,t1-5,5,14530,0.2391,4,0.1665,-0.0394,0,0.28,0.2115,86.53,88.71,48.48,38.73,,,
61,1,CA3-DG,t1-7,7,20000,0.2332,4,0.1016,-0.045,0,0.2603,0.1711,55.3,69.63,46.75,38.24,,,
61,1,CA3-DG,t1-10,10,28149,0.1401,4,0.0931,-0.0627,0,0.2539,0.9402,86.81,23.48,54.37,89.03,,,
61,1,CA3-DG,late,10,32475,0.3183,5,0.1159,-0.0424,0,0.2328,0.1938,20.93,42.45,,,,,
61,1,V1-RSC,t1-5,5,14530,0.4131,1,0.0936,0.0291,0,0.4403,0.3804,63.02,67.74,89.15,89.26,,,
61,1,V1-RSC,t1-7,7,20000,0.3822,2,0.1087,0.0292,0,0.4603,0.3882,65.36,72.41,88.21,87.96,,,
61,1,V1-RSC,t1-10,10,28149,0.3679,2,0.1037,0.0106,0,0.4437,0.3918,45.88,53.48,86.91,86.92,,,
61,1,V1-RSC,late,10,32475,0.3484,5,0.1819,0.0054,0,0.3805,0.3067,61.55,62.22,,,,,
63,1,CA1-RSC,t1-5,5,15266,0.073,0,0.0,0.0591,3,0.0865,0.3383,58.73,64.76,58.74,76.22,,,
63,1,CA1-RSC,t1-7,7,21283,0.0825,2,0.0069,0.0575,2,0.09,0.3761,42.37,64.49,69.55,74.6,,,
63,1,CA1-RSC,t1-10,10,30004,0.1314,1,0.0087,0.0535,2,0.0936,0.3462,75.32,86.35,67.37,78.29,,,
63,1,CA1-RSC,late,10,26446,0.1088,1,0.006,0.0304,5,0.0778,0.3487,89.23,81.85,,,,,
66,1,CA1-RSC,t1-5,5,14644,-0.0191,5,0.0512,0.0331,0,0.3774,0.3251,79.94,82.49,83.17,88.13,,,
66,1,CA1-RSC,t1-7,7,20023,0.2023,1,0.0209,0.0023,0,0.374,0.2489,86.28,71.61,84.06,89.58,,,
66,1,CA1-RSC,t1-10,10,27751,0.1992,2,0.0272,0.0353,0,0.3856,0.2272,88.91,69.25,86.51,85.2,,,
66,1,CA1-RSC,late,10,23688,0.065,0,0.0,0.1067,5,0.2182,0.1201,71.24,83.43,,,,,
66,1,CA1-DG,t1-5,5,14644,0.2935,3,0.0833,0.0034,0,0.3804,0.1593,89.31,45.75,85.4,75.41,,,
66,1,CA1-DG,t1-7,7,20023,0.3029,3,0.0828,-0.006,0,0.3713,0.163,89.47,36.85,85.43,82.71,,,
66,1,CA1-DG,t1-10,10,27751,0.3032,3,0.0803,-0.0213,0,0.3894,0.1629,52.32,28.72,86.37,76.56,,,
66,1,CA1-DG,late,10,23688,0.2829,3,0.0687,0.0662,0,0.2182,0.1463,80.09,50.98,,,,,
66,1,CA1-V1,t1-5,5,14644,0.167,1,0.0141,0.0135,0,0.3631,0.0754,87.75,83.41,89.07,85.23,,,
66,1,CA1-V1,t1-7,7,20023,0.1311,1,0.0087,0.0147,0,0.3728,0.074,84.84,67.91,86.5,82.38,,,
66,1,CA1-V1,t1-10,10,27751,0.1363,1,0.0094,0.0109,0,0.3819,0.0702,87.54,71.0,89.55,81.28,,,
66,1,CA1-V1,late,10,23688,0.0774,0,0.0,-0.0205,0,0.2143,0.076,84.68,89.26,,,,,
66,1,CA1-SUB,t1-5,5,14644,0.1339,6,0.0691,0.0009,0,0.3782,0.0545,71.72,67.64,84.1,59.33,,,
66,1,CA1-SUB,t1-7,7,20023,0.1568,2,0.0177,-0.0129,0,0.3574,0.0618,80.01,53.08,86.81,56.11,,,
66,1,CA1-SUB,t1-10,10,27751,0.1401,3,0.0196,-0.0183,0,0.3867,0.0669,55.28,47.43,86.64,51.1,,,
66,1,CA1-SUB,late,10,23688,0.1081,1,0.0059,-0.0144,0,0.2178,0.0667,71.92,61.74,,,,,
