animal,learner,pair,dim,bin_ms,lag_bins,lag_ms,cos_same_x,cos_best_x,best_dim_x,cos_same_y,cos_best_y,best_dim_y,cos_split_x,cos_split_y,split_best_x,split_best_y,r_lag,sig,p_perdim,r_zero,n_pairs
28,1,CA1-CA3,2,10,-22,-220,0.36991,0.36991,2,0.01318,0.77288,13,0.51658,0.00799,0.51658,0.41289,0.10391,1,0.00498,0.17811,11560
28,1,CA1-CA3,3,10,-22,-220,0.22041,0.7014,4,0.45641,0.45641,3,0.00546,0.31882,0.47708,0.47534,0.09739,1,0.00498,0.10519,11560
28,1,CA1-CA3,4,10,-22,-220,0.48848,0.48848,4,0.06081,0.68456,3,0.28948,0.08976,0.28948,0.90841,0.08574,1,0.00995,0.08405,11560
28,1,CA1-CA3,5,10,-22,-220,0.61702,0.63573,4,0.11096,0.84835,13,0.02172,0.08421,0.07085,0.85979,0.06367,0,0.02985,0.06761,11560
28,1,CA1-CA3,6,10,-22,-220,0.32681,0.44052,4,0.01281,0.66229,11,0.03273,0.06445,0.29416,0.88328,0.05915,0,0.16915,0.05625,11560
28,1,CA1-CA3,7,10,-22,-220,0.36178,0.53054,6,0.02788,0.83569,12,0.02431,0.07411,0.50978,0.77232,0.0551,0,0.25373,0.04767,11560
28,1,CA1-CA3,8,10,-22,-220,0.187,0.23375,9,0.08012,0.65525,3,0.1314,0.10985,0.44389,0.46903,0.04793,0,0.90547,0.03979,11560
28,1,CA1-CA3,9,10,-22,-220,0.32968,0.61848,4,0.03035,0.76136,3,0.23095,0.24656,0.43196,0.75243,0.04013,0,0.73134,0.03401,11560
28,1,CA1-CA3,10,10,-22,-220,0.21014,0.67089,4,0.49477,0.95945,13,0.12984,0.14964,0.43704,0.67569,0.03445,0,0.86567,0.02964,11560
28,1,CA1-CA3,1,10,-21,-210,0.07782,0.4295,2,0.01461,0.45657,11,0.09887,0.58769,0.29843,0.96821,0.11924,1,0.01493,0.26442,11580
28,1,CA1-CA3,2,10,-21,-210,0.28818,0.43784,3,0.01376,0.77705,11,0.7855,0.04089,0.7855,0.61939,0.09642,1,0.00498,0.17811,11580
28,1,CA1-CA3,3,10,-21,-210,0.54721,0.71263,2,0.04041,0.44294,11,0.0378,0.29519,0.67218,0.6812,0.07439,1,0.00498,0.10519,11580
28,1,CA1-CA3,4,10,-21,-210,0.28903,0.42812,2,0.10481,0.64306,6,0.0324,0.04352,0.45691,0.79388,0.06985,1,0.00995,0.08405,11580
28,1,CA1-CA3,5,10,-21,-210,0.48103,0.65013,2,0.02156,0.75004,11,0.01615,0.24776,0.1212,0.72703,0.06267,0,0.02985,0.06761,11580
28,1,CA1-CA3,6,10,-21,-210,0.25939,0.40786,2,0.60589,0.62271,13,0.16244,0.14701,0.46676,0.76231,0.04924,0,0.16915,0.05625,11580
28,1,CA1-CA3,7,10,-21,-210,0.27211,0.45462,2,0.05196,0.81633,11,0.03051,0.07948,0.74001,0.65363,0.04881,0,0.25373,0.04767,11580
28,1,CA1-CA3,8,10,-21,-210,0.14976,0.26758,7,0.36312,0.8599,6,0.03906,0.13209,0.63746,0.60384,0.03756,0,0.90547,0.03979,11580
28,1,CA1-CA3,9,10,-21,-210,0.41315,0.59048,1,0.0207,0.85433,6,0.30018,0.2986,0.42671,0.61218,0.0354,0,0.73134,0.03401,11580
28,1,CA1-CA3,10,10,-21,-210,0.58419,0.67593,2,0.2827,0.92745,11,0.14853,0.62167,0.5325,0.63327,0.0286,0,0.86567,0.02964,11580
28,1,CA1-CA3,1,10,-20,-200,0.51048,0.51048,1,0.00426,0.44953,12,0.01562,0.68778,0.0587,0.72107,0.13128,1,0.01493,0.26442,11600
28,1,CA1-CA3,2,10,-20,-200,0.11863,0.43136,1,0.02376,0.80044,12,0.00086,0.00439,0.28839,0.97133,0.08807,1,0.00498,0.17811,11600
28,1,CA1-CA3,3,10,-20,-200,0.3708,0.65171,13,0.12171,0.62063,10,0.03501,0.58719,0.19822,0.60657,0.07948,1,0.00498,0.10519,11600
28,1,CA1-CA3,4,10,-20,-200,0.17449,0.40554,1,0.2197,0.6067,10,0.00729,0.46374,0.22865,0.77145,0.06484,1,0.00995,0.08405,11600
28,1,CA1-CA3,5,10,-20,-200,0.28581,0.65722,12,0.18921,0.83693,12,0.03993,0.0654,0.12585,0.7399,0.05947,0,0.02985,0.06761,11600
28,1,CA1-CA3,6,10,-20,-200,0.42414,0.46874,4,0.08306,0.66142,10,0.01194,0.17129,0.22003,0.75291,0.0585,0,0.16915,0.05625,11600
28,1,CA1-CA3,7,10,-20,-200,0.38131,0.44856,12,0.03921,0.80514,13,0.04217,0.02253,0.26434,0.78815,0.05126,0,0.25373,0.04767,11600
28,1,CA1-CA3,8,10,-20,-200,0.40023,0.40023,8,0.07358,0.86798,10,0.066,0.01681,0.30816,0.86421,0.04729,0,0.90547,0.03979,11600
28,1,CA1-CA3,9,10,-20,-200,0.06474,0.5059,12,0.01213,0.8835,10,0.27699,0.20746,0.33501,0.74533,0.03911,0,0.73134,0.03401,11600
28,1,CA1-CA3,10,10,-20,-200,0.15746,0.47962,13,0.59889,0.95038,12,0.14956,0.17339,0.19075,0.74409,0.02937,0,0.86567,0.02964,11600
28,1,CA1-CA3,1,10,-19,-190,0.21764,0.40117,12,0.11094,0.30962,7,0.00472,0.57441,0.15391,0.66787,0.1459,1,0.01493,0.26442,11620
28,1,CA1-CA3,2,10,-19,-190,0.0948,0.66942,1,0.17125,0.53125,10,0.00243,0.68598,0.12825,0.68598,0.1127,1,0.00498,0.17811,11620
28,1,CA1-CA3,3,10,-19,-190,0.18805,0.66713,13,0.08564,0.3436,11,0.09967,0.17554,0.11189,0.53531,0.08878,1,0.00498,0.10519,11620
28,1,CA1-CA3,4,10,-19,-190,0.18241,0.43871,6,0.0917,0.64545,2,0.02128,0.03095,0.07118,0.95343,0.08447,1,0.00995,0.08405,11620
28,1,CA1-CA3,5,10,-19,-190,0.02923,0.45834,1,0.20617,0.48425,7,0.00421,0.31776,0.078,0.8761,0.06899,0,0.02985,0.06761,11620
28,1,CA1-CA3,6,10,-19,-190,0.235,0.32334,1,0.04016,0.42844,2,0.04412,0.12531,0.05488,0.91127,0.05713,0,0.16915,0.05625,11620
28,1,CA1-CA3,7,10,-19,-190,0.10404,0.43265,13,0.44885,0.66757,11,0.00855,0.4823,0.13462,0.88429,0.05429,0,0.25373,0.04767,11620
28,1,CA1-CA3,8,10,-19,-190,0.01942,0.36783,5,0.03522,0.58151,2,0.03005,0.08373,0.15222,0.5304,0.04684,0,0.90547,0.03979,11620
28,1,CA1-CA3,9,10,-19,-190,0.03239,0.62926,5,0.01617,0.6846,2,0.00935,0.35384,0.38328,0.89893,0.04439,0,0.73134,0.03401,11620
28,1,CA1-CA3,10,10,-19,-190,0.14767,0.45857,6,0.48106,0.66385,11,0.18179,0.48128,0.21591,0.90507,0.0381,0,0.86567,0.02964,11620
28,1,CA1-CA3,1,10,-18,-180,0.14055,0.34644,4,0.06913,0.44422,11,0.00187,0.17065,0.24241,0.77433,0.17568,1,0.01493,0.26442,11640
