scope,pair,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_pair,CA1-V1,mi_sig,expert-naive,10,-0.0038331862870754413,16.0,0.275390625,False
per_pair,CA1-DG,mi_sig,expert-naive,8,0.01583924744626565,5.0,0.078125,False
per_pair,CA1-CA3,mi_sig,expert-naive,6,0.08693798519155682,2.0,0.09375,False
per_pair,CA1-RSC,mi_sig,expert-naive,8,-0.004659263147887713,12.0,0.4609375,False
per_pair,CA1-SUB,mi_sig,expert-naive,4,-0.016358968596924716,1.0,0.25,False
per_pair,V1-RSC,mi_sig,expert-naive,6,-0.0045305188803602195,7.0,0.5625,False
per_pair,RSC-SUB,mi_sig,expert-naive,4,-0.02277647331685065,0.0,0.125,False
per_pair,CA3-DG,mi_sig,expert-naive,4,0.16813885222027933,0.0,0.125,False
per_pair,CA1-V1,mi_sig,expert-intermediate,10,-0.004295157949847871,16.0,0.275390625,False
per_pair,CA1-DG,mi_sig,expert-intermediate,8,-0.005891989110860037,15.0,0.7421875,False
per_pair,CA1-CA3,mi_sig,expert-intermediate,6,-0.009494047448377813,10.0,1.0,False
per_pair,CA1-RSC,mi_sig,expert-intermediate,8,-0.003172848091271652,11.0,0.3828125,False
per_pair,CA1-SUB,mi_sig,expert-intermediate,4,-0.015991618688902372,0.0,0.125,False
per_pair,V1-RSC,mi_sig,expert-intermediate,6,-0.0017107704786231658,9.0,0.84375,False
per_pair,RSC-SUB,mi_sig,expert-intermediate,4,-0.0019295522603820234,3.0,0.625,False
per_pair,CA3-DG,mi_sig,expert-intermediate,4,0.05473845161929583,0.0,0.125,False
per_pair,CA1-V1,mi_sig,intermediate-naive,10,0.0011113163192433993,20.0,0.7670968684102772,False
per_pair,CA1-DG,mi_sig,intermediate-naive,8,0.026417108137981156,1.0,0.015625,False
per_pair,CA1-CA3,mi_sig,intermediate-naive,6,0.05779817219547527,4.0,0.21875,False
per_pair,CA1-RSC,mi_sig,intermediate-naive,8,-0.000555370932676145,18.0,1.0,False
per_pair,CA1-SUB,mi_sig,intermediate-naive,4,0.004929433289137959,4.0,0.875,False
per_pair,V1-RSC,mi_sig,intermediate-naive,6,-0.016286859243237462,8.0,0.6875,False
per_pair,RSC-SUB,mi_sig,intermediate-naive,4,-0.020846921056468626,3.0,0.625,False
per_pair,CA3-DG,mi_sig,intermediate-naive,4,0.12060728387961267,1.0,0.25,False
per_pair,CA1-V1,ifi_weighted,expert-naive,10,-0.034396678397828624,26.0,0.921875,False
per_pair,CA1-DG,ifi_weighted,expert-naive,8,-0.010090494353346986,17.0,0.9453125,False
per_pair,CA1-CA3,ifi_weighted,expert-naive,6,-0.00553352116228395,8.0,0.6875,False
per_pair,CA1-RSC,ifi_weighted,expert-naive,8,-0.01914273365031628,13.0,0.546875,False
per_pair,CA1-SUB,ifi_weighted,expert-naive,4,0.011607377826257693,4.0,0.875,False
per_pair,V1-RSC,ifi_weighted,expert-naive,6,-0.07819590002024356,6.0,0.4375,False
per_pair,RSC-SUB,ifi_weighted,expert-naive,4,0.0037083922488261485,4.0,0.875,False
per_pair,CA3-DG,ifi_weighted,expert-naive,4,-0.09452816060325292,4.0,0.875,False
per_pair,CA1-V1,ifi_weighted,expert-intermediate,10,-0.05670167576143492,6.0,0.02734375,False
per_pair,CA1-DG,ifi_weighted,expert-intermediate,8,0.01454994167484518,15.0,0.7421875,False
per_pair,CA1-CA3,ifi_weighted,expert-intermediate,6,-0.06498711395941306,2.0,0.09375,False
per_pair,CA1-RSC,ifi_weighted,expert-intermediate,8,-0.10123793892934846,4.0,0.0546875,False
per_pair,CA1-SUB,ifi_weighted,expert-intermediate,4,0.07195111496943171,3.0,0.625,False
per_pair,V1-RSC,ifi_weighted,expert-intermediate,6,-0.018547933682463096,4.0,0.21875,False
per_pair,RSC-SUB,ifi_weighted,expert-intermediate,4,-0.05140418899622565,4.0,0.875,False
per_pair,CA3-DG,ifi_weighted,expert-intermediate,4,-0.05649816306250964,0.0,0.125,False
per_pair,CA1-V1,ifi_weighted,intermediate-naive,10,0.05817220300590602,14.0,0.193359375,False
per_pair,CA1-DG,ifi_weighted,intermediate-naive,8,0.003896812298180674,13.0,0.546875,False
per_pair,CA1-CA3,ifi_weighted,intermediate-naive,6,0.04660682995870937,7.0,0.5625,False
per_pair,CA1-RSC,ifi_weighted,intermediate-naive,8,0.07805388117068963,2.0,0.0234375,False
per_pair,CA1-SUB,ifi_weighted,intermediate-naive,4,0.044782110128831064,3.0,0.625,False
per_pair,V1-RSC,ifi_weighted,intermediate-naive,6,0.020979151352193224,10.0,1.0,False
per_pair,RSC-SUB,ifi_weighted,intermediate-naive,4,0.05511258124505179,0.0,0.125,False
per_pair,CA3-DG,ifi_weighted,intermediate-naive,4,-0.030723826531037175,5.0,1.0,False
