pair,n_animals,peak_r_naive,peak_r_expert,d_peak_r,t_peak_r,p_peak_r,ifi_naive,ifi_expert,d_ifi,t_ifi,p_ifi,peak_lag_ms_naive,peak_lag_ms_expert,d_peak_lag_ms,t_peak_lag_ms,p_peak_lag_ms,width_ms_naive,width_ms_expert,d_width_ms,t_width_ms,p_width_ms
CA1-RSC,8,0.1301275,0.100325,-0.0298025,-2.0853884296897003,0.0754822318086331,0.007005727768459362,0.0050390977299683976,-0.001966630038490961,-0.05340097821958113,0.9589044803482969,-16.25,-1.25,15.0,0.8275159265510558,0.43524423932990086,260.0,55.0,-205.0,-2.729005011800158,0.029380876459512224
CA1-CA3,7,0.30713142857142856,0.3357357142857143,0.028604285714285714,1.0504338491333112,0.33397447151971416,0.01933163308829669,0.014332253142519331,-0.004999379945777367,-0.08722146537708012,0.933333567059675,-31.428571428571427,-12.857142857142858,18.571428571428573,0.9154324272853894,0.395265762381076,32.857142857142854,25.714285714285715,-7.142857142857143,-1.6984155512168937,0.1403463008673793
CA1-DG,8,0.201955,0.18815125,-0.013803750000000004,-0.8344290054886878,0.43159062319014874,0.03320574422947655,0.08568880473841123,0.052483060508934684,1.0543402751968445,0.32675325840474706,16.25,18.75,2.5,1.0,0.3506166628202075,17.5,18.75,1.25,0.31399291281137964,0.7626770646286338
CA1-V1,10,0.136143,0.11437699999999998,-0.021766,-1.378220778130986,0.2014279806795108,-0.04568829165812541,0.05714629367667593,0.10283458533480135,1.4138325243625263,0.1910555659296941,-8.0,-2.0,6.0,0.19611613513818402,0.8488759511995886,218.0,251.0,33.0,0.6900840001851934,0.5075442154942231
CA3-DG,4,0.250535,0.2658925,0.015357500000000007,1.4254805619699025,0.24925275491267956,0.04700600647353557,0.14114398671775585,0.09413798024422027,1.2643471856820379,0.2954052951275427,57.5,12.5,-45.0,-1.0,0.39100221895577053,25.0,20.0,-5.0,-1.0,0.39100221895577053
CA1-SUB,4,0.11500500000000001,0.1168825,0.0018774999999999972,0.35018129984119284,0.7493463172553743,-0.12799563054197374,-0.03083960336665249,0.09715602717532125,1.8344828367302453,0.1639358953045664,-10.0,0.0,10.0,1.0,0.39100221895577053,0.0,15.0,15.0,2.32379000772445,0.10272807885839903
RSC-SUB,4,0.22438,0.2300275,0.005647499999999996,0.15356726062961465,0.8876993610927041,0.08769148708218566,0.06631910181285146,-0.021372385269334205,-0.6353235859192913,0.5703637062694911,2.5,0.0,-2.5,-1.0,0.39100221895577053,192.5,285.0,92.5,0.7353573918482669,0.5153947167058941
V1-RSC,6,0.325185,0.27230166666666666,-0.05288333333333333,-2.10314845579285,0.08939541107328236,0.03599168727309258,-0.013692775285250416,-0.04968446255834299,-1.0524372936649713,0.34077892807607696,5.0,0.0,-5.0,-1.4638501094227998,0.2031106637200548,266.6666666666667,201.66666666666666,-65.0,-1.9436932289091566,0.10955137575565502
