animal,learner,pair,center_trial,trial_frac,performance,lp_rel,dim,cc,ifi,lag,sig
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,1,0.0002,0.0093,9,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,2,0.0419,0.0243,1,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,3,0.0516,0.0202,1,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,4,0.0098,-0.017,4,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,5,-0.0026,-0.0082,9,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,6,-0.0011,-0.0181,-6,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,7,-0.0135,0.0054,3,0
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,0,0.2123,0.0007,0,1
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,1,0.1897,-0.0166,0,1
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,2,0.0071,-0.0659,0,0
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,3,0.0235,-0.0601,0,0
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,4,0.0534,-0.073,-9,0
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,5,-0.0437,-0.049,-9,0
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,6,0.0442,-0.0709,-9,0
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,7,0.0852,-0.054,-9,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,0,0.0399,-0.0309,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,1,0.1689,-0.0211,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,2,0.0767,-0.0398,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,3,-0.0335,-0.0398,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,4,-0.0433,-0.0341,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,5,0.047,-0.0307,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,6,0.0168,-0.0053,0,0
