pair,dims,lag_ms,n_animals,angle_minus_floor,t,p,p_bonf,mean_angle,mean_floor,estimable
CA1-RSC,1,-250,12,1.42125,0.2932341732718003,0.774801242769513,1.0,59.943749999999994,58.52250000000001,True
CA1-RSC,1,-200,12,10.631666666666666,1.8265075372519881,0.09501038946892197,0.9501038946892197,69.15416666666667,58.52250000000001,True
CA1-RSC,1,-150,12,2.3699999999999988,0.3651405445901051,0.7219300959821959,1.0,60.892500000000005,58.52250000000001,True
CA1-RSC,1,-100,12,0.4758333333333337,0.09348952022719582,0.9271957765899346,1.0,58.998333333333335,58.52250000000001,True
CA1-RSC,1,-70,12,7.431250000000001,1.2768432086324097,0.22795297866809724,1.0,65.95375,58.52250000000001,True
CA1-RSC,1,-50,12,7.959166666666666,1.266219728211025,0.23159224596166056,1.0,66.48166666666665,58.52250000000001,True
CA1-RSC,1,-40,12,9.39958333333333,1.446414377384541,0.1759475352536449,1.0,67.92208333333333,58.52250000000001,True
CA1-RSC,1,-30,12,7.628750000000001,1.4601194011519205,0.1722209384174678,1.0,66.15125,58.52250000000001,True
CA1-RSC,1,-20,12,1.0091666666666663,0.1408799366686653,0.8905115607751848,1.0,59.53166666666668,58.52250000000001,True
CA1-RSC,1,-10,12,-5.128750000000002,-0.96328933771101,0.35610115515856566,1.0,53.39375,58.52250000000001,True
CA1-RSC,1,10,12,-17.132500000000004,-2.605383153073088,0.02445807466878964,0.24458074668789642,41.39,58.52250000000001,True
CA1-RSC,1,20,12,-3.4120833333333347,-0.5789953439246212,0.5742570663522719,1.0,55.110416666666666,58.52250000000001,True
CA1-RSC,1,30,12,-0.36250000000000043,-0.05170416099084875,0.9596914054802017,1.0,58.16,58.52250000000001,True
CA1-RSC,1,40,12,-0.5112499999999999,-0.06649083073270383,0.9481801664876912,1.0,58.01125,58.52250000000001,True
CA1-RSC,1,50,12,0.5579166666666652,0.09483949141580898,0.9261479050805342,1.0,59.080416666666665,58.52250000000001,True
CA1-RSC,1,70,12,4.3408333333333315,0.8102642027972438,0.4349675917122682,1.0,62.86333333333334,58.52250000000001,True
CA1-RSC,1,100,12,11.217916666666666,3.333783068654896,0.006666404410824318,0.06666404410824318,69.74041666666668,58.52250000000001,True
CA1-RSC,1,150,12,-2.647500000000002,-0.44790557156832106,0.662914433708823,1.0,55.875,58.52250000000001,True
CA1-RSC,1,200,12,7.08625,1.632803585587786,0.1307797705392286,1.0,65.60875,58.52250000000001,True
CA1-RSC,1,250,12,7.406666666666665,1.59799544596524,0.13834978438000586,1.0,65.92916666666666,58.52250000000001,True
CA1-CA3,1,-250,9,28.45111111111111,4.640915650681349,0.0016642270640449862,0.01664227064044986,63.84444444444445,35.39333333333333,True
CA1-CA3,1,-200,9,11.968888888888888,2.039575530103081,0.07572370762984766,0.7572370762984766,47.36222222222223,35.39333333333333,True
CA1-CA3,1,-150,9,4.076111111111108,0.5762027123797105,0.5803228446019646,1.0,39.469444444444434,35.39333333333333,True
CA1-CA3,1,-100,9,22.99611111111111,2.9128816953910928,0.019502791766585235,0.19502791766585234,58.38944444444445,35.39333333333333,True
CA1-CA3,1,-70,9,5.4755555555555535,0.6764488403710114,0.5178314688042934,1.0,40.86888888888889,35.39333333333333,True
CA1-CA3,1,-50,9,10.988333333333332,2.7942343102909892,0.023404976701004006,0.23404976701004004,46.38166666666666,35.39333333333333,True
CA1-CA3,1,-40,9,19.33222222222222,3.980853926863069,0.004056848688056039,0.04056848688056039,54.72555555555555,35.39333333333333,True
CA1-CA3,1,-30,9,18.898888888888887,2.325177982718533,0.0485255958708041,0.485255958708041,54.29222222222222,35.39333333333333,True
CA1-CA3,1,-20,9,10.225000000000001,0.9952790056330697,0.34874764992030854,1.0,45.618333333333325,35.39333333333333,True
CA1-CA3,1,-10,9,-7.7811111111111115,-1.1657741725174882,0.27728336643820933,1.0,27.612222222222222,35.39333333333333,True
CA1-CA3,1,10,9,-5.711111111111111,-1.3916209835155067,0.20150953550289705,1.0,29.682222222222222,35.39333333333333,True
CA1-CA3,1,20,9,13.225555555555554,2.9837697518718094,0.017499463852150912,0.17499463852150912,48.61888888888889,35.39333333333333,True
CA1-CA3,1,30,9,19.712777777777774,3.7588884357487333,0.005553152595142986,0.05553152595142986,55.106111111111105,35.39333333333333,True
CA1-CA3,1,40,9,15.998333333333335,2.6398184559710494,0.029721705606436347,0.29721705606436344,51.391666666666666,35.39333333333333,True
CA1-CA3,1,50,9,19.477777777777774,2.4668284706110173,0.03890234040290006,0.3890234040290006,54.87111111111111,35.39333333333333,True
CA1-CA3,1,70,9,5.809999999999998,1.1753941523294786,0.2736307905872517,1.0,41.20333333333333,35.39333333333333,True
CA1-CA3,1,100,9,15.983333333333333,4.234825465834201,0.002857523466969441,0.02857523466969441,51.376666666666665,35.39333333333333,True
