animal,learner,pair,bin,trial_lo,trial_hi,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
41,1,CA1-V1,2,6,10,8000,0.1868,0,0.0,-0.0172,-3,0.4483,0.3992
41,1,CA1-V1,3,11,15,8000,0.0726,0,0.0,-0.0184,1,0.2076,0.3496
41,1,CA1-V1,4,16,20,8000,0.055,0,0.0,0.0283,5,0.3492,0.351
41,1,CA1-V1,5,21,25,8000,0.2543,1,0.0334,0.0152,0,0.4776,0.3114
41,1,CA1-V1,6,26,30,8000,0.1844,0,0.0,-0.0051,2,0.361,0.306
52,1,CA1-RSC,1,1,5,8000,-0.0481,0,0.0,0.0424,2,0.3837,0.132
52,1,CA1-RSC,2,6,10,8000,0.0116,1,0.0815,0.0507,1,0.4239,0.0714
52,1,CA1-RSC,3,11,15,8000,0.1897,3,0.0609,0.0143,3,0.3621,0.1477
52,1,CA1-RSC,4,16,20,8000,-0.0429,3,0.0266,-0.0241,-2,0.3758,0.0692
52,1,CA1-RSC,5,21,25,8000,-0.1498,3,0.0464,0.04,2,0.367,0.0645
52,1,CA1-RSC,6,26,30,8000,-0.1979,0,0.0,0.014,2,0.3238,0.0549
52,1,CA1-CA3,1,1,5,8000,0.1921,1,0.0188,-0.1211,-5,0.3545,0.3287
52,1,CA1-CA3,2,6,10,8000,0.2773,3,0.0783,-0.0119,0,0.3784,0.3619
52,1,CA1-CA3,3,11,15,8000,0.1957,1,0.0195,-0.0226,0,0.3275,0.3171
52,1,CA1-CA3,4,16,20,8000,0.344,10,0.2567,-0.0109,0,0.3397,0.3507
52,1,CA1-CA3,5,21,25,8000,0.1822,1,0.0169,0.0076,0,0.3279,0.3302
52,1,CA1-CA3,6,26,30,8000,0.3133,14,0.2853,-0.0112,0,0.286,0.3429
52,1,CA1-DG,1,1,5,8000,0.2753,2,0.0494,-0.0071,0,0.355,0.1842
52,1,CA1-DG,2,6,10,8000,0.4637,10,0.4566,-0.0092,0,0.3834,0.1506
52,1,CA1-DG,3,11,15,8000,-0.0781,10,0.1913,0.0056,0,0.3287,0.1695
52,1,CA1-DG,4,16,20,8000,0.1562,1,0.0124,-0.0186,0,0.3397,0.1498
52,1,CA1-DG,5,21,25,8000,-0.0136,7,0.1443,0.0017,0,0.3275,0.1051
52,1,CA1-DG,6,26,30,8000,-0.0558,8,0.1363,0.0056,0,0.2849,0.1212
52,1,CA1-V1,1,1,5,8000,0.2033,1,0.0211,-0.015,0,0.3584,0.3246
52,1,CA1-V1,2,6,10,8000,-0.2531,7,0.5899,-0.0105,0,0.3832,0.2816
52,1,CA1-V1,3,11,15,8000,-0.0927,10,0.238,-0.006,0,0.3295,0.3026
52,1,CA1-V1,4,16,20,8000,0.0583,0,0.0,-0.0281,-2,0.3384,0.3393
52,1,CA1-V1,5,21,25,8000,-0.0168,1,0.0443,-0.0106,-1,0.3272,0.3028
52,1,CA1-V1,6,26,30,8000,-0.2343,10,0.5446,-0.0198,0,0.2827,0.2867
52,1,CA3-DG,1,1,5,8000,0.3536,10,0.4595,0.0228,0,0.3316,0.1829
52,1,CA3-DG,2,6,10,8000,0.5246,4,0.3174,0.0435,0,0.3633,0.1492
52,1,CA3-DG,3,11,15,8000,0.6001,14,0.6263,0.0048,0,0.3121,0.1637
52,1,CA3-DG,4,16,20,8000,0.5423,6,0.3848,0.0195,0,0.3546,0.1522
52,1,CA3-DG,5,21,25,8000,0.497,5,0.3496,0.0077,0,0.3348,0.1042
52,1,CA3-DG,6,26,30,8000,0.5581,6,0.5066,0.0196,0,0.3419,0.1197
52,1,V1-RSC,1,1,5,8000,-0.043,1,0.0114,-0.0343,0,0.302,0.1338
52,1,V1-RSC,2,6,10,8000,0.1025,1,0.0964,0.0303,3,0.2927,0.0732
52,1,V1-RSC,3,11,15,8000,0.4954,5,0.3313,0.0084,0,0.307,0.1484
52,1,V1-RSC,4,16,20,8000,0.285,1,0.0424,0.0128,0,0.3247,0.0705
52,1,V1-RSC,5,21,25,8000,0.262,2,0.0504,0.0217,0,0.3085,0.0643
52,1,V1-RSC,6,26,30,8000,-0.0716,3,0.1208,0.0017,0,0.2922,0.0555
61,1,CA1-RSC,1,1,5,8000,0.1263,0,0.0,0.1435,2,0.4496,0.3711
61,1,CA1-RSC,2,6,10,8000,0.2026,1,0.021,0.0872,0,0.4295,0.358
61,1,CA1-RSC,3,11,15,8000,-0.0801,3,0.0725,0.0137,-5,0.4267,0.3217
61,1,CA1-RSC,4,16,20,8000,0.0501,2,0.0448,0.0685,3,0.4114,0.3053
61,1,CA1-RSC,5,21,25,8000,0.0953,4,0.0766,0.0401,0,0.3972,0.2677
61,1,CA1-RSC,6,26,30,8000,0.0615,0,0.0,0.0783,0,0.3505,0.254
61,1,CA1-CA3,1,1,5,8000,0.1194,0,0.0,-0.0533,-1,0.4507,0.3246
61,1,CA1-CA3,2,6,10,8000,0.1991,7,0.4697,-0.18,-5,0.4316,0.3776
61,1,CA1-CA3,3,11,15,8000,0.3456,18,0.42,-0.0184,-1,0.4306,0.3172
61,1,CA1-CA3,4,16,20,8000,0.1579,1,0.0126,0.0083,0,0.3997,0.2913
61,1,CA1-CA3,5,21,25,8000,0.1893,6,0.0767,0.019,-2,0.3957,0.2191
61,1,CA1-CA3,6,26,30,8000,0.144,2,0.0294,0.043,4,0.3554,0.2017
61,1,CA1-DG,1,1,5,8000,0.2213,1,0.0251,-0.0227,0,0.4539,0.2157
61,1,CA1-DG,2,6,10,8000,0.2228,1,0.0255,-0.007,0,0.4331,0.231
61,1,CA1-DG,3,11,15,8000,0.2182,1,0.0244,-0.0103,0,0.4326,0.2671
61,1,CA1-DG,4,16,20,8000,0.2238,1,0.0257,-0.0095,0,0.4192,0.1879
61,1,CA1-DG,5,21,25,8000,0.3273,2,0.0728,-0.0305,0,0.4008,0.6325
61,1,CA1-DG,6,26,30,8000,0.18,1,0.0165,-0.0161,0,0.3592,0.4407
61,1,CA1-V1,1,1,5,8000,0.0822,0,0.0,0.0604,2,0.4502,0.4286
61,1,CA1-V1,2,6,10,8000,0.1783,3,0.0464,0.0281,0,0.4333,0.4125
61,1,CA1-V1,3,11,15,8000,0.1631,1,0.0135,0.0142,0,0.4298,0.3722
61,1,CA1-V1,4,16,20,8000,0.2013,1,0.0207,-0.0102,0,0.4024,0.348
61,1,CA1-V1,5,21,25,8000,0.3044,8,0.1827,-0.0398,0,0.3982,0.3863
61,1,CA1-V1,6,26,30,8000,0.2132,7,0.2641,-0.0188,0,0.3529,0.3375
61,1,CA3-DG,1,1,5,8000,0.3241,3,0.135,-0.0207,0,0.3296,0.2087
61,1,CA3-DG,2,6,10,8000,0.1128,3,0.1552,-0.0219,0,0.3773,0.2324
61,1,CA3-DG,3,11,15,8000,0.394,3,0.3062,-0.0058,0,0.3028,0.2662
61,1,CA3-DG,4,16,20,8000,0.2779,2,0.1097,-0.0202,0,0.2884,0.187
61,1,CA3-DG,5,21,25,8000,0.3318,5,0.167,0.0017,0,0.2564,0.6354
61,1,CA3-DG,6,26,30,8000,0.2339,3,0.1006,-0.1027,0,0.2054,0.4388
61,1,V1-RSC,1,1,5,8000,0.3658,1,0.0718,0.0215,0,0.4228,0.3686
61,1,V1-RSC,2,6,10,8000,0.3811,2,0.1378,0.0239,0,0.4116,0.3572
61,1,V1-RSC,3,11,15,8000,0.3589,3,0.2478,0.0344,0,0.3686,0.3163
61,1,V1-RSC,4,16,20,8000,0.3331,3,0.2099,0.0077,0,0.3428,0.3023
61,1,V1-RSC,5,21,25,8000,-0.2154,4,0.5249,0.0064,0,0.3851,0.2641
61,1,V1-RSC,6,26,30,8000,0.1747,4,0.2247,0.0184,0,0.3371,0.2533
63,1,CA1-RSC,1,1,5,8000,0.0483,0,0.0,0.0807,1,0.0843,0.3177
63,1,CA1-RSC,2,6,10,8000,0.1488,1,0.0112,0.0107,0,0.1212,0.3373
63,1,CA1-RSC,3,11,15,8000,0.1289,1,0.0084,0.0407,1,0.109,0.341
63,1,CA1-RSC,4,16,20,8000,0.0794,0,0.0,0.0124,0,0.0965,0.3221
63,1,CA1-RSC,5,21,25,8000,0.1303,1,0.0086,0.0657,0,0.1221,0.3079
63,1,CA1-RSC,6,26,30,8000,0.1119,1,0.0063,0.037,3,0.1535,0.2681
66,1,CA1-RSC,1,1,5,8000,-0.0252,5,0.0781,0.1261,0,0.3849,0.3134
66,1,CA1-RSC,2,6,10,8000,0.1815,1,0.0167,0.0185,0,0.7823,0.2064
66,1,CA1-RSC,3,11,15,8000,0.1538,3,0.0359,0.0438,0,0.2278,0.1017
66,1,CA1-RSC,4,16,20,8000,0.0149,0,0.0,0.002,2,0.1958,0.1103
66,1,CA1-RSC,5,21,25,8000,0.0919,0,0.0,0.0406,0,0.678,0.1154
66,1,CA1-RSC,6,26,30,8000,0.086,0,0.0,0.0463,0,0.2646,0.1761
66,1,CA1-DG,1,1,5,8000,0.2705,3,0.0733,0.0051,0,0.3933,0.1992
66,1,CA1-DG,2,6,10,8000,0.1958,1,0.0195,-0.0323,0,0.7422,0.1484
66,1,CA1-DG,3,11,15,8000,0.2696,1,0.0377,-0.023,0,0.2581,0.1748
66,1,CA1-DG,4,16,20,8000,0.3002,1,0.0472,-0.0343,0,0.2039,0.1293
66,1,CA1-DG,5,21,25,8000,0.3177,2,0.071,-0.0493,0,0.6305,0.12
66,1,CA1-DG,6,26,30,8000,0.247,1,0.0315,-0.0378,0,0.2919,0.1034
66,1,CA1-V1,1,1,5,8000,0.1828,1,0.017,-0.0042,-5,0.3817,0.077
