animal,learner,pair,dim,ordinal,trial_id,matched,r0,sig,p_perdim,r_frozen,n_bins,n_gaps,vel_mean,vel_median,n_fit_trials
28,1,CA1-CA3,2,2,2,2,0.02485,1,0.00498,0.07903,2612,0,22.122,23.915,127
28,1,CA1-CA3,3,2,2,2,-0.03012,1,0.00498,0.04697,2612,0,22.122,23.915,127
28,1,CA1-CA3,4,2,2,2,-0.04742,1,0.00498,0.03794,2612,0,22.122,23.915,127
28,1,CA1-CA3,5,2,2,2,-0.00914,1,0.00498,0.03739,2612,0,22.122,23.915,127
28,1,CA1-CA3,6,2,2,2,0.01165,1,0.00498,0.03389,2612,0,22.122,23.915,127
28,1,CA1-CA3,7,2,2,2,0.09658,1,0.00498,0.02226,2612,0,22.122,23.915,127
28,1,CA1-CA3,8,2,2,2,-0.01005,1,0.00498,0.018,2612,0,22.122,23.915,127
28,1,CA1-CA3,9,2,2,2,-0.01647,1,0.00498,0.01572,2612,0,22.122,23.915,127
28,1,CA1-CA3,10,2,2,2,-0.01045,1,0.00498,0.0109,2612,0,22.122,23.915,127
28,1,CA1-CA3,1,3,3,0,-0.01823,1,0.00498,0.12582,2895,2,21.525,23.37,127
28,1,CA1-CA3,2,3,3,0,0.07678,1,0.00498,0.07903,2895,2,21.525,23.37,127
28,1,CA1-CA3,3,3,3,0,0.04179,1,0.00498,0.04697,2895,2,21.525,23.37,127
28,1,CA1-CA3,4,3,3,0,0.01968,1,0.00498,0.03794,2895,2,21.525,23.37,127
28,1,CA1-CA3,5,3,3,0,0.02887,1,0.00498,0.03739,2895,2,21.525,23.37,127
28,1,CA1-CA3,6,3,3,0,0.00917,1,0.00498,0.03389,2895,2,21.525,23.37,127
28,1,CA1-CA3,7,3,3,0,0.01328,1,0.00498,0.02226,2895,2,21.525,23.37,127
28,1,CA1-CA3,8,3,3,0,0.034,1,0.00498,0.018,2895,2,21.525,23.37,127
28,1,CA1-CA3,9,3,3,0,0.04027,1,0.00498,0.01572,2895,2,21.525,23.37,127
28,1,CA1-CA3,10,3,3,0,0.02459,1,0.00498,0.0109,2895,2,21.525,23.37,127
28,1,CA1-CA3,1,3,3,2,-0.03718,1,0.00498,0.12582,2612,2,21.34,23.256,127
28,1,CA1-CA3,2,3,3,2,0.0676,1,0.00498,0.07903,2612,2,21.34,23.256,127
28,1,CA1-CA3,3,3,3,2,0.02667,1,0.00498,0.04697,2612,2,21.34,23.256,127
28,1,CA1-CA3,4,3,3,2,0.02122,1,0.00498,0.03794,2612,2,21.34,23.256,127
28,1,CA1-CA3,5,3,3,2,0.02418,1,0.00498,0.03739,2612,2,21.34,23.256,127
28,1,CA1-CA3,6,3,3,2,0.00871,1,0.00498,0.03389,2612,2,21.34,23.256,127
28,1,CA1-CA3,7,3,3,2,0.00667,1,0.00498,0.02226,2612,2,21.34,23.256,127
28,1,CA1-CA3,8,3,3,2,0.0491,1,0.00498,0.018,2612,2,21.34,23.256,127
28,1,CA1-CA3,9,3,3,2,0.05433,1,0.00498,0.01572,2612,2,21.34,23.256,127
28,1,CA1-CA3,10,3,3,2,0.0319,1,0.00498,0.0109,2612,2,21.34,23.256,127
28,1,CA1-CA3,1,4,4,0,-0.05354,1,0.00498,0.12582,3609,4,16.086,16.155,127
28,1,CA1-CA3,2,4,4,0,0.06784,1,0.00498,0.07903,3609,4,16.086,16.155,127
28,1,CA1-CA3,3,4,4,0,0.04549,1,0.00498,0.04697,3609,4,16.086,16.155,127
28,1,CA1-CA3,4,4,4,0,0.00157,1,0.00498,0.03794,3609,4,16.086,16.155,127
28,1,CA1-CA3,5,4,4,0,0.05267,1,0.00498,0.03739,3609,4,16.086,16.155,127
28,1,CA1-CA3,6,4,4,0,-0.02245,1,0.00498,0.03389,3609,4,16.086,16.155,127
28,1,CA1-CA3,7,4,4,0,-0.00973,1,0.00498,0.02226,3609,4,16.086,16.155,127
28,1,CA1-CA3,8,4,4,0,0.00759,1,0.00498,0.018,3609,4,16.086,16.155,127
28,1,CA1-CA3,9,4,4,0,-0.0172,1,0.00498,0.01572,3609,4,16.086,16.155,127
28,1,CA1-CA3,10,4,4,0,0.01137,1,0.00498,0.0109,3609,4,16.086,16.155,127
