animal,pair,dim,epoch,label,label_loo,ifi_fit,cc_heldout,peak_r,ifi,peak_lag_ms
73,CA1-DG,2,expert,FB,FB,-0.17766,0.05569,0.04194,0.3317117664943752,0.0
73,CA1-DG,2,intermediate,FB,FB,-0.17766,0.05569,0.03725,0.07314609011921606,0.0
73,CA1-DG,2,naive,FB,FB,-0.17766,0.05569,0.02655,-0.708955223880597,0.0
73,CA1-DG,3,expert,FB,FB,-0.09837,0.04786,0.02806,0.7417417417417418,240.0
73,CA1-DG,3,intermediate,FB,FB,-0.09837,0.04786,0.01829,0.9546007296311309,0.0
73,CA1-DG,3,naive,FB,FB,-0.09837,0.04786,0.03192,-0.40678466076696174,0.0
73,CA1-DG,4,expert,FF,FB,0.00251,0.03335,0.04127,0.09335233635345612,10.0
73,CA1-DG,4,intermediate,FF,FF,0.00251,0.03335,0.0473,-0.09820288410626966,-10.0
73,CA1-DG,4,naive,FF,FF,0.00251,0.03335,0.02592,-0.19845435987168272,-20.0
73,CA1-DG,5,expert,FB,FB,-0.02386,0.02749,0.01687,-0.4126050420168067,0.0
73,CA1-DG,5,intermediate,FB,FB,-0.02386,0.02749,0.0106,0.599809885931559,-60.0
73,CA1-DG,5,naive,FB,FF,-0.02386,0.02749,0.03161,-0.5293108728943339,-30.0
73,CA1-DG,6,expert,FB,FB,-0.0956,0.02351,0.01771,0.09074187614960148,-190.0
73,CA1-DG,6,intermediate,FB,FB,-0.0956,0.02351,0.03944,-0.3653523670292815,-180.0
73,CA1-DG,6,naive,FB,FB,-0.0956,0.02351,0.01682,-0.32657788071800814,0.0
73,CA1-DG,7,expert,FF,FF,0.08189,0.0224,0.01856,-0.17134539405281765,210.0
73,CA1-DG,7,intermediate,FF,FF,0.08189,0.0224,0.00454,1.0,170.0
73,CA1-DG,7,naive,FF,FF,0.08189,0.0224,0.0268,0.5058462063668174,0.0
73,CA1-DG,8,expert,FB,FB,-0.03738,0.02071,0.02357,0.22710267424137445,0.0
73,CA1-DG,8,intermediate,FB,FB,-0.03738,0.02071,0.02,-0.04884594739667206,0.0
73,CA1-DG,8,naive,FB,FB,-0.03738,0.02071,0.02121,0.010303613133672207,0.0
73,CA1-DG,9,expert,FF,FF,0.00133,0.01592,0.02371,-0.15690485005553495,-40.0
73,CA1-DG,9,intermediate,FF,FF,0.00133,0.01592,0.02157,0.008285532186105794,-110.0
73,CA1-DG,9,naive,FF,FB,0.00133,0.01592,0.02934,0.5237885462555066,-110.0
73,CA1-DG,10,expert,FB,FB,-0.00314,0.01425,0.02135,-0.0027954825002795315,250.0
73,CA1-DG,10,intermediate,FB,FB,-0.00314,0.01425,0.01686,0.0991648267255448,50.0
73,CA1-DG,10,naive,FB,FB,-0.00314,0.01425,0.01362,0.39793388429752063,90.0
73,CA1-RSC,1,expert,FF,FF,0.00437,0.05723,0.03256,-0.17222222222222217,-20.0
73,CA1-RSC,1,intermediate,FF,FF,0.00437,0.05723,0.03631,-0.061176947229818646,0.0
73,CA1-RSC,1,naive,FF,FF,0.00437,0.05723,0.02506,0.47719515978901644,0.0
73,CA1-RSC,2,expert,FF,FF,0.03017,0.04428,0.04836,0.15285156500032002,-110.0
73,CA1-RSC,2,intermediate,FF,FF,0.03017,0.04428,0.06222,0.11474703982777167,50.0
