pair,n_ff,d_ff,t_ff,p_ff,n_fb,d_fb,t_fb,p_fb,n_asym,d_asym,t_asym,p_asym,n_angle,d_angle,t_angle,p_angle
CA1-RSC,8,-0.012275,-0.9469917669466038,0.37517855427666413,8,0.001187500000000001,0.10702877044992135,0.9177690503640469,8,-0.013462500000000002,-0.8525730970692815,0.4221052616899894,8,1.7100000000000009,0.2436758669001954,0.814469139736795
CA1-CA3,7,0.01952857142857143,0.6232603841861619,0.5560483004425009,7,0.03135714285714287,1.1613446132728538,0.28961035941426255,7,-0.011828571428571435,-0.9805949055050961,0.36466205457740875,7,4.865714285714286,0.46883288235851184,0.6557390283859699
CA1-DG,8,0.0170375,1.2752810408135336,0.24290061137817068,8,-0.004312500000000003,-0.4831557075221599,0.6437304197798033,8,0.02135,1.2992173733304835,0.2350216707733868,8,4.179999999999999,1.6537109228177929,0.14216328564471356
CA1-V1,10,0.0024899999999999983,0.1631281670315227,0.8740217188095172,10,-0.014909999999999998,-0.902487388158844,0.3903121294503771,10,0.0174,0.9677295625615161,0.3584637796309984,10,5.291,0.8779591756968728,0.40279491685936286
CA3-DG,4,0.0535,2.688832653477462,0.07448791375848302,4,-0.004925000000000006,-0.29488782167754596,0.787309056671031,4,0.058425000000000005,2.793720906522937,0.06820758349540072,4,-2.4425,-0.2762646893914787,0.8002837878348112
CA1-SUB,4,0.00365,0.5525389951514649,0.6190810327021987,4,0.004924999999999997,0.22708379258859568,0.8349533218867301,4,-0.0012749999999999984,-0.045481824771906015,0.9665814340280454,4,6.707500000000001,2.4945938930926523,0.0881258874873096
RSC-SUB,4,-0.008075000000000002,-0.5430596631434692,0.6248396580282869,4,-0.0013000000000000008,-0.05949288116247371,0.9563008354784337,4,-0.0067750000000000015,-0.3079596489948049,0.7782565805625491,4,6.59,0.51944198070686,0.6393435976092587
V1-RSC,6,-0.06381666666666667,-2.024309153030739,0.0988256559544837,6,-0.05301666666666668,-2.4828918559048696,0.0556435079143895,6,-0.010799999999999997,-0.5482760956449931,0.6070827016473779,6,-12.89,-0.809680150233162,0.45491459298996073
