animal,learner,pair,bin_ms,n_bins,window_bins,window_ms,ifi,cc_pos,cc_neg,peak_lag_bins,peak_lag_ms
34,1,CA1-V1,25,86590,9,225,-0.0092,0.2124,0.2164,-12,-300
34,1,CA1-V1,25,86590,10,250,-0.0112,0.2122,0.217,-12,-300
34,1,CA1-V1,25,86590,11,275,-0.0112,0.2125,0.2173,-12,-300
34,1,CA1-V1,25,86590,12,300,-0.0133,0.2124,0.2181,-12,-300
36,1,CA1-V1,25,93473,1,25,0.0664,0.1149,0.1006,11,275
36,1,CA1-V1,25,93473,2,50,0.0381,0.1149,0.1064,11,275
36,1,CA1-V1,25,93473,3,75,0.0298,0.1135,0.107,11,275
36,1,CA1-V1,25,93473,4,100,0.0304,0.1138,0.1071,11,275
36,1,CA1-V1,25,93473,5,125,0.041,0.1145,0.1055,11,275
36,1,CA1-V1,25,93473,6,150,0.0456,0.114,0.1041,11,275
36,1,CA1-V1,25,93473,7,175,0.0426,0.1154,0.106,11,275
36,1,CA1-V1,25,93473,8,200,0.0461,0.1163,0.106,11,275
36,1,CA1-V1,25,93473,9,225,0.0478,0.1167,0.1061,11,275
36,1,CA1-V1,25,93473,10,250,0.055,0.1175,0.1052,11,275
36,1,CA1-V1,25,93473,11,275,0.0588,0.1185,0.1053,11,275
36,1,CA1-V1,25,93473,12,300,0.0568,0.1187,0.106,11,275
41,1,CA1-CA3,25,135747,1,25,0.0485,0.3054,0.2771,0,0
41,1,CA1-CA3,25,135747,2,50,0.0692,0.277,0.2412,0,0
41,1,CA1-CA3,25,135747,3,75,0.0621,0.2529,0.2234,0,0
41,1,CA1-CA3,25,135747,4,100,0.0355,0.2349,0.2188,0,0
41,1,CA1-CA3,25,135747,5,125,0.0277,0.2261,0.214,0,0
41,1,CA1-CA3,25,135747,6,150,0.0219,0.2155,0.2063,0,0
41,1,CA1-CA3,25,135747,7,175,0.0123,0.2056,0.2006,0,0
41,1,CA1-CA3,25,135747,8,200,0.0043,0.1981,0.1965,0,0
41,1,CA1-CA3,25,135747,9,225,0.0012,0.1907,0.1902,0,0
41,1,CA1-CA3,25,135747,10,250,-0.0021,0.1846,0.1854,0,0
41,1,CA1-CA3,25,135747,11,275,-0.0017,0.1804,0.181,0,0
41,1,CA1-CA3,25,135747,12,300,-0.0006,0.1749,0.1751,0,0
41,1,CA1-V1,25,135747,1,25,0.024,0.1323,0.1261,-11,-275
41,1,CA1-V1,25,135747,2,50,0.0331,0.1322,0.1237,-11,-275
41,1,CA1-V1,25,135747,3,75,0.0281,0.1303,0.1231,-11,-275
41,1,CA1-V1,25,135747,4,100,0.0179,0.1288,0.1242,-11,-275
41,1,CA1-V1,25,135747,5,125,0.0089,0.1278,0.1255,-11,-275
41,1,CA1-V1,25,135747,6,150,0.0071,0.1274,0.1256,-11,-275
41,1,CA1-V1,25,135747,7,175,0.0077,0.1276,0.1257,-11,-275
41,1,CA1-V1,25,135747,8,200,0.0097,0.128,0.1255,-11,-275
41,1,CA1-V1,25,135747,9,225,0.0092,0.1279,0.1256,-11,-275
41,1,CA1-V1,25,135747,10,250,0.0058,0.1276,0.1261,-11,-275
41,1,CA1-V1,25,135747,11,275,0.0033,0.1277,0.1269,-11,-275
41,1,CA1-V1,25,135747,12,300,0.0024,0.1278,0.1272,-11,-275
52,1,CA1-RSC,25,106937,1,25,0.1606,0.0559,0.0404,0,0
52,1,CA1-RSC,25,106937,2,50,0.0997,0.0522,0.0427,0,0
52,1,CA1-RSC,25,106937,3,75,0.0916,0.0486,0.0404,0,0
52,1,CA1-RSC,25,106937,4,100,0.0612,0.0455,0.0402,0,0
52,1,CA1-RSC,25,106937,5,125,0.0478,0.0435,0.0395,0,0
52,1,CA1-RSC,25,106937,6,150,0.0696,0.0429,0.0373,0,0
52,1,CA1-RSC,25,106937,7,175,0.0627,0.0421,0.0371,0,0
52,1,CA1-RSC,25,106937,8,200,0.0514,0.0413,0.0373,0,0
52,1,CA1-RSC,25,106937,9,225,0.0514,0.0408,0.0368,0,0
52,1,CA1-RSC,25,106937,10,250,0.057,0.0399,0.0356,0,0
52,1,CA1-RSC,25,106937,11,275,0.0538,0.0393,0.0353,0,0
52,1,CA1-RSC,25,106937,12,300,0.0553,0.039,0.0349,0,0
52,1,CA1-CA3,25,106937,1,25,0.0533,0.1493,0.1342,0,0
52,1,CA1-CA3,25,106937,2,50,-0.0178,0.1186,0.1229,0,0
52,1,CA1-CA3,25,106937,3,75,0.0097,0.1138,0.1117,0,0
52,1,CA1-CA3,25,106937,4,100,0.0495,0.1143,0.1035,0,0
52,1,CA1-CA3,25,106937,5,125,0.0573,0.113,0.1007,0,0
52,1,CA1-CA3,25,106937,6,150,0.0382,0.1091,0.101,0,0
52,1,CA1-CA3,25,106937,7,175,0.0183,0.1031,0.0994,0,0
52,1,CA1-CA3,25,106937,8,200,0.0191,0.0982,0.0945,0,0
52,1,CA1-CA3,25,106937,9,225,0.0311,0.0967,0.0909,0,0
52,1,CA1-CA3,25,106937,10,250,0.0408,0.0964,0.0888,0,0
52,1,CA1-CA3,25,106937,11,275,0.0366,0.0955,0.0888,0,0
52,1,CA1-CA3,25,106937,12,300,0.0351,0.0938,0.0875,0,0
52,1,CA1-DG,25,106937,1,25,-0.0291,0.1036,0.1098,0,0
52,1,CA1-DG,25,106937,2,50,0.0576,0.1205,0.1074,0,0
52,1,CA1-DG,25,106937,3,75,0.036,0.1194,0.1111,0,0
52,1,CA1-DG,25,106937,4,100,0.0058,0.1076,0.1063,0,0
52,1,CA1-DG,25,106937,5,125,0.0005,0.1085,0.1084,0,0
52,1,CA1-DG,25,106937,6,150,-0.0053,0.1086,0.1098,0,0
52,1,CA1-DG,25,106937,7,175,-0.0018,0.103,0.1034,0,0
52,1,CA1-DG,25,106937,8,200,0.007,0.1021,0.1007,0,0
52,1,CA1-DG,25,106937,9,225,0.0059,0.099,0.0978,0,0
52,1,CA1-DG,25,106937,10,250,0.0093,0.0964,0.0946,0,0
52,1,CA1-DG,25,106937,11,275,0.0049,0.0964,0.0955,0,0
52,1,CA1-DG,25,106937,12,300,-0.001,0.0939,0.0941,0,0
52,1,CA1-V1,25,106937,1,25,-0.0006,0.1843,0.1845,0,0
52,1,CA1-V1,25,106937,2,50,-0.0107,0.1809,0.1848,0,0
52,1,CA1-V1,25,106937,3,75,-0.0212,0.178,0.1857,0,0
52,1,CA1-V1,25,106937,4,100,-0.0267,0.1757,0.1854,0,0
52,1,CA1-V1,25,106937,5,125,-0.0361,0.1739,0.1869,0,0
52,1,CA1-V1,25,106937,6,150,-0.0386,0.1739,0.1879,0,0
52,1,CA1-V1,25,106937,7,175,-0.0405,0.1736,0.1883,0,0
52,1,CA1-V1,25,106937,8,200,-0.0459,0.1726,0.1892,0,0
52,1,CA1-V1,25,106937,9,225,-0.0503,0.1719,0.1901,0,0
52,1,CA1-V1,25,106937,10,250,-0.0562,0.1707,0.191,0,0
52,1,CA1-V1,25,106937,11,275,-0.0604,0.1701,0.192,0,0
52,1,CA1-V1,25,106937,12,300,-0.0675,0.1683,0.1926,0,0
52,1,CA3-DG,25,106937,1,25,0.0057,0.3236,0.32,0,0
52,1,CA3-DG,25,106937,2,50,-0.0017,0.2843,0.2852,0,0
52,1,CA3-DG,25,106937,3,75,0.0028,0.2599,0.2584,0,0
52,1,CA3-DG,25,106937,4,100,0.0176,0.2553,0.2465,0,0
52,1,CA3-DG,25,106937,5,125,0.0324,0.2543,0.2384,0,0
52,1,CA3-DG,25,106937,6,150,0.024,0.2465,0.2349,0,0
52,1,CA3-DG,25,106937,7,175,0.0255,0.2409,0.2289,0,0
52,1,CA3-DG,25,106937,8,200,0.0322,0.2319,0.2174,0,0
52,1,CA3-DG,25,106937,9,225,0.0294,0.2238,0.211,0,0
52,1,CA3-DG,25,106937,10,250,0.0342,0.221,0.2064,0,0
52,1,CA3-DG,25,106937,11,275,0.0313,0.216,0.2029,0,0
52,1,CA3-DG,25,106937,12,300,0.0305,0.2119,0.1993,0,0
52,1,V1-RSC,25,106937,1,25,0.0492,0.1166,0.1057,0,0
52,1,V1-RSC,25,106937,2,50,0.0411,0.1149,0.1058,0,0
52,1,V1-RSC,25,106937,3,75,0.0301,0.1138,0.1072,0,0
52,1,V1-RSC,25,106937,4,100,0.0282,0.1146,0.1083,0,0
52,1,V1-RSC,25,106937,5,125,0.0301,0.1153,0.1085,0,0
52,1,V1-RSC,25,106937,6,150,0.0317,0.1155,0.1084,0,0
52,1,V1-RSC,25,106937,7,175,0.0364,0.1154,0.1073,0,0
52,1,V1-RSC,25,106937,8,200,0.0349,0.1155,0.1077,0,0
52,1,V1-RSC,25,106937,9,225,0.0349,0.1153,0.1075,0,0
52,1,V1-RSC,25,106937,10,250,0.0348,0.1152,0.1075,0,0
52,1,V1-RSC,25,106937,11,275,0.0381,0.1157,0.1072,0,0
52,1,V1-RSC,25,106937,12,300,0.037,0.115,0.1068,0,0
61,1,CA1-RSC,25,129346,1,25,0.0835,0.1675,0.1417,1,25
61,1,CA1-RSC,25,129346,2,50,0.0776,0.1626,0.1392,1,25
61,1,CA1-RSC,25,129346,3,75,0.0525,0.1578,0.142,1,25
61,1,CA1-RSC,25,129346,4,100,0.0462,0.1554,0.1416,1,25
61,1,CA1-RSC,25,129346,5,125,0.0329,0.1537,0.1439,1,25
61,1,CA1-RSC,25,129346,6,150,0.0284,0.1539,0.1454,1,25
61,1,CA1-RSC,25,129346,7,175,0.0333,0.1542,0.1443,1,25
61,1,CA1-RSC,25,129346,8,200,0.0332,0.1536,0.1437,1,25
61,1,CA1-RSC,25,129346,9,225,0.0293,0.1522,0.1435,1,25
61,1,CA1-RSC,25,129346,10,250,0.0241,0.1513,0.1442,1,25
61,1,CA1-RSC,25,129346,11,275,0.0199,0.1505,0.1446,1,25
61,1,CA1-RSC,25,129346,12,300,0.0212,0.1505,0.1442,1,25
61,1,CA1-CA3,25,129346,1,25,-0.1102,0.1812,0.2261,0,0
61,1,CA1-CA3,25,129346,2,50,-0.0143,0.182,0.1873,0,0
61,1,CA1-CA3,25,129346,3,75,-0.0205,0.1651,0.172,0,0
61,1,CA1-CA3,25,129346,4,100,-0.0497,0.1583,0.1748,0,0
61,1,CA1-CA3,25,129346,5,125,-0.025,0.1586,0.1668,0,0
61,1,CA1-CA3,25,129346,6,150,-0.0415,0.1502,0.1632,0,0
61,1,CA1-CA3,25,129346,7,175,-0.0453,0.1475,0.1615,0,0
61,1,CA1-CA3,25,129346,8,200,-0.0323,0.1433,0.1529,0,0
61,1,CA1-CA3,25,129346,9,225,-0.0468,0.136,0.1493,0,0
61,1,CA1-CA3,25,129346,10,250,-0.0478,0.1336,0.147,0,0
61,1,CA1-CA3,25,129346,11,275,-0.0435,0.1303,0.1422,0,0
61,1,CA1-CA3,25,129346,12,300,-0.0536,0.126,0.1403,0,0
61,1,CA1-DG,25,129346,1,25,-0.035,0.1077,0.1154,0,0
61,1,CA1-DG,25,129346,2,50,-0.134,0.0919,0.1203,0,0
61,1,CA1-DG,25,129346,3,75,-0.073,0.1015,0.1175,0,0
61,1,CA1-DG,25,129346,4,100,-0.0288,0.0985,0.1044,0,0
61,1,CA1-DG,25,129346,5,125,-0.0356,0.0986,0.1059,0,0
61,1,CA1-DG,25,129346,6,150,-0.0301,0.1003,0.1065,0,0
61,1,CA1-DG,25,129346,7,175,-0.0289,0.0947,0.1003,0,0
61,1,CA1-DG,25,129346,8,200,-0.0365,0.0915,0.0984,0,0
61,1,CA1-DG,25,129346,9,225,-0.0225,0.0903,0.0945,0,0
61,1,CA1-DG,25,129346,10,250,-0.0281,0.0868,0.0919,0,0
61,1,CA1-DG,25,129346,11,275,-0.0364,0.0855,0.092,0,0
61,1,CA1-DG,25,129346,12,300,-0.0318,0.0844,0.09,0,0
61,1,CA1-V1,25,129346,1,25,-0.0464,0.0997,0.1094,0,0
61,1,CA1-V1,25,129346,2,50,-0.0503,0.101,0.1117,0,0
61,1,CA1-V1,25,129346,3,75,-0.0404,0.1044,0.1131,0,0
61,1,CA1-V1,25,129346,4,100,-0.0177,0.1067,0.1106,0,0
61,1,CA1-V1,25,129346,5,125,-0.0088,0.1085,0.1105,0,0
61,1,CA1-V1,25,129346,6,150,0.005,0.1097,0.1086,0,0
61,1,CA1-V1,25,129346,7,175,0.0049,0.1094,0.1083,0,0
61,1,CA1-V1,25,129346,8,200,0.0072,0.1098,0.1082,0,0
61,1,CA1-V1,25,129346,9,225,0.0077,0.11,0.1083,0,0
61,1,CA1-V1,25,129346,10,250,0.0068,0.1106,0.1091,0,0
61,1,CA1-V1,25,129346,11,275,0.0067,0.1103,0.1089,0,0
61,1,CA1-V1,25,129346,12,300,0.0016,0.1103,0.1099,0,0
61,1,CA3-DG,25,129346,1,25,-0.1404,0.2269,0.3009,0,0
61,1,CA3-DG,25,129346,2,50,-0.1166,0.2059,0.2602,0,0
61,1,CA3-DG,25,129346,3,75,-0.0895,0.1973,0.2362,0,0
61,1,CA3-DG,25,129346,4,100,-0.0878,0.184,0.2194,0,0
61,1,CA3-DG,25,129346,5,125,-0.0686,0.1793,0.2057,0,0
61,1,CA3-DG,25,129346,6,150,-0.0628,0.1767,0.2003,0,0
61,1,CA3-DG,25,129346,7,175,-0.054,0.1687,0.1879,0,0
61,1,CA3-DG,25,129346,8,200,-0.0393,0.163,0.1763,0,0
61,1,CA3-DG,25,129346,9,225,-0.0342,0.1573,0.1685,0,0
61,1,CA3-DG,25,129346,10,250,-0.0282,0.1521,0.161,0,0
61,1,CA3-DG,25,129346,11,275,-0.0246,0.1503,0.1578,0,0
61,1,CA3-DG,25,129346,12,300,-0.0263,0.1471,0.155,0,0
61,1,V1-RSC,25,129346,1,25,-0.0005,0.346,0.3463,0,0
61,1,V1-RSC,25,129346,2,50,0.002,0.3436,0.3422,0,0
61,1,V1-RSC,25,129346,3,75,0.0053,0.3437,0.3401,0,0
61,1,V1-RSC,25,129346,4,100,0.006,0.3431,0.3391,0,0
61,1,V1-RSC,25,129346,5,125,0.0065,0.3427,0.3382,0,0
61,1,V1-RSC,25,129346,6,150,0.0066,0.3413,0.3369,0,0
61,1,V1-RSC,25,129346,7,175,0.0067,0.3403,0.3357,0,0
61,1,V1-RSC,25,129346,8,200,0.0071,0.3392,0.3344,0,0
61,1,V1-RSC,25,129346,9,225,0.0072,0.338,0.3332,0,0
61,1,V1-RSC,25,129346,10,250,0.008,0.3374,0.332,0,0
61,1,V1-RSC,25,129346,11,275,0.008,0.3365,0.3311,0,0
61,1,V1-RSC,25,129346,12,300,0.0098,0.3357,0.3292,0,0
63,1,CA1-RSC,25,275550,1,25,-0.0251,0.1224,0.1287,2,50
63,1,CA1-RSC,25,275550,2,50,0.0808,0.1366,0.1161,2,50
63,1,CA1-RSC,25,275550,3,75,0.0492,0.134,0.1215,2,50
63,1,CA1-RSC,25,275550,4,100,0.0092,0.124,0.1217,2,50
63,1,CA1-RSC,25,275550,5,125,0.0255,0.1242,0.118,2,50
63,1,CA1-RSC,25,275550,6,150,0.0169,0.1234,0.1193,2,50
63,1,CA1-RSC,25,275550,7,175,0.0122,0.1201,0.1172,2,50
63,1,CA1-RSC,25,275550,8,200,0.024,0.1198,0.1141,2,50
63,1,CA1-RSC,25,275550,9,225,0.0184,0.1176,0.1133,2,50
63,1,CA1-RSC,25,275550,10,250,0.0113,0.1138,0.1112,2,50
63,1,CA1-RSC,25,275550,11,275,0.0142,0.1126,0.1095,2,50
63,1,CA1-RSC,25,275550,12,300,0.0107,0.1111,0.1088,2,50
66,1,CA1-RSC,25,168677,1,25,0.1356,0.0889,0.0677,2,50
66,1,CA1-RSC,25,168677,2,50,0.1423,0.0937,0.0703,2,50
66,1,CA1-RSC,25,168677,3,75,0.1162,0.0947,0.075,2,50
66,1,CA1-RSC,25,168677,4,100,0.0918,0.0919,0.0765,2,50
66,1,CA1-RSC,25,168677,5,125,0.053,0.0867,0.078,2,50
66,1,CA1-RSC,25,168677,6,150,0.0387,0.0831,0.0769,2,50
66,1,CA1-RSC,25,168677,7,175,0.0301,0.0816,0.0769,2,50
66,1,CA1-RSC,25,168677,8,200,0.0332,0.0819,0.0766,2,50
66,1,CA1-RSC,25,168677,9,225,0.0304,0.0821,0.0773,2,50
66,1,CA1-RSC,25,168677,10,250,0.0202,0.081,0.0778,2,50
66,1,CA1-RSC,25,168677,11,275,0.009,0.0791,0.0777,2,50
66,1,CA1-RSC,25,168677,12,300,0.0063,0.0782,0.0772,2,50
66,1,CA1-DG,25,168677,1,25,0.0825,0.2818,0.2389,0,0
66,1,CA1-DG,25,168677,2,50,0.0388,0.2589,0.2395,0,0
66,1,CA1-DG,25,168677,3,75,0.0514,0.2532,0.2285,0,0
66,1,CA1-DG,25,168677,4,100,0.0855,0.2577,0.2171,0,0
66,1,CA1-DG,25,168677,5,125,0.0832,0.2536,0.2146,0,0
66,1,CA1-DG,25,168677,6,150,0.087,0.2464,0.207,0,0
66,1,CA1-DG,25,168677,7,175,0.0828,0.2401,0.2034,0,0
66,1,CA1-DG,25,168677,8,200,0.0715,0.2308,0.2001,0,0
66,1,CA1-DG,25,168677,9,225,0.0704,0.2241,0.1947,0,0
66,1,CA1-DG,25,168677,10,250,0.0782,0.2204,0.1884,0,0
66,1,CA1-DG,25,168677,11,275,0.0769,0.2152,0.1845,0,0
66,1,CA1-DG,25,168677,12,300,0.0777,0.2098,0.1795,0,0
66,1,CA1-V1,25,168677,1,25,0.042,0.0765,0.0704,0,0
66,1,CA1-V1,25,168677,2,50,0.0439,0.0778,0.0712,0,0
66,1,CA1-V1,25,168677,3,75,0.009,0.0756,0.0742,0,0
66,1,CA1-V1,25,168677,4,100,-0.0112,0.0729,0.0745,0,0
66,1,CA1-V1,25,168677,5,125,-0.0253,0.0715,0.0752,0,0
66,1,CA1-V1,25,168677,6,150,-0.0327,0.0708,0.0756,0,0
66,1,CA1-V1,25,168677,7,175,-0.0393,0.07,0.0757,0,0
66,1,CA1-V1,25,168677,8,200,-0.0408,0.07,0.0759,0,0
66,1,CA1-V1,25,168677,9,225,-0.0463,0.0701,0.0769,0,0
66,1,CA1-V1,25,168677,10,250,-0.0528,0.0696,0.0773,0,0
66,1,CA1-V1,25,168677,11,275,-0.0548,0.0694,0.0775,0,0
66,1,CA1-V1,25,168677,12,300,-0.054,0.0695,0.0774,0,0
66,1,CA1-SUB,25,168677,1,25,-0.1369,0.1032,0.1359,0,0
66,1,CA1-SUB,25,168677,2,50,-0.1411,0.0961,0.1276,0,0
66,1,CA1-SUB,25,168677,3,75,-0.0919,0.0977,0.1175,0,0
66,1,CA1-SUB,25,168677,4,100,-0.0408,0.1019,0.1106,0,0
66,1,CA1-SUB,25,168677,5,125,-0.0104,0.1081,0.1104,0,0
66,1,CA1-SUB,25,168677,6,150,-0.0177,0.1088,0.1127,0,0
66,1,CA1-SUB,25,168677,7,175,-0.051,0.103,0.1141,0,0
66,1,CA1-SUB,25,168677,8,200,-0.0645,0.0996,0.1133,0,0
66,1,CA1-SUB,25,168677,9,225,-0.0595,0.0989,0.1114,0,0
66,1,CA1-SUB,25,168677,10,250,-0.0538,0.0989,0.1102,0,0
66,1,CA1-SUB,25,168677,11,275,-0.0497,0.0994,0.1098,0,0
66,1,CA1-SUB,25,168677,12,300,-0.0561,0.0982,0.1098,0,0
66,1,RSC-SUB,25,168677,1,25,0.2064,0.0756,0.0497,0,0
66,1,RSC-SUB,25,168677,2,50,0.1588,0.0714,0.0518,0,0
66,1,RSC-SUB,25,168677,3,75,0.0767,0.0666,0.0571,0,0
66,1,RSC-SUB,25,168677,4,100,0.0525,0.0652,0.0587,0,0
66,1,RSC-SUB,25,168677,5,125,0.0211,0.0644,0.0617,0,0
66,1,RSC-SUB,25,168677,6,150,0.016,0.0634,0.0614,0,0
66,1,RSC-SUB,25,168677,7,175,0.0238,0.0634,0.0605,0,0
66,1,RSC-SUB,25,168677,8,200,0.0275,0.0636,0.0602,0,0
66,1,RSC-SUB,25,168677,9,225,0.0236,0.063,0.0601,0,0
66,1,RSC-SUB,25,168677,10,250,0.0162,0.0625,0.0605,0,0
66,1,RSC-SUB,25,168677,11,275,0.0119,0.0622,0.0607,0,0
66,1,RSC-SUB,25,168677,12,300,0.0188,0.0628,0.0605,0,0
66,1,V1-RSC,25,168677,1,25,0.0161,0.1287,0.1246,0,0
66,1,V1-RSC,25,168677,2,50,0.0011,0.1221,0.1218,0,0
66,1,V1-RSC,25,168677,3,75,-0.0106,0.1187,0.1212,0,0
66,1,V1-RSC,25,168677,4,100,-0.0195,0.1138,0.1183,0,0
66,1,V1-RSC,25,168677,5,125,-0.027,0.1096,0.1156,0,0
66,1,V1-RSC,25,168677,6,150,-0.0348,0.106,0.1136,0,0
66,1,V1-RSC,25,168677,7,175,-0.0336,0.1039,0.1111,0,0
66,1,V1-RSC,25,168677,8,200,-0.038,0.101,0.109,0,0
66,1,V1-RSC,25,168677,9,225,-0.0459,0.0984,0.1079,0,0
66,1,V1-RSC,25,168677,10,250,-0.0513,0.0964,0.1068,0,0
66,1,V1-RSC,25,168677,11,275,-0.0556,0.0945,0.1056,0,0
66,1,V1-RSC,25,168677,12,300,-0.0586,0.0926,0.1041,0,0
68,1,CA1-RSC,25,228952,1,25,-0.0915,0.0548,0.0658,0,0
68,1,CA1-RSC,25,228952,2,50,0.0023,0.061,0.0607,0,0
68,1,CA1-RSC,25,228952,3,75,-0.0045,0.0591,0.0596,0,0
68,1,CA1-RSC,25,228952,4,100,-0.0059,0.0596,0.0603,0,0
68,1,CA1-RSC,25,228952,5,125,0.0093,0.0608,0.0596,0,0
68,1,CA1-RSC,25,228952,6,150,0.0156,0.0613,0.0594,0,0
68,1,CA1-RSC,25,228952,7,175,0.0108,0.0611,0.0598,0,0
68,1,CA1-RSC,25,228952,8,200,0.0133,0.0609,0.0593,0,0
68,1,CA1-RSC,25,228952,9,225,0.009,0.0601,0.059,0,0
68,1,CA1-RSC,25,228952,10,250,0.0086,0.0598,0.0588,0,0
68,1,CA1-RSC,25,228952,11,275,0.0047,0.0595,0.059,0,0
68,1,CA1-RSC,25,228952,12,300,0.0002,0.0592,0.0591,0,0
68,1,CA1-CA3,25,228952,1,25,0.1311,0.2624,0.2016,0,0
