animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
28,1,CA1-CA3,session,900,0.1895,0.0876,2,0.0474,-0.3634,0,0.3548,0.5672
28,1,CA1-CA3,naive,900,0.0988,-0.0836,1,0.0049,0.3777,3,0.4539,0.8443
28,1,CA1-CA3,intermediate,900,0.1277,0.133,3,0.0236,0.0336,1,0.3562,0.7468
28,1,CA1-CA3,expert,900,0.1311,-0.0304,1,0.0087,0.1423,6,0.3838,0.5516
28,1,CA1-DG,session,900,0.2036,0.1857,2,0.0338,-0.3694,0,0.325,0.2369
28,1,CA1-DG,naive,900,0.2342,0.2083,1,0.0282,0.3097,0,0.451,0.3427
28,1,CA1-DG,intermediate,900,0.1666,0.1374,2,0.0455,-0.3289,0,0.4257,0.3505
28,1,CA1-DG,expert,900,0.2562,0.0828,1,0.0339,0.2089,0,0.4067,0.3645
28,1,CA1-V1,session,900,0.0669,0.0567,0,0.0,0.3353,8,0.3396,0.302
28,1,CA1-V1,naive,900,0.2354,0.2073,1,0.0285,0.1622,0,0.4178,0.4526
28,1,CA1-V1,intermediate,900,0.1565,0.0628,1,0.0124,-0.0603,5,0.4778,0.3433
28,1,CA1-V1,expert,900,0.1449,-0.0514,2,0.02,0.1949,4,0.402,0.3392
28,1,CA3-DG,session,900,0.061,0.0536,1,0.0088,-0.194,-6,0.5475,0.2733
28,1,CA3-DG,naive,900,0.0605,0.0687,2,0.0099,0.2529,6,0.8026,0.3117
28,1,CA3-DG,intermediate,900,0.1964,0.2428,2,0.0324,-0.2831,-2,0.7132,0.3444
28,1,CA3-DG,expert,900,0.1573,0.0785,1,0.0125,-0.056,0,0.4249,0.3006
34,1,CA1-CA3,session,900,0.3399,0.2086,3,0.0724,-0.4809,0,0.5593,0.3855
34,1,CA1-CA3,naive,900,0.3895,0.3213,1,0.0823,0.1627,0,0.4239,0.5008
34,1,CA1-CA3,intermediate,900,0.3075,0.1638,3,0.0738,0.02,0,0.4327,0.3946
34,1,CA1-CA3,expert,900,0.3282,0.1144,1,0.057,-0.2094,0,0.4329,0.5725
34,1,CA1-V1,session,900,0.0583,0.0462,0,0.0,-0.1773,-6,0.4568,0.2854
34,1,CA1-V1,naive,900,0.1036,0.262,2,0.0117,0.2957,3,0.5157,0.3375
34,1,CA1-V1,intermediate,900,0.3451,-0.0295,1,0.0634,-0.2828,-1,0.3898,0.3519
34,1,CA1-V1,expert,900,0.3173,0.2501,1,0.0531,-0.0315,0,0.4368,0.3301
36,1,CA1-V1,session,900,-0.0267,-0.0181,0,0.0,0.11,3,0.3497,0.2288
36,1,CA1-V1,naive,900,0.0882,0.1533,0,0.0,0.4554,2,0.447,0.2152
36,1,CA1-V1,intermediate,900,-0.0305,-0.0606,0,0.0,-0.1217,2,0.4307,0.2208
36,1,CA1-V1,expert,900,0.0778,0.0801,1,0.0059,-0.2207,-5,0.4251,0.2621
41,1,CA1-CA3,session,900,0.2846,-0.0556,3,0.082,0.296,0,0.3662,0.4816
41,1,CA1-CA3,naive,900,0.1496,0.606,2,0.0142,-0.4385,0,0.5265,0.5202
41,1,CA1-CA3,intermediate,900,0.2901,-0.1489,3,0.0813,-0.398,0,0.549,0.5384
41,1,CA1-CA3,expert,900,0.5227,0.0639,3,0.1978,0.1255,0,0.47,0.3988
41,1,CA1-V1,session,900,-0.0189,0.0283,1,0.0053,0.4239,-4,0.3646,0.2626
41,1,CA1-V1,naive,900,0.0198,-0.1415,0,0.0,0.1497,1,0.3837,0.3255
41,1,CA1-V1,intermediate,900,0.0339,0.0344,1,0.0107,-0.1772,-3,0.5025,0.3151
41,1,CA1-V1,expert,900,0.131,0.0645,0,0.0,-0.0569,-3,0.4152,0.3507
52,1,CA1-RSC,session,900,0.0157,0.08,0,0.0,0.0298,-4,0.3403,0.419
52,1,CA1-RSC,naive,900,-0.0239,-0.141,0,0.0,-0.2972,-5,0.4196,0.1905
52,1,CA1-RSC,intermediate,900,0.123,0.1113,2,0.0168,-0.7229,-3,0.3234,0.3501
52,1,CA1-RSC,expert,900,0.0095,-0.0765,0,0.0,0.2748,5,0.3835,0.2558
52,1,CA1-CA3,session,900,0.107,0.2458,1,0.0058,0.1456,7,0.3432,0.4127
52,1,CA1-CA3,naive,900,0.2307,0.144,3,0.0393,-0.1414,0,0.4495,0.517
52,1,CA1-CA3,intermediate,900,0.4213,0.098,2,0.1072,0.6222,0,0.3419,0.4166
52,1,CA1-CA3,expert,900,-0.0048,-0.003,0,0.0,0.1061,2,0.3739,0.4262
52,1,CA1-DG,session,900,0.098,0.1244,1,0.0048,-0.0717,0,0.3485,0.3232
52,1,CA1-DG,naive,900,0.109,0.0876,1,0.006,0.4776,8,0.4643,0.3351
52,1,CA1-DG,intermediate,900,0.0194,-0.4361,0,0.0,0.5614,8,0.3462,0.2547
52,1,CA1-DG,expert,900,0.2576,0.4084,3,0.0547,0.0524,0,0.3149,0.3032
52,1,CA1-V1,session,900,0.0779,0.1187,1,0.0173,-0.2292,-1,0.3592,0.2978
52,1,CA1-V1,naive,900,0.1543,-0.0395,2,0.0158,0.5366,0,0.4174,0.2663
52,1,CA1-V1,intermediate,900,0.0019,0.1786,1,0.0058,-0.5947,-4,0.3689,0.3192
52,1,CA1-V1,expert,900,0.2825,0.1104,3,0.0677,0.0576,0,0.3891,0.3288
52,1,CA3-DG,session,900,0.5231,0.4456,3,0.2751,-0.3044,0,0.5018,0.3577
52,1,CA3-DG,naive,900,0.5421,0.769,3,0.2871,0.1601,0,0.4924,0.4451
52,1,CA3-DG,intermediate,900,0.5,0.5999,3,0.283,-0.1265,0,0.4437,0.3965
52,1,CA3-DG,expert,900,0.4951,0.5154,3,0.2768,-0.3288,0,0.4805,0.3393
52,1,V1-RSC,session,900,0.1278,0.0085,1,0.0082,0.5589,3,0.2766,0.2428
52,1,V1-RSC,naive,900,0.1569,0.0669,3,0.0326,-0.1442,7,0.3163,0.2588
52,1,V1-RSC,intermediate,900,0.1639,-0.0004,1,0.0136,0.3264,8,0.2987,0.258
52,1,V1-RSC,expert,900,0.2107,0.2388,1,0.0227,-0.3895,0,0.3058,0.28
61,1,CA1-RSC,session,900,0.043,0.0916,0,0.0,-0.0708,-1,0.3139,0.2617
61,1,CA1-RSC,naive,900,0.0177,-0.0598,0,0.0,0.2137,7,0.4799,0.3139
61,1,CA1-RSC,intermediate,900,0.118,-0.0052,0,0.0,0.3988,3,0.3762,0.274
61,1,CA1-RSC,expert,900,0.0462,0.1019,1,0.0126,-0.4131,-3,0.396,0.2857
61,1,CA1-CA3,session,900,0.052,-0.026,0,0.0,-0.6223,0,0.3254,0.4789
61,1,CA1-CA3,naive,900,-0.0378,0.2716,0,0.0,0.0363,8,0.434,0.4474
61,1,CA1-CA3,intermediate,900,0.0843,0.1403,1,0.0064,-0.2181,-4,0.3643,0.4704
61,1,CA1-CA3,expert,900,0.1905,0.1936,2,0.0247,-0.131,0,0.435,0.524
61,1,CA1-DG,session,900,0.147,0.1155,1,0.0109,0.2558,8,0.3519,0.5563
61,1,CA1-DG,naive,900,0.1246,0.1002,1,0.0078,-0.285,0,0.395,0.5725
61,1,CA1-DG,intermediate,900,0.2465,0.3148,2,0.0358,0.2542,0,0.3752,0.5655
61,1,CA1-DG,expert,900,0.0972,0.1542,1,0.0047,-0.1661,1,0.4264,0.5127
61,1,CA1-V1,session,900,0.0094,-0.0504,1,0.0021,0.4663,3,0.3576,0.3386
61,1,CA1-V1,naive,900,0.0251,0.1536,0,0.0,-0.2649,2,0.422,0.3775
61,1,CA1-V1,intermediate,900,0.1015,-0.0626,1,0.0052,0.1065,6,0.4226,0.3212
61,1,CA1-V1,expert,900,0.0665,0.3713,2,0.0049,0.2005,8,0.4086,0.3739
61,1,CA3-DG,session,900,0.3632,0.284,3,0.1258,0.2513,0,0.4584,0.5873
61,1,CA3-DG,naive,900,0.3937,0.5029,3,0.168,0.1553,0,0.5081,0.5359
61,1,CA3-DG,intermediate,900,0.3548,0.2049,3,0.1483,-0.52,0,0.4799,0.6398
61,1,CA3-DG,expert,900,0.4152,0.442,3,0.1723,0.0784,0,0.4831,0.6409
