family,metric,cell,contrast,n,med_delta,t_p,w_p
pair,rho_contrib_conn_ratepart,CA1-DG DG,expert-naive,8,-0.5386,0.1348,0.14844
pair,rho_contrib_conn_ratepart,CA1-DG DG,intermediate-naive,8,-0.3374,0.08027,0.10938
pair,rho_contrib_conn_ratepart,CA1-DG DG,expert-intermediate,8,-0.1724,0.44917,0.54688
pair,rho_contrib_conn_ratepart,CA1-RSC CA1,expert-naive,8,0.1064,0.94361,1.0
pair,rho_contrib_conn_ratepart,CA1-RSC CA1,intermediate-naive,8,-0.032,0.47971,0.74219
pair,rho_contrib_conn_ratepart,CA1-RSC CA1,expert-intermediate,8,-0.1019,0.60804,0.54688
pair,rho_contrib_conn_ratepart,CA1-RSC RSC,expert-naive,8,-0.104,0.36417,0.54688
pair,rho_contrib_conn_ratepart,CA1-RSC RSC,intermediate-naive,8,0.0096,0.55428,0.74219
pair,rho_contrib_conn_ratepart,CA1-RSC RSC,expert-intermediate,8,-0.1375,0.2599,0.25
pair,rho_contrib_conn_ratepart,CA1-SUB CA1,expert-naive,4,-0.2524,0.32038,0.375
pair,rho_contrib_conn_ratepart,CA1-SUB CA1,intermediate-naive,4,-0.0515,0.72177,0.875
pair,rho_contrib_conn_ratepart,CA1-SUB CA1,expert-intermediate,4,-0.3139,0.17397,0.25
pair,rho_contrib_conn_ratepart,CA1-SUB SUB,expert-naive,4,0.1047,0.69218,1.0
pair,rho_contrib_conn_ratepart,CA1-SUB SUB,intermediate-naive,4,-0.0798,0.50619,0.625
pair,rho_contrib_conn_ratepart,CA1-SUB SUB,expert-intermediate,4,0.2276,0.3514,0.375
pair,rho_contrib_conn_ratepart,CA1-V1 CA1,expert-naive,10,-0.2123,0.19109,0.16016
pair,rho_contrib_conn_ratepart,CA1-V1 CA1,intermediate-naive,10,-0.0166,0.8332,1.0
pair,rho_contrib_conn_ratepart,CA1-V1 CA1,expert-intermediate,10,-0.0729,0.15872,0.10547
pair,rho_contrib_conn_ratepart,CA1-V1 V1,expert-naive,10,-0.0375,0.17076,0.375
pair,rho_contrib_conn_ratepart,CA1-V1 V1,intermediate-naive,10,-0.0323,0.7565,0.8457
pair,rho_contrib_conn_ratepart,CA1-V1 V1,expert-intermediate,10,-0.0051,0.35644,0.625
pair,rho_contrib_conn_ratepart,CA3-DG CA3,expert-naive,4,-0.0166,0.54703,1.0
pair,rho_contrib_conn_ratepart,CA3-DG CA3,intermediate-naive,4,-0.0096,0.58018,0.875
pair,rho_contrib_conn_ratepart,CA3-DG CA3,expert-intermediate,4,0.205,0.38103,0.625
pair,rho_contrib_conn_ratepart,CA3-DG DG,expert-naive,4,-0.1056,0.30349,0.625
pair,rho_contrib_conn_ratepart,CA3-DG DG,intermediate-naive,4,-0.3826,0.0663,0.125
pair,rho_contrib_conn_ratepart,CA3-DG DG,expert-intermediate,4,0.1732,0.02863,0.125
pair,rho_contrib_conn_ratepart,RSC-SUB RSC,expert-naive,4,-0.0002,0.82856,0.875
pair,rho_contrib_conn_ratepart,RSC-SUB RSC,intermediate-naive,4,-0.0517,0.32576,0.375
pair,rho_contrib_conn_ratepart,RSC-SUB RSC,expert-intermediate,4,0.0005,0.57471,0.875
pair,rho_contrib_conn_ratepart,RSC-SUB SUB,expert-naive,4,0.2407,0.9472,0.875
pair,rho_contrib_conn_ratepart,RSC-SUB SUB,intermediate-naive,4,-0.2633,0.25197,0.375
pair,rho_contrib_conn_ratepart,RSC-SUB SUB,expert-intermediate,4,0.2894,0.32301,0.375
pair,rho_contrib_conn_ratepart,V1-RSC V1,expert-naive,6,-0.0934,0.20317,0.21875
pair,rho_contrib_conn_ratepart,V1-RSC V1,intermediate-naive,6,0.0268,0.98177,0.84375
pair,rho_contrib_conn_ratepart,V1-RSC V1,expert-intermediate,6,-0.1421,0.3898,0.3125
pair,rho_contrib_conn_ratepart,V1-RSC RSC,expert-naive,6,-0.0729,0.26545,0.21875
pair,rho_contrib_conn_ratepart,V1-RSC RSC,intermediate-naive,6,0.0197,0.39584,0.6875
pair,rho_contrib_conn_ratepart,V1-RSC RSC,expert-intermediate,6,-0.1227,0.21958,0.21875
pair,rho_contrib_conn_tune,CA1-CA3 CA1,expert-naive,7,0.1845,0.26363,0.375
pair,rho_contrib_conn_tune,CA1-CA3 CA1,intermediate-naive,7,0.089,0.2452,0.29688
pair,rho_contrib_conn_tune,CA1-CA3 CA1,expert-intermediate,7,0.0175,0.63689,0.6875
pair,rho_contrib_conn_tune,CA1-CA3 CA3,expert-naive,7,-0.1005,0.50323,0.46875
pair,rho_contrib_conn_tune,CA1-CA3 CA3,intermediate-naive,7,0.0165,0.84578,1.0
pair,rho_contrib_conn_tune,CA1-CA3 CA3,expert-intermediate,7,-0.0083,0.71151,0.9375
pair,rho_contrib_conn_tune,CA1-DG CA1,expert-naive,8,0.1875,0.10423,0.14844
pair,rho_contrib_conn_tune,CA1-DG CA1,intermediate-naive,8,0.1161,0.17096,0.19531
pair,rho_contrib_conn_tune,CA1-DG CA1,expert-intermediate,8,-0.0218,0.75671,0.84375
pair,rho_contrib_conn_tune,CA1-DG DG,expert-naive,8,-0.0444,0.24506,0.54688
pair,rho_contrib_conn_tune,CA1-DG DG,intermediate-naive,8,0.1003,0.5833,0.54688
pair,rho_contrib_conn_tune,CA1-DG DG,expert-intermediate,8,-0.3812,0.06251,0.3125
pair,rho_contrib_conn_tune,CA1-RSC CA1,expert-naive,8,0.0361,0.86639,0.64062
pair,rho_contrib_conn_tune,CA1-RSC CA1,intermediate-naive,8,-0.041,0.9448,0.64062
pair,rho_contrib_conn_tune,CA1-RSC CA1,expert-intermediate,8,0.0896,0.92801,0.54688
pair,rho_contrib_conn_tune,CA1-RSC RSC,expert-naive,8,-0.1817,0.60347,0.38281
pair,rho_contrib_conn_tune,CA1-RSC RSC,intermediate-naive,8,-0.0216,0.50515,1.0
pair,rho_contrib_conn_tune,CA1-RSC RSC,expert-intermediate,8,-0.022,0.33875,0.74219
pair,rho_contrib_conn_tune,CA1-SUB CA1,expert-naive,4,0.3001,0.0956,0.125
pair,rho_contrib_conn_tune,CA1-SUB CA1,intermediate-naive,4,0.0799,0.38201,0.625
pair,rho_contrib_conn_tune,CA1-SUB CA1,expert-intermediate,4,0.1516,0.72997,0.875
pair,rho_contrib_conn_tune,CA1-SUB SUB,expert-naive,4,0.1588,0.05631,0.125
pair,rho_contrib_conn_tune,CA1-SUB SUB,intermediate-naive,4,0.2429,0.38595,0.625
pair,rho_contrib_conn_tune,CA1-SUB SUB,expert-intermediate,4,-0.176,0.92754,0.875
pair,rho_contrib_conn_tune,CA1-V1 CA1,expert-naive,10,0.1349,0.35158,0.27539
pair,rho_contrib_conn_tune,CA1-V1 CA1,intermediate-naive,10,0.1319,0.25566,0.23242
pair,rho_contrib_conn_tune,CA1-V1 CA1,expert-intermediate,10,-0.0404,0.74151,0.76953
pair,rho_contrib_conn_tune,CA1-V1 V1,expert-naive,10,0.1109,0.6474,0.43164
