animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
61,1,V1-RSC,naive,11254,0.2918,2,0.0769,0.043,0,0.4565,0.362
61,1,V1-RSC,intermediate,12777,0.3581,3,0.1669,0.0115,0,0.3608,0.2319
61,1,V1-RSC,expert,13797,0.3141,5,0.2001,-0.0036,0,0.3727,0.2555
63,1,CA1-RSC,naive,11997,0.1261,1,0.008,0.0328,6,0.1135,0.3749
63,1,CA1-RSC,intermediate,8181,0.0974,2,0.0104,0.0484,1,0.1274,0.2768
63,1,CA1-RSC,expert,7336,0.0801,0,0.0,0.0236,1,0.0968,0.3489
66,1,CA1-RSC,naive,11096,0.1614,1,0.0132,-0.0053,0,0.3253,0.2492
66,1,CA1-RSC,intermediate,8501,0.0562,0,0.0,0.0091,6,0.2785,0.1181
66,1,CA1-RSC,expert,8577,0.1259,0,0.0,0.0182,0,0.2703,0.1073
66,1,CA1-DG,naive,11096,0.3389,2,0.0885,0.0166,0,0.3174,0.2725
66,1,CA1-DG,intermediate,8501,0.3515,3,0.1081,0.0031,0,0.2764,0.2557
66,1,CA1-DG,expert,8577,0.3238,2,0.0806,0.0434,0,0.2674,0.2715
66,1,CA1-V1,naive,11096,0.0993,0,0.0,0.0235,0,0.3204,0.0783
66,1,CA1-V1,intermediate,8501,0.1206,0,0.0,0.0112,0,0.2736,0.0498
66,1,CA1-V1,expert,8577,0.0821,0,0.0,-0.0309,-5,0.2685,0.0534
66,1,CA1-SUB,naive,11096,0.1692,1,0.0145,0.0023,0,0.3545,0.0642
66,1,CA1-SUB,intermediate,8501,0.2239,1,0.0257,-0.0625,0,0.3032,0.0357
66,1,CA1-SUB,expert,8577,0.1657,2,0.0234,0.0309,0,0.2791,0.0485
66,1,RSC-SUB,naive,11096,0.0944,1,0.0045,-0.0002,0,0.2637,0.0654
66,1,RSC-SUB,intermediate,8501,0.0834,0,0.0,-0.0092,1,0.1481,0.0359
66,1,RSC-SUB,expert,8577,0.107,1,0.0058,0.0205,0,0.1007,0.0494
66,1,V1-RSC,naive,11096,0.1617,2,0.0197,-0.0115,1,0.0968,0.2502
66,1,V1-RSC,intermediate,8501,0.1289,2,0.0176,-0.0429,-6,0.0515,0.1185
66,1,V1-RSC,expert,8577,0.1512,2,0.0191,-0.1007,-2,0.0706,0.1074
68,1,CA1-RSC,naive,9753,0.0401,0,0.0,-0.0328,-6,0.2259,0.0927
68,1,CA1-RSC,intermediate,10031,0.0583,0,0.0,0.0092,-3,0.1506,0.0757
68,1,CA1-RSC,expert,8583,0.0776,0,0.0,-0.019,2,0.1441,0.0989
68,1,CA1-CA3,naive,9753,0.4735,3,0.1668,-0.039,0,0.3072,0.5853
68,1,CA1-CA3,intermediate,10031,0.4463,2,0.1253,-0.0709,0,0.18,0.0764
68,1,CA1-CA3,expert,8583,0.4712,2,0.1408,-0.0492,0,0.1613,0.0977
68,1,CA1-DG,naive,9753,0.3327,2,0.0757,-0.0242,0,0.2388,0.183
68,1,CA1-DG,intermediate,10031,0.3412,2,0.0748,-0.0444,0,0.0875,0.1935
68,1,CA1-DG,expert,8583,0.3677,2,0.0842,-0.027,0,0.1189,0.1458
68,1,CA3-DG,naive,9753,0.2922,3,0.1082,-0.0205,0,0.5976,0.2223
68,1,CA3-DG,intermediate,10031,0.3729,4,0.1336,0.0312,0,0.0776,0.2443
68,1,CA3-DG,expert,8583,0.4119,2,0.1351,0.0386,0,0.1005,0.238
73,1,CA1-RSC,naive,17532,0.0484,0,0.0,0.0059,-5,0.2916,0.5322
73,1,CA1-RSC,intermediate,10760,0.0925,0,0.0,-0.0317,0,0.2013,0.4221
73,1,CA1-RSC,expert,9584,0.0243,0,0.0,0.0214,4,0.193,0.4204
73,1,CA1-DG,naive,17532,0.0564,0,0.0,0.017,0,0.2902,0.3954
73,1,CA1-DG,intermediate,10760,0.0691,0,0.0,-0.0591,0,0.2095,0.2461
73,1,CA1-DG,expert,9584,0.0101,0,0.0,0.0018,7,0.1982,0.2469
