animal,area,epoch,partner1,partner2,n_units,rho_conn,rho_intr,rho_resid,jaccard,jaccard_excess
28,CA1,expert,CA1-CA3,CA1-DG,24,0.437391304347826,0.766086956521739,-0.020226491800033816,0.09090909090909091,-0.05194805194805194
28,CA1,expert,CA1-CA3,CA1-V1,24,0.5243478260869565,0.7773913043478261,0.004664165535786503,0.09090909090909091,-0.05194805194805194
28,CA1,expert,CA1-DG,CA1-V1,24,0.7252173913043477,0.8730434782608695,0.05011548050307106,0.3333333333333333,0.19047619047619047
28,CA1,intermediate,CA1-CA3,CA1-DG,24,0.4121739130434783,0.6026086956521738,-0.09680057689494626,0.2,0.05714285714285716
28,CA1,intermediate,CA1-CA3,CA1-V1,24,0.27304347826086955,0.48173913043478256,-0.4552962854330558,0.2,0.05714285714285716
28,CA1,intermediate,CA1-DG,CA1-V1,24,0.6286956521739131,0.8739130434782607,0.2968990116485824,0.5,0.35714285714285715
28,CA1,naive,CA1-CA3,CA1-DG,24,0.5730434782608694,0.8095652173913043,0.14067287412371676,0.3333333333333333,0.19047619047619047
28,CA1,naive,CA1-CA3,CA1-V1,24,0.4382608695652173,0.7156521739130434,0.24222305987933807,0.2,0.05714285714285716
28,CA1,naive,CA1-DG,CA1-V1,24,0.5139130434782608,0.7869565217391304,0.34330243803720606,0.2,0.05714285714285716
28,CA3,expert,CA1-CA3,CA3-DG,12,0.16083916083916086,0.9930069930069931,0.28413993444649455,0.5,0.35714285714285715
28,CA3,intermediate,CA1-CA3,CA3-DG,12,0.8251748251748254,1.0,0.5736265952236489,1.0,0.8571428571428572
28,CA3,naive,CA1-CA3,CA3-DG,12,0.7964912280701755,1.0,0.34816944130455135,0.5,0.35714285714285715
28,DG,expert,CA1-DG,CA3-DG,13,0.19230769230769232,0.901098901098901,0.5377465445719154,0.14285714285714285,-0.038961038961038974
28,DG,intermediate,CA1-DG,CA3-DG,13,0.2692307692307692,0.8131868131868131,-0.018089216938899366,0.3333333333333333,0.1515151515151515
28,DG,naive,CA1-DG,CA3-DG,13,0.6978021978021978,0.989010989010989,0.45613264348753335,0.6,0.41818181818181815
34,CA1,expert,CA1-CA3,CA1-V1,22,0.3382269904009035,0.6883116883116884,0.019887692923289405,0.2,0.04210526315789473
34,CA1,intermediate,CA1-CA3,CA1-V1,22,0.4488989271597968,0.3156408808582722,0.20365455307821265,0.09090909090909091,-0.06698564593301437
34,CA1,naive,CA1-CA3,CA1-V1,22,0.4138904573687183,0.7391304347826088,0.19097427491176944,0.09090909090909091,-0.06698564593301437
41,CA1,expert,CA1-CA3,CA1-V1,14,-0.01098901098901099,0.9912087912087912,-0.06917394016268394,0.3333333333333333,0.16666666666666666
52,CA1,expert,CA1-CA3,CA1-DG,54,0.8928149418715455,0.9985515532685343,0.20896981231632358,0.5555555555555556,0.40661938534278963
52,CA1,expert,CA1-CA3,CA1-RSC,54,0.8631599008957498,0.9413760243948922,-0.11406913361516481,0.3333333333333333,0.18439716312056736
52,CA1,expert,CA1-CA3,CA1-V1,54,0.8937297503335239,0.9967219363445777,0.35473906295244495,0.4,0.25106382978723407
52,CA1,expert,CA1-DG,CA1-RSC,54,0.8479130931961119,0.9420621307413759,0.003840388975278635,0.4,0.25106382978723407
52,CA1,expert,CA1-DG,CA1-V1,54,0.7878406708595387,0.9969506384600724,-0.14666248378661367,0.2727272727272727,0.12379110251450676
52,CA1,expert,CA1-RSC,CA1-V1,54,0.8592719649323421,0.9354297693920334,0.12142140363166727,0.4,0.25106382978723407
52,CA1,intermediate,CA1-CA3,CA1-DG,54,0.8927387078330473,0.9984753192300361,0.8323208341727355,0.75,0.601063829787234
52,CA1,intermediate,CA1-CA3,CA1-RSC,54,0.744539736992567,0.8864112826376976,0.48383516787905756,0.2727272727272727,0.12379110251450676
52,CA1,intermediate,CA1-CA3,CA1-V1,54,0.704669334858014,0.9987802553840288,0.5038141408837811,0.4,0.25106382978723407
52,CA1,intermediate,CA1-DG,CA1-RSC,54,0.6550409757956926,0.8851153039832284,0.3021890804757863,0.3333333333333333,0.18439716312056736
52,CA1,intermediate,CA1-DG,CA1-V1,54,0.667238421955403,0.9974080426910614,0.44076376690691627,0.3333333333333333,0.18439716312056736
