metric,pair,matched,window_bins,mean,sem,count
ifi_cc1,CA1-CA3,0,1,0.03453718443996994,0.046554634616897295,9
ifi_cc1,CA1-CA3,0,2,-0.009811116629720533,0.04157786116042173,9
ifi_cc1,CA1-CA3,0,3,-0.017698710561152315,0.047021540081530804,9
ifi_cc1,CA1-CA3,0,4,-0.018360408172505796,0.04873433155301633,9
ifi_cc1,CA1-CA3,0,5,-0.019015699039769726,0.04898797574673566,9
ifi_cc1,CA1-CA3,0,6,-0.01926515048760464,0.04901850168186777,9
ifi_cc1,CA1-CA3,0,7,-0.01926515048760465,0.04901850168186776,9
ifi_cc1,CA1-CA3,0,8,-0.019265150487604646,0.04901850168186778,9
ifi_cc1,CA1-CA3,0,9,-0.04033708752584925,0.048561374247305215,9
ifi_cc1,CA1-CA3,0,10,-0.03558080640390435,0.04883619234189509,9
ifi_cc1,CA1-CA3,0,11,-0.045492845534218895,0.049084736043032935,9
ifi_cc1,CA1-CA3,0,12,-0.04257801603145774,0.03640801150139218,9
ifi_cc1,CA1-CA3,0,13,-0.03961953128108766,0.027003832533579963,9
ifi_cc1,CA1-CA3,0,14,-0.03439036801643989,0.02306255431388026,9
ifi_cc1,CA1-CA3,0,15,-0.02201958857062927,0.02275953104135812,9
ifi_cc1,CA1-CA3,0,16,-0.01792423145435268,0.026459366955998563,9
ifi_cc1,CA1-CA3,0,17,-0.012949192721844104,0.03198872410370821,9
ifi_cc1,CA1-CA3,0,18,-0.01274287179317967,0.03328804963202243,9
ifi_cc1,CA1-CA3,0,19,-0.014964334718566388,0.034401670310948464,9
ifi_cc1,CA1-CA3,0,20,-0.016151857134685366,0.03561550443306618,9
ifi_cc1,CA1-CA3,0,21,-0.016928229910751602,0.03595288805132142,9
ifi_cc1,CA1-CA3,0,22,-0.0169282299107516,0.035952888051321436,9
ifi_cc1,CA1-CA3,0,23,-0.018355196345280607,0.03504287177420754,9
ifi_cc1,CA1-CA3,0,24,-0.013749147365153048,0.036145322725560196,9
ifi_cc1,CA1-CA3,0,25,-0.0034180858300862293,0.039911848681984954,9
ifi_cc1,CA1-CA3,1,1,0.029760866939442347,0.045214752334658236,9
ifi_cc1,CA1-CA3,1,2,-0.021200424720795023,0.04156153937128072,9
ifi_cc1,CA1-CA3,1,3,-0.03757089115873034,0.04913063184736137,9
ifi_cc1,CA1-CA3,1,4,-0.040997481460621515,0.05160551597647277,9
ifi_cc1,CA1-CA3,1,5,-0.042993890242424254,0.052342306196130735,9
ifi_cc1,CA1-CA3,1,6,-0.04324334169025913,0.052452151017725455,9
ifi_cc1,CA1-CA3,1,7,-0.043243341690259195,0.052452151017725455,9
ifi_cc1,CA1-CA3,1,8,-0.04324334169025913,0.052452151017725455,9
ifi_cc1,CA1-CA3,1,9,-0.06302044272825548,0.050601175240571186,9
ifi_cc1,CA1-CA3,1,10,-0.05980402482424084,0.05079811100875196,9
ifi_cc1,CA1-CA3,1,11,-0.06133797050216537,0.055916737473183646,9
ifi_cc1,CA1-CA3,1,12,-0.04949599300412199,0.04233881380371316,9
ifi_cc1,CA1-CA3,1,13,-0.043720571516421364,0.03486619466147115,9
ifi_cc1,CA1-CA3,1,14,-0.03926310922903272,0.029839754897791605,9
ifi_cc1,CA1-CA3,1,15,-0.02888457826535308,0.02773216472240501,9
ifi_cc1,CA1-CA3,1,16,-0.028416492465452834,0.031116502795607653,9
ifi_cc1,CA1-CA3,1,17,-0.025952033179320082,0.03753964331805761,9
ifi_cc1,CA1-CA3,1,18,-0.024593215705159058,0.039810193853317154,9
ifi_cc1,CA1-CA3,1,19,-0.026282583995516934,0.041346410010999236,9
ifi_cc1,CA1-CA3,1,20,-0.027365318860011405,0.042710459083381315,9
ifi_cc1,CA1-CA3,1,21,-0.028141691636077628,0.04299380139340836,9
ifi_cc1,CA1-CA3,1,22,-0.028474919318964002,0.042778657538533556,9
ifi_cc1,CA1-CA3,1,23,-0.0317282049970781,0.04076176732285304,9
ifi_cc1,CA1-CA3,1,24,-0.026683424514206126,0.04141771471665481,9
ifi_cc1,CA1-CA3,1,25,-0.01760149482687873,0.04449853259070019,9
ifi_cc1,CA1-CA3,2,1,0.07198002484191098,0.055333708974658065,9
