animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
52,1,CA3-DG,4,4,4127,0.4592,-0.0599,0,0.5077,0.5021
52,1,CA3-DG,7,7,3491,0.4438,-0.0828,0,0.5333,0.5387
52,1,CA3-DG,10,10,3416,0.4982,-0.1144,0,0.5323,0.5398
52,1,V1-RSC,1,1,3813,0.0605,0.1923,3,0.4656,0.4473
52,1,V1-RSC,2,2,3705,0.0699,0.0643,0,0.4663,0.467
52,1,V1-RSC,4,4,4127,0.0693,0.0002,1,0.4835,0.3706
52,1,V1-RSC,7,7,3491,0.0923,0.0843,10,0.4851,0.4588
52,1,V1-RSC,10,10,3416,0.0619,0.1892,9,0.4867,0.4662
61,1,CA1-RSC,1,1,3292,0.06,-0.194,0,0.4742,0.4493
61,1,CA1-RSC,2,2,2822,0.0821,0.164,4,0.4962,0.4437
61,1,CA1-RSC,4,4,2841,0.073,0.3355,1,0.4524,0.4621
61,1,CA1-RSC,7,7,2832,0.0842,0.0666,0,0.4528,0.448
61,1,CA1-RSC,10,10,2675,0.0765,0.1673,2,0.4775,0.4451
61,1,CA1-CA3,1,1,3292,0.2281,-0.4533,-1,0.5841,0.6579
61,1,CA1-CA3,2,2,2822,0.2121,-0.5851,-2,0.6073,0.6071
61,1,CA1-CA3,4,4,2841,0.1963,-0.4652,0,0.5444,0.6182
61,1,CA1-CA3,7,7,2832,0.1471,-0.4628,-1,0.5752,0.6545
61,1,CA1-CA3,10,10,2675,0.1529,-0.3639,0,0.5688,0.6472
61,1,CA1-DG,1,1,3292,0.1957,0.4736,0,0.4665,0.6223
61,1,CA1-DG,2,2,2822,0.1951,0.2523,0,0.502,0.6378
61,1,CA1-DG,4,4,2841,0.195,0.4456,0,0.4689,0.6137
61,1,CA1-DG,7,7,2832,0.1962,0.101,0,0.4871,0.6302
61,1,CA1-DG,10,10,2675,0.2278,0.036,0,0.48,0.6202
61,1,CA1-V1,1,1,3292,0.0508,-0.1509,-2,0.4537,0.4076
61,1,CA1-V1,2,2,2822,0.0103,-0.5991,0,0.4732,0.4203
61,1,CA1-V1,4,4,2841,0.0909,-0.0624,-9,0.4074,0.4128
61,1,CA1-V1,7,7,2832,0.0273,-0.245,10,0.4123,0.4141
61,1,CA1-V1,10,10,2675,0.0386,-0.0021,7,0.4316,0.4215
61,1,CA3-DG,1,1,3292,0.317,-0.187,0,0.625,0.6034
61,1,CA3-DG,2,2,2822,0.2883,-0.1984,0,0.6114,0.6754
61,1,CA3-DG,4,4,2841,0.3085,0.0982,0,0.674,0.6073
61,1,CA3-DG,7,7,2832,0.2803,0.0385,0,0.6058,0.5723
61,1,CA3-DG,10,10,2675,0.3036,-0.0604,0,0.603,0.5963
61,1,V1-RSC,1,1,3292,-0.0366,0.0,0,0.495,0.4774
61,1,V1-RSC,2,2,2822,0.0453,-0.2777,-7,0.5152,0.4374
61,1,V1-RSC,4,4,2841,0.1053,0.0344,0,0.4782,0.4518
61,1,V1-RSC,7,7,2832,0.052,-0.0172,-2,0.4983,0.4676
