pair,n_FF_peak_r,d_FF_peak_r,p_FF_peak_r,n_FB_peak_r,d_FB_peak_r,p_FB_peak_r,n_int_peak_r,d_int_peak_r,p_int_peak_r,n_FF_ifi,d_FF_ifi,p_FF_ifi,n_FB_ifi,d_FB_ifi,p_FB_ifi,n_int_ifi,d_int_ifi,p_int_ifi,n_FF_peak_lag_ms,d_FF_peak_lag_ms,p_FF_peak_lag_ms,n_FB_peak_lag_ms,d_FB_peak_lag_ms,p_FB_peak_lag_ms,n_int_peak_lag_ms,d_int_peak_lag_ms,p_int_peak_lag_ms
CA1-RSC,8,0.018155549107142857,0.011231521701817017,7,0.01642195238095238,0.012122767838441401,7,0.0028655799319727885,0.6031486729166429,8,0.035148521525087115,0.5856071232637436,7,-0.029131894388630557,0.7271304727045214,7,0.07708560082857155,0.46113758402912164,8,10.485119047619047,0.593563948304297,7,-26.452380952380953,0.4981423464891015,7,40.34013605442176,0.41054868275671885
CA1-CA3,6,0.013543374999999996,0.1371498787398099,6,0.009953249999999999,0.07414802058908392,6,0.0035901249999999996,0.7375797574147802,6,0.17443630337260094,0.07651539577239368,6,-0.0945448710816989,0.435823268989486,6,0.2689811744542998,0.1808932448865476,6,32.375,0.32218155622803824,6,7.777777777777776,0.6631792290268279,6,24.597222222222225,0.4912251244335619
CA1-DG,8,0.005881276785714286,0.10538491498631186,8,0.006570197916666666,0.12924314042455573,8,-0.0006889211309523803,0.8646674214042807,8,-0.05029335144024723,0.5452706775918594,8,0.1012528185361629,0.23799530642990938,8,-0.15154616997641013,0.27674667826980315,8,20.607142857142858,0.28126217299463746,8,-6.510416666666666,0.6450290052333676,8,27.117559523809522,0.29008576442828343
CA1-V1,10,0.017172344444444446,0.003027327636437648,10,0.023944411111111112,0.0022939073548175495,10,-0.0067720666666666665,0.17749535770232444,10,0.04536212146490356,0.028352034388261386,10,-0.020302114999892713,0.25565831800168026,10,0.06566423646479627,0.019076463643828496,10,48.21666666666666,0.09805820361654148,10,46.09920634920635,0.39898924965134974,10,2.1174603174603304,0.972029326489212
CA3-DG,4,0.016572083333333338,0.34587881680682014,4,0.013471428571428587,0.00032970032611339615,4,0.0031006547619047524,0.8518440479212556,4,0.18499478789719093,0.35468827791973895,4,-0.04397011132112949,0.6173586977926269,4,0.22896489921832042,0.1242430295193923,4,4.166666666666668,0.9124407161508421,4,-30.3125,0.23852931960686272,4,34.479166666666664,0.5416596005014994
CA1-SUB,2,0.013799166666666666,0.48480871893741107,4,0.008741875000000005,0.2684125615175816,2,0.012372916666666666,0.3939007881455855,2,0.4135427984366141,0.2835335160044708,4,0.20372304672585734,0.1890007988767707,2,0.04361686167887538,0.30501792954545265,2,-1.666666666666667,0.49999999999999956,4,-46.1875,0.44400353285429855,2,80.20833333333333,0.6160406051017457
RSC-SUB,4,0.00642470238095238,0.14975739249193004,4,0.018465436507936504,0.06744985732348481,4,-0.012040734126984124,0.25204523620768915,4,-0.2332835609552093,0.1640961082808691,4,0.042473751663194746,0.5544588773497869,4,-0.275757312618404,0.045846830019895236,4,-53.035714285714285,0.28995421604502264,4,6.875,0.6674266480408625,4,-59.91071428571428,0.2452367907632397
V1-RSC,6,0.028620511904761906,0.07567312733963757,6,0.030984805555555554,0.026145131866980233,6,-0.002364293650793648,0.7306662697400751,6,-0.0009285858507313052,0.9388898823442304,6,0.06682706021333884,0.3081338995584803,6,-0.06775564606407015,0.2635288804654361,6,-14.660714285714286,0.1912796720631729,6,-53.333333333333336,0.04594779418965387,6,38.672619047619044,0.0627006526051717
