animal,learner,pair,dim,ifi,peak_lag_ms,cc_max,cc_at_zero,sig,n_sig
34,1,CA1-CA3,8,-0.04951644100580266,40.0,0.0653,0.0365,0,6
34,1,CA1-CA3,9,-0.032131880413523356,-160.0,0.0492,0.0266,0,6
34,1,CA1-CA3,10,-0.07364114552893046,210.0,0.0444,0.0429,1,6
34,1,CA1-CA3,11,-0.16819875776397525,-200.0,0.0466,0.0011,0,6
34,1,CA1-CA3,12,-0.2556418793932668,40.0,0.0436,0.016,0,6
34,1,CA1-CA3,13,0.2872655478775913,40.0,0.0706,-0.0061,0,6
34,1,CA1-V1,1,-0.1600204612681539,-250.0,0.1169,0.0965,0,0
34,1,CA1-V1,2,-0.14307428482344683,-30.0,0.1705,0.1129,0,0
34,1,CA1-V1,3,0.021400778210116517,-200.0,0.0442,-0.0088,0,0
34,1,CA1-V1,4,-0.02819237147595361,20.0,0.0287,0.0152,0,0
34,1,CA1-V1,5,-0.033960292580982154,-110.0,0.042,0.0064,0,0
34,1,CA1-V1,6,-0.056259728708027604,-90.0,0.035,0.0186,0,0
34,1,CA1-V1,7,-0.2615006150061502,230.0,0.0354,0.0097,0,0
34,1,CA1-V1,8,-0.029649595687331557,-40.0,0.03,0.0084,0,0
34,1,CA1-V1,9,-0.29695697796432324,0.0,0.0323,0.0323,0,0
34,1,CA1-V1,10,-0.2895752895752896,-90.0,0.0221,-0.017,0,0
34,1,CA1-V1,11,-0.36576239476145933,-40.0,0.0259,0.0107,0,0
34,1,CA1-V1,12,0.00402684563758399,200.0,0.0247,-0.0078,0,0
34,1,CA1-V1,13,-0.022629969418960262,120.0,0.0305,0.0046,0,0
34,1,CA1-V1,14,-0.3162452372705231,-130.0,0.0273,-0.0069,0,0
34,1,CA1-V1,15,-0.32821005443483836,-30.0,0.025,0.0047,0,0
34,1,CA1-V1,16,-0.2798957315086347,-190.0,0.0243,0.01,0,0
34,1,CA1-V1,17,0.03764478764478762,100.0,0.0211,-0.0007,0,0
34,1,CA1-V1,18,-0.15396995708154498,20.0,0.0263,-0.0205,0,0
34,1,CA1-V1,19,-0.23989898989899,-20.0,0.0162,-0.0116,0,0
34,1,CA1-V1,20,-0.05981216015818088,-120.0,0.0246,-0.0092,0,0
34,1,CA1-V1,21,0.01752402487280949,-180.0,0.025,0.0173,0,0
34,1,CA1-V1,22,0.4334600760456274,130.0,0.025,-0.004,0,0
34,1,CA1-V1,23,0.14002089864158837,-60.0,0.0246,-0.0053,0,0
34,1,CA1-V1,24,-0.27354997943233234,-110.0,0.0203,-0.0007,0,0
34,1,CA1-V1,25,0.14285714285714288,10.0,0.0209,0.0071,0,0
34,1,CA1-V1,26,-0.38601823708206684,-170.0,0.0259,-0.0008,0,0
34,1,CA1-V1,27,0.009001285897985413,-240.0,0.0257,-0.0055,0,0
36,1,CA1-CA3,1,-0.041188243969240486,20.0,0.3325,0.3068,1,2
