animal,pair,epoch,area,unit,contrib,contrib_conn
28,CA1-CA3,expert,CA3,10,0.813291,0.012977
28,CA1-CA3,expert,CA3,11,1.434673,0.015757
28,CA1-DG,naive,CA1,0,0.67567,0.137166
28,CA1-DG,naive,CA1,1,0.483107,0.01652
28,CA1-DG,naive,CA1,2,0.936433,0.029633
28,CA1-DG,naive,CA1,3,0.852399,0.056546
28,CA1-DG,naive,CA1,4,0.569046,0.014876
28,CA1-DG,naive,CA1,5,0.60199,0.037696
28,CA1-DG,naive,CA1,6,0.823624,0.035171
28,CA1-DG,naive,CA1,7,0.714109,0.024063
28,CA1-DG,naive,CA1,8,1.011324,0.04608
28,CA1-DG,naive,CA1,9,0.025794,0.00109
28,CA1-DG,naive,CA1,10,0.935542,0.033861
28,CA1-DG,naive,CA1,11,0.942426,0.059934
28,CA1-DG,naive,CA1,12,0.523092,0.040578
28,CA1-DG,naive,CA1,13,0.001145,0.000152
28,CA1-DG,naive,CA1,14,0.551251,0.020803
28,CA1-DG,naive,CA1,15,0.733664,0.039856
28,CA1-DG,naive,CA1,16,1.13168,0.080171
28,CA1-DG,naive,CA1,17,0.634835,0.056609
28,CA1-DG,naive,CA1,18,0.58365,0.022668
28,CA1-DG,naive,CA1,19,0.016462,0.001451
28,CA1-DG,naive,CA1,20,0.604099,0.021468
28,CA1-DG,naive,CA1,21,0.006905,0.000313
28,CA1-DG,naive,CA1,22,0.682692,0.08221
28,CA1-DG,naive,CA1,23,0.590348,0.034408
28,CA1-DG,naive,DG,0,1.615073,0.038705
28,CA1-DG,naive,DG,1,1.089947,0.094935
28,CA1-DG,naive,DG,2,1.299504,0.10052
28,CA1-DG,naive,DG,3,1.054369,0.08733
28,CA1-DG,naive,DG,4,0.955449,0.068034
28,CA1-DG,naive,DG,5,0.942157,0.032029
28,CA1-DG,naive,DG,6,1.104127,0.062367
28,CA1-DG,naive,DG,7,1.140096,0.023073
28,CA1-DG,naive,DG,8,0.937196,0.024848
28,CA1-DG,naive,DG,9,1.280927,0.164628
28,CA1-DG,naive,DG,10,0.981058,0.020806
28,CA1-DG,naive,DG,11,0.62938,0.022859
28,CA1-DG,naive,DG,12,0.0,0.0
28,CA1-DG,intermediate,CA1,0,0.989813,0.162748
28,CA1-DG,intermediate,CA1,1,0.926669,0.047938
28,CA1-DG,intermediate,CA1,2,0.022914,0.00124
28,CA1-DG,intermediate,CA1,3,0.811006,0.107588
28,CA1-DG,intermediate,CA1,4,0.784664,0.029056
28,CA1-DG,intermediate,CA1,5,0.702144,0.032588
28,CA1-DG,intermediate,CA1,6,0.815836,0.038845
28,CA1-DG,intermediate,CA1,7,0.975537,0.044121
28,CA1-DG,intermediate,CA1,8,0.734907,0.055705
28,CA1-DG,intermediate,CA1,9,0.890662,0.025587
28,CA1-DG,intermediate,CA1,10,0.957705,0.06088
28,CA1-DG,intermediate,CA1,11,0.777312,0.078885
28,CA1-DG,intermediate,CA1,12,0.878555,0.02974
28,CA1-DG,intermediate,CA1,13,0.067728,0.004126
28,CA1-DG,intermediate,CA1,14,0.53509,0.03851
28,CA1-DG,intermediate,CA1,15,0.636312,0.041722
28,CA1-DG,intermediate,CA1,16,0.912045,0.114701
28,CA1-DG,intermediate,CA1,17,0.742949,0.04448
28,CA1-DG,intermediate,CA1,18,1.117343,0.042041
28,CA1-DG,intermediate,CA1,19,0.552982,0.040716
28,CA1-DG,intermediate,CA1,20,0.585558,0.026952
28,CA1-DG,intermediate,CA1,21,0.018441,0.000983
28,CA1-DG,intermediate,CA1,22,0.844806,0.069958
28,CA1-DG,intermediate,CA1,23,0.525013,0.028445
28,CA1-DG,intermediate,DG,0,0.847223,0.045757
28,CA1-DG,intermediate,DG,1,1.117202,0.12557
28,CA1-DG,intermediate,DG,2,1.059317,0.108867
28,CA1-DG,intermediate,DG,3,1.048926,0.045143
28,CA1-DG,intermediate,DG,4,1.052476,0.049159
28,CA1-DG,intermediate,DG,5,1.011506,0.035766
28,CA1-DG,intermediate,DG,6,1.224961,0.077779
28,CA1-DG,intermediate,DG,7,1.208839,0.07035
28,CA1-DG,intermediate,DG,8,0.859516,0.034004
28,CA1-DG,intermediate,DG,9,1.238512,0.123461
28,CA1-DG,intermediate,DG,10,0.991062,0.055769
28,CA1-DG,intermediate,DG,11,1.078615,0.049358
28,CA1-DG,intermediate,DG,12,0.890753,0.043981
28,CA1-DG,expert,CA1,0,1.159179,0.187019
28,CA1-DG,expert,CA1,1,0.825445,0.128219
28,CA1-DG,expert,CA1,2,1.102619,0.146391
28,CA1-DG,expert,CA1,3,0.805421,0.120656
28,CA1-DG,expert,CA1,4,0.048614,0.005683
28,CA1-DG,expert,CA1,5,1.076642,0.14033
28,CA1-DG,expert,CA1,6,0.695938,0.087251
28,CA1-DG,expert,CA1,7,0.722034,0.084184
28,CA1-DG,expert,CA1,8,0.790758,0.110749
28,CA1-DG,expert,CA1,9,0.822686,0.086369
28,CA1-DG,expert,CA1,10,0.952972,0.124551
28,CA1-DG,expert,CA1,11,0.915266,0.101821
28,CA1-DG,expert,CA1,12,0.771863,0.080849
28,CA1-DG,expert,CA1,13,0.01883,0.002101
28,CA1-DG,expert,CA1,14,0.697848,0.06758
28,CA1-DG,expert,CA1,15,0.723926,0.066393
28,CA1-DG,expert,CA1,16,0.704624,0.120348
28,CA1-DG,expert,CA1,17,0.825859,0.066839
28,CA1-DG,expert,CA1,18,0.03071,0.004328
28,CA1-DG,expert,CA1,19,0.501107,0.057198
28,CA1-DG,expert,CA1,20,0.017904,0.001915
28,CA1-DG,expert,CA1,21,0.975573,0.108397
28,CA1-DG,expert,CA1,22,0.851765,0.092106
28,CA1-DG,expert,CA1,23,0.691423,0.086793
28,CA1-DG,expert,DG,0,0.941803,0.081917
28,CA1-DG,expert,DG,1,1.152274,0.18317
28,CA1-DG,expert,DG,2,1.07055,0.172615
28,CA1-DG,expert,DG,3,1.022309,0.159669
28,CA1-DG,expert,DG,4,1.029599,0.132305
28,CA1-DG,expert,DG,5,1.045918,0.123522
28,CA1-DG,expert,DG,6,1.213366,0.106751
28,CA1-DG,expert,DG,7,1.212907,0.110007
28,CA1-DG,expert,DG,8,2.765835,0.369703
