animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
68,1,CA1-RSC,t1-10,10,4867,0.0782,0,0.0,-0.0632,-3,0.2146,0.0979,69.53,67.94,81.91,84.87,0.0556,0.3482,0.3747
68,1,CA1-RSC,late,10,4942,0.043,0,0.0,-0.0246,-3,0.1243,0.1185,83.87,85.02,,,0.0392,0.2837,0.157
68,1,CA1-CA3,t1-5,5,2662,0.5587,3,0.3729,-0.0229,0,0.5029,0.5379,40.19,17.92,87.72,78.44,0.4489,0.2945,0.3556
68,1,CA1-CA3,t1-7,7,3519,0.6278,3,0.4073,-0.0299,0,0.5296,0.529,24.52,18.17,87.59,78.66,0.4434,0.3841,0.4091
68,1,CA1-CA3,t1-10,10,4867,0.4946,3,0.2039,-0.0253,0,0.2724,0.522,34.01,18.74,85.07,79.37,0.4895,0.3508,0.4361
68,1,CA1-CA3,late,10,4942,0.5067,2,0.1623,-0.118,0,0.1449,0.2045,73.81,70.53,,,0.4936,0.2994,0.4843
68,1,CA1-DG,t1-5,5,2662,0.4123,1,0.0932,-0.0127,0,0.4428,0.1735,64.94,75.78,87.54,83.51,0.3269,0.3469,0.3322
68,1,CA1-DG,t1-7,7,3519,0.4005,2,0.1081,-0.0096,0,0.4742,0.1753,66.0,63.14,80.28,81.32,0.3141,0.3681,0.2758
68,1,CA1-DG,t1-10,10,4867,0.3766,2,0.0965,-0.0476,0,0.2339,0.1673,77.18,78.05,75.18,85.07,0.2204,0.2989,0.2566
68,1,CA1-DG,late,10,4942,0.505,2,0.1608,-0.0098,0,0.0995,0.1898,57.12,51.85,,,0.4909,0.3982,0.3914
68,1,CA3-DG,t1-5,5,2662,0.4188,3,0.2172,-0.0087,0,0.5505,0.2564,24.62,45.9,80.93,80.34,0.3243,0.436,0.2845
68,1,CA3-DG,t1-7,7,3519,0.3494,3,0.15,-0.0132,0,0.5498,0.2462,17.03,41.81,81.18,84.49,0.302,0.3967,0.3174
68,1,CA3-DG,t1-10,10,4867,0.448,3,0.2419,-0.0094,0,0.5198,0.2535,13.88,32.95,81.25,89.64,0.3648,0.4194,0.3611
68,1,CA3-DG,late,10,4942,0.4623,3,0.1792,0.0041,0,0.2068,0.2471,72.49,72.81,,,0.4278,0.399,0.4105
70,0,CA1-RSC,t1-5,5,5808,-0.0256,6,0.2277,-0.0157,0,0.3605,0.4062,88.8,88.16,80.23,85.12,0.15,0.3207,0.3307
70,0,CA1-RSC,t1-7,7,8374,0.6265,9,1.0211,-0.0234,0,0.3552,0.3758,84.34,86.3,85.87,81.54,0.0628,0.3293,0.3189
70,0,CA1-RSC,t1-10,10,12018,0.4843,8,0.49,-0.0171,0,0.3195,0.3609,75.32,68.83,81.21,83.79,0.2067,0.3484,0.2676
70,0,CA1-RSC,late,10,8142,0.6337,7,0.6187,-0.0008,0,0.3504,0.3926,86.39,85.89,,,0.2043,0.3435,0.3007
70,0,CA1-DG,t1-5,5,5808,0.1244,6,0.9779,-0.0657,0,0.3588,0.337,65.87,67.84,73.06,77.96,0.1831,0.3272,0.5583
70,0,CA1-DG,t1-7,7,8374,0.8153,9,2.0457,-0.0638,0,0.3542,0.3092,57.74,48.4,77.3,84.15,0.2349,0.3349,0.5631
70,0,CA1-DG,t1-10,10,12018,0.5807,9,0.629,-0.0351,0,0.3213,0.3025,74.96,73.64,83.21,80.78,0.2572,0.3418,0.5327
70,0,CA1-DG,late,10,8142,0.1097,9,0.531,-0.0136,0,0.351,0.2582,85.22,86.84,,,0.1689,0.3306,0.5198
70,0,CA1-V1,t1-5,5,5808,0.5703,6,0.3866,-0.0006,0,0.3502,0.2743,66.85,69.74,84.79,68.65,0.2545,0.373,0.3099
70,0,CA1-V1,t1-7,7,8374,0.8486,13,1.0314,0.0025,0,0.3448,0.2627,60.68,63.33,82.91,69.82,0.2372,0.3392,0.298
70,0,CA1-V1,t1-10,10,12018,0.2641,10,0.3245,0.0206,0,0.3089,0.2422,71.11,64.0,82.69,66.92,0.3393,0.3394,0.2959
70,0,CA1-V1,late,10,8142,0.3866,11,0.9231,0.0542,0,0.3405,0.2642,58.2,66.65,,,0.3519,0.3979,0.3632
70,0,CA1-SUB,t1-5,5,5808,0.3632,1,0.0707,0.0974,5,0.361,0.2909,64.63,74.09,82.98,58.81,0.112,0.3415,0.5547
70,0,CA1-SUB,t1-7,7,8374,0.1352,8,0.3203,0.1149,5,0.3558,0.281,60.46,68.78,83.54,53.36,0.0871,0.3083,0.5191
70,0,CA1-SUB,t1-10,10,12018,0.3371,8,0.181,0.0477,0,0.3204,0.2248,66.34,49.08,83.95,60.08,0.0806,0.319,0.5741
70,0,CA1-SUB,late,10,8142,0.3735,13,0.305,-0.0638,-6,0.35,0.239,79.54,82.78,,,0.132,0.3576,0.5579
70,0,RSC-SUB,t1-5,5,5808,0.4701,3,0.1941,0.0395,0,0.4053,0.2916,85.61,89.5,82.58,69.74,0.3315,0.3218,0.5349
70,0,RSC-SUB,t1-7,7,8374,0.6022,10,0.5955,0.0433,0,0.3783,0.2879,65.56,55.43,84.11,72.14,0.3538,0.3187,0.5278
70,0,RSC-SUB,t1-10,10,12018,0.5913,7,0.6325,0.0378,0,0.3654,0.2246,80.29,81.05,80.73,64.89,0.4288,0.3078,0.5723
70,0,RSC-SUB,late,10,8142,0.6216,8,0.5726,0.0625,0,0.3872,0.2398,80.22,73.21,,,0.2658,0.3323,0.4965
70,0,V1-RSC,t1-5,5,5808,0.2465,4,0.2018,0.0082,0,0.2736,0.3987,70.69,65.6,81.35,86.98,0.28,0.27,0.3406
70,0,V1-RSC,t1-7,7,8374,0.3728,6,0.5125,0.0225,0,0.2628,0.3792,75.33,71.38,89.83,87.12,0.3407,0.3202,0.3661
70,0,V1-RSC,t1-10,10,12018,0.2731,10,0.8286,0.0276,0,0.2413,0.3685,69.21,71.13,89.75,87.92,0.3411,0.3383,0.3173
70,0,V1-RSC,late,10,8142,-0.3362,11,1.1941,0.0902,0,0.2635,0.3742,74.85,73.99,,,0.3313,0.2936,0.3134
71,0,CA1-RSC,t1-5,5,2852,-0.0345,1,0.0572,-0.0011,0,0.3282,0.419,88.53,89.91,85.8,85.07,0.098,0.4363,0.3581
71,0,CA1-RSC,t1-7,7,3882,-0.1827,4,0.0766,0.011,0,0.3034,0.4241,84.05,85.11,89.92,88.77,0.0315,0.4287,0.3581
71,0,CA1-RSC,t1-10,10,5459,-0.1698,9,0.2101,-0.0031,0,0.3101,0.4405,84.32,86.74,87.59,89.27,0.0668,0.3067,0.3388
71,0,CA1-RSC,late,10,5443,0.0425,4,0.3199,-0.02,0,0.1728,0.3545,84.67,87.6,,,0.0574,0.2713,0.3372
71,0,CA1-CA3,t1-5,5,2852,0.0037,6,0.4291,-0.0,0,0.3293,0.3191,83.31,86.89,68.81,87.85,0.1206,0.4227,0.2899
71,0,CA1-CA3,t1-7,7,3882,0.4681,7,0.4529,-0.0432,0,0.3033,0.3168,77.59,88.44,87.46,87.76,0.1222,0.3704,0.322
71,0,CA1-CA3,t1-10,10,5459,0.231,9,0.6366,-0.0577,0,0.3108,0.3366,85.43,85.79,86.0,85.37,-0.003,0.3308,0.298
71,0,CA1-CA3,late,10,5443,0.2771,8,0.8515,-0.0334,0,0.169,0.3409,46.85,65.03,,,0.1832,0.2781,0.4187
71,0,CA1-DG,t1-5,5,2852,0.4268,4,0.2366,-0.0094,0,0.3276,0.4443,82.79,84.05,80.34,89.04,0.1921,0.4151,0.4328
71,0,CA1-DG,t1-7,7,3882,0.3914,7,0.2737,0.0005,0,0.3023,0.4748,87.68,88.21,80.39,87.65,0.1594,0.3716,0.4227
71,0,CA1-DG,t1-10,10,5459,0.4382,8,0.3131,-0.0043,0,0.3109,0.4682,84.1,85.09,86.61,80.93,0.1689,0.3904,0.4432
71,0,CA1-DG,late,10,5443,0.1659,0,0.0,0.0035,0,0.1701,0.3769,76.02,84.29,,,0.1632,0.3391,0.3605
71,0,CA1-V1,t1-5,5,2852,-0.2545,7,0.8198,0.0022,0,0.3276,0.265,87.89,87.12,87.29,89.71,0.0678,0.3655,0.2991
71,0,CA1-V1,t1-7,7,3882,-0.1633,8,0.4686,-0.0003,0,0.3024,0.2513,67.45,86.1,89.63,87.89,0.0021,0.3241,0.2667
71,0,CA1-V1,t1-10,10,5459,0.0469,5,0.3131,-0.0179,0,0.31,0.2428,66.46,84.42,88.61,86.63,0.0177,0.348,0.3123
71,0,CA1-V1,late,10,5443,0.0045,7,0.4504,0.0163,0,0.1734,0.216,81.51,81.57,,,-0.0509,0.273,0.3169
71,0,CA3-DG,t1-5,5,2852,0.6347,3,0.3796,-0.0054,0,0.3264,0.4472,81.9,82.63,83.08,81.88,0.4374,0.3461,0.4144
71,0,CA3-DG,t1-7,7,3882,0.6185,6,0.427,-0.0095,0,0.3141,0.4768,68.79,80.26,81.65,80.23,0.5106,0.374,0.4138
71,0,CA3-DG,t1-10,10,5459,0.6365,8,0.5513,0.0046,0,0.3356,0.4721,72.52,69.67,78.8,78.95,0.4493,0.3759,0.4514
71,0,CA3-DG,late,10,5443,0.611,6,0.5708,-0.0171,0,0.3356,0.3898,38.26,48.42,,,0.5097,0.4443,0.4074
71,0,CA1-SUB,t1-5,5,2852,-0.5335,6,0.5106,-0.0178,0,0.3297,0.1655,84.47,87.6,83.41,89.72,0.0483,0.4405,0.2327
71,0,CA1-SUB,t1-7,7,3882,0.0601,6,0.3308,-0.0035,0,0.3041,0.1624,84.61,88.6,87.55,87.08,0.0459,0.3488,0.2363
71,0,CA1-SUB,t1-10,10,5459,0.1765,8,0.4497,0.0065,0,0.311,0.1759,85.28,85.09,89.83,86.86,0.1086,0.3552,0.2805
71,0,CA1-SUB,late,10,5443,0.1407,6,0.4752,0.0359,0,0.1727,0.1767,88.09,74.86,,,0.0428,0.2744,0.2425
71,0,RSC-SUB,t1-5,5,2852,0.8221,6,0.9467,0.0104,0,0.4179,0.1346,77.29,75.04,87.99,87.64,0.2423,0.3441,0.2875
71,0,RSC-SUB,t1-7,7,3882,0.4321,5,0.2103,-0.0077,0,0.4166,0.1539,87.87,80.2,80.89,82.31,0.1834,0.341,0.2844
71,0,RSC-SUB,t1-10,10,5459,0.4812,16,0.5105,-0.0143,0,0.4368,0.1567,55.07,45.55,82.45,84.28,0.2195,0.339,0.2585
71,0,RSC-SUB,late,10,5443,0.5125,10,0.7473,-0.0064,0,0.3552,0.1603,81.86,85.18,,,0.1055,0.3037,0.2487
71,0,V1-RSC,t1-5,5,2852,-0.2036,6,0.8521,0.0235,0,0.2459,0.4125,77.68,86.21,85.2,84.01,0.2764,0.2439,0.3419
71,0,V1-RSC,t1-7,7,3882,0.2885,4,0.1298,-0.0251,0,0.241,0.41,59.11,65.09,79.48,77.79,0.2925,0.2526,0.3375
71,0,V1-RSC,t1-10,10,5459,0.1539,7,0.3758,-0.0363,0,0.2317,0.4261,60.5,64.79,82.8,80.54,0.2506,0.2767,0.3327
71,0,V1-RSC,late,10,5443,0.1779,9,0.6186,-0.0165,0,0.1987,0.352,56.46,60.17,,,0.4407,0.3259,0.3476
73,1,CA1-RSC,t1-5,5,4698,0.1466,0,0.0,0.0082,0,0.541,0.3992,88.92,84.11,86.77,89.28,-0.0267,0.4605,0.3103
73,1,CA1-RSC,t1-7,7,6359,0.1156,0,0.0,0.0065,0,0.4035,0.3927,88.06,89.61,84.98,81.21,-0.0553,0.5002,0.3585
73,1,CA1-RSC,t1-10,10,8762,0.106,0,0.0,0.0114,0,0.3392,0.4028,81.0,74.09,87.7,88.92,0.0693,0.3879,0.3879
73,1,CA1-RSC,late,10,4561,0.0552,0,0.0,-0.0419,-1,0.2038,0.353,85.15,86.8,,,-0.024,0.3671,0.3479
73,1,CA1-DG,t1-5,5,4698,0.2986,2,0.0751,0.0273,0,0.5267,0.3384,78.29,78.66,87.22,87.29,-0.0114,0.4491,0.4747
73,1,CA1-DG,t1-7,7,6359,0.0073,7,0.1543,0.0359,0,0.4007,0.3324,85.66,87.77,85.32,88.75,0.0707,0.4846,0.3339
73,1,CA1-DG,t1-10,10,8762,0.2316,1,0.0276,0.0008,0,0.3385,0.3565,89.09,84.26,88.21,89.62,-0.0057,0.4719,0.4184
73,1,CA1-DG,late,10,4561,0.3172,1,0.053,0.1939,8,0.2043,0.1433,82.97,75.75,,,0.1068,0.3376,0.2796
73,1,CA1-V1,t1-5,5,4698,0.8057,4,0.6478,-0.0115,0,0.5366,0.4374,85.55,84.75,87.65,79.4,-0.0471,0.4632,0.2958
73,1,CA1-V1,t1-7,7,6359,0.7791,6,0.5591,-0.0255,0,0.4152,0.4464,85.37,82.22,88.99,81.58,0.0287,0.5005,0.3765
73,1,CA1-V1,t1-10,10,8762,0.3791,1,0.0776,-0.0042,0,0.3298,0.4102,68.5,68.69,87.76,84.77,0.0608,0.4439,0.4196
73,1,CA1-V1,late,10,4561,0.0176,8,0.1577,0.0008,4,0.2058,0.1544,85.21,89.23,,,-0.037,0.3939,0.3041
73,1,CA1-SUB,t1-5,5,4698,0.351,7,0.2983,0.0132,0,0.545,0.1325,87.01,88.99,84.42,89.14,0.1269,0.4691,0.2124
73,1,CA1-SUB,t1-7,7,6359,0.2411,8,0.1992,0.0432,0,0.4048,0.1414,80.05,80.99,85.26,89.98,0.0324,0.5038,0.312
73,1,CA1-SUB,t1-10,10,8762,0.1458,1,0.0107,0.0018,0,0.3401,0.1172,84.6,88.17,89.18,88.68,0.0757,0.4763,0.2325
73,1,CA1-SUB,late,10,4561,-0.1736,10,0.2044,0.0517,2,0.2043,0.0831,82.76,86.74,,,0.0539,0.3193,0.2478
73,1,RSC-SUB,t1-5,5,4698,0.197,2,0.0406,-0.049,0,0.387,0.1489,86.08,58.06,87.06,78.74,0.2185,0.3711,0.269
73,1,RSC-SUB,t1-7,7,6359,0.2316,2,0.0544,-0.0271,0,0.384,0.1422,83.45,84.4,89.59,81.18,0.0937,0.3429,0.2854
73,1,RSC-SUB,t1-10,10,8762,0.2405,2,0.0599,-0.0193,0,0.391,0.128,79.39,75.93,81.72,78.82,0.221,0.375,0.3267
73,1,RSC-SUB,late,10,4561,0.1655,0,0.0,-0.0469,0,0.3526,0.0638,84.87,85.17,,,-0.0119,0.4002,0.282
73,1,V1-RSC,t1-5,5,4698,0.1541,1,0.0177,0.0702,1,0.4772,0.3857,59.18,76.53,83.77,85.79,0.1788,0.4232,0.3422
73,1,V1-RSC,t1-7,7,6359,0.1763,1,0.0158,0.0669,1,0.4568,0.3812,58.18,80.73,82.67,85.23,0.1595,0.3331,0.3783
73,1,V1-RSC,t1-10,10,8762,0.1876,4,0.0624,0.0713,1,0.413,0.3923,80.83,89.43,84.23,89.81,0.2051,0.4187,0.3692
73,1,V1-RSC,late,10,4561,0.3382,1,0.0607,0.0652,1,0.1469,0.367,75.85,76.7,,,0.324,0.2795,0.3667
