animal,learner,pair,n_matched,unc_cc_kcca,cue_cc_kcca,d_cc_kcca,unc_cc_linear,cue_cc_linear,d_cc_linear,unc_n_sig,cue_n_sig,d_n_sig,unc_mi_sig,cue_mi_sig,d_mi_sig,unc_ifi,cue_ifi,d_ifi,unc_gini_x,cue_gini_x,d_gini_x
77,1,CA1-RSC,900,0.0416,0.0309,-0.0107,-0.064,0.0304,0.0944,0.0,0.0,0.0,0.0,0.0,0.0,-0.1055,-0.6078,-0.5023,0.3674,0.1838,-0.1836
77,1,CA1-DG,900,-0.0586,0.0277,0.0863,0.008,-0.3802,-0.3882,0.0,2.0,2.0,0.0,0.0011,0.0011,0.5198,0.1971,-0.3227,0.372,0.3704,-0.0016
77,1,CA1-V1,900,-0.0147,0.0115,0.0262,0.1133,-0.0615,-0.1748,0.0,0.0,0.0,0.0,0.0,0.0,0.1313,0.0538,-0.0776,0.2811,0.105,-0.1761
77,1,CA1-SUB,900,0.023,-0.0537,-0.0768,0.0799,0.0924,0.0126,1.0,0.0,-1.0,0.0038,0.0,-0.0038,0.1779,0.1839,0.006,0.3012,0.2667,-0.0345
77,1,RSC-SUB,900,-0.0354,0.1884,0.2238,-0.0191,0.4697,0.4888,0.0,2.0,2.0,0.0,0.0338,0.0338,-0.9565,-0.1587,0.7978,0.4155,0.4116,-0.0039
77,1,V1-RSC,900,0.1539,0.1681,0.0142,0.0174,0.1361,0.1186,1.0,1.0,0.0,0.012,0.0143,0.0023,0.5245,-0.0986,-0.6231,0.4408,0.3029,-0.1379
98,0,CA1-RSC,900,-0.0382,0.0508,0.089,-0.0132,-0.0011,0.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.3986,0.3896,0.4831,0.4141,-0.069
100,0,CA1-RSC,900,0.0197,0.0586,0.0389,0.0392,0.1578,0.1187,2.0,1.0,-1.0,0.0236,0.0156,-0.0081,-0.0119,0.3671,0.379,0.4222,0.4048,-0.0174
100,0,CA1-DG,900,0.2658,0.343,0.0772,0.2068,0.3653,0.1584,1.0,1.0,0.0,0.0366,0.0626,0.026,-1.0,-0.1896,0.8104,0.3532,0.3619,0.0087
100,0,CA1-V1,900,0.0286,0.0108,-0.0178,-0.0856,0.1218,0.2074,2.0,0.0,-2.0,0.0068,0.0,-0.0068,1.0,-0.2885,-1.2885,0.4211,0.376,-0.0451
100,0,CA1-SUB,900,0.2012,0.0047,-0.1965,-0.0322,0.0167,0.0489,2.0,1.0,-1.0,0.0404,0.005,-0.0354,-0.2113,-0.1719,0.0393,0.4066,0.3957,-0.011
100,0,RSC-SUB,900,0.0467,0.0045,-0.0422,-0.0099,-0.0967,-0.0868,0.0,0.0,0.0,0.0,0.0,0.0,0.0633,0.9245,0.8613,0.3952,0.4036,0.0085
100,0,V1-RSC,900,0.3245,0.2576,-0.0669,0.3486,0.6156,0.267,3.0,3.0,0.0,0.0852,0.1004,0.0151,0.8476,-0.0616,-0.9091,0.3809,0.3524,-0.0285
