scope,pair,landmark,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_landmark,CA1-V1,5,mi_sig,expert-intermediate,10,0.0,14.0,1.0,False
per_landmark,CA1-V1,6,mi_sig,expert-intermediate,10,0.021795566655282483,9.0,0.20757844233562428,False
per_landmark,CA1-DG,1,mi_sig,expert-intermediate,8,-0.08933873609168558,5.0,0.24886387493792206,False
per_landmark,CA1-DG,2,mi_sig,expert-intermediate,8,0.02468765705005832,10.0,0.49896229860376107,False
per_landmark,CA1-DG,3,mi_sig,expert-intermediate,8,-0.01802904354515168,11.0,0.6120898800892568,False
per_landmark,CA1-DG,4,mi_sig,expert-intermediate,8,0.003703800892521772,13.0,0.8657723749926214,False
per_landmark,CA1-DG,5,mi_sig,expert-intermediate,8,-0.16739466405356446,3.0,0.0390625,False
per_landmark,CA1-DG,6,mi_sig,expert-intermediate,8,-0.00233855148673362,9.0,0.7531523647659145,False
per_landmark,CA1-CA3,1,mi_sig,expert-intermediate,6,0.05918986113458023,6.0,0.4375,False
per_landmark,CA1-CA3,2,mi_sig,expert-intermediate,6,-0.018211654545185328,10.0,1.0,False
per_landmark,CA1-CA3,3,mi_sig,expert-intermediate,6,0.017945603701885287,6.0,0.4375,False
per_landmark,CA1-CA3,4,mi_sig,expert-intermediate,6,-0.008129678218605153,10.0,1.0,False
per_landmark,CA1-CA3,5,mi_sig,expert-intermediate,6,0.02866802549039823,6.0,0.4375,False
per_landmark,CA1-CA3,6,mi_sig,expert-intermediate,6,0.04358054239146063,9.0,0.84375,False
per_landmark,CA1-RSC,1,mi_sig,expert-intermediate,8,-0.019721072641985735,0.0,0.06788915486182899,False
per_landmark,CA1-RSC,2,mi_sig,expert-intermediate,8,0.0056215966957375435,13.0,0.8657723749926214,False
per_landmark,CA1-RSC,3,mi_sig,expert-intermediate,8,0.0,3.0,0.4652088184521418,False
per_landmark,CA1-RSC,4,mi_sig,expert-intermediate,8,-0.08197506601925653,7.0,0.23672357063785732,False
per_landmark,CA1-RSC,5,mi_sig,expert-intermediate,8,0.0,7.0,0.892738400944348,False
per_landmark,CA1-RSC,6,mi_sig,expert-intermediate,8,-0.04337187091581123,6.0,0.17629637444051116,False
per_landmark,CA1-SUB,1,mi_sig,expert-intermediate,4,-0.00029642145392571456,5.0,1.0,False
per_landmark,CA1-SUB,2,mi_sig,expert-intermediate,4,0.016668641150880202,3.0,1.0,False
per_landmark,CA1-SUB,3,mi_sig,expert-intermediate,4,-0.02951637094662435,0.0,0.10880943004054568,False
per_landmark,CA1-SUB,4,mi_sig,expert-intermediate,4,-0.09648287094130492,0.0,0.10880943004054568,False
per_landmark,CA1-SUB,5,mi_sig,expert-intermediate,4,-0.12729432461959073,1.0,0.25,False
per_landmark,CA1-SUB,6,mi_sig,expert-intermediate,4,0.08822066727355747,4.0,0.875,False
per_landmark,V1-RSC,1,mi_sig,expert-intermediate,6,0.0048887167494754274,7.0,0.892738400944348,False
per_landmark,V1-RSC,2,mi_sig,expert-intermediate,6,-0.008377027658450165,7.0,0.892738400944348,False
per_landmark,V1-RSC,3,mi_sig,expert-intermediate,6,0.04921378348706264,9.0,0.84375,False
per_landmark,V1-RSC,4,mi_sig,expert-intermediate,6,-0.13626091689646533,2.0,0.13801073756865956,False
per_landmark,V1-RSC,5,mi_sig,expert-intermediate,6,-0.019297251931711418,6.0,0.6858304344516057,False
per_landmark,V1-RSC,6,mi_sig,expert-intermediate,6,0.07593047039329817,7.0,0.892738400944348,False
per_landmark,RSC-SUB,1,mi_sig,expert-intermediate,4,0.03904446861526253,3.0,1.0,False
per_landmark,RSC-SUB,2,mi_sig,expert-intermediate,4,0.04792763828347203,0.0,0.17971249487899976,False
per_landmark,RSC-SUB,3,mi_sig,expert-intermediate,4,0.03111615633718449,2.0,0.5929800980174267,False
per_landmark,RSC-SUB,4,mi_sig,expert-intermediate,4,-0.14103252684765358,0.0,0.10880943004054568,False
per_landmark,RSC-SUB,5,mi_sig,expert-intermediate,4,0.008274595278246977,3.0,1.0,False
per_landmark,RSC-SUB,6,mi_sig,expert-intermediate,4,-0.03153550208102923,1.0,0.28504940740261275,False
per_landmark,CA3-DG,1,mi_sig,expert-intermediate,4,-0.020292149028964403,4.0,0.875,False
per_landmark,CA3-DG,2,mi_sig,expert-intermediate,4,-0.006675484706351313,4.0,0.875,False
per_landmark,CA3-DG,3,mi_sig,expert-intermediate,4,0.051446210310287815,0.0,0.10880943004054568,False
per_landmark,CA3-DG,4,mi_sig,expert-intermediate,4,-0.0016768378723754501,4.0,0.875,False
per_landmark,CA3-DG,5,mi_sig,expert-intermediate,4,0.003055482683860411,3.0,1.0,False
per_landmark,CA3-DG,6,mi_sig,expert-intermediate,4,0.09612590750126102,0.0,0.10880943004054568,False
per_landmark,CA1-V1,1,mi_sig,intermediate-naive,10,0.0,13.0,0.4838398513935682,False
per_landmark,CA1-V1,2,mi_sig,intermediate-naive,10,0.03881932238681554,20.0,0.7670968684102772,False
per_landmark,CA1-V1,3,mi_sig,intermediate-naive,10,0.004949482290010059,22.0,0.9527650219907529,False
per_landmark,CA1-V1,4,mi_sig,intermediate-naive,10,-0.0059673961090959335,18.0,0.375,False
per_landmark,CA1-V1,5,mi_sig,intermediate-naive,10,0.0,11.0,0.6120898800892568,False
per_landmark,CA1-V1,6,mi_sig,intermediate-naive,10,0.0,13.0,0.8657723749926214,False
per_landmark,CA1-DG,1,mi_sig,intermediate-naive,8,0.057929436400636976,0.0,0.043114446783075355,False
per_landmark,CA1-DG,2,mi_sig,intermediate-naive,8,0.04884547930434861,0.0,0.027707849358079864,False
per_landmark,CA1-DG,3,mi_sig,intermediate-naive,8,0.07604556312781793,7.0,0.23672357063785732,False
per_landmark,CA1-DG,4,mi_sig,intermediate-naive,8,0.03613317736562971,9.0,0.39802471950693785,False
per_landmark,CA1-DG,5,mi_sig,intermediate-naive,8,0.08754837751526787,11.0,0.3828125,False
per_landmark,CA1-DG,6,mi_sig,intermediate-naive,8,0.022473307412050066,3.0,0.22491588401596185,False
per_landmark,CA1-CA3,1,mi_sig,intermediate-naive,6,0.0,5.0,1.0,False
per_landmark,CA1-CA3,2,mi_sig,intermediate-naive,6,0.039143442438694526,6.0,0.4375,False
per_landmark,CA1-CA3,3,mi_sig,intermediate-naive,6,0.01668314968149247,10.0,1.0,False
per_landmark,CA1-CA3,4,mi_sig,intermediate-naive,6,-0.057269166222860365,4.0,0.21875,False
per_landmark,CA1-CA3,5,mi_sig,intermediate-naive,6,-0.011275010035722267,9.0,0.84375,False
per_landmark,CA1-CA3,6,mi_sig,intermediate-naive,6,0.0339127144681563,5.0,0.5001842570707944,False
per_landmark,CA1-RSC,1,mi_sig,intermediate-naive,8,-0.015518964297114309,10.0,0.49896229860376107,False
per_landmark,CA1-RSC,2,mi_sig,intermediate-naive,8,-0.002568501594992355,12.0,0.7353166906373405,False
per_landmark,CA1-RSC,3,mi_sig,intermediate-naive,8,-0.011234169862788211,8.0,0.6001794871405538,False
per_landmark,CA1-RSC,4,mi_sig,intermediate-naive,8,0.04079128288764419,5.0,0.24886387493792206,False
