scope,pair,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_pair,CA1-V1,mi_sig,expert-naive,10,-5.439987337820321e-06,24.0,0.76953125,False
per_pair,CA1-DG,mi_sig,expert-naive,8,0.012841696568915442,5.0,0.12819017434510785,False
per_pair,CA1-CA3,mi_sig,expert-naive,6,0.04186603324557868,4.0,0.21875,False
per_pair,CA1-RSC,mi_sig,expert-naive,8,0.018302550447816063,5.0,0.078125,False
per_pair,CA1-SUB,mi_sig,expert-naive,4,0.00044324920951052237,5.0,1.0,False
per_pair,V1-RSC,mi_sig,expert-naive,6,0.019827857225663284,7.0,0.5625,False
per_pair,RSC-SUB,mi_sig,expert-naive,4,-0.0069034525336694325,4.0,0.875,False
per_pair,CA3-DG,mi_sig,expert-naive,4,0.05214494225056578,0.0,0.125,False
per_pair,CA1-V1,mi_sig,expert-intermediate,10,-0.008698779569387416,25.0,0.845703125,False
per_pair,CA1-DG,mi_sig,expert-intermediate,8,-0.003774386880596269,18.0,1.0,False
per_pair,CA1-CA3,mi_sig,expert-intermediate,6,0.006650554262088212,5.0,0.3125,False
per_pair,CA1-RSC,mi_sig,expert-intermediate,8,0.0006695264491768452,15.0,0.7421875,False
per_pair,CA1-SUB,mi_sig,expert-intermediate,4,-0.029049110990070834,0.0,0.125,False
per_pair,V1-RSC,mi_sig,expert-intermediate,6,0.006698568101358472,7.0,0.5625,False
per_pair,RSC-SUB,mi_sig,expert-intermediate,4,-0.021827617685852813,2.0,0.375,False
per_pair,CA3-DG,mi_sig,expert-intermediate,4,0.09941603038323896,0.0,0.125,False
per_pair,CA1-V1,mi_sig,intermediate-naive,10,0.010684560821446672,20.0,0.4921875,False
per_pair,CA1-DG,mi_sig,intermediate-naive,8,0.009758327332769424,4.0,0.0546875,False
per_pair,CA1-CA3,mi_sig,intermediate-naive,6,0.030774060370181794,7.0,0.5625,False
per_pair,CA1-RSC,mi_sig,intermediate-naive,8,0.02007155064625738,5.0,0.078125,False
per_pair,CA1-SUB,mi_sig,intermediate-naive,4,0.03045742102812552,2.0,0.375,False
per_pair,V1-RSC,mi_sig,intermediate-naive,6,0.007276516665885545,9.0,0.84375,False
per_pair,RSC-SUB,mi_sig,intermediate-naive,4,0.02411062546600413,2.0,0.375,False
per_pair,CA3-DG,mi_sig,intermediate-naive,4,-0.04356467379179632,3.0,0.625,False
per_pair,CA1-V1,ifi_weighted,expert-naive,10,0.05942295794091717,10.0,0.083984375,False
per_pair,CA1-DG,ifi_weighted,expert-naive,8,0.1452478131449368,11.0,0.3828125,False
per_pair,CA1-CA3,ifi_weighted,expert-naive,6,0.05857902072425096,7.0,0.5625,False
per_pair,CA1-RSC,ifi_weighted,expert-naive,8,-0.023439628324711338,14.0,0.640625,False
per_pair,CA1-SUB,ifi_weighted,expert-naive,4,-0.009785734727770097,4.0,0.875,False
per_pair,V1-RSC,ifi_weighted,expert-naive,6,-0.0490909433030933,7.0,0.5625,False
per_pair,RSC-SUB,ifi_weighted,expert-naive,4,0.050357766536511715,0.0,0.125,False
per_pair,CA3-DG,ifi_weighted,expert-naive,4,0.05999084845978438,4.0,0.875,False
per_pair,CA1-V1,ifi_weighted,expert-intermediate,10,0.0067580169687531805,24.0,0.76953125,False
per_pair,CA1-DG,ifi_weighted,expert-intermediate,8,0.1203920037373305,6.0,0.109375,False
per_pair,CA1-CA3,ifi_weighted,expert-intermediate,6,-0.042011350777299755,10.0,1.0,False
per_pair,CA1-RSC,ifi_weighted,expert-intermediate,8,-0.03338367283859331,8.0,0.1953125,False
per_pair,CA1-SUB,ifi_weighted,expert-intermediate,4,0.026059270983429198,4.0,0.875,False
per_pair,V1-RSC,ifi_weighted,expert-intermediate,6,0.03368503331028675,7.0,0.5625,False
per_pair,RSC-SUB,ifi_weighted,expert-intermediate,4,0.12685823364585722,1.0,0.25,False
per_pair,CA3-DG,ifi_weighted,expert-intermediate,4,-0.1181051277903989,2.0,0.375,False
per_pair,CA1-V1,ifi_weighted,intermediate-naive,10,0.07829840807510026,10.0,0.083984375,False
per_pair,CA1-DG,ifi_weighted,intermediate-naive,8,0.006908717353953486,18.0,1.0,False
per_pair,CA1-CA3,ifi_weighted,intermediate-naive,6,0.05389867612684768,7.0,0.5625,False
per_pair,CA1-RSC,ifi_weighted,intermediate-naive,8,-0.007728282313198789,18.0,1.0,False
per_pair,CA1-SUB,ifi_weighted,intermediate-naive,4,-0.019808825384402283,4.0,0.875,False
per_pair,V1-RSC,ifi_weighted,intermediate-naive,6,-0.02878605843331998,5.0,0.3125,False
per_pair,RSC-SUB,ifi_weighted,intermediate-naive,4,-0.07650046710934551,3.0,0.625,False
per_pair,CA3-DG,ifi_weighted,intermediate-naive,4,0.08803524040445737,3.0,0.625,False
