pair,n_animals,ifi_cc1,ifi_tail,delta,t,p,n_agree,sign_agree,t_agree,p_agree,lmm_slope,lmm_p,lmm_n_obs,lmm_reason
CA1-RSC,5,0.1584930508206812,0.017504520612890533,0.1409885302077907,1.8021278835568617,0.14587677288198558,5,0.8065934065934066,2.561250353045539,0.062555205189643,-0.007976532721079928,0.37808759294796535,36,
CA1-CA3,9,-0.06444275739977164,-0.040833978999342976,-0.023608778400428663,-0.5547053085693818,0.5942606796732528,9,0.6138528138528139,0.83301186864452,0.42900443378892605,-0.004198588485205431,0.3712727960735449,45,
CA1-DG,8,-0.07243924450814256,-0.0826227795598863,0.010183535051743742,0.18895528656650626,0.8554896062374671,8,0.643560606060606,1.253833225530846,0.25015248125553036,0.011208934808684894,0.6006058088873162,37,
CA1-V1,8,-0.11413658209898934,-0.1041664468643609,-0.009970135234628443,-0.15037615223798936,0.8847092506127592,8,0.6711538461538462,1.3824548485688115,0.20932916242847183,0.001157214147802764,0.8448356531066387,52,
CA3-DG,5,0.02120785178989832,-0.017847054573049498,0.03905490636294782,1.8598780357386877,0.13641971330627717,5,0.47000000000000003,-0.18253663072083828,0.8640396091427822,-0.0036312885252440634,0.6557088176234521,29,
CA1-SUB,4,-0.10488521364477997,0.07989410328077616,-0.1847793169255561,-1.7014290515556354,0.18741833938632566,4,0.25,-1.5666989036012808,0.21516994256954994,,,0,bad_variance
RSC-SUB,3,-0.034241026631429444,0.021477673756920116,-0.055718700388349564,-4.929664687651428,0.03877214920147485,3,0.8627450980392157,2.642857142857143,0.11829755302757569,,,0,bad_variance
V1-RSC,8,0.07917634771810433,0.10352655329489943,-0.024350205576795084,-0.6688896265744797,0.52500368808801,8,0.7561188811188811,1.7880723087766983,0.1169068864212788,-0.0036703468780922882,0.6923820723019942,40,
