animal,learner,pair,dim,window_bins,window_ms,ifi,degenerate,cc_peak,sig
28,1,CA1-CA3,7,20,200,0.15166583789159618,0,0.0217,0
28,1,CA1-CA3,7,21,210,0.0922606034105815,0,0.0217,0
28,1,CA1-CA3,7,22,220,0.10401381096245137,0,0.0217,0
28,1,CA1-CA3,7,23,230,0.15849209566274813,0,0.0217,0
28,1,CA1-CA3,7,24,240,0.13252064490758944,0,0.0217,0
28,1,CA1-CA3,7,25,250,0.13524108192865536,0,0.0217,0
28,1,CA1-CA3,8,1,10,1.0,0,0.025,0
28,1,CA1-CA3,8,2,20,1.0,0,0.025,0
28,1,CA1-CA3,8,3,30,0.26960784313725483,0,0.025,0
28,1,CA1-CA3,8,4,40,0.33333333333333326,0,0.025,0
28,1,CA1-CA3,8,5,50,0.30313588850174206,0,0.025,0
28,1,CA1-CA3,8,6,60,0.3031358885017421,0,0.025,0
28,1,CA1-CA3,8,7,70,0.45130315500685864,0,0.025,0
28,1,CA1-CA3,8,8,80,0.45130315500685875,0,0.025,0
28,1,CA1-CA3,8,9,90,0.556541019955654,0,0.025,0
28,1,CA1-CA3,8,10,100,0.5666305525460456,0,0.025,0
28,1,CA1-CA3,8,11,110,0.6073298429319373,0,0.025,0
28,1,CA1-CA3,8,12,120,0.5347313237221494,0,0.025,0
28,1,CA1-CA3,8,13,130,0.5018706574024585,0,0.025,0
28,1,CA1-CA3,8,14,140,0.4544513457556937,0,0.025,0
28,1,CA1-CA3,8,15,150,0.41704488149268787,0,0.025,0
28,1,CA1-CA3,8,16,160,0.4170448814926878,0,0.025,0
28,1,CA1-CA3,8,17,170,0.4170448814926878,0,0.025,0
28,1,CA1-CA3,8,18,180,0.4141922496225466,0,0.025,0
28,1,CA1-CA3,8,19,190,0.39066111881645865,0,0.025,0
28,1,CA1-CA3,8,20,200,0.30207013096746943,0,0.025,0
28,1,CA1-CA3,8,21,210,0.3462603878116345,0,0.025,0
28,1,CA1-CA3,8,22,220,0.3160541586073502,0,0.025,0
28,1,CA1-CA3,8,23,230,0.26338797814207654,0,0.025,0
28,1,CA1-CA3,8,24,240,0.230223483504789,0,0.025,0
28,1,CA1-CA3,8,25,250,0.13296308395949044,0,0.025,0
28,1,CA1-CA3,9,1,10,0.0,1,0.0291,0
28,1,CA1-CA3,9,2,20,-1.0,0,0.0291,0
28,1,CA1-CA3,9,3,30,0.6421052631578947,0,0.0291,0
28,1,CA1-CA3,9,4,40,0.673076923076923,0,0.0291,0
28,1,CA1-CA3,9,5,50,0.6918032786885246,0,0.0291,0
28,1,CA1-CA3,9,6,60,0.6918032786885245,0,0.0291,0
28,1,CA1-CA3,9,7,70,0.6918032786885246,0,0.0291,0
28,1,CA1-CA3,9,8,80,0.6177156177156177,0,0.0291,0
28,1,CA1-CA3,9,9,90,0.6177156177156178,0,0.0291,0
28,1,CA1-CA3,9,10,100,0.6177156177156177,0,0.0291,0
28,1,CA1-CA3,9,11,110,0.710455764075067,0,0.0291,0
28,1,CA1-CA3,9,12,120,0.710455764075067,0,0.0291,0
28,1,CA1-CA3,9,13,130,0.7265822784810128,0,0.0291,0
28,1,CA1-CA3,9,14,140,0.5953216374269006,0,0.0291,0
28,1,CA1-CA3,9,15,150,0.6000000000000001,0,0.0291,0
28,1,CA1-CA3,9,16,160,0.6,0,0.0291,0
28,1,CA1-CA3,9,17,170,0.5837837837837837,0,0.0291,0
28,1,CA1-CA3,9,18,180,0.4686716791979951,0,0.0291,0
28,1,CA1-CA3,9,19,190,0.4861660079051382,0,0.0291,0
28,1,CA1-CA3,9,20,200,0.5241581259150805,0,0.0291,0
28,1,CA1-CA3,9,21,210,0.5698213103904698,0,0.0291,0
28,1,CA1-CA3,9,22,220,0.5806451612903225,0,0.0291,0
28,1,CA1-CA3,9,23,230,0.5806451612903226,0,0.0291,0
28,1,CA1-CA3,9,24,240,0.5927318295739348,0,0.0291,0
28,1,CA1-CA3,9,25,250,0.6255760368663594,0,0.0291,0
28,1,CA1-CA3,10,1,10,0.0,1,0.0426,0
28,1,CA1-CA3,10,2,20,-1.0,0,0.0426,0
28,1,CA1-CA3,10,3,30,-1.0,0,0.0426,0
28,1,CA1-CA3,10,4,40,-1.0,0,0.0426,0
28,1,CA1-CA3,10,5,50,-1.0,0,0.0426,0
28,1,CA1-CA3,10,6,60,-1.0,0,0.0426,0
28,1,CA1-CA3,10,7,70,-1.0,0,0.0426,0
28,1,CA1-CA3,10,8,80,-1.0,0,0.0426,0
28,1,CA1-CA3,10,9,90,-0.3653333333333333,0,0.0426,0
28,1,CA1-CA3,10,10,100,-0.4914529914529913,0,0.0426,0
28,1,CA1-CA3,10,11,110,-0.5326797385620915,0,0.0426,0
28,1,CA1-CA3,10,12,120,-0.5326797385620916,0,0.0426,0
28,1,CA1-CA3,10,13,130,-0.5326797385620914,0,0.0426,0
28,1,CA1-CA3,10,14,140,-0.5762962962962964,0,0.0426,0
28,1,CA1-CA3,10,15,150,-0.3676092544987146,0,0.0426,0
28,1,CA1-CA3,10,16,160,-0.34513274336283184,0,0.0426,0
28,1,CA1-CA3,10,17,170,-0.438177874186551,0,0.0426,0
28,1,CA1-CA3,10,18,180,-0.46234509056244033,0,0.0426,0
28,1,CA1-CA3,10,19,190,-0.5235849056603773,0,0.0426,0
28,1,CA1-CA3,10,20,200,-0.3803418803418804,0,0.0426,0
28,1,CA1-CA3,10,21,210,-0.3829787234042554,0,0.0426,0
28,1,CA1-CA3,10,22,220,-0.38297872340425526,0,0.0426,0
28,1,CA1-CA3,10,23,230,-0.5261437908496733,0,0.0426,0
28,1,CA1-CA3,10,24,240,-0.4152923538230885,0,0.0426,0
28,1,CA1-CA3,10,25,250,-0.32578397212543553,0,0.0426,0
28,1,CA1-CA3,11,1,10,-1.0,0,0.017,0
28,1,CA1-CA3,11,2,20,-1.0,0,0.017,0
28,1,CA1-CA3,11,3,30,-0.6582914572864321,0,0.017,0
28,1,CA1-CA3,11,4,40,-0.8147138964577656,0,0.017,0
28,1,CA1-CA3,11,5,50,-0.854389721627409,0,0.017,0
28,1,CA1-CA3,11,6,60,-0.854389721627409,0,0.017,0
28,1,CA1-CA3,11,7,70,-0.8839590443686007,0,0.017,0
28,1,CA1-CA3,11,8,80,-0.635280095351609,0,0.017,0
28,1,CA1-CA3,11,9,90,-0.5294117647058822,0,0.017,0
28,1,CA1-CA3,11,10,100,-0.5846585594013097,0,0.017,0
28,1,CA1-CA3,11,11,110,-0.6416464891041161,0,0.017,0
28,1,CA1-CA3,11,12,120,-0.5385779122541605,0,0.017,0
28,1,CA1-CA3,11,13,130,-0.5395003376097233,0,0.017,0
28,1,CA1-CA3,11,14,140,-0.5395003376097232,0,0.017,0
28,1,CA1-CA3,11,15,150,-0.4615384615384615,0,0.017,0
28,1,CA1-CA3,11,16,160,-0.46292834890965734,0,0.017,0
28,1,CA1-CA3,11,17,170,-0.4155688622754492,0,0.017,0
28,1,CA1-CA3,11,18,180,-0.4328878558977338,0,0.017,0
28,1,CA1-CA3,11,19,190,-0.4780748663101605,0,0.017,0
28,1,CA1-CA3,11,20,200,-0.4791889007470652,0,0.017,0
28,1,CA1-CA3,11,21,210,-0.49664775657555443,0,0.017,0
28,1,CA1-CA3,11,22,220,-0.39922854387656703,0,0.017,0
28,1,CA1-CA3,11,23,230,-0.44474153297682706,0,0.017,0
28,1,CA1-CA3,11,24,240,-0.454226894437144,0,0.017,0
28,1,CA1-CA3,11,25,250,-0.45422689443714404,0,0.017,0
28,1,CA1-CA3,12,1,10,-1.0,0,0.0238,0
28,1,CA1-CA3,12,2,20,0.5000000000000001,0,0.0238,0
28,1,CA1-CA3,12,3,30,0.5,0,0.0238,0
28,1,CA1-CA3,12,4,40,-0.8625954198473282,0,0.0238,0
28,1,CA1-CA3,12,5,50,-0.8625954198473282,0,0.0238,0
28,1,CA1-CA3,12,6,60,-0.8625954198473283,0,0.0238,0
28,1,CA1-CA3,12,7,70,-0.742857142857143,0,0.0238,0
28,1,CA1-CA3,12,8,80,-0.304812834224599,0,0.0238,0
28,1,CA1-CA3,12,9,90,-0.2808398950131234,0,0.0238,0
28,1,CA1-CA3,12,10,100,-0.1145038167938931,0,0.0238,0
28,1,CA1-CA3,12,11,110,-0.24926686217008812,0,0.0238,0
28,1,CA1-CA3,12,12,120,-0.10649350649350657,0,0.0238,0
28,1,CA1-CA3,12,13,130,-0.10649350649350656,0,0.0238,0
28,1,CA1-CA3,12,14,140,-0.21353065539112057,0,0.0238,0
28,1,CA1-CA3,12,15,150,-0.20209424083769645,0,0.0238,0
28,1,CA1-CA3,12,16,160,-0.2957486136783735,0,0.0238,0
28,1,CA1-CA3,12,17,170,-0.3309920983318701,0,0.0238,0
28,1,CA1-CA3,12,18,180,-0.3601694915254238,0,0.0238,0
28,1,CA1-CA3,12,19,190,-0.4116883116883118,0,0.0238,0
28,1,CA1-CA3,12,20,200,-0.41168831168831177,0,0.0238,0
28,1,CA1-CA3,12,21,210,-0.3483516483516484,0,0.0238,0
28,1,CA1-CA3,12,22,220,-0.34835164835164845,0,0.0238,0
28,1,CA1-CA3,12,23,230,-0.35463258785942486,0,0.0238,0
28,1,CA1-CA3,12,24,240,-0.41250605913717886,0,0.0238,0
28,1,CA1-CA3,12,25,250,-0.4112903225806452,0,0.0238,0
28,1,CA1-CA3,13,1,10,0.0,1,0.0238,0
28,1,CA1-CA3,13,2,20,0.0,1,0.0238,0
28,1,CA1-CA3,13,3,30,0.0,1,0.0238,0
28,1,CA1-CA3,13,4,40,0.0,1,0.0238,0
28,1,CA1-CA3,13,5,50,-0.3439999999999999,0,0.0238,0
28,1,CA1-CA3,13,6,60,-0.19148936170212766,0,0.0238,0
28,1,CA1-CA3,13,7,70,-0.1914893617021276,0,0.0238,0
28,1,CA1-CA3,13,8,80,-0.1914893617021276,0,0.0238,0
28,1,CA1-CA3,13,9,90,0.2599118942731277,0,0.0238,0
28,1,CA1-CA3,13,10,100,-0.013793103448275824,0,0.0238,0
28,1,CA1-CA3,13,11,110,-0.1327731092436975,0,0.0238,0
28,1,CA1-CA3,13,12,120,-0.3805522208883554,0,0.0238,0
28,1,CA1-CA3,13,13,130,-0.44516129032258067,0,0.0238,0
28,1,CA1-CA3,13,14,140,-0.3010446343779678,0,0.0238,0
28,1,CA1-CA3,13,15,150,-0.2604908946951702,0,0.0238,0
28,1,CA1-CA3,13,16,160,-0.16119620714806712,0,0.0238,0
28,1,CA1-CA3,13,17,170,-0.28214731585518105,0,0.0238,0
28,1,CA1-CA3,13,18,180,-0.32669789227166274,0,0.0238,0
28,1,CA1-CA3,13,19,190,-0.3454752418895845,0,0.0238,0
28,1,CA1-CA3,13,20,200,-0.336564351103931,0,0.0238,0
28,1,CA1-CA3,13,21,210,-0.3223228556206713,0,0.0238,0
28,1,CA1-CA3,13,22,220,-0.3925501432664755,0,0.0238,0
28,1,CA1-CA3,13,23,230,-0.36517857142857146,0,0.0238,0
28,1,CA1-CA3,13,24,240,-0.3713527851458886,0,0.0238,0
28,1,CA1-CA3,13,25,250,-0.2760180995475113,0,0.0238,0
28,1,CA1-CA3,14,1,10,,0,,0
28,1,CA1-CA3,14,2,20,,0,,0
28,1,CA1-CA3,14,3,30,,0,,0
28,1,CA1-CA3,14,4,40,,0,,0
28,1,CA1-CA3,14,5,50,,0,,0
28,1,CA1-CA3,14,6,60,,0,,0
28,1,CA1-CA3,14,7,70,,0,,0
28,1,CA1-CA3,14,8,80,,0,,0
28,1,CA1-CA3,14,9,90,,0,,0
28,1,CA1-CA3,14,10,100,,0,,0
28,1,CA1-CA3,14,11,110,,0,,0
28,1,CA1-CA3,14,12,120,,0,,0
28,1,CA1-CA3,14,13,130,,0,,0
28,1,CA1-CA3,14,14,140,,0,,0
28,1,CA1-CA3,14,15,150,,0,,0
28,1,CA1-CA3,14,16,160,,0,,0
28,1,CA1-CA3,14,17,170,,0,,0
28,1,CA1-CA3,14,18,180,,0,,0
28,1,CA1-CA3,14,19,190,,0,,0
28,1,CA1-CA3,14,20,200,,0,,0
28,1,CA1-CA3,14,21,210,,0,,0
28,1,CA1-CA3,14,22,220,,0,,0
28,1,CA1-CA3,14,23,230,,0,,0
28,1,CA1-CA3,14,24,240,,0,,0
28,1,CA1-CA3,14,25,250,,0,,0
28,1,CA1-CA3,15,1,10,,0,,0
28,1,CA1-CA3,15,2,20,,0,,0
28,1,CA1-CA3,15,3,30,,0,,0
28,1,CA1-CA3,15,4,40,,0,,0
28,1,CA1-CA3,15,5,50,,0,,0
28,1,CA1-CA3,15,6,60,,0,,0
28,1,CA1-CA3,15,7,70,,0,,0
28,1,CA1-CA3,15,8,80,,0,,0
28,1,CA1-CA3,15,9,90,,0,,0
28,1,CA1-CA3,15,10,100,,0,,0
28,1,CA1-CA3,15,11,110,,0,,0
28,1,CA1-CA3,15,12,120,,0,,0
28,1,CA1-CA3,15,13,130,,0,,0
28,1,CA1-CA3,15,14,140,,0,,0
28,1,CA1-CA3,15,15,150,,0,,0
28,1,CA1-CA3,15,16,160,,0,,0
28,1,CA1-CA3,15,17,170,,0,,0
28,1,CA1-CA3,15,18,180,,0,,0
28,1,CA1-CA3,15,19,190,,0,,0
28,1,CA1-CA3,15,20,200,,0,,0
28,1,CA1-CA3,15,21,210,,0,,0
28,1,CA1-CA3,15,22,220,,0,,0
28,1,CA1-CA3,15,23,230,,0,,0
28,1,CA1-CA3,15,24,240,,0,,0
28,1,CA1-CA3,15,25,250,,0,,0
28,1,CA1-DG,1,1,10,-0.25861601085481684,0,0.2754,1
28,1,CA1-DG,1,2,20,-0.33851907255048613,0,0.2754,1
28,1,CA1-DG,1,3,30,-0.283030553261767,0,0.2754,1
28,1,CA1-DG,1,4,40,-0.16447789878283142,0,0.2754,1
28,1,CA1-DG,1,5,50,-0.08317368038580954,0,0.2754,1
28,1,CA1-DG,1,6,60,-0.05405700556950971,0,0.2754,1
28,1,CA1-DG,1,7,70,-0.05193401325374809,0,0.2754,1
28,1,CA1-DG,1,8,80,-0.049821769045842595,0,0.2754,1
28,1,CA1-DG,1,9,90,-0.07448711605069827,0,0.2754,1
28,1,CA1-DG,1,10,100,-0.08056475509848349,0,0.2754,1
28,1,CA1-DG,1,11,110,-0.058514388258668115,0,0.2754,1
28,1,CA1-DG,1,12,120,-0.02478017585931248,0,0.2754,1
28,1,CA1-DG,1,13,130,0.001257174091281951,0,0.2754,1
28,1,CA1-DG,1,14,140,-0.0032248157248156682,0,0.2754,1
28,1,CA1-DG,1,15,150,-0.014105490808602633,0,0.2754,1
28,1,CA1-DG,1,16,160,-0.026997595172194695,0,0.2754,1
28,1,CA1-DG,1,17,170,-0.02311839551434122,0,0.2754,1
28,1,CA1-DG,1,18,180,-0.00706968691386522,0,0.2754,1
28,1,CA1-DG,1,19,190,0.009399312823348192,0,0.2754,1
28,1,CA1-DG,1,20,200,0.024292349152348,0,0.2754,1
28,1,CA1-DG,1,21,210,0.028279915714761,0,0.2754,1
28,1,CA1-DG,1,22,220,0.016342692584593185,0,0.2754,1
28,1,CA1-DG,1,23,230,0.013912952170945526,0,0.2754,1
28,1,CA1-DG,1,24,240,0.015031187157026418,0,0.2754,1
28,1,CA1-DG,1,25,250,0.0195760185491884,0,0.2754,1
28,1,CA1-DG,2,1,10,-0.08305002428363285,0,0.1381,0
28,1,CA1-DG,2,2,20,-0.017063205960105732,0,0.1381,0
28,1,CA1-DG,2,3,30,-0.07310149041873669,0,0.1381,0
