animal,learner,pair,n_matched_bins,angle_x,angle_y,jac_x,jac_y,unc_cc1,cue_cc1,d_cc1,unc_n_sig,cue_n_sig,d_n_sig,unc_mi_sig,cue_mi_sig,d_mi_sig,unc_ifi,cue_ifi,d_ifi,unc_optimal_lag,cue_optimal_lag,d_optimal_lag,unc_gini_x,cue_gini_x,d_gini_x,unc_gini_y,cue_gini_y,d_gini_y
75,1,CA1-V1,12835,86.59,86.13,0.1667,0.1429,0.003,0.4569,0.4539,0.0,3.0,3.0,0.0,0.1293,0.1293,-0.0061,-0.0233,-0.0172,-3.0,-5.0,-2.0,0.3855,0.4075,0.0219,0.6419,0.502,-0.1399
75,1,CA1-SUB,12835,82.58,84.79,0.1667,0.25,0.0676,0.5254,0.4578,0.0,6.0,6.0,0.0,0.293,0.293,-0.0077,-0.0466,-0.0389,0.0,0.0,0.0,0.3841,0.408,0.0239,0.3636,0.3021,-0.0616
75,1,RSC-SUB,12835,89.08,79.09,0.0889,0.1765,0.0351,0.4756,0.4405,0.0,5.0,5.0,0.0,0.1736,0.1736,-0.0471,-0.0819,-0.0348,0.0,0.0,0.0,0.7977,0.6955,-0.1022,0.3595,0.2961,-0.0634
75,1,V1-RSC,12835,86.63,89.34,0.1429,0.0889,0.0044,0.4808,0.4763,0.0,5.0,5.0,0.0,0.2273,0.2273,0.0307,0.0163,-0.0144,1.0,0.0,-1.0,0.6327,0.4856,-0.1471,0.7983,0.6925,-0.1058
77,1,CA1-RSC,12269,89.92,87.31,0.5,0.3256,-0.0869,0.0707,0.1575,3.0,0.0,-3.0,0.1036,0.0,-0.1036,0.0019,0.0026,0.0006,0.0,0.0,0.0,0.2314,0.1597,-0.0718,0.6531,0.6422,-0.0109
77,1,CA1-DG,12269,62.34,67.3,0.5,0.3333,-0.0654,-0.0107,0.0547,0.0,1.0,1.0,0.0,0.0662,0.0662,-0.0024,-0.0553,-0.053,-4.0,3.0,7.0,0.241,0.1764,-0.0647,0.3485,0.5746,0.226
77,1,CA1-V1,12269,72.01,75.13,0.5,0.2,0.1767,0.2373,0.0605,2.0,4.0,2.0,0.0206,0.0439,0.0232,0.024,-0.006,-0.03,0.0,-1.0,-1.0,0.2459,0.1618,-0.0841,0.4229,0.1868,-0.2361
77,1,CA1-SUB,12269,89.26,49.84,0.5,0.3333,0.0293,0.1634,0.1341,0.0,2.0,2.0,0.0,0.0206,0.0206,-0.0612,-0.0322,0.029,5.0,-4.0,-9.0,0.1997,0.1972,-0.0025,0.3682,0.3567,-0.0115
77,1,RSC-SUB,12269,89.6,66.81,0.2809,0.3333,0.075,0.0293,-0.0457,1.0,0.0,-1.0,0.0028,0.0,-0.0028,-0.0251,-0.0085,0.0166,0.0,-4.0,-4.0,0.6554,0.6561,0.0007,0.366,0.3522,-0.0138
77,1,V1-RSC,12269,69.67,89.94,0.5,0.3412,0.4222,0.1341,-0.2881,5.0,1.0,-4.0,0.2238,0.0091,-0.2147,0.1308,0.1129,-0.0179,0.0,3.0,3.0,0.4687,0.1629,-0.3058,0.6473,0.6393,-0.0079
98,0,CA1-RSC,15000,80.02,84.28,0.5,0.125,-0.1529,0.0791,0.232,7.0,1.0,-6.0,0.1794,0.0031,-0.1762,0.3706,0.2728,-0.0978,4.0,4.0,0.0,0.3524,0.3637,0.0112,0.5217,0.4781,-0.0436
98,0,CA1-CA3,15000,70.95,86.96,0.5,1.0,0.3092,0.3651,0.0559,2.0,4.0,2.0,0.0593,0.101,0.0416,-0.0189,-0.0059,0.013,0.0,0.0,0.0,0.5275,0.4531,-0.0745,0.2191,0.9703,0.7512
100,0,CA1-RSC,10815,82.56,89.47,0.5,0.4815,0.0295,0.1083,0.0788,0.0,1.0,1.0,0.0,0.0059,0.0059,-0.004,0.0822,0.0862,4.0,0.0,-4.0,0.6214,0.6332,0.0119,0.6309,0.6368,0.0059
100,0,CA1-DG,10815,77.12,88.33,0.5,0.4286,0.2012,0.2383,0.0372,1.0,1.0,0.0,0.0207,0.0292,0.0086,-0.0639,-0.0771,-0.0133,0.0,0.0,0.0,0.6051,0.6196,0.0145,0.5476,0.5248,-0.0228
100,0,CA1-V1,10815,88.19,84.09,0.5,0.2812,0.3022,0.7786,0.4764,7.0,6.0,-1.0,0.1532,0.9841,0.8309,-0.0018,-0.0458,-0.044,5.0,0.0,-5.0,0.6233,0.6386,0.0153,0.6281,0.4861,-0.1419
100,0,CA1-SUB,10815,89.89,84.32,0.5,0.4737,0.0264,0.0115,-0.0149,0.0,0.0,0.0,0.0,0.0,0.0,-0.0303,-0.0187,0.0116,-5.0,-1.0,4.0,0.6232,0.6338,0.0106,0.5559,0.541,-0.0149
100,0,RSC-SUB,10815,83.58,85.94,0.4815,0.4737,0.0198,0.135,0.1152,0.0,1.0,1.0,0.0,0.0092,0.0092,0.023,0.0153,-0.0077,-1.0,0.0,1.0,0.6303,0.6339,0.0036,0.556,0.5401,-0.0159
100,0,V1-RSC,10815,83.46,89.04,0.3016,0.4286,0.2573,0.6013,0.344,4.0,5.0,1.0,0.0755,1.1069,1.0314,0.0155,-0.0043,-0.0198,0.0,0.0,0.0,0.6244,0.4781,-0.1463,0.6196,0.6224,0.0028
