animal,pair,window_bins,window_ms,n_dims,n_pos,n_neg,mixed,frac_pos
28,CA3-DG,18,180,5,2,3,1,0.4
28,CA3-DG,19,190,5,3,2,1,0.6
28,CA3-DG,20,200,5,3,2,1,0.6
28,CA3-DG,21,210,5,3,2,1,0.6
28,CA3-DG,22,220,5,3,2,1,0.6
28,CA3-DG,23,230,5,3,2,1,0.6
28,CA3-DG,24,240,5,2,3,1,0.4
28,CA3-DG,25,250,5,3,2,1,0.6
34,CA1-CA3,1,10,5,3,2,1,0.6
34,CA1-CA3,2,20,5,2,3,1,0.4
34,CA1-CA3,3,30,5,3,2,1,0.6
34,CA1-CA3,4,40,5,2,3,1,0.4
34,CA1-CA3,5,50,5,3,2,1,0.6
34,CA1-CA3,6,60,5,4,1,1,0.8
34,CA1-CA3,7,70,5,4,1,1,0.8
34,CA1-CA3,8,80,5,4,1,1,0.8
34,CA1-CA3,9,90,5,3,2,1,0.6
34,CA1-CA3,10,100,5,4,1,1,0.8
34,CA1-CA3,11,110,5,4,1,1,0.8
34,CA1-CA3,12,120,5,4,1,1,0.8
34,CA1-CA3,13,130,4,3,1,1,0.75
34,CA1-CA3,14,140,5,4,1,1,0.8
34,CA1-CA3,15,150,5,4,1,1,0.8
34,CA1-CA3,16,160,5,5,0,0,1.0
34,CA1-CA3,17,170,5,5,0,0,1.0
34,CA1-CA3,18,180,5,3,2,1,0.6
34,CA1-CA3,19,190,5,3,2,1,0.6
34,CA1-CA3,20,200,5,3,2,1,0.6
34,CA1-CA3,21,210,5,3,2,1,0.6
34,CA1-CA3,22,220,5,3,2,1,0.6
34,CA1-CA3,23,230,5,3,2,1,0.6
34,CA1-CA3,24,240,5,3,2,1,0.6
34,CA1-CA3,25,250,5,3,2,1,0.6
34,CA1-V1,1,10,5,3,2,1,0.6
34,CA1-V1,2,20,5,3,2,1,0.6
34,CA1-V1,3,30,5,3,2,1,0.6
34,CA1-V1,4,40,5,3,2,1,0.6
34,CA1-V1,5,50,5,3,2,1,0.6
34,CA1-V1,6,60,5,3,2,1,0.6
34,CA1-V1,7,70,5,3,2,1,0.6
34,CA1-V1,8,80,5,3,2,1,0.6
34,CA1-V1,9,90,5,3,2,1,0.6
34,CA1-V1,10,100,5,3,2,1,0.6
34,CA1-V1,11,110,5,3,2,1,0.6
34,CA1-V1,12,120,5,3,2,1,0.6
34,CA1-V1,13,130,5,3,2,1,0.6
34,CA1-V1,14,140,5,3,2,1,0.6
34,CA1-V1,15,150,5,3,2,1,0.6
34,CA1-V1,16,160,5,3,2,1,0.6
34,CA1-V1,17,170,5,3,2,1,0.6
34,CA1-V1,18,180,5,3,2,1,0.6
34,CA1-V1,19,190,5,3,2,1,0.6
34,CA1-V1,20,200,5,3,2,1,0.6
34,CA1-V1,21,210,5,3,2,1,0.6
34,CA1-V1,22,220,5,3,2,1,0.6
34,CA1-V1,23,230,5,3,2,1,0.6
34,CA1-V1,24,240,5,3,2,1,0.6
34,CA1-V1,25,250,5,3,2,1,0.6
36,CA1-CA3,1,10,5,2,3,1,0.4
36,CA1-CA3,2,20,5,3,2,1,0.6
36,CA1-CA3,3,30,5,3,2,1,0.6
36,CA1-CA3,4,40,5,3,2,1,0.6
36,CA1-CA3,5,50,5,3,2,1,0.6
36,CA1-CA3,6,60,5,1,4,1,0.2
36,CA1-CA3,7,70,5,2,3,1,0.4
36,CA1-CA3,8,80,5,2,3,1,0.4
36,CA1-CA3,9,90,5,3,2,1,0.6
36,CA1-CA3,10,100,5,2,3,1,0.4
36,CA1-CA3,11,110,5,2,3,1,0.4
36,CA1-CA3,12,120,5,2,3,1,0.4
36,CA1-CA3,13,130,5,1,4,1,0.2
36,CA1-CA3,14,140,5,1,4,1,0.2
36,CA1-CA3,15,150,5,1,4,1,0.2
36,CA1-CA3,16,160,5,2,3,1,0.4
36,CA1-CA3,17,170,5,2,3,1,0.4
36,CA1-CA3,18,180,5,1,4,1,0.2
36,CA1-CA3,19,190,5,1,4,1,0.2
36,CA1-CA3,20,200,5,1,4,1,0.2
36,CA1-CA3,21,210,5,1,4,1,0.2
36,CA1-CA3,22,220,5,1,4,1,0.2
36,CA1-CA3,23,230,5,0,5,0,0.0
36,CA1-CA3,24,240,5,1,4,1,0.2
36,CA1-CA3,25,250,5,1,4,1,0.2
36,CA1-V1,1,10,5,2,3,1,0.4
36,CA1-V1,2,20,5,4,1,1,0.8
36,CA1-V1,3,30,5,4,1,1,0.8
36,CA1-V1,4,40,5,4,1,1,0.8
36,CA1-V1,5,50,5,4,1,1,0.8
36,CA1-V1,6,60,5,4,1,1,0.8
36,CA1-V1,7,70,5,4,1,1,0.8
36,CA1-V1,8,80,5,4,1,1,0.8
36,CA1-V1,9,90,5,4,1,1,0.8
36,CA1-V1,10,100,5,3,2,1,0.6
36,CA1-V1,11,110,5,3,2,1,0.6
36,CA1-V1,12,120,5,3,2,1,0.6
36,CA1-V1,13,130,5,3,2,1,0.6
36,CA1-V1,14,140,5,2,3,1,0.4
36,CA1-V1,15,150,5,2,3,1,0.4
36,CA1-V1,16,160,5,2,3,1,0.4
36,CA1-V1,17,170,5,3,2,1,0.6
36,CA1-V1,18,180,5,2,3,1,0.4
36,CA1-V1,19,190,5,3,2,1,0.6
36,CA1-V1,20,200,5,3,2,1,0.6
36,CA1-V1,21,210,5,3,2,1,0.6
36,CA1-V1,22,220,5,3,2,1,0.6
36,CA1-V1,23,230,5,3,2,1,0.6
36,CA1-V1,24,240,5,3,2,1,0.6
36,CA1-V1,25,250,5,3,2,1,0.6
41,CA1-CA3,1,10,5,4,1,1,0.8
41,CA1-CA3,2,20,5,4,1,1,0.8
41,CA1-CA3,3,30,5,4,1,1,0.8
41,CA1-CA3,4,40,5,4,1,1,0.8
41,CA1-CA3,5,50,5,4,1,1,0.8
41,CA1-CA3,6,60,5,4,1,1,0.8
41,CA1-CA3,7,70,5,4,1,1,0.8
41,CA1-CA3,8,80,5,4,1,1,0.8
41,CA1-CA3,9,90,5,4,1,1,0.8
41,CA1-CA3,10,100,5,4,1,1,0.8
41,CA1-CA3,11,110,5,4,1,1,0.8
41,CA1-CA3,12,120,5,4,1,1,0.8
41,CA1-CA3,13,130,5,4,1,1,0.8
41,CA1-CA3,14,140,5,4,1,1,0.8
41,CA1-CA3,15,150,5,4,1,1,0.8
41,CA1-CA3,16,160,5,4,1,1,0.8
41,CA1-CA3,17,170,5,4,1,1,0.8
41,CA1-CA3,18,180,5,4,1,1,0.8
41,CA1-CA3,19,190,5,4,1,1,0.8
41,CA1-CA3,20,200,5,4,1,1,0.8
41,CA1-CA3,21,210,5,4,1,1,0.8
41,CA1-CA3,22,220,5,4,1,1,0.8
41,CA1-CA3,23,230,5,4,1,1,0.8
41,CA1-CA3,24,240,5,4,1,1,0.8
41,CA1-CA3,25,250,5,4,1,1,0.8
41,CA1-V1,1,10,5,2,3,1,0.4
41,CA1-V1,2,20,5,2,3,1,0.4
41,CA1-V1,3,30,5,1,4,1,0.2
41,CA1-V1,4,40,5,1,4,1,0.2
41,CA1-V1,5,50,5,1,4,1,0.2
41,CA1-V1,6,60,5,2,3,1,0.4
41,CA1-V1,7,70,5,2,3,1,0.4
41,CA1-V1,8,80,5,2,3,1,0.4
41,CA1-V1,9,90,5,2,3,1,0.4
41,CA1-V1,10,100,5,2,3,1,0.4
41,CA1-V1,11,110,5,3,2,1,0.6
41,CA1-V1,12,120,5,2,3,1,0.4
41,CA1-V1,13,130,5,1,4,1,0.2
41,CA1-V1,14,140,5,2,3,1,0.4
41,CA1-V1,15,150,5,2,3,1,0.4
41,CA1-V1,16,160,5,2,3,1,0.4
41,CA1-V1,17,170,5,2,3,1,0.4
41,CA1-V1,18,180,5,2,3,1,0.4
41,CA1-V1,19,190,5,2,3,1,0.4
41,CA1-V1,20,200,5,2,3,1,0.4
41,CA1-V1,21,210,5,2,3,1,0.4
41,CA1-V1,22,220,5,3,2,1,0.6
41,CA1-V1,23,230,5,3,2,1,0.6
41,CA1-V1,24,240,5,3,2,1,0.6
41,CA1-V1,25,250,5,3,2,1,0.6
52,CA1-CA3,1,10,5,3,2,1,0.6
52,CA1-CA3,2,20,5,3,2,1,0.6
52,CA1-CA3,3,30,5,3,2,1,0.6
52,CA1-CA3,4,40,5,4,1,1,0.8
52,CA1-CA3,5,50,5,3,2,1,0.6
52,CA1-CA3,6,60,5,3,2,1,0.6
52,CA1-CA3,7,70,5,3,2,1,0.6
52,CA1-CA3,8,80,5,3,2,1,0.6
52,CA1-CA3,9,90,4,4,0,0,1.0
52,CA1-CA3,10,100,5,3,2,1,0.6
52,CA1-CA3,11,110,5,4,1,1,0.8
52,CA1-CA3,12,120,5,4,1,1,0.8
52,CA1-CA3,13,130,5,4,1,1,0.8
52,CA1-CA3,14,140,5,4,1,1,0.8
52,CA1-CA3,15,150,5,3,2,1,0.6
52,CA1-CA3,16,160,5,3,2,1,0.6
52,CA1-CA3,17,170,5,3,2,1,0.6
52,CA1-CA3,18,180,5,2,3,1,0.4
52,CA1-CA3,19,190,5,2,3,1,0.4
