animal,area,epoch,n_units,n_partners,rho_pooled,rho_pooled_ratepart,rho_pooled_tune,rho_pooled_tune_ratepart,rho_pooled_tomrel,rho_pooled_tomrel_ratepart
28,CA1,expert,24,3,0.33391304347826084,0.19954164015689224,0.1652173913043478,-0.10684955986924308,0.3139130434782608,0.16323763347016929
28,CA1,intermediate,24,3,0.44695652173913036,0.27084917281039467,0.48023715415019763,0.22012452667852475,0.46956521739130425,0.3304860106058962
28,CA1,naive,24,3,-0.19861660079051385,-0.3249917567606852,0.15019762845849804,-0.13628726212786355,-0.08695652173913043,-0.1854917681250461
28,CA3,expert,12,2,0.5314685314685316,0.11880405431555181,0.3727272727272728,0.24937864997934334,0.5734265734265735,0.30100283169518155
28,CA3,intermediate,12,2,-0.38333333333333336,-0.2695392610378753,-0.07142857142857144,0.34843596920156067,-0.6666666666666667,-0.6838197525149178
28,CA3,naive,12,2,-0.25,-0.26071445677604455,0.7,0.7192672658326257,-0.7380952380952381,-0.7529192057622885
28,DG,expert,13,2,0.4340659340659341,0.4250576906083276,0.22527472527472525,0.1952299809050325,0.2692307692307692,0.2471604836488142
28,DG,intermediate,13,2,0.049450549450549455,-0.1362801613771363,0.2747252747252747,-0.06698334941942785,0.21428571428571427,-0.05004839520626447
28,DG,naive,13,2,0.4895104895104896,0.4646350871282903,0.7762237762237763,0.7855661322511129,0.6783216783216784,0.7379293662516722
28,V1,expert,67,1,0.28857051640194753,0.021919062811565394,0.22939150401836975,-0.17061537681591124,0.2274722643467156,-0.004026675838183495
28,V1,intermediate,67,1,0.4862762237762237,0.3641635370484864,0.3161172161172161,0.10028323962995218,0.46101045574267707,0.32518617500091723
28,V1,naive,67,1,0.6522727272727273,0.3903531754242133,0.6278388278388278,0.28003726999286116,0.6110635633023693,0.34163725652488613
34,CA1,expert,22,2,0.362406015037594,-0.0015504446071683484,0.5112781954887218,0.04971473831826031,0.35187969924812035,0.027837829315387044
34,CA1,intermediate,22,2,0.5789473684210527,0.3596685213278887,0.7233082706766917,0.19838001657994953,0.5744360902255639,0.16337349476941468
34,CA1,naive,22,2,0.3714285714285714,-0.11985542311879509,0.4285714285714286,-0.19378599231661106,0.48181818181818176,-0.0890547124059673
34,CA3,expert,8,1,0.28571428571428575,-0.0417741412546717,0.4285714285714286,-0.6578947368421052,0.6904761904761906,0.5327716211745399
34,CA3,intermediate,8,1,0.2142857142857143,-0.5233593816165857,0.5952380952380953,-0.11083777463036808,0.30952380952380953,0.13483997249264834
34,CA3,naive,8,1,0.5714285714285715,-0.02697044646875771,1.0,0.9999999999999999,0.5357142857142858,0.3391863461640649
34,V1,expert,101,1,0.5808037274315666,0.3333094821515878,0.5356375637563755,0.1493421446769894,0.5519510774606872,0.3033535305715803
34,V1,intermediate,101,1,0.536957695769577,0.30503673965949074,0.4071614100185528,-0.01442926157048772,0.4543294329432943,0.19648454762082296
34,V1,naive,101,1,0.656969696969697,0.4216765656317635,0.30269426942694266,-0.3085432512903747,0.574292370413512,0.32377492722698425
36,CA1,expert,32,1,0.597983870967742,0.37415516272143357,0.44475806451612904,0.02584550775922379,0.6429618768328444,0.38494983794550564
36,CA1,intermediate,32,1,0.5069059406746921,0.029880380030724366,0.544221430202467,-0.11470251989241519,0.3717349479456394,-0.1920574949546036
36,CA1,naive,32,1,0.4842364532019703,0.08886341173485152,0.4029556650246304,-0.26265757391023475,0.3798029556650246,-0.02031045887321593
36,V1,expert,26,1,0.427008547008547,0.372158069416381,0.2957264957264957,0.17141715741559566,0.305982905982906,0.22538099851789545
36,V1,intermediate,26,1,0.3791452991452991,0.314014718873805,0.3203418803418803,0.21711300021301772,0.2574358974358974,0.168203275346139
36,V1,naive,26,1,0.24307692307692305,0.19763591386984403,0.15555555555555553,-0.06970830098597407,0.06324786324786325,-0.04743959976572148
41,CA1,expert,14,2,-0.3021978021978022,-0.34803204174807434,-0.005494505494505494,-0.18891356728766148,-0.0879120879120879,-0.16408710204100066
41,CA1,intermediate,14,1,-0.09890109890109891,0.004197283432900243,-0.19780219780219782,0.3068163833854652,-0.3626373626373627,-0.21184953574116466
41,CA1,naive,14,1,0.16483516483516483,0.3868101324658634,0.02097902097902098,0.28273943546261926,0.15934065934065936,0.4420330768264761
41,CA3,expert,14,1,0.4450549450549451,0.32750975645348224,0.1398601398601399,0.1036536892527675,0.04395604395604395,-0.006771014717340089
41,V1,expert,155,1,0.4907193538071215,0.31523932513242897,0.35183393367445087,0.049266897913509376,0.4459495713558627,0.2961276238684009
41,V1,intermediate,155,1,0.47458225208859156,0.37890813911904,0.14822457282883078,-0.1110253578338012,0.38668620628271894,0.28564178654638117
41,V1,naive,155,1,0.5753325110370427,0.43180538419513537,0.30209379836493366,-0.06843702742135824,0.5212654795191327,0.403928944332184
52,CA1,expert,54,4,0.36953717142396386,0.29960252452727043,0.18827608450249958,0.03191463325190515,0.32921669525443104,0.233956414056792
