pair,group,metric,contrast,unit,n,mean_a,mean_b,delta,t,p,bh_pass
CA1-V1,all,peak_r,intermediate-naive,ccs,98,0.041605714285714274,0.05871622448979591,0.017110510204081632,5.4829089069330434,3.318030637061212e-07,True
CA3-DG,all,peak_r,intermediate-naive,ccs,40,0.130174,0.14762050000000002,0.0174465,5.481933252666875,2.712118603989317e-06,True
CA1-SUB,all,peak_r,intermediate-naive,ccs,36,0.03495694444444444,0.050706111111111105,0.015749166666666665,3.9578367623755915,0.00035264127422816443,True
RSC-SUB,all,peak_r,intermediate-naive,ccs,36,0.06427083333333333,0.08013527777777776,0.01586444444444444,3.5855071341449185,0.0010158921435335885,True
V1-RSC,all,peak_r,intermediate-naive,ccs,60,0.09472383333333334,0.12047633333333334,0.0257525,5.6131277685238645,5.614713436408903e-07,True
CA1-RSC,all,far_r,expert-naive,animals,8,0.013197685185185184,0.027118394675925927,0.01392070949074074,2.4222287950373014,0.04594160362969609,False
CA1-CA3,all,far_r,expert-naive,animals,7,-0.011470464285714285,-0.0022638928571428575,0.009206571428571427,2.6475613065583214,0.03815276275631966,False
CA1-DG,all,far_r,expert-naive,animals,8,-0.0006219062500000003,0.005380333333333333,0.006002239583333334,2.4369413879423862,0.044960253446138264,False
CA1-V1,all,far_r,expert-naive,animals,10,0.024377991666666664,0.045523683333333335,0.021145691666666667,5.56170884006416,0.00035110173291676193,True
CA3-DG,all,far_r,expert-naive,animals,4,0.0013775416666666667,0.0028506666666666667,0.0014731250000000003,0.8127395403075784,0.47587330414593726,False
CA1-SUB,all,far_r,expert-naive,animals,4,0.003528104166666667,0.011434819444444442,0.007906715277777776,1.8700139313934034,0.1582513124032045,False
RSC-SUB,all,far_r,expert-naive,animals,4,0.026940166666666664,0.03820750694444444,0.01126734027777778,1.3636952135505287,0.26597300501600357,False
V1-RSC,all,far_r,expert-naive,animals,6,0.060044736111111115,0.08542323611111112,0.025378500000000002,2.4342266490386395,0.05907222226818844,False
CA1-RSC,all,far_r,expert-naive,ccs,79,0.013226107594936712,0.027084778481012654,0.013858670886075949,4.4561245901536255,2.75554275975615e-05,True
CA1-CA3,all,far_r,expert-naive,ccs,70,-0.011470464285714287,-0.0022638928571428575,0.009206571428571429,4.0933807289549735,0.00011372130822798829,True
CA1-DG,all,far_r,expert-naive,ccs,75,-0.0005500333333333325,0.0050919,0.005641933333333333,3.7316733579191506,0.0003706452324716873,True
CA1-V1,all,far_r,expert-naive,ccs,98,0.024788732993197286,0.04612624149659864,0.02133750850340136,5.807487677798537,8.026568878393691e-08,True
CA3-DG,all,far_r,expert-naive,ccs,40,0.001377541666666667,0.0028506666666666654,0.0014731249999999987,0.5573399638526375,0.5804801513968203,False
CA1-SUB,all,far_r,expert-naive,ccs,36,0.004021134259259259,0.013015092592592594,0.008993958333333335,2.947390975556977,0.005671963353248334,True
RSC-SUB,all,far_r,expert-naive,ccs,36,0.028075231481481486,0.0403844212962963,0.012309189814814814,2.641086399691613,0.01226701567604518,True
V1-RSC,all,far_r,expert-naive,ccs,60,0.06004473611111112,0.08542323611111112,0.025378500000000002,5.383070500785803,1.329010373729033e-06,True
CA1-RSC,all,peak_minus_far,expert-naive,animals,8,0.019286925925925926,0.022387952546296296,0.0031010266203703694,1.6984550169684165,0.13322776047095705,False
CA1-CA3,all,peak_minus_far,expert-naive,animals,7,0.09001703571428572,0.09366675000000001,0.0036497142857142948,0.9828461634064355,0.3636389413641047,False
CA1-DG,all,peak_minus_far,expert-naive,animals,8,0.05564253125,0.05334216666666667,-0.002300364583333332,-0.9708778154208652,0.3639527902481253,False
