animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,6000,0.2841,1,0.0421,-0.0905,-9,0.2312,0.639,0.3428,0.4184,nan,nan,nan,nan,,,89.67,88.88,58.94,77.69
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,6000,0.2725,2,0.0737,0.0597,8,0.2369,0.6957,0.3391,0.4753,71.3,81.52,64.59,81.06,0.3333,0.6,81.67,87.26,74.19,80.38
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,6000,0.2531,1,0.0331,0.0388,0,0.2992,0.6309,0.2908,0.3864,80.33,88.58,48.63,47.44,0.4545,0.6,82.21,87.29,52.55,88.12
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,6000,0.3584,3,0.111,0.0087,0,0.288,0.9432,0.249,0.2649,66.39,90.0,65.76,90.0,0.6,0.3333,70.07,77.07,89.58,0.0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,6000,0.3958,3,0.1385,-0.0139,0,0.2056,0.9432,0.2719,0.2887,26.12,54.09,25.03,0.01,0.6,1.0,47.64,70.54,31.91,0.0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,6000,0.2374,3,0.0772,0.0306,0,0.2149,0.7901,0.2857,0.3264,34.13,86.92,26.34,89.84,0.6,0.6,56.97,71.03,87.69,8.44
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,6000,0.3571,3,0.1264,0.049,0,0.2033,0.7929,0.2912,0.3279,36.0,40.09,29.18,2.56,0.7778,0.6,28.81,75.95,60.74,9.59
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,6000,0.3671,2,0.1048,0.0134,0,0.2037,0.9377,0.3017,0.3038,57.32,86.89,33.64,38.26,0.6,0.6,31.74,87.17,41.45,0.0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,6000,0.2538,1,0.0333,0.014,0,0.2654,0.9377,0.3129,0.3124,38.09,81.95,11.98,0.0,0.6,1.0,37.36,58.5,74.93,0.0
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,6000,0.1436,1,0.0218,-0.0127,0,0.2989,0.8392,0.3124,0.3285,29.47,80.31,23.67,49.54,0.4545,1.0,34.51,89.63,1.67,63.02
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,6000,0.249,3,0.091,-0.0096,0,0.2437,0.9571,0.2762,0.3201,37.81,59.06,35.19,31.1,0.7778,0.6,49.51,76.73,69.47,0.0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,6000,0.3019,3,0.1151,0.0292,0,0.1541,0.9377,0.3075,0.3144,42.06,85.29,27.32,55.8,0.3333,1.0,38.79,72.82,86.93,0.0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,6000,0.3121,7,0.2375,-0.0099,0,0.1743,0.8437,0.3073,0.378,21.83,86.55,21.35,37.9,0.7778,0.6,87.37,50.39,84.09,2.16
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,6000,0.3067,3,0.1027,-0.0076,0,0.1948,0.8134,0.275,0.3605,40.63,39.53,40.69,0.76,0.3333,1.0,81.33,51.04,80.15,6.31
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,6000,0.2374,2,0.056,-0.0115,0,0.2148,0.1557,0.2629,0.3297,88.87,86.94,74.74,86.37,0.6,0.3333,79.3,70.17,37.19,29.03
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,6000,0.3811,3,0.1742,0.0219,0,0.1719,0.1563,0.2623,0.3158,39.3,31.7,45.42,36.76,0.7778,1.0,57.41,41.41,39.93,30.49
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,6000,0.1968,4,0.1633,0.0316,0,0.2128,0.2225,0.2652,0.2637,46.16,42.9,30.43,23.33,0.6,0.6,84.26,82.64,34.92,29.79
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,6000,0.3812,2,0.1271,0.0118,0,0.2219,0.2249,0.2853,0.25,23.78,28.42,25.03,25.01,0.7778,0.6,71.46,54.17,33.06,31.28
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,6000,0.3094,2,0.0959,0.0213,0,0.2568,0.18,0.2715,0.2111,40.36,50.85,29.42,27.76,0.4545,0.3333,66.77,80.09,78.05,84.86
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,6000,0.3263,1,0.0563,-0.0302,0,0.2885,0.2013,0.2685,0.2702,42.23,31.65,36.26,22.0,0.6,0.6,81.98,88.33,31.74,31.21
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,6000,0.3057,2,0.0691,-0.0393,0,0.2495,0.2311,0.2919,0.2569,56.99,38.05,28.75,13.52,0.6,0.6,69.76,47.95,36.16,20.49
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,6000,0.3626,2,0.1006,-0.004,0,0.252,0.2342,0.2981,0.2944,57.37,57.19,23.35,9.34,0.4545,0.6,87.11,79.2,47.58,26.0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,6000,0.3831,4,0.1551,-0.051,0,0.2579,0.3181,0.312,0.2264,44.19,41.7,19.41,14.25,0.4545,0.6,83.52,62.06,34.78,19.47
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,6000,0.3767,4,0.144,-0.0343,0,0.259,0.3415,0.2663,0.2431,40.35,23.35,21.98,12.64,0.6,0.6,59.15,52.1,42.47,19.9
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,6000,0.3789,1,0.0775,0.0235,0,0.3647,0.266,0.2455,0.2764,56.65,36.68,38.3,17.81,0.6,0.6,88.87,86.4,27.51,38.05
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,6000,0.4428,3,0.1748,-0.0096,0,0.275,0.2103,0.4483,0.347,nan,nan,nan,nan,,,83.93,75.34,51.96,15.09
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,6000,0.4087,3,0.1457,0.0352,0,0.2825,0.2466,0.4171,0.3529,27.46,18.85,25.32,16.13,0.4545,0.6,72.48,54.28,30.49,15.02
